doi,study_title,publication_type,study_journal,prescreen_decisions,retained_for_extraction_candidate,prescreen_decision,prescreen_action,prescreen_reason,deterministic_matched_terms
10.1007/7854_2017_475,Chemistry and Structure-Activity Relationships of Psychedelics.,Journal Article | Review,Current topics in behavioral neurosciences,retain,True,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | 10.1007/7854_2017_475
10.1007/7854_2017_478,Hallucinogens and Serotonin 5-HT(2A) Receptor-Mediated Signaling Pathways.,"Journal Article | Research Support, N.I.H., Extramural | Research Support, Non-U.S. Gov't | Review",Current topics in behavioral neurosciences,retain,True,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | 10.1007/7854_2017_478
10.1007/7854_2017_479,The Effects of Hallucinogens on Gene Expression.,book-chapter,Current topics in behavioral neurosciences,retain,True,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | 10.1007/7854_2017_479
10.1007/7854_2017_480,Interactions of Hallucinogens with the Glutamatergic System: Permissive Network Effects Mediated Through Cortical Layer V Pyramidal Neurons,Journal Article | Review,Current topics in behavioral neurosciences,retain,True,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | 10.1007/7854_2017_480
10.1007/7854_2020_167,The Role of Opiates in Social Pain and Suicidal Behavior,review,Current topics in behavioral neurosciences,retain,True,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | 10.1007/7854_2020_167
10.1007/7854_2020_168,Glutamine and New Pharmacological Targets to Treat Suicidal Ideation,Journal Article,Current topics in behavioral neurosciences,retain,True,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | 10.1007/7854_2020_168
10.1007/7854_2020_202,Innovations in the Delivery of Exposure and Response Prevention for Obsessive-Compulsive Disorder,book-chapter,Current topics in behavioral neurosciences,retain,False,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | book-chapter | 10.1007/7854_2020_202
10.1007/7854_2021_266,Foundations for Training Psychedelic Therapists,article,Current topics in behavioral neurosciences,retain,False,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | 10.1007/7854_2021_266
10.1007/7854_2021_267,Psychedelics as Novel Therapeutics in Alzheimer’s Disease: Rationale and Potential Mechanisms,review,Current topics in behavioral neurosciences,retain,True,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | 10.1007/7854_2021_267
10.1007/7854_2021_268,Psychedelic Group Therapy,article,Current topics in behavioral neurosciences,retain,True,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | 10.1007/7854_2021_268
10.1007/7854_2021_269,Psychedelic-Assisted Therapy for Social Adaptability in Autistic Adults,article,Current topics in behavioral neurosciences,retain,False,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | 10.1007/7854_2021_269
10.1007/7854_2021_270,Dosing Psychedelics and MDMA,article,Current topics in behavioral neurosciences,retain,True,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | 10.1007/7854_2021_270
10.1007/7854_2021_277,Ayahuasca for the Treatment of Depression,Journal Article,Current topics in behavioral neurosciences,retain,True,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | 10.1007/7854_2021_277
10.1007/7854_2021_278,The Potential of Psychedelics for End of Life and Palliative Care,review,Current topics in behavioral neurosciences,retain,True,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | 10.1007/7854_2021_278
10.1007/7854_2021_279,Psilocybin for the Treatment of Obsessive-Compulsive Disorders.,Journal Article | Review,Current topics in behavioral neurosciences,retain,True,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | 10.1007/7854_2021_279
10.1007/7854_2021_282,Psilocybin for the Treatment of Depression: A Promising New Pharmacotherapy Approach,book-chapter,Current topics in behavioral neurosciences,retain,True,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | 10.1007/7854_2021_282
10.1007/7854_2021_284,Psychedelic-Assisted Therapy for Substance Use Disorders and Potential Mechanisms of Action,article,Current topics in behavioral neurosciences,retain,True,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | 10.1007/7854_2021_284
10.1007/7854_2021_298,"Effects of Setting on Psychedelic Experiences, Therapies, and Outcomes: A Rapid Scoping Review of the Literature",article,Current topics in behavioral neurosciences,retain,True,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | 10.1007/7854_2021_298
10.1007/7854_2022_313,"Ketamine for Depression: Advances in Clinical Treatment, Rapid Antidepressant Mechanisms of Action, and a Contrast with Serotonergic Psychedelics.",book-chapter,Current topics in behavioral neurosciences,retain,True,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | 10.1007/7854_2022_313
10.1007/7854_2022_327,Classic Psychedelics in Addiction Treatment: The Case for Psilocybin in Tobacco Smoking Cessation,review,Current topics in behavioral neurosciences,retain,True,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | 10.1007/7854_2022_327
10.1007/7854_2022_348,Involvement of DA D3 Receptors in Structural Neuroplasticity of Selected Limbic Brain Circuits: Possible Role in Treatment-Resistant Depression,book-chapter,Current topics in behavioral neurosciences,retain,True,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | 10.1007/7854_2022_348
10.1007/7854_2022_357,Pharmacological Treatments for Anhedonia,article,Current topics in behavioral neurosciences,retain,True,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | 10.1007/7854_2022_357
10.1007/7854_2022_365,Psychedelics in the Treatment of Headache and Chronic Pain Disorders,review,Current topics in behavioral neurosciences,retain,True,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | 10.1007/7854_2022_365
10.1007/7854_2022_366,Psilocybin for Trauma-Related Disorders,review,Current topics in behavioral neurosciences,retain,True,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | 10.1007/7854_2022_366
10.1007/7854_2023_443,Enhancing Fear Extinction: Pharmacological Approaches,article,Current topics in behavioral neurosciences,retain,True,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | 10.1007/7854_2023_443
10.1007/7854_2023_451,Psilocybin and Other Classic Psychedelics in Depression.,book-chapter,Current topics in behavioral neurosciences,retain,True,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | 10.1007/7854_2023_451
10.1007/7854_2023_452,Mechanisms of SSRI Therapy and Discontinuation,Journal Article | Review,Current topics in behavioral neurosciences,retain,False,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | 10.1007/7854_2023_452
10.1007/7854_2023_453,Ketamine for Major Depressive Disorder,review,Current topics in behavioral neurosciences,retain,True,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | 10.1007/7854_2023_453
10.1007/7854_2024_507,Neurobiological Correlates of Psychedelic Experiences and Psychedelic-Associated Adverse Effects.,Journal Article | Review,Current topics in behavioral neurosciences,retain,True,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | 10.1007/7854_2024_507
10.1007/7854_2024_509,Set and Setting for Psychedelic Harm Reduction,book-chapter,Current topics in behavioral neurosciences,retain,True,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | 10.1007/7854_2024_509
10.1007/7854_2024_510,Pharmacological Properties of Psychedelics with a Special Focus on Potential Harms,article,Current topics in behavioral neurosciences,retain,True,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | 10.1007/7854_2024_510
10.1007/7854_2024_511,Completing the Circle: A History of Psychedelics and Harm Reduction.,Journal Article | Historical Article | Review,Current topics in behavioral neurosciences,retain,True,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | 10.1007/7854_2024_511
10.1007/7854_2024_529,Psychedelic Harm Reduction and Integration: A Transtheoretical Model for Clinical Practice.,Journal Article | Review,Current topics in behavioral neurosciences,retain,False,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | 10.1007/7854_2024_529
10.1007/7854_2024_531,Epistemic Risk Reduction in Psychedelic-Assisted Therapy,article,Current topics in behavioral neurosciences,retain,True,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | 10.1007/7854_2024_531
10.1007/7854_2024_532,"Deepening Psychedelic Integration: Exploring Complex Settings, Understanding User’s Struggles, and Implementing Safe Interventions",article,Current topics in behavioral neurosciences,retain,False,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | 10.1007/7854_2024_532
10.1007/7854_2024_534,Anxiety and Affective Symptoms Related to the Use of Classic Psychedelics: A Systematic Review,review,Current topics in behavioral neurosciences,retain,True,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | 10.1007/7854_2024_534
10.1007/7854_2025_586,"Behavioral Neurobiology of Alcohol Addiction: A Decade of Great Challenges, New Hopes, and Hypes.",Journal Article | Review,Current topics in behavioral neurosciences,retain,False,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | 10.1007/7854_2025_586
10.1007/7854_2025_600,Acute Effects and Long-Term Neuropsychological Consequences of Classic Psychedelics Use,article,Current topics in behavioral neurosciences,retain,False,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | 10.1007/7854_2025_600
10.1007/7854_2025_606,Psychedelic Drug Checking: Analytical and Strategic Challenges in Harm Reduction for Classic Psychedelics,article,Current topics in behavioral neurosciences,retain,True,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | 10.1007/7854_2025_606
10.1007/7854_2025_607,Investigating Safety Concerns and Harm Reduction in Entheogenic Churches: The Case for Community-Based Participatory Research.,Journal Article,Current topics in behavioral neurosciences,retain,True,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | 10.1007/7854_2025_607
10.1007/7854_2025_609,Ontologically Challenging Psychedelic Experiences: Considerations for Managing Associated Distress,book-chapter,Current topics in behavioral neurosciences,retain,True,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | book-chapter | 10.1007/7854_2025_609
10.1007/7854_2025_610,"Flashbacks, Hallucinogen Persisting Perception Disorder (HPPD), and Reactivations Following the Use of Classic Psychedelics: Classification and Therapeutic Management",book-chapter,Current topics in behavioral neurosciences,retain,True,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | book-chapter | 10.1007/7854_2025_610
10.1007/7854_2025_612,Managing Psychological Challenges in the Subacute (“Afterglow”) Window of Psychedelic Drug Effects,article,Current topics in behavioral neurosciences,retain,False,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | 10.1007/7854_2025_612
10.1007/7854_2026_613,Psychedelic-Related Psychosis: From Model Psychosis to Psychotherapy,book-chapter,Current topics in behavioral neurosciences,retain,False,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | book-chapter | 10.1007/7854_2026_613
10.1007/7854_2026_614,Classifying Psychedelic-Related Complications,book-chapter,Current topics in behavioral neurosciences,retain,True,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | 10.1007/7854_2026_614
10.1007/978-1-59259-158-9_1,Regulation of Monoamine Transporters,book-chapter,Humana Press eBooks,retain,False,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | book-chapter
10.1007/978-1-59259-786-4_4,Central Nervous System Alterations in Drug Abuse,book-chapter,Forensic pathology reviews,retain,False,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | book-chapter
10.1007/978-1-60761-941-3_14,The 5-HT2C Receptor as a Target for Schizophrenia,book-chapter,The Receptors,retain,True,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | book-chapter
10.1007/978-1-60761-941-3_20,The Role of 5-HT2A/2C Receptors in Sleep and Waking,book-chapter,5-HT2C Receptors in the Pathophysiology of CNS Disease,retain,False,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | book-chapter
10.1007/978-1-60761-941-3_26,Ocular Hypotension: Involvement of Serotonergic 5-HT2 Receptors,book-chapter,The Receptors,retain,False,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | book-chapter
10.1007/978-3-0348-7259-1_22,5-HT1D and 5-HT4 Receptor Agonists Stimulate the Peristaltic Reflex in the Isolated Guinea Pig Ileum,book-chapter,"Serotonin: Molecular Biology, Receptors and Functional Effects",retain,False,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | book-chapter
10.1007/978-3-0348-7259-1_49,Serotonin Release is Responsible for the Locomotor Hyperactivity in Rats Induced by Derivatives of Amphetamine Related to MDMA,book-chapter,"Serotonin: Molecular Biology, Receptors and Functional Effects",retain,True,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | book-chapter
10.1007/978-3-7643-8567-5_12,Potential novel treatments for bipolar depression,book-chapter,Birkhäuser Basel eBooks,retain,True,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | book-chapter
10.1007/978-981-95-6872-7_23,New Antidepressant Development in the Treatment of Depression,book-chapter,Advances in experimental medicine and biology,retain,False,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | book-chapter
10.1007/978-981-95-6872-7_25,Psychedelics: Future Therapeutics in Major Depression?,book-chapter,Advances in experimental medicine and biology,retain,True,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | book-chapter
10.1007/978-981-95-6872-7_5,Rethinking the Treatment-Resistant Depression,book-chapter,Advances in experimental medicine and biology,retain,True,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | book-chapter
10.1016/b978-0-12-818788-3.00003-6,Pharmacological profiling of novel psychoactive substances,book-chapter,Elsevier eBooks,retain,False,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | book-chapter
10.1016/b978-0-12-821033-8.00002-2,Ketamine's potential mechanism of action for rapid antidepressive effects – a focus on neuroplasticity,book-chapter,Elsevier eBooks,retain,True,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | book-chapter
10.1016/b978-0-12-821033-8.00003-4,Treatment resistant depression,book-chapter,Ketamine for Treatment-Resistant Depression,retain,False,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | book-chapter
10.1016/b978-0-12-821033-8.00004-6,"Suicide in psychiatric disorders: rates, risk factors, and therapeutics",book-chapter,Elsevier eBooks,retain,False,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | book-chapter
