doi,classification,relation_or_failure_subtype,confidence,requested_title,identity_status,identity_basis,document_doi,document_title,title_similarity_header,title_coverage_front,target_title_score_full_artifact,target_title_exact_in_artifact,target_doi_literal_in_artifact,best_backend,fulltext_source,artifact_path,artifact_pdf_path,artifact_pdf_exists,current_candidate_pdf_path,current_candidate_pdf_exists,manual_import_reports,local_correct_text_status,exact_doi_pmcid,direct_xml_availability,openalex_is_oa,openalex_pdf_url,openalex_landing_url,remote_correct_text_status,current_kg_finding_count,repair_method,availability_caveat
10.1007/s40263-023-01008-5,no_header_wrong_or_ancillary,wrong_unrelated_document,high,Lysergic Acid Diethylamide (LSD) for the Treatment of Anxiety Disorders: Preclinical and Clinical Evidence.,identity_unverified,insufficient document-level identifier or title evidence,,Epidemiology of anxiety disorders: from surveys to nosology and back,0.4343,0.5,0.5,False,False,grobid,disorder,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/articles/10_1007_s40263_023_01008_5.json,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/disorder/pdfs/10.1007_s40263-023-01008-5__68e9ea2721.pdf,False,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.1007_s40263-023-01008-5__68e9ea2721.pdf,True,,main_article_not_available_in_current_artifact,,no_correct_pmc_record,False,,,no_open_fulltext_signal_found,0,Quarantine wrong artifact/PDF. Reacquire from exact DOI with front-page DOI/title validation; otherwise use canonical abstract.,"OpenAlex URLs are discovery signals only; validate DOI/title and reject supplements, app files, manuals, or neighboring abstracts before use."
10.1016/j.biopsych.2026.03.1008,benign_conflict,preprint_repository_version,high,Baseline Mismatch Negativity Amplitude Predicts Direction and Magnitude of Ketamine Effect in Healthy Volunteers — A “Disordinal” Effect,target_text_with_conflicting_doi,requested title is present but the document identifier differs; version or container must be resolved,10.1101/2025.10.07.25337443,"Baseline Mismatch Negativity Amplitude Predicts Direction and Magnitude of Ketamine Effect in Healthy Volunteers -A ""Disordinal"" Effect",1.0,1.0,1.0,False,False,grobid,mechanistic,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/articles/10_1016_j_biopsych_2026_03_1008.json,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/mechanistic/pdfs/10.1016_j.biopsych.2026.03.1008__d16367d01c.pdf,False,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.1016_j.biopsych.2026.03.1008__d16367d01c.pdf,True,,correct_content_available_locally,,,True,https://www.medrxiv.org/content/medrxiv/early/2025/10/13/2025.10.07.25337443.1.full.pdf,https://doi.org/10.1101/2025.10.07.25337443,oa_pdf_signal_requires_identity_validation,0,Keep local text; register explicit preprint/repository-to-published relation and choose canonical display DOI; no reacquisition.,"OpenAlex URLs are discovery signals only; validate DOI/title and reject supplements, app files, manuals, or neighboring abstracts before use."
10.1016/j.cub.2012.02.033,repository_or_nested_document,repository_thesis_issue_nested_content,high,"Neuroimaging: a scanner, colourfully.",identity_mismatch,document DOI differs and title evidence does not support the requested paper,10.1016/j.cub.2012.02.036,"Neuroimaging: A Scanner, Colourfully Two recent studies report changes in human brain responses after exposure to psilocybin, the active ingredient of hallucinogenic mushrooms. Psilocybin increased sensory cortex responses during emotional recollection, but decreased resting-state blood flow in prefrontal cortex, with potential implications for treating depression",0.1836,1.0,1.0,True,True,grobid,,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/articles/10_1016_j_cub_2012_02_033.json,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.1016_j.cub.2012.02.033__171fb11607.pdf,True,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.1016_j.cub.2012.02.033__171fb11607.pdf,True,manual_pdf_import_report_after_browser_batch30_20260618.json,target_or_related_content_nested_requires_segmentation,,,True,http://www.cell.com/article/S0960982212001844/pdf,https://doi.org/10.1016/j.cub.2012.02.033,oa_pdf_signal_requires_identity_validation,0,"Keep repository/thesis/issue source separately, but segment the requested subdocument before extraction; do not treat a constituent DOI as the container identity.","OpenAlex URLs are discovery signals only; validate DOI/title and reject supplements, app files, manuals, or neighboring abstracts before use."
10.1016/j.drugpo.2014.07.004,no_header_wrong_or_ancillary,wrong_unrelated_document,high,"Self-reported prevalence of dependence of MDMA compared to cocaine, mephedrone and ketamine among a sample of recreational poly-drug users",identity_unverified,insufficient document-level identifier or title evidence,,,,0.0,0.0,False,False,grobid,,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/articles/10_1016_j_drugpo_2014_07_004.json,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.1016_j.drugpo.2014.07.004__1949d90567.pdf,True,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.1016_j.drugpo.2014.07.004__1949d90567.pdf,True,,main_article_not_available_in_current_artifact,,,False,,,no_open_fulltext_signal_found,0,Quarantine wrong artifact/PDF. Reacquire from exact DOI with front-page DOI/title validation; otherwise use canonical abstract.,"OpenAlex URLs are discovery signals only; validate DOI/title and reject supplements, app files, manuals, or neighboring abstracts before use."
10.1016/j.eclinm.2023.101841,correction_or_erratum,correction_original_relationship,high,"Corrigendum to ‘Single-dose psilocybin-assisted therapy in major depressive disorder: a placebo-controlled, double-blind, randomised clinical trial’",target_text_with_conflicting_doi,requested title is present but the document identifier differs; version or container must be resolved,10.1016/j.eclinm.2022.101809,"Corrigendum to 'Single-dose psilocybin-assisted therapy in major depressive disorder: a placebo-controlled, double-blind, randomised clinical trial'",1.0,1.0,1.0,False,False,grobid,disorder,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/articles/10_1016_j_eclinm_2023_101841.json,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/disorder/pdfs/10.1016_j.eclinm.2023.101841__bdaec82ba7.pdf,False,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.1016_j.eclinm.2023.101841__bdaec82ba7.pdf,True,,related_correction_or_original_document_only,PMC9898017,not_needed,True,http://www.thelancet.com/article/S2589537023000184/pdf,https://doi.org/10.1016/j.eclinm.2023.101841,exact_pmc_record_available_xml_needs_probe,0,"Route correction/erratum/retraction as context-only and link it to the original DOI. If the requested record is the main article but the artifact is a correction, reacquire the main article.","OpenAlex URLs are discovery signals only; validate DOI/title and reject supplements, app files, manuals, or neighboring abstracts before use."
10.1016/j.eurpsy.2016.01.1060,proceedings_container,proceedings_or_multi_abstract_container,high,The “Endless Trip”: Psychopathology and psychopharmacology in the Hallucinogen Persisting Perception Disorder (HPPD),target_text_with_conflicting_doi,requested title is present but the document identifier differs; version or container must be resolved,10.1016/j.eurpsy.2016.01.1059,"The ""Endless Trip"": Psychopathology and psychopharmacology in the Hallucinogen Persisting Perception Disorder (HPPD)",1.0,1.0,1.0,False,True,grobid,,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/articles/10_1016_j_eurpsy_2016_01_1060.json,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.1016_j.eurpsy.2016.01.1060__c8bc54a4f1.pdf,True,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.1016_j.eurpsy.2016.01.1060__c8bc54a4f1.pdf,True,,target_present_in_container_needs_segmentation,,,True,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/88E612C4BD23129B8196208F4A472D46/S0924933800229210a.pdf/div-class-title-the-endless-trip-psychopathology-and-psychopharmacology-in-the-hallucinogen-persisting-perception-disorder-hppd-div.pdf,https://doi.org/10.1016/j.eurpsy.2016.01.1060,oa_pdf_signal_requires_identity_validation,0,"Quarantine whole-container packet. If exact JATS exists, serialize only the matching article/sub-article; otherwise segment PDF by exact DOI/title boundaries. If target is absent, use DOI abstract. Re-extract and rebuild KG findings.","OpenAlex URLs are discovery signals only; validate DOI/title and reject supplements, app files, manuals, or neighboring abstracts before use."
10.1016/j.eurpsy.2017.11.007,proceedings_container,proceedings_or_multi_abstract_container,high,TRIMAGE: A dedicated trimodality (PET/MR/EEG) imaging tool for schizophrenia,verified_exact_doi,document identifier matches requested DOI,10.1016/j.eurpsy.2017.11.007,TRIMAGE: A dedicated trimodality (PET/MR/EEG) imaging tool for schizophrenia,1.0,1.0,1.0,True,True,grobid,mechanistic,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/articles/10_1016_j_eurpsy_2017_11_007.json,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/mechanistic/pdfs/10.1016_j.eurpsy.2017.11.007__f6ffd1539b.pdf,False,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.1016_j.eurpsy.2017.11.007__f6ffd1539b.pdf,True,,target_present_in_container_needs_segmentation,,,True,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/A9919A5A5A89A028366963AAA3A14850/S0924933800007124a.pdf/div-class-title-trimage-a-dedicated-trimodality-pet-mr-eeg-imaging-tool-for-schizophrenia-div.pdf,https://doi.org/10.1016/j.eurpsy.2017.11.007,oa_pdf_signal_requires_identity_validation,0,"Quarantine whole-container packet. If exact JATS exists, serialize only the matching article/sub-article; otherwise segment PDF by exact DOI/title boundaries. If target is absent, use DOI abstract. Re-extract and rebuild KG findings.","OpenAlex URLs are discovery signals only; validate DOI/title and reject supplements, app files, manuals, or neighboring abstracts before use."
10.1016/j.forsciint.2005.04.019,no_header_wrong_or_ancillary,wrong_unrelated_document,high,"Validation of an ELISA-based screening assay for the detection of amphetamine, MDMA and MDA in blood and oral fluid",identity_unverified,insufficient document-level identifier or title evidence,,,,0.0,0.0,False,False,grobid,,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/articles/10_1016_j_forsciint_2005_04_019.json,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.1016_j.forsciint.2005.04.019__b6312f684d.pdf,True,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.1016_j.forsciint.2005.04.019__b6312f684d.pdf,True,,main_article_not_available_in_current_artifact,,,False,,,no_open_fulltext_signal_found,0,Quarantine wrong artifact/PDF. Reacquire from exact DOI with front-page DOI/title validation; otherwise use canonical abstract.,"OpenAlex URLs are discovery signals only; validate DOI/title and reject supplements, app files, manuals, or neighboring abstracts before use."
10.1016/j.isci.2023.106589,benign_conflict,doi_parse_truncation_or_suffix,high,"TMS-EEG and resting-state EEG applied to altered states of consciousness: oscillations, complexity, and phenomenology",target_text_with_conflicting_doi,requested title is present but the document identifier differs; version or container must be resolved,10.1016/j.isci,"TMS-EEG and resting-state EEG applied to altered states of consciousness: oscillations, complexity, and phenomenology",1.0,1.0,1.0,True,True,grobid,mechanistic,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/articles/10_1016_j_isci_2023_106589.json,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/mechanistic/pdfs/10.1016_j.isci.2023.106589__b163be41ab.pdf,False,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.1016_j.isci.2023.106589__b163be41ab.pdf,True,,correct_content_available_locally,PMC10149373,not_needed,True,http://www.cell.com/article/S2589004223006661/pdf,https://doi.org/10.1016/j.isci.2023.106589,exact_pmc_record_available_xml_needs_probe,4,Keep local text; correct TEI/GROBID DOI parsing and store the requested DOI as document identity; no reacquisition.,"OpenAlex URLs are discovery signals only; validate DOI/title and reject supplements, app files, manuals, or neighboring abstracts before use."
10.1016/s0893-133x(99)00006-8,no_header_wrong_or_ancillary,wrong_unrelated_document,high,Excitatory Actions of NMDA Receptor Antagonists in Rat Entorhinal Cortex and Cultured Entorhinal Cortical Neurons,identity_unverified,insufficient document-level identifier or title evidence,,Changing society and social mobility,0.2148,0.0,0.0909,False,False,grobid,,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/articles/10_1016_s0893_133x_99_00006_8.json,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.1016_s0893-133x_99_00006-8__527b1b1c95.pdf,True,,False,,main_article_not_available_in_current_artifact,,,True,https://www.nature.com/articles/1395330.pdf,https://doi.org/10.1016/s0893-133x(99)00006-8,oa_pdf_signal_requires_identity_validation,0,Quarantine wrong artifact/PDF. Reacquire from exact DOI with front-page DOI/title validation; otherwise use canonical abstract.,"OpenAlex URLs are discovery signals only; validate DOI/title and reject supplements, app files, manuals, or neighboring abstracts before use."
10.1016/s0924-9338(09)70667-4,proceedings_container,proceedings_or_multi_abstract_container,high,Serotonin Transporter Concentration is Decreased in Cerebral Cortex but not in Striatum of Chronic MDMA (ecstasy) Users,verified_exact_doi,document identifier matches requested DOI,10.1016/s0924-9338(09)70667-4,P01-46 SEROTONIN TRANSPORTER CONCENTRATION IS DECREASED IN CEREBRAL CORTEX BUT NOT IN STRIATUM OF CHRONIC MDMA (ECSTASY) USERS,0.9714,1.0,1.0,True,True,grobid,mechanistic,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/articles/10_1016_s0924_9338_09_70667_4.json,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/mechanistic/pdfs/10.1016_s0924-9338_09_70667-4__f758bed462.pdf,False,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.1016_s0924-9338_09_70667-4__f758bed462.pdf,True,,target_present_in_container_needs_segmentation,,,True,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/645FDAA8EEBC1FA7DE0D12AD7D2F2DFE/S0924933800165587a.pdf/div-class-title-serotonin-transporter-concentration-is-decreased-in-cerebral-cortex-but-not-in-striatum-of-chronic-mdma-ecstasy-users-div.pdf,https://doi.org/10.1016/s0924-9338(09)70667-4,oa_pdf_signal_requires_identity_validation,11,"Quarantine whole-container packet. If exact JATS exists, serialize only the matching article/sub-article; otherwise segment PDF by exact DOI/title boundaries. If target is absent, use DOI abstract. Re-extract and rebuild KG findings.","OpenAlex URLs are discovery signals only; validate DOI/title and reject supplements, app files, manuals, or neighboring abstracts before use."
