paper_id,doi,paper_openalex_id,author_id,display_name,canonical_name,raw_author_name,openalex_author_id,orcid,author_position,author_position_label,is_first_author,is_last_author,source,identity_confidence,source_author_id,source_orcid,source_openalex_author_id,source_display_name,identity_review_id,source_author_position,author_list_review_id
paper:10.1016/j.urols.2015.08.010,10.1016/j.urols.2015.08.010,https://openalex.org/W2114414510,orcid:0000-0003-3814-6980,Stephen Shei‐Dei Yang,stephen shei‐dei yang,Stephen S. Yang,https://openalex.org/A5102959905,0000-0003-3814-6980,1,first,True,False,openalex,orcid,openalex:A5102959905,0000-0003-3814-6980,https://openalex.org/A5102959905,Stephen Shei‐Dei Yang,,1,
paper:10.1016/j.urols.2015.08.010,10.1016/j.urols.2015.08.010,https://openalex.org/W2114414510,orcid:0000-0003-1409-3853,Shang‐Jen Chang,shang‐jen chang,Shang-Jen Chang,https://openalex.org/A5075161319,0000-0003-1409-3853,4,middle,False,False,openalex,orcid,openalex:A5075161319,0000-0003-1409-3853,https://openalex.org/A5075161319,Shang‐Jen Chang,,4,
paper:10.1016/j.urols.2015.08.010,10.1016/j.urols.2015.08.010,https://openalex.org/W2114414510,orcid:0000-0003-3814-6980,Stephen Shei‐Dei Yang,stephen shei‐dei yang,S.S. Yang,https://openalex.org/A5102959905,0000-0003-3814-6980,22,middle,False,False,openalex,orcid,openalex:A5102959905,0000-0003-3814-6980,https://openalex.org/A5102959905,Stephen Shei‐Dei Yang,,22,
paper:10.1016/j.urols.2015.08.010,10.1016/j.urols.2015.08.010,https://openalex.org/W2114414510,orcid:0000-0003-1409-3853,Shang‐Jen Chang,shang‐jen chang,S.J. Chang,https://openalex.org/A5075161319,0000-0003-1409-3853,23,middle,False,False,openalex,orcid,openalex:A5075161319,0000-0003-1409-3853,https://openalex.org/A5075161319,Shang‐Jen Chang,,23,
paper:10.1038/s41591-023-02565-4,10.1038/s41591-023-02565-4,https://openalex.org/W4386740988,orcid:0009-0004-4169-021X,Charlotte Harrison,charlotte harrison,Charlotte Harrison,https://openalex.org/A5081216750,0009-0004-4169-021X,16,middle,False,False,openalex,name_alias_to_orcid,local_author:4d075a8d2d427511,,,Charlotte Harrison,,16,
paper:10.1038/s41591-023-02565-4,10.1038/s41591-023-02565-4,https://openalex.org/W4386740988,local_author:d0adcff464934bda,Berra Yazar-Klosinski,berra yazar-klosinski,Berra Yazar-Klosinski,,,19,middle,False,False,openalex,name_only,local_author:d0adcff464934bda,,,Berra Yazar-Klosinski,,19,
paper:10.1038/s41591-023-02565-4,10.1038/s41591-023-02565-4,https://openalex.org/W4386740988,orcid:0009-0004-4169-021X,Charlotte Harrison,charlotte harrison,Charlotte Harrison,https://openalex.org/A5081216750,0009-0004-4169-021X,21,middle,False,False,openalex,name_alias_to_orcid,local_author:4d075a8d2d427511,,,Charlotte Harrison,,21,
paper:10.1038/s41591-023-02565-4,10.1038/s41591-023-02565-4,https://openalex.org/W4386740988,local_author:d0adcff464934bda,Berra Yazar-Klosinski,berra yazar-klosinski,Berra Yazar-Klosinski,,,22,middle,False,False,openalex,name_only,local_author:d0adcff464934bda,,,Berra Yazar-Klosinski,,22,
paper:10.1038/s41591-024-03063-x,10.1038/s41591-024-03063-x,https://openalex.org/W4399963461,orcid:0000-0003-4431-8793,Johnson Fam,johnson fam,Johnson Fam,https://openalex.org/A5040006423,0000-0003-4431-8793,3,middle,False,False,openalex,orcid,openalex:A5040006423,0000-0003-4431-8793,https://openalex.org/A5040006423,Johnson Fam,,3,
paper:10.1038/s41591-024-03063-x,10.1038/s41591-024-03063-x,https://openalex.org/W4399963461,orcid:0000-0003-4431-8793,Johnson Fam,johnson fam,Johnson Fam,https://openalex.org/A5040006423,0000-0003-4431-8793,18,middle,False,False,openalex,orcid,openalex:A5040006423,0000-0003-4431-8793,https://openalex.org/A5040006423,Johnson Fam,,18,
paper:10.1089/jpm.2020.0764,10.1089/jpm.2020.0764,https://openalex.org/W3153440465,orcid:0000-0003-3716-6736,Yvan Beaussant,yvan beaussant,Yvan Beaussant,https://openalex.org/A5063328366,0000-0003-3716-6736,1,first,True,False,openalex,orcid,openalex:A5063328366,0000-0003-3716-6736,https://openalex.org/A5063328366,Yvan Beaussant,,1,
paper:10.1089/jpm.2020.0764,10.1089/jpm.2020.0764,https://openalex.org/W3153440465,orcid:0000-0002-7458-0453,James A. Tulsky,james a. tulsky,James Tulsky,https://openalex.org/A5014360467,0000-0002-7458-0453,2,middle,False,False,openalex,orcid,openalex:A5014360467,0000-0002-7458-0453,https://openalex.org/A5014360467,James A. Tulsky,,2,
paper:10.1089/jpm.2020.0764,10.1089/jpm.2020.0764,https://openalex.org/W3153440465,orcid:0000-0002-0141-7874,Benjamin Guérin,benjamin guérin,Benjamin Guérin,https://openalex.org/A5052182950,0000-0002-0141-7874,3,middle,False,False,openalex,orcid,openalex:A5052182950,0000-0002-0141-7874,https://openalex.org/A5052182950,Benjamin Guérin,,3,
paper:10.1089/jpm.2020.0764,10.1089/jpm.2020.0764,https://openalex.org/W3153440465,orcid:0000-0001-9004-9550,Claudia Schwarz-Plaschg,claudia schwarz-plaschg,Claudia Schwarz-Plaschg,https://openalex.org/A5067171454,0000-0001-9004-9550,4,middle,False,False,openalex,orcid,openalex:A5067171454,0000-0001-9004-9550,https://openalex.org/A5067171454,Claudia Schwarz-Plaschg,,4,
paper:10.1089/jpm.2020.0764,10.1089/jpm.2020.0764,https://openalex.org/W3153440465,orcid:0000-0001-8928-4051,Justin J. Sanders,justin j. sanders,Justin J. Sanders,https://openalex.org/A5063712330,0000-0001-8928-4051,5,middle,False,False,openalex,orcid,openalex:A5063712330,0000-0001-8928-4051,https://openalex.org/A5063712330,Justin J. Sanders,,5,
paper:10.1089/jpm.2020.0764,10.1089/jpm.2020.0764,https://openalex.org/W3153440465,orcid:0000-0003-3716-6736,Yvan Beaussant,yvan beaussant,Yvan Beaussant,https://openalex.org/A5063328366,0000-0003-3716-6736,6,middle,False,False,openalex,orcid,openalex:A5063328366,0000-0003-3716-6736,https://openalex.org/A5063328366,Yvan Beaussant,,6,
paper:10.1089/jpm.2020.0764,10.1089/jpm.2020.0764,https://openalex.org/W3153440465,orcid:0000-0001-8928-4051,Justin J. Sanders,justin j. sanders,Justin Sanders,https://openalex.org/A5063712330,0000-0001-8928-4051,7,middle,False,False,openalex,orcid,openalex:A5063712330,0000-0001-8928-4051,https://openalex.org/A5063712330,Justin J. Sanders,,7,
paper:10.1089/jpm.2020.0764,10.1089/jpm.2020.0764,https://openalex.org/W3153440465,orcid:0000-0002-0141-7874,Benjamin Guérin,benjamin guérin,Benjamin Guérin,https://openalex.org/A5052182950,0000-0002-0141-7874,8,middle,False,False,openalex,orcid,openalex:A5052182950,0000-0002-0141-7874,https://openalex.org/A5052182950,Benjamin Guérin,,8,
paper:10.1089/jpm.2020.0764,10.1089/jpm.2020.0764,https://openalex.org/W3153440465,orcid:0000-0001-9004-9550,Claudia Schwarz-Plaschg,claudia schwarz-plaschg,Claudia Schwarz-Plaschg,https://openalex.org/A5067171454,0000-0001-9004-9550,9,middle,False,False,openalex,orcid,openalex:A5067171454,0000-0001-9004-9550,https://openalex.org/A5067171454,Claudia Schwarz-Plaschg,,9,
paper:10.1089/jpm.2020.0764,10.1089/jpm.2020.0764,https://openalex.org/W3153440465,orcid:0000-0002-7458-0453,James A. Tulsky,james a. tulsky,James Tulsky,https://openalex.org/A5014360467,0000-0002-7458-0453,27,middle,False,False,openalex,orcid,openalex:A5014360467,0000-0002-7458-0453,https://openalex.org/A5014360467,James A. Tulsky,,27,
paper:10.1136/bcr.08.2008.0669,10.1136/bcr.08.2008.0669,https://openalex.org/W2083500706,orcid:0000-0002-0513-9517,Nilo Riva,nilo riva,Nilo Riva,https://openalex.org/A5085166841,0000-0002-0513-9517,1,first,True,False,openalex,orcid,openalex:A5085166841,0000-0002-0513-9517,https://openalex.org/A5085166841,Nilo Riva,,1,
paper:10.1136/bcr.08.2008.0669,10.1136/bcr.08.2008.0669,https://openalex.org/W2083500706,orcid:0000-0002-0513-9517,Nilo Riva,nilo riva,Nilo Riva,https://openalex.org/A5085166841,0000-0002-0513-9517,2,middle,False,False,openalex,orcid,openalex:A5085166841,0000-0002-0513-9517,https://openalex.org/A5085166841,Nilo Riva,,2,
paper:10.1161/circoutcomes.124.011905,10.1161/circoutcomes.124.011905,https://openalex.org/W7123644897,orcid:0000-0002-3027-1771,Guillaume Bonnet,guillaume bonnet,Guillaume Bonnet,https://openalex.org/A5078824787,0000-0002-3027-1771,37,middle,False,False,openalex,name_alias_to_orcid,local_author:235b752a2df1cd1f,,,Guillaume Bonnet,,37,
paper:10.1161/circoutcomes.124.011905,10.1161/circoutcomes.124.011905,https://openalex.org/W7123644897,orcid:0000-0002-3027-1771,Guillaume Bonnet,guillaume bonnet,Guillaume Bonnet,https://openalex.org/A5078824787,0000-0002-3027-1771,38,middle,False,False,openalex,name_alias_to_orcid,local_author:235b752a2df1cd1f,,,Guillaume Bonnet,,38,
paper:10.1300/j041v16n02_01,10.1300/j041v16n02_01,https://openalex.org/W2237477220,openalex:A5043057035,Ed Gorman,ed gorman,E. Michael Gorman,https://openalex.org/A5043057035,,1,first,True,False,openalex,openalex_author_id,openalex:A5043057035,,https://openalex.org/A5043057035,Ed Gorman,,1,
paper:10.1300/j041v16n02_01,10.1300/j041v16n02_01,https://openalex.org/W2237477220,openalex:A5043057035,Ed Gorman,ed gorman,E. Michael Gorman,https://openalex.org/A5043057035,,2,middle,False,False,openalex,openalex_author_id,openalex:A5043057035,,https://openalex.org/A5043057035,Ed Gorman,,2,
