# discovered queue (mechanistic) generated at 2026-05-15T06:35:09.796789+00:00
# doi,compound,target,optional_study_title,optional_study_year,optional_authors
10.1007/s13205-025-04673-z,,,Neuropharmacology of synaptic plasticity: pathways to cognitive resilience in healthy aging,2026,Falguni Goel; Payal Singh; Sachchida Nand; Dharmendra Kumar Yadav
10.1038/s41398-019-0460-3,,,Prognosis and improved outcomes in major depression: a review,2019,Christoph Kraus; Bashkim Kadriu; Rupert Lanzenberger; Carlos A. Zarate; Siegfried Kasper
10.3390/ijms20071726,,,Prophylactic Ketamine Treatment Promotes Resilience to Chronic Stress and Accelerates Recovery: Correlation with Changes in Synaptic Plasticity in the CA3 Subregion of the Hippocampus,2019,Adam Krzystyniak; Ewa Bączyńska; Marta Magnowska; Svitlana Antoniuk; Matylda Roszkowska; Monika Zaręba-Kozioł; Nirmal Das; Subhadip Basu; Michał Pikuła; Jakub Włodarczyk
10.1007/s00213-019-05414-w,,,"Prospective examination of synthetic 5-methoxy-N,N-dimethyltryptamine inhalation: effects on salivary IL-6, cortisol levels, affect, and non-judgment",2019,Malin V. Uthaug; Rafael Lancelotta; Attila Szabó; Alan K. Davis; Jordi Riba; Johannes G. Ramaekers
10.1017/neu.2019.15,,,Psilocybin lacks antidepressant-like effect in the Flinders Sensitive Line rat,2019,Oskar Hougaard Jefsen; Kristoffer Højgaard; Sofie Laage Christiansen; Betina Elfving; David Nutt; Gregers Wegener; Heidi Kaastrup Müller
10.1038/s41386-019-0324-9,,,Psychedelic effects of psilocybin correlate with serotonin 2A receptor occupancy and plasma psilocin levels,2019,M. Madsen; Patrick M. Fisher; Daniel Burmester; Agnete Dyssegaard; Dea Siggaard Stenbæk; Sara Kristiansen; Sys Stybe Johansen; Sczabolz Lehel; Kristían Línnet; Claus Svarer
10.1124/pr.118.017160,,,REBUS and the Anarchic Brain: Toward a Unified Model of the Brain Action of Psychedelics,2019,Robin Carhart‐Harris; Karl Friston
10.1007/s11356-019-06753-z,,,RETRACTED ARTICLE: Ketamine exerts neurotoxic effects on the offspring of pregnant rats via the Wnt/β-catenin pathway,2019,Xintong Zhang; Jinghua Zhao; Tian Chang; Qi Wang; Wenhan Liu; Li Gao
10.1177/0269881119827891,,,Recreational use of psychedelics is associated with elevated personality trait openness: Exploration of associations with brain serotonin markers,2019,David Erritzøe; James Smith; Patrick M. Fisher; Robin Carhart‐Harris; Vibe G. Frøkjær; Gitte M. Knudsen
10.1097/fbp.0000000000000471,,,"Role of AMPA receptor stimulation and TrkB signaling in the antidepressant-like effect of ketamine co-administered with a group II mGlu receptor antagonist, LY341495, in the forced swim test in rats",2019,Agnieszka Pałucha-Poniewiera; Karolina Podkowa; Pilc Andrzej
10.1111/ejn.14630,,,Role of BDNF in the pathophysiology and treatment of depression: Activity‐dependent effects distinguish rapid‐acting antidepressants,2019,Ronald S. Duman; Satoshi Deyama; Manoela V. Fogaça
10.1007/s12035-019-1613-3,,,S-Ketamine Reverses Hippocampal Dendritic Spine Deficits in Flinders Sensitive Line Rats Within 1 h of Administration,2019,Giulia Treccani; Maryam Ardalan; Fenghua Chen; Laura Musazzi; Maurizio Popoli; Gregers Wegener; Jens Randel Nyengaard; Heidi Kaastrup Müller
10.1177/0269881119849821,,,Salvindolin elicits opioid system-mediated antinociceptive and antidepressant-like activities,2019,Adam W. Keasling; Pankaj Pandey; Robert J. Doerksen; Gustavo Rodrigues Pedrino; Élson Alves Costa; Luíz Carlos da Cunha; Jordan K. Zjawiony; James Oluwagbamigbe Fajemiroye
10.1016/j.brainres.2019.05.026,,,Salvinorin A attenuates early brain injury through PI3K/Akt pathway after subarachnoid hemorrhage in rat,2019,Juan Sun; Xiaomei Yang; Yan Zhang; Weiguang Zhang; Jianfei Lu; Qin Hu; Renyu Liu; Changman Zhou; Chunhua Chen
10.1016/j.expneurol.2019.113045,,,Salvinorin A moderates postischemic brain injury by preserving endothelial mitochondrial function via AMPK/Mfn2 activation,2019,Haiping Dong; Wei Zhou; Jihua Xin; Haiyan Shi; Xueya Yao; Zhenzhou He; Zhenhong Wang
10.1038/s41586-019-1135-1,,,Serotonin transporter–ibogaine complexes illuminate mechanisms of inhibition and transport,2019,Jonathan A. Coleman; Dongxue Yang; Zhiyu Zhao; Po‐Chao Wen; Craig Yoshioka; Emad Tajkhorshid; Eric Gouaux
10.1172/jci126859,,,Sestrin modulator NV-5138 produces rapid antidepressant effects via direct mTORC1 activation,2019,T. KATO; Santosh Pothula; Rong-Jian Liu; Catharine H. Duman; Rosemarie Terwilliger; George P. Vlasuk; Eddine Saiah; Seung Hahm; Ronald S. Duman
10.1021/acs.analchem.9b03104,,,Setup of a Serotonin 2A Receptor (5-HT2AR) Bioassay: Demonstration of Its Applicability To Functionally Characterize Hallucinogenic New Psychoactive Substances and an Explanation Why 5-HT2AR Bioassays Are Not Suited for Universal Activity-Based Screening of Biofluids for New Psychoactive Substances,2019,Eline Pottie; Annelies Cannaert; Katleen Van Uytfanghe; Christophe P. Stove
10.1523/eneuro.0221-19.2019,,,Sex and Individual Differences in Alcohol Intake Are Associated with Differences in Ketamine Self-Administration Behaviors and Nucleus Accumbens Dendritic Spine Density,2019,Caroline E. Strong; Katherine N. Wright; Mohamed Kabbaj
10.1177/2470547019832613,,,Sex-Dependent Ketamine Addiction-Like Behavior Profile Following Exposure to Chronic Mild Stress,2019,Katherine N. Wright; Devin P. Hagarty; Caroline E. Strong; Kristin J. Schoepfer; Mohamed Kabbaj
10.1021/acschemneuro.9b00195,,,Signaling Properties of Structurally Diverse Kappa Opioid Receptor Ligands: Toward in Vitro Models of in Vivo Responses,2019,Amelia Dunn; Brian Reed; Jose Erazo; Ariel Ben-Ezra; Mary Jeanne Kreek
10.1038/s41386-019-0379-7,,,Social status and demographic effects of the kappa opioid receptor: a PET imaging study with a novel agonist radiotracer in healthy volunteers,2019,David Matuskey; Mark Dias; Mika Naganawa; Brian Pittman; Shannan Henry; Songye Li; Hong Gao; Jim Ropchan; Nabeel Nabulsi; Richard E. Carson
10.3390/molecules24234302,,,Structure–Activity Relationships of 7-Substituted Dimethyltyrosine-Tetrahydroisoquinoline Opioid Peptidomimetics,2019,Deanna Montgomery; Jessica P. Anand; Mason A. Baber; Jack J. Twarozynski; Joshua G. Hartman; Lennon J. Delong; John R. Traynor; Henry I. Mosberg
10.1016/j.neuropharm.2019.02.030,,,"Substrate and inhibitor binding to the serotonin transporter: Insights from computational, crystallographic, and functional studies",2019,Talia Zeppelin; Lucy Kate Ladefoged; Steffen Sinning; Birgit Schiøtt
10.1126/science.aat8078,,,Sustained rescue of prefrontal circuit dysfunction by antidepressant-induced spine formation,2019,R. N. Moda-Sava; Mitchell H. Murdock; Puja K. Parekh; Robert N. Fetcho; Ben Huang; Thu N. Huynh; Jonathan Witztum; Daniel Shaver; David Rosenthal; Emily Alway
10.1016/j.pbb.2019.06.004,,,"TAK-137, an AMPA receptor potentiator with little agonistic effect, produces antidepressant-like effect without causing psychotomimetic effects in rats",2019,Atsushi Suzuki; Koji Murakami; Yasukazu Tajima; Hiroe Hara; Akiyoshi Kunugi; Haruhide Kimura
10.1016/j.biopsych.2019.05.021,,,The Kappa Opioid Receptor Is Associated With Naltrexone-Induced Reduction of Drinking and Craving,2019,Bart de Laat; Alissa Goldberg; Julia Shi; Jeanette M. Tetrault; Nabeel Nabulsi; Ming‐Qiang Zheng; Soheila Najafzadeh; Hong Gao; Michael Kapinos; Jim Ropchan
10.1016/j.biopsych.2019.05.012,,,The Role of Dynorphin and the Kappa Opioid Receptor in the Symptomatology of Schizophrenia: A Review of the Evidence,2019,Samuel D. Clark; Anissa Abi‐Dargham
10.3389/fnins.2019.00043,,,The Role of NMDA Receptors in Alzheimer’s Disease,2019,Jinping Liu; Lirong Chang; Yizhi Song; Hui Li; Yan Wu
10.1038/s41380-019-0414-4,,,The kynurenine pathway: a finger in every pie,2019,Jonathan Savitz
10.1016/j.neuropharm.2019.04.001,,,The novel dehydroepiandrosterone (DHEA) derivative BNN27 counteracts behavioural deficits induced by the NMDA receptor antagonist ketamine in rats,2019,Elli Zoupa; Achille Gravanis; Nikolaos Pitsikas
10.1016/j.pnpbp.2019.109668,,,The role of NMDA receptor in neurobiology and treatment of major depressive disorder: Evidence from translational research,2019,Meysam Amidfar; Marie Woelfer; Gislaine Z. Réus; João Quevedo; Martin Walter; Yong‐Ku Kim
10.3390/ph12020095,,,Therapeutic Potential of Kappa Opioid Agonists,2019,Tyler Beck; Matthew A. Hapstack; Kyle R. Beck; Thomas A. Dix
10.1017/s1092852919001007,,,Toward specific ways to combine ketamine and psychotherapy in treating depression,2019,Gregor Hasler
10.1007/s00441-018-02985-6,,,"TrkB neurotrophin receptor at the core of antidepressant effects, but how?",2019,Tomi Rantamäki
10.3389/fendo.2019.00037,,,Updated View on the Relation of the Pineal Gland to Autism Spectrum Disorders,2019,Tal Shomrat; Nir Nesher
10.1016/j.neuropharm.2018.06.033,,,"(2R,6R)-hydroxynorketamine rescues chronic stress-induced depression-like behavior through its actions in the midbrain periaqueductal gray",2018,Dylan Chou; Hsien‐Yu Peng; Tzer-Bin Lin; Cheng‐Yuan Lai; Ming-Chun Hsieh; Yang-Cheng Wen; An‐Sheng Lee; Hsueh-Hsiao Wang; Po-Sheng Yang; Gin‐Den Chen
10.1016/j.cub.2018.07.061,,,A Conserved Role for Serotonergic Neurotransmission in Mediating Social Behavior in Octopus,2018,Eric Edsinger; Gül Dölen
10.7759/cureus.2652,,,A Review of the Mechanism of Antagonism of N-methyl-D-aspartate Receptor by Ketamine in Treatment-resistant Depression,2018,Yasar Sattar; John A. Wilson; Ali Khan; Mahwish Adnan; Daniel Azzopardi Larios; Shristi Shrestha; Quazi Abidur Rahman; Zeeshan Mansuri; Ali Hassan; Nirav Patel
10.3389/fnmol.2018.00312,,,"A Single Dose of 5-MeO-DMT Stimulates Cell Proliferation, Neuronal Survivability, Morphological and Functional Changes in Adult Mice Ventral Dentate Gyrus",2018,Rafael Vitor Lima da Cruz; Thiago C. Moulin; Lyvia Lintzmaier Petiz; Richardson N. Leão
10.1007/s00213-018-4880-1,,,A genetic reduction in the serotonin transporter differentially influences MDMA and heroin induced behaviours,2018,Bridget W. Brox; Bart Ellenbroek
10.1016/j.bmcl.2018.03.029,,,A review of salvinorin analogs and their kappa-opioid receptor activity,2018,Jeremy J. Roach; Ryan A. Shenvi
10.1016/j.biopsych.2018.05.007,,,AMPA Receptor Activation–Independent Antidepressant Actions of Ketamine Metabolite (S)-Norketamine,2018,Chun Yang; Shizuka Kobayashi; Kazuhito Nakao; Chao Dong; Mei Han; Youge Qu; Qian Ren; Ji-chun Zhang; Min Ma; Hidetoh Toki
10.3390/ijms19113650,,,"Actions of Brain-Derived Neurotrophin Factor in the Neurogenesis and Neuronal Function, and Its Involvement in the Pathophysiology of Brain Diseases",2018,Tadahiro Numakawa; Haruki Odaka; Naoki Adachi
10.1142/s0192415x18500787,,,Activity Dependent Mammalian Target of Rapamycin Pathway and Brain Derived Neurotrophic Factor Release is Required for the Rapid Antidepressant Effects of Puerarin,2018,Chih‐Chia Huang; Mang‐Hung Tsai; Ya-Chieh Wu; Kuang-Ti Chen; Han-Wen Chuang; Yun Chen; Guan-Woei Tseng; Pin-I Fu; I‐Hua Wei
10.3389/fphar.2018.01388,,,Advances in Achieving Opioid Analgesia Without Side Effects,2018,Halina Machelska; Melih Ö. Celik
10.1016/j.trci.2018.03.009,,,Alzheimer's disease drug development pipeline: 2018,2018,Jeffrey L. Cummings; Garam Lee; Aaron Ritter; Kate Zhong
10.1038/s41386-018-0053-5,,,An unsuspected role for organic cation transporter 3 in the actions of amphetamine,2018,Felix P. Mayer; Diethart Schmid; William A. Owens; Georgianna G. Gould; Mia Apuschkin; Oliver Kudlacek; Isabella Salzer; Stefan Boehm; Peter Chiba; Piper Williams
10.1007/s40263-018-0519-3,,,Antidepressant Efficacy and Tolerability of Ketamine and Esketamine: A Critical Review,2018,Patricio Molero; Josep Antoni Ramos‐Quiroga; Rocı́o Martı́n-Santos; Eva Calvo-Sánchez; Luís Gutiérrez-Rojas; J. Javier Meana
10.1016/j.pnpbp.2018.03.019,,,Applying ketamine to alleviate the PTSD-like effects by regulating the HCN1-related BDNF,2018,Lanwei Hou; Yirui Qi; Hongwei Sun; Gang Wang; Qi Li; Yanyu Wang; Zuoji Zhang; Zhongde Du; Lin Sun
10.1176/appi.ajp.2018.18020138,,,Attenuation of Antidepressant Effects of Ketamine by Opioid Receptor Antagonism,2018,Nolan Williams; Boris D. Heifets; Christine Blasey; Keith Sudheimer; Jaspreet Pannu; Heather Pankow; Jessica Hawkins; Justin Birnbaum; David M. Lyons; Carolyn Rodríguez
10.2174/1570159x16666180125095902,,,"Ayahuasca: Psychological and Physiologic Effects, Pharmacology and Potential Uses in Addiction and Mental Illness",2018,Jonathan Hamill; Jaime E. C. Hallak; Serdar Dursun; Glen B. Baker
10.3389/fpsyt.2018.00043,,,"Behavioral Phenotyping of Dopamine Transporter Knockout Rats: Compulsive Traits, Motor Stereotypies, and Anhedonia",2018,Stefano Cinque; Francesca Zoratto; Anna Poleggi; Damiana Leo; Luca Cerniglia; Silvia Cimino; Renata Tambelli; Enrico Alleva; Raul R. Gainetdinov; Giovanni Laviola
10.1007/s12035-018-1283-6,,,Brain-Derived Neurotrophic Factor in Brain Disorders: Focus on Neuroinflammation,2018,Bruno Lima Giacobbo; Janine Doorduin; Hans Klein; Rudi Dierckx; Elke Bromberg; Erik F. J. de Vries
10.7554/elife.35082,,,Changes in global and thalamic brain connectivity in LSD-induced altered states of consciousness are attributable to the 5-HT2A receptor,2018,Katrin H. Preller; Joshua B. Burt; Jie Lisa Ji; Charles Schleifer; Brendan Adkinson; Philipp Stämpfli; Erich Seifritz; Grega Repovš; John H. Krystal; John D. Murray
10.1515/sjpain-2018-0120,,,Characterization of the antinociceptive effects of intrathecal DALDA peptides following bolus intrathecal delivery,2018,Shinichi Kokubu; Kelly A. Eddinger; Thi M.‐D. Nguyen; Lena Libertad Huerta-Esquivel; Shigeki Yamaguchi; Peter W. Schiller; Tony L. Yaksh
10.1073/pnas.1718883115,,,Disinhibition of CA1 pyramidal cells by low-dose ketamine and other antagonists with rapid antidepressant efficacy,2018,Allie J. Widman; Lori L. McMahon
10.1016/j.biopsych.2017.12.019,,,"Dose-Related Target Occupancy and Effects on Circuitry, Behavior, and Neuroplasticity of the Glycine Transporter-1 Inhibitor PF-03463275 in Healthy and Schizophrenia Subjects",2018,Deepak Cyril D’Souza; Richard E. Carson; Naomi Driesen; Jason Johannesen; Mohini Ranganathan; John H. Krystal; Kyung-Heup Ahn; Kimberlee Bielen; Michelle Carbuto; Emma Deaso
10.1007/s00213-018-4981-x,,,Double-blind comparison of the two hallucinogens psilocybin and dextromethorphan: effects on cognition,2018,Frederick S. Barrett; Theresa M. Carbonaro; Ethan Hurwitz; Matthew W. Johnson; Roland R. Griffiths
10.1038/s41380-018-0256-5,,,"Double-blind, placebo-controlled, dose-ranging trial of intravenous ketamine as adjunctive therapy in treatment-resistant depression (TRD)",2018,Maurizio Fava; Marlene P. Freeman; Martina Flynn; Heidi Judge; Bettina B. Hoeppner; Cristina Cusin; Dawn F. Ionescu; Sanjay J. Mathew; Lee C. Chang; Dan V. Iosifescu
10.1016/j.neulet.2018.02.056,,,Effects of mesyl salvinorin B alone and in combination with naltrexone on alcohol deprivation effect in male and female mice,2018,Yan Zhou; Rachel Saylor Crowley; Thomas E. Prisinzano; Mary Jeanne Kreek
10.1016/j.pnpbp.2018.02.009,,,Effects of rhynchophylline on the hippocampal miRNA expression profile in ketamine-addicted rats,2018,Chan Li; Genghong Tu; Chaohua Luo; Youli Guo; Miao Fang; Chen Zhu; Hancheng Li; Jinying Ou; Yuting Zhou; Wei Liu
10.1038/s41380-018-0117-2,,,Endogenous opioid system dysregulation in depression: implications for new therapeutic approaches,2018,Marta Peciña; Jordan F. Karp; Sanjay J. Mathew; Mark S. Todtenkopf; Elliot Ehrich; Jon-Kar Zubieta
10.1016/j.brainresbull.2018.10.004,,,Essential roles of neuropeptide VGF regulated TrkB/mTOR/BICC1 signaling and phosphorylation of AMPA receptor subunit GluA1 in the rapid antidepressant-like actions of ketamine in mice,2018,Mengxin Shen; Dan Lv; Xu Liu; Shuting Li; Yaping Chen; Yanhua Zhang; Zhen Wang; Chuang Wang
10.1016/j.pbb.2018.07.003,,,"Expression of heat shock protein HSP-70 in the retrosplenial cortex of rat brain after administration of (R,S)-ketamine and (S)-ketamine, but not (R)-ketamine",2018,Z. Ryan Tian; Chao Dong; Atsuhiro Fujita; Yūkō Fujita; Kenji Hashimoto
10.1038/s41398-018-0106-x,,,Fear extinction requires infralimbic cortex projections to the basolateral amygdala,2018,Daniel W. Bloodgood; Jonathan A. Sugam; Andrew Holmes; Thomas L. Kash
10.1007/s13311-018-0616-5,,,Glutamate and Its Receptors as Therapeutic Targets for Migraine,2018,Jan Hoffmann; Andrew Charles
10.1097/hrp.0000000000000183,,,Glutamatergic Modulators in Depression,2018,Ioline D. Henter; RAFAEL TEIXEIRA DE SOUSA; Carlos A. Zarate
10.1093/ijnp/pyy094,,,Glutamatergic Neurotransmission: Pathway to Developing Novel Rapid-Acting Antidepressant Treatments,2018,Bashkim Kadriu; Laura Musazzi; Ioline D. Henter; Morgan Graves; Maurizio Popoli; Carlos A. Zarate
10.1007/s00213-018-4877-9,,,Group II metabotropic glutamate receptor agonist prodrugs LY2979165 and LY2140023 attenuate the functional imaging response to ketamine in healthy subjects,2018,Mitul A. Mehta; Anne Schmechtig; Vasileia Kotoula; Juliet McColm; Kimberley Jackson; Claire Brittain; Sitra Tauscher‐Wisniewski; Bruce J. Kinon; Paul D. Morrison; Thomas Pollak
10.3233/ch-170361,,,"Hemorheological and metabolic consequences of renal ischemia-reperfusion and their modulation by N,N-dimethyl-tryptamine on a rat model",2018,Katalin Pető; Norbert Németh; Anita Mester; Zsuzsanna Magyar; Souleiman Ghanem; Viktória Somogyi; Bence Tánczos; Ádám Deák; László Bidiga; Ede Frecska
10.1002/evl3.42,,,Horizontal gene cluster transfer increased hallucinogenic mushroom diversity,2018,Hannah T. Reynolds; Vinod Vijayakumar; Emile Gluck‐Thaler; Hailee B. Korotkin; Patrick Brandon Matheny; Jason C. Slot
10.3389/fphar.2018.00330,,,Hypothesis: The Psychedelic Ayahuasca Heals Traumatic Memories via a Sigma 1 Receptor-Mediated Epigenetic-Mnemonic Process,2018,Antonio Inserra
10.1016/j.peptides.2018.04.014,,,"In vitro and in vivo activity of cyclopeptide Dmt-c[ d -Lys-Phe-Asp]NH 2 , a mu opioid receptor agonist biased toward β-arrestin",2018,Katarzyna Gach; Justyna Piekielna‐Ciesielska; Anna Adamska‐Bartłomiejczyk; Karol Wtorek; Federica Ferrari; Girolamo Calò; Agata Szymaszkiewicz; Joanna Piasecka‐Zelga; Anna Janecka
10.1016/j.neuroscience.2018.09.023,,,Inhibitors of the NMDA-Nitric Oxide Signaling Pathway Protect Against Neuronal Atrophy and Synapse Loss Provoked by l-alpha Aminoadipic Acid-treated Astrocytes,2018,J. David; Eileen O’Toole; Kally C. O’Reilly; Guillaume Thuery; Nadine Aßmann; David K. Finlay; Andrew Harkin
10.26686/wgtn.17134067.v1,,,Investigating the antinociceptive effects of N-docosahexaenoyl ethanolamine and novel kappa opioid receptor agonists,2018,Kelly F. Paton
10.3390/molecules23102602,,,Kappa Opioid Receptor Agonist Mesyl Sal B Attenuates Behavioral Sensitization to Cocaine with Fewer Aversive Side-Effects than Salvinorin A in Rodents,2018,Bronwyn M. Kivell; Kelly F. Paton; Nitin Kumar; Aashish S. Morani; Aimee Culverhouse; Amy Shepherd; Susan Adele Welsh; Andrew Biggerstaff; Rachel Saylor Crowley; Thomas E. Prisinzano
10.1124/pr.117.015198,,,Ketamine and Ketamine Metabolite Pharmacology: Insights into Therapeutic Mechanisms,2018,Panos Zanos; Ruin Moaddel; Patrick J. Morris; Lace M. Riggs; Jaclyn N. Highland; Polymnia Georgiou; Edna F. R. Pereira; Edson X. Albuquerque; Craig J. Thomas; Carlos A. Zarate
10.12688/f1000research.14344.1,,,Ketamine and rapid-acting antidepressants: a new era in the battle against depression and suicide,2018,Ronald S. Duman
10.1038/s41398-018-0321-5,,,Ketamine and selective activation of parvalbumin interneurons inhibit stress-induced dendritic spine elimination,2018,Lhotse Hei Lui Ng; Yuhua Huang; Lei Han; Raymond Chuen‐Chung Chang; YS Chan; Cora Sau Wan Lai
10.1038/nature25509,,,Ketamine blocks bursting in the lateral habenula to rapidly relieve depression,2018,Yan Yang; Yihui Cui; Kangning Sang; Yiyan Dong; Zheyi Ni; Shuangshuang Ma; Hailan Hu
10.3892/mmr.2018.9531,,,Ketamine destabilizes growth of dendritic spines in developing hippocampal neurons in�vitro via a Rho‑dependent mechanism,2018,Sufang Jiang; Zimiao Hao; Xuze Li; Lijun Bo; Rui Zhang; Ying Wang; Xiaofeng Duan; Rongtian Kang; Lining Huang
10.1097/wnr.0000000000001045,,,Ketamine differentially restores diverse alterations of neuroligins in brain regions in a rat model of neuropathic pain-induced depression,2018,Wei Pan; Guang-Fen Zhang; Huihui Li; Mu‐Huo Ji; Zhiqiang Zhou; Kuan-Yu Li; Jianjun Yang
10.1016/j.neuropharm.2018.01.017,,,Ketamine for the treatment of addiction: Evidence and potential mechanisms,2018,Ivan Ezquerra-Romano; Will Lawn; Evgeny Krupitsky; Celia J. A. Morgan
10.1097/wnr.0000000000001185,,,Ketamine increases the expression of GluR1 and GluR2 α-amino-3-hydroxy-5-methy-4-isoxazole propionate receptor subunits in human dopaminergic neurons differentiated from induced pluripotent stem cells,2018,Ginetta Collo; Laura Cavalleri; Cristiano Chiamulera; Emilio Merlo Pich
10.1177/2470547018796102,,,"Ketamine, but Not the NMDAR Antagonist Lanicemine, Increases Prefrontal Global Connectivity in Depressed Patients",2018,Chadi G. Abdallah; Arpan Dutta; Christopher L. Averill; Shane McKie; Teddy J. Akiki; Lynnette A. Averill; J.F.W. Deakin
10.1007/s00213-018-5017-2,,,Lack of deuterium isotope effects in the antidepressant effects of (R)-ketamine in a chronic social defeat stress model,2018,Kai Zhang; Hidetoh Toki; Yūkō Fujita; Min Ma; Lijia Chang; Youge Qu; Shingo Harada; Tetsuhiro Nemoto; Akiko Mizuno‐Yasuhira; Junichi Yamaguchi
10.1016/j.biopsych.2018.09.004,,,Leveraging Neuroplasticity to Enhance Adaptive Learning: The Potential for Synergistic Somatic-Behavioral Treatment Combinations to Improve Clinical Outcomes in Depression,2018,Samuel T. Wilkinson; Paul E. Holtzheimer; Shan Gao; David S. Kirwin; Rebecca B. Price
10.1007/s12640-018-9927-x,,,Long-Term Neurobehavioral Consequences of a Single Ketamine Neonatal Exposure in Rats: Effects on Cellular Viability and Glutamate Transport in Frontal Cortex and Hippocampus,2018,Tuane Bazanella Sampaio; Laíse Figueiredo de Oliveira; Leandra C. Constantino; Ana Paula Costa; Gabriela Godoy Poluceno; Wagner C. Martins; Tharine Dal‐Cim; Karen Andrinéia de Oliveira; Fabiana K. Ludka; Rui Daniel Prediger
10.1038/s41598-018-24933-8,,,Longitudinal two-photon imaging in somatosensory cortex of behaving mice reveals dendritic spine formation enhancement by subchronic administration of low-dose ketamine,2018,Evgeny Pryazhnikov; Ekaterina Mugantseva; Plínio Casarotto; Julia Kolikova; Senem Merve Fred; Dmytro Toptunov; Ramil Afzalov; Pirta Hotulainen; Vootele Võikar; Ryan T. Terry-Lorenzo
10.1093/ijnp/pyy071,,,Making Sense of Pharmacology: Inverse Agonism and Functional Selectivity,2018,Kelly A. Berg; William P. Clarke
10.1038/mp.2017.255,,,Mechanisms of ketamine action as an antidepressant,2018,Panos Zanos; Todd D. Gould
10.1002/iub.1911,,,MicroRNA‐107 regulates anesthesia‐induced neural injury in embryonic stem cell derived neurons,2018,Jun Jiang; Xiao Chun Zheng; Feng Huang; Fei Gao; Mei Zhen You; Ting Zheng
10.1016/j.neuroscience.2018.03.040,,,Midazolam Attenuates Autophagy and Apoptosis Caused by Ketamine by Decreasing Reactive Oxygen Species in the Hippocampus of Fetal Rats,2018,Yanan Li; Xinran Li; Jinghua Zhao; Lina Li; Yuxin Wang; Yiming Zhang; Yu Chen; Wenhan Liu; Li Gao
10.1146/annurev-pharmtox-010617-052811,,,Molecular Pharmacology and Neurobiology of Rapid-Acting Antidepressants,2018,Todd D. Gould; Carlos A. Zarate; Scott M. Thompson
10.1093/ijnp/pyy047,,,Monoamine Transporter and Receptor Interaction Profiles in Vitro Predict Reported Human Doses of Novel Psychoactive Stimulants and Psychedelics,2018,Dino Luethi; Matthias E. Liechti
10.1016/j.neubiorev.2018.11.004,,,Neuroimaging of chronic MDMA (“ecstasy”) effects: A meta-analysis,2018,Felix Müller; Raphael Brändle; Matthias E. Liechti; Stefan Borgwardt
10.1007/164_2018_178,,,Neuropharmacology of Synthetic Cathinones,2018,Michael H. Baumann; Hailey M. Walters; Marco Niello; Harald H. Sitte
10.1016/j.biopsych.2018.12.014,,,Neurotrophic and Antidepressant Actions of Brain-Derived Neurotrophic Factor Require Vascular Endothelial Growth Factor,2018,Satoshi Deyama; Eunyoung Bang; T. KATO; Xiaoyuan Li; Ronald S. Duman
10.1007/s00213-018-4950-4,,,Neurotrophic factors and neuroplasticity pathways in the pathophysiology and treatment of depression,2018,M. Lévy; Fabien Boulle; Harry W.M. Steinbusch; Daniël van den Hove; Günter Kenis; Laurence Lanfumey
10.1016/j.bmcl.2018.01.055,,,O6C-20-nor-salvinorin A is a stable and potent KOR agonist,2018,Shun Hirasawa; Min Cho; Tarsis F. Brust; Jeremy J. Roach; Laura Bohn; Ryan A. Shenvi
10.3389/fped.2017.00294,,,Opiate Drugs with Abuse Liability Hijack the Endogenous Opioid System to Disrupt Neuronal and Glial Maturation in the Central Nervous System,2018,Kurt F. Hauser; Pamela E. Knapp
10.1007/164_2018_113,,,Pharmacology of MDMA- and Amphetamine-Like New Psychoactive Substances,2018,Linda D. Simmler; Matthias E. Liechti
10.1038/s41386-018-0155-0,,,Phosphoproteomic approach for agonist-specific signaling in mouse brains: mTOR pathway is involved in κ opioid aversion,2018,Jeffrey J. Liu; Yi-Ting Chiu; Kelly M. DiMattio; Chongguang Chen; Peng Huang; Taylor A. Gentile; John W. Muschamp; Alan Cowan; Matthias Mann; Lee‐Yuan Liu‐Chen
10.1523/jneurosci.1931-17.2018,,,"Pronounced Hyperactivity, Cognitive Dysfunctions, and BDNF Dysregulation in Dopamine Transporter Knock-out Rats",2018,Damiana Leo; Ilya Sukhanov; Francesca Zoratto; Placido Illiano; Lucia Caffino; Fabrizio Sanna; Giulia Messa; Marco Emanuele; Alessandro Esposito; Мария Дорофейкова
10.1016/j.euroneuro.2018.03.016,,,Psilocybin modulates functional connectivity of the amygdala during emotional face discrimination,2018,O. Grimm; Rainer Kraehenmann; Katrin H. Preller; Erich Seifritz; Franz X. Vollenweider
10.1016/j.celrep.2018.05.022,,,Psychedelics Promote Structural and Functional Neural Plasticity,2018,Calvin Ly; Alexandra C. Greb; Lindsay P. Cameron; Jonathan M. Wong; Eden V. Barragan; Paige C. Wilson; Kyle F. Burbach; Sina Soltanzadeh Zarandi; A. Sood; Michael R. Paddy
10.3389/fpsyg.2018.01475,,,"Psychedelics, Meditation, and Self-Consciousness",2018,Raphaël Millière; Robin Carhart‐Harris; Leor Roseman; Fynn‐Mathis Trautwein; Aviva Berkovich‐Ohana
