# triage-filtered queue generated at 2026-02-12T18:07:24.579743+00:00
# doi,compound,target_or_disorder,optional_study_title,optional_study_year,optional_authors
10.1177/1536012118788636,Ketamine,NMDA receptor,Acute Ketamine Infusion in Rat Does Not Affect In Vivo [<sup>11</sup>C]ABP688 Binding to Metabotropic Glutamate Receptor Subtype 5,2018,
10.1177/2040622315579059,Ketamine,NMDA receptor,Ketamine and other N-methyl-D-aspartate receptor antagonists in the treatment of depression: a perspective review,2015,
10.1186/1471-2210-6-6,MDMA,SERT,Comparison of the monoamine transporters from human and mouse in their sensitivities to psychostimulant drugs,2006,
10.1192/bjo.2023.535,Psilocybin,5-HT2A,"Psilocybin for treatment-resistant depression without psychedelic effects: study protocol for a 4-week, double-blind, proof-of-concept randomised controlled trial",2023,
10.1192/j.eurpsy.2021.1114,Psilocybin,5-HT2A,Psilocybin in the treatment of obsessive-compulsive disorder: What do we know so far?,2021,
10.1212/wnl.48.5.1212,Ketamine,NMDA receptor,High‐dose oral dextromethorphan versus placebo in painful diabetic neuropathy and postherpetic neuralgia,1997,
10.1213/00000539-199811000-00039,Ketamine,NMDA receptor,Ketamine,1998,
10.12688/f1000research.14344.1,S-ketamine,NMDA receptor,Ketamine and rapid-acting antidepressants: a new era in the battle against depression and suicide,2018,
10.12688/f1000research.8384.1,MDMA,SERT (SLC6A4),A current view of serotonin transporters,2016,
10.12740/pp/onlinefirst/134330,R-ketamine,NMDA receptor,Ketamine - a long way from anesthetic to a prototype antidepressant: Review of potential mechanisms of action,2021,
10.1371/journal.pone.0089985,Ketamine,NMDA receptor,Involvement of Sigma-1 Receptors in the Antidepressant-like Effects of Dextromethorphan,2014,
10.1371/journal.pone.0106533,DMT,Sigma-1 receptor (SIGMAR1),"Psychedelic N,N-Dimethyltryptamine and 5-Methoxy-N,N-Dimethyltryptamine Modulate Innate and Adaptive Inflammatory Responses through the Sigma-1 Receptor of Human Monocyte-Derived Dendritic Cells",2014,
10.1371/journal.pone.0194984,Ketamine,NMDA receptor,Correction: The Ketamine Analogue Methoxetamine and 3- and 4-Methoxy Analogues of Phencyclidine Are High Affinity and Selective Ligands for the Glutamate NMDA Receptor,2018,
10.14814/phy2.15088,MDMA,DAT (SLC6A3),Contribution of analog signaling to neurotransmitter interactions and behavior: Role of transporter‐mediated nonquantal dopamine release,2021,
10.1517/13543776.2014.972938,Ketamine,NMDA receptor,NMDA receptor modulators: an updated patent review (2013 – 2014),2014,
10.1523/eneuro.0157-23.2023,Ketamine,NMDA receptor,A Network Model of the Modulation of γ Oscillations by NMDA Receptors in Cerebral Cortex,2023,
10.1523/eneuro.0285-16.2017,S-ketamine,NMDA receptor,A Negative Allosteric Modulator for α5 Subunit-Containing GABA Receptors Exerts a Rapid and Persistent Antidepressant-Like Action without the Side Effects of the NMDA Receptor Antagonist Ketamine in Mice,2017,
