# Deterministic prescreen retained queue for mechanistic generated at 2026-05-15T18:25:52.070027+00:00
# doi,compound,target_or_disorder,optional_study_title,optional_study_year,optional_authors,optional_study_journal,optional_publication_type,optional_trial_registry_ids,optional_publication_date,optional_journal_issn,optional_journal_eissn,optional_publisher,optional_mesh_terms,optional_keywords,optional_funders,optional_grant_ids,optional_related_dois,optional_publication_relations,optional_is_retracted,optional_has_correction,optional_language,optional_semantic_scholar_id
10.1007/7854_2016_40,,,Inflammation Effects on Brain Glutamate in Depression: Mechanistic Considerations and Treatment Implications.,2017,Haroon E; Miller AH,Current topics in behavioral neurosciences,"Journal Article | Research Support, N.I.H., Extramural | Review",,2017,1866-3370,,,Animals | Depression / drug therapy | Depression / metabolism | Excitatory Amino Acid Antagonists / therapeutic use | Glutamic Acid / metabolism | Humans | Inflammation / metabolism,Cytokines | Depression | Glia | Glutamate | Inflammation | Magnetic resonance imaging | Neuroimaging,NIMH NIH HHS | NCI NIH HHS | NCATS NIH HHS | NCRR NIH HHS,R01 MH107033 | R01 MH112076 | R21 MH077172 | P30 CA138292 | R03 MH100273 | UL1 TR000454 | K23 MH091254 | R01 MH087604 | UL1 RR025008 | R21 MH105897,,,,,eng,
10.1007/7854_2022_348,,,Involvement of DA D3 Receptors in Structural Neuroplasticity of Selected Limbic Brain Circuits: Possible Role in Treatment-Resistant Depression.,2023,Merlo Pich E; Cavalleri L; Toma C; Collo G,Current topics in behavioral neurosciences,Journal Article,,2023,1866-3370,,,"Humans | Receptors, Dopamine D3 / metabolism | Brain-Derived Neurotrophic Factor / metabolism | Dopamine | Anhedonia | Depression | Phosphatidylinositol 3-Kinases / metabolism | Phosphatidylinositol 3-Kinases / pharmacology | Brain / metabolism | TOR Serine-Threonine Kinases / metabolism | TOR Serine-Threonine Kinases / pharmacology | Dopaminergic Neurons / metabolism | Neuronal Plasticity",Antidepressants | Dopaminergic neurons | Ketamine | Mood disorders | iPSC | mTOR,,,,,,,eng,
10.1007/978-1-0716-3307-6_6,,,Automated Detection of Psychedelic-Induced Head-Twitch Response in Mice.,2023,Jaster AM; González-Maeso J,"Methods in molecular biology (Clifton, N.J.)",Journal Article,,2023,1064-3745,1940-6029,,Mice | Animals | Hallucinogens / pharmacology | Amphetamines | Antipsychotic Agents,Behavioral model | Hallucinogen | Head-twitch response (HTR) | Preclinical | Psychedelics | Psychosis | Rodent models | Schizophrenia | Serotonin 2A receptor (5-HT2AR),,,,,,,eng,
10.1007/978-3-030-77375-5_14,,,Ketamine Action on Astrocytes Provides New Insights into Rapid Antidepressant Mechanisms.,2021,Stenovec M; Li B; Verkhratsky A; Zorec R,Advances in neurobiology,Journal Article | Review,,2021,2190-5215,,,Animals | Antidepressive Agents | Astrocytes | Exocytosis | Ketamine / pharmacology | Rats | Synapses,Astrocytes | Cholesterol | Endocytosis | Excitability | Exocytosis | Ketamine,,,,,,,eng,
10.1007/978-3-642-25758-2_10,,,Glutamatergic Synaptic Dysregulation in Schizophrenia: Therapeutic Implications,2012,Joseph T. Coyle; Alo C. Basu; Michael A. Benneyworth; Darrick T. Balu; Glenn Konopaske,Handbook of experimental pharmacology,"Journal Article | Research Support, N.I.H., Extramural | Review",,2012,0171-2004,,,"Animals | Cognition | Glutamic Acid / physiology | Humans | Ketamine / pharmacology | Receptors, N-Methyl-D-Aspartate / physiology | Schizophrenia / drug therapy | Schizophrenia / etiology | Schizophrenia / physiopathology | Synapses / physiology | Synaptic Transmission | gamma-Aminobutyric Acid / physiology",,NIMH NIH HHS,P50MH06045 | P50 MH060450 | R01 MH051290 | F32 MH090697 | R01MH51290,,,,,eng,
10.1007/978-3-7091-9334-1_4,,,Neuroprotective NMDA Antagonists: the Controversy over Their Potential for Adverse Effects on Cortical Neuronal Morphology,1994,R. J. Hargreaves; R. G. Hill; L. L. Iversen,Brain Edema IX,book-chapter,,1994,,,Springer Vienna,"Animals | Cell Survival / drug effects | Cerebral Cortex / cytology | Dextrorphan / toxicity | Dizocilpine Maleate / toxicity | Dose-Response Relationship, Drug | Energy Metabolism / drug effects | Excitatory Amino Acid Antagonists / toxicity | Glycine / antagonists & inhibitors | Gyrus Cinguli / drug effects | Ketamine / toxicity | N-Methylaspartate / antagonists & inhibitors | Neurons / drug effects | Phencyclidine / toxicity | Rats | Receptors, N-Methyl-D-Aspartate / antagonists & inhibitors | Vacuoles / drug effects",,,,,,,,eng,
10.1007/bf00426539,,,Lysergic acid diethylamide: evidence for stimulation of pituitary dopamine receptors.,1977,Meltzer HY; Fessler RG; Simonovic M; Doherty J; Fang VS,Psychopharmacology,"Journal Article | Research Support, U.S. Gov't, Non-P.H.S.",,1977-08-31,0033-3158,,,"Animals | Apomorphine / pharmacology | Chlorpromazine / pharmacology | Fenclonine / pharmacology | Lysergic Acid Diethylamide / pharmacology | Male | Methyltyrosines / pharmacology | Methysergide / pharmacology | Pituitary Gland / drug effects | Prolactin / blood | Quipazine / pharmacology | Rats | Receptors, Dopamine / drug effects | Stimulation, Chemical",,,,,,,,eng,
10.1007/bf00432847,,,Stimulation of rat prolactin secretion by indolealkylamine hallucinogens.,1978,Meltzer HY; Fessler RG; Simonovic M; Fang VS,Psychopharmacology,"Journal Article | Research Support, U.S. Gov't, Non-P.H.S.",,1978-04-11,0033-3158,,,"Animals | Fenclonine / pharmacology | Hallucinogens / pharmacology | Indoles / pharmacology | Male | Prolactin / metabolism | Rats | Stimulation, Chemical | Time Factors",,,,,,,,eng,
10.1007/bf00464567,,,Prevention of the serotonin syndrome in rats by repeated administration of monoamine oxidase inhibitors but not tricyclic antidepressants.,1982,Lucki I; Frazer A,Psychopharmacology,"Journal Article | Research Support, U.S. Gov't, P.H.S.",,1982,0033-3158,,,"Animals | Antidepressive Agents, Tricyclic / pharmacology | Behavior, Animal / drug effects | Brain Stem / metabolism | Lysergic Acid Diethylamide / pharmacology | Male | Methoxydimethyltryptamines / pharmacology | Monoamine Oxidase Inhibitors / pharmacology | Nialamide / pharmacology | Rats | Rats, Inbred Strains | Receptors, Serotonin / physiology | Serotonin / metabolism",,NIMH NIH HHS,MH 14654 | MH 29094 | MH 36363,,,,,eng,
10.1007/bf00500006,,,5-HT1A-receptors mediate stimulation of adenylate cyclase in rat hippocampus.,1986,Markstein R; Hoyer D; Engel G,Naunyn-Schmiedeberg's archives of pharmacology,Journal Article,,1986-08,0028-1298,,,"8-Hydroxy-2-(di-n-propylamino)tetralin | Adenylyl Cyclases / metabolism | Animals | Cerebral Cortex / metabolism | Enzyme Activation | Hippocampus / enzymology | In Vitro Techniques | Iodine Radioisotopes | Iodocyanopindolol | Male | Pindolol / analogs & derivatives | Rats | Receptors, Serotonin / physiology | Tetrahydronaphthalenes / metabolism",,,,,,,,eng,
10.1007/bf00634458,,,The effect of MK-801 and other antagonists of NMDA-type glutamate receptors on brain-stimulation reward.,1989,Herberg LJ; Rose IC,Psychopharmacology,"Journal Article | Research Support, Non-U.S. Gov't",,1989,0033-3158,,,"Animals | Anticonvulsants / pharmacology | Aspartic Acid / analogs & derivatives | Aspartic Acid / antagonists & inhibitors | Brain / drug effects | Dibenzocycloheptenes / pharmacology | Dizocilpine Maleate | Dose-Response Relationship, Drug | Ketamine / pharmacology | Kynurenic Acid / pharmacology | Male | N-Methylaspartate | Rats | Receptors, Glutamate | Receptors, Neurotransmitter / drug effects | Self Stimulation / drug effects",,,,,,,,eng,
10.1007/bf02244548,,,Genetic differences in the effects of competitive and non-competitive NMDA receptor antagonists on locomotor activity in mice.,1991,Liljequist S,Psychopharmacology,"Comparative Study | Journal Article | Research Support, Non-U.S. Gov't",,1991,0033-3158,,,"Amino Acids / pharmacology | Animals | Dizocilpine Maleate / pharmacology | Dose-Response Relationship, Drug | Ketamine / pharmacology | Mice | Mice, Inbred C57BL | Mice, Inbred CBA | Motor Activity / drug effects | Motor Activity / genetics | Phencyclidine / pharmacology | Pipecolic Acids / pharmacology | Receptors, N-Methyl-D-Aspartate / antagonists & inhibitors | Receptors, N-Methyl-D-Aspartate / genetics | Species Specificity",,,,,,,,eng,
10.1007/bf02244987,,,Sensitive and rapid behavioral differentiation of N-methyl-D-aspartate receptor antagonists.,1994,Ginski MJ; Witkin JM,Psychopharmacology,Journal Article,,1994-05,0033-3158,,,"2-Amino-5-phosphonovalerate / analogs & derivatives | Amino Acids / pharmacology | Animals | Anticonvulsants / pharmacology | Behavior, Animal / drug effects | Binding, Competitive / drug effects | Central Nervous System Depressants / pharmacology | Dose-Response Relationship, Drug | Male | Mice | Motor Activity / drug effects | Phenazocine / analogs & derivatives | Phenazocine / pharmacology | Receptors, N-Methyl-D-Aspartate / antagonists & inhibitors | Receptors, Phencyclidine / drug effects",,,,,,,,eng,
10.1007/bf02245219,,,Cross-tolerance studies of serotonin receptors involved in behavioral effects of LSD in rats.,1994,Krebs KM; Geyer MA,Psychopharmacology,Journal Article,,1994-01,0033-3158,,,"8-Hydroxy-2-(di-n-propylamino)tetralin / pharmacology | Amphetamines / pharmacology | Animals | Behavior, Animal / drug effects | Dose-Response Relationship, Drug | Drug Tolerance | Lysergic Acid Diethylamide / pharmacology | Male | Motor Activity / drug effects | Rats | Rats, Sprague-Dawley | Receptors, Serotonin / drug effects | Serotonin Receptor Agonists / pharmacology",,,,,,,,eng,
10.1007/bf02245610,,,"5-HT modulation of auditory and visual sensorimotor gating: II. Effects of the 5-HT2A antagonist MDL 100,907 on disruption of sound and light prepulse inhibition produced by 5-HT agonists in Wistar rats.",1996,Padich RA; McCloskey TC; Kehne JH,Psychopharmacology,Comparative Study | Journal Article,,1996-03,0033-3158,,,"Amphetamines / pharmacology | Animals | Antipsychotic Agents / pharmacology | Dose-Response Relationship, Drug | Fenfluramine / pharmacology | Fluorobenzenes / pharmacology | Haloperidol / pharmacology | Male | Piperidines / pharmacology | Rats | Rats, Wistar | Receptor, Serotonin, 5-HT2A | Receptors, Serotonin / drug effects | Reflex, Startle / drug effects | Serotonin Receptor Agonists / pharmacology",,,,,,,,eng,
10.1007/bf02245809,,,Complex stimulus properties of LSD: a drug discrimination study with alpha 2-adrenoceptor agonists and antagonists.,1995,Marona-Lewicka D; Nichols DE,Psychopharmacology,"Journal Article | Research Support, U.S. Gov't, P.H.S.",,1995-08,0033-3158,,,"Adrenergic alpha-2 Receptor Agonists | Adrenergic alpha-2 Receptor Antagonists | Animals | Clonidine / pharmacology | Conditioning, Operant / drug effects | Discrimination, Psychological | Dose-Response Relationship, Drug | Lysergic Acid Diethylamide / pharmacology | Male | Rats | Rats, Sprague-Dawley | Yohimbine / pharmacology",,NIDA NIH HHS,DA-02189,,,,,eng,
10.1007/bf02245940,,,LSD and structural analogs: pharmacological evaluation at D1 dopamine receptors.,1995,Watts VJ; Lawler CP; Fox DR; Neve KA; Nichols DE; Mailman RB,Psychopharmacology,"Journal Article | Research Support, U.S. Gov't, P.H.S.",,1995-04,0033-3158,,,"Adenylyl Cyclases / metabolism | Animals | Binding Sites | Brain / drug effects | Brain / metabolism | Cell Line | Drug Evaluation, Preclinical | Lysergic Acid Diethylamide / analogs & derivatives | Lysergic Acid Diethylamide / pharmacology | Macaca mulatta | Male | Radioligand Assay | Rats | Rats, Sprague-Dawley | Receptors, Dopamine D1 / drug effects",,NIDA NIH HHS | NIMH NIH HHS,DA02189 | MH40537 | MH42705,,,,,eng,
10.1007/bf02253718,,,Involvement of 5-HT1C-receptors in drug-induced penile erections in rats.,1990,Berendsen HH; Jenck F; Broekkamp CL,Psychopharmacology,Comparative Study | Journal Article,,1990,0033-3158,,,"Animals | Male | Penile Erection / drug effects | Phenethylamines / antagonists & inhibitors | Rats | Rats, Inbred Strains | Receptors, Serotonin / drug effects | Receptors, Serotonin / physiology | Serotonin Antagonists / pharmacology",,,,,,,,eng,
10.1007/bf02479872,,,N-methyl-D-aspartate receptor agonists and antagonists partially affect the duration of ketamine anesthesia in the rat.,1995,Kurato T; Kiuchi Y; Yasuhara H; Oguchi K; Goto H; Arakawa K,Journal of anesthesia,Journal Article,,1995-09,0913-8668,1438-8359,,,7-Chlorokynurenic acid | D-Alanine | Ketamine anesthesia | N-Methyl-D-aspartate | NMDA receptor,,,,,,,eng,
10.1007/bf02532401,,,NMDA receptor antagonists prevent acute ammonia toxicity in mice.,1996,Hermenegildo C; Marcaida G; Montoliu C; Grisolía S; Miñana MD; Felipo V,Neurochemical research,"Journal Article | Research Support, Non-U.S. Gov't",,1996-10,0364-3190,,,"Ammonia / antagonists & inhibitors | Ammonia / toxicity | Animals | Calcineurin | Calmodulin-Binding Proteins / agonists | Cell Death / drug effects | Enzyme Activation | Excitatory Amino Acid Antagonists / pharmacology | Free Radicals | Glutamic Acid / toxicity | Male | Mice | Mice, Inbred Strains | Neurons / drug effects | Neurons / pathology | Neuroprotective Agents / pharmacology | Neurotoxins / toxicity | Nitric Oxide Synthase / metabolism | Phosphoprotein Phosphatases / metabolism | Receptors, N-Methyl-D-Aspartate / antagonists & inhibitors | Time Factors",,,,,,,,eng,
10.1007/bf02766917,,,"Nonketotic hyperglycinemia: biochemical, molecular, and neurological aspects.",1997,Kure S; Tada K; Narisawa K,The Japanese journal of human genetics,Journal Article | Review,,1997-03,0916-8478,,,"Amino Acid Metabolism, Inborn Errors / genetics | Amino Acid Metabolism, Inborn Errors / metabolism | Amino Acid Metabolism, Inborn Errors / physiopathology | Animals | Glycine / blood | Glycine / cerebrospinal fluid | Glycine / metabolism | Humans | Infant, Newborn | Nervous System Diseases / physiopathology | Rats",,,,,,,,eng,
10.1007/bf02854904,,,Causes and consequences of methamphetamine and MDMA toxicity.,2006,Quinton MS; Yamamoto BK,The AAPS journal,Journal Article | Review,,2006-05-12,1550-7416,1550-7416,,"Blood-Brain Barrier | Dopamine / physiology | Humans | Methamphetamine / toxicity | Mitochondria / drug effects | Mitochondria / pathology | Mitochondria / physiology | N-Methyl-3,4-methylenedioxyamphetamine / toxicity | Neurotoxins / toxicity | Oxidative Stress / drug effects | Substance-Related Disorders / epidemiology | United States / epidemiology",,,,,,,,eng,
10.1007/bf02976360,,,Preparation of dopamine transporter-specific antibodies using molecular cloned genes.,1999,Lee SY; Im SY; Kim KM,Archives of pharmacal research,"Journal Article | Research Support, Non-U.S. Gov't",,1999-06,0253-6269,,,"Animals | Antibodies / metabolism | Bacteria / genetics | COS Cells | Carrier Proteins / immunology | Cells, Cultured | Cloning, Molecular | Cross Reactions / genetics | Dopamine Plasma Membrane Transport Proteins | Enzyme-Linked Immunosorbent Assay | Glutathione Transferase / pharmacology | Humans | Immunoblotting | Membrane Glycoproteins | Membrane Transport Proteins | Nerve Tissue Proteins | Precipitin Tests | Rabbits | Rats | Recombinant Fusion Proteins / genetics | Sequence Homology, Nucleic Acid | Species Specificity",,,,,,,,eng,
10.1007/bf03013166,,,Magnesium deficiency increases ketamine sensitivity in rats.,1997,Orser B; Smith D; Henderson S; Gelb A,Canadian journal of anaesthesia = Journal canadien d'anesthesie,"Journal Article | Research Support, Non-U.S. Gov't",,1997-08,0832-610X,,,"Anesthetics, Dissociative / pharmacology | Animals | Ketamine / pharmacology | Magnesium Deficiency / physiopathology | Rats | Rats, Wistar | Receptors, N-Methyl-D-Aspartate / antagonists & inhibitors",,,,,,,,eng,
10.1007/bf03033280,,,Neurobehavioural deficits associated with apoptotic neurodegeneration and vulnerability for ADHD.,2004,Fredriksson A; Archer T,Neurotoxicity research,Journal Article,,2004,1029-8428,,,"Animals | Animals, Newborn | Apoptosis / drug effects | Attention Deficit Disorder with Hyperactivity / chemically induced | Attention Deficit Disorder with Hyperactivity / drug therapy | Attention Deficit Disorder with Hyperactivity / pathology | Central Nervous System Depressants / pharmacology | Central Nervous System Stimulants / therapeutic use | Dextroamphetamine / therapeutic use | Diazepam / pharmacology | Dizocilpine Maleate / pharmacology | Ethanol / pharmacology | Excitatory Amino Acid Antagonists / toxicity | Female | Fluoresceins | Fluorescent Dyes | Hypnotics and Sedatives / pharmacology | Ketamine / pharmacology | Maze Learning / drug effects | Mental Disorders / chemically induced | Mental Disorders / drug therapy | Mental Disorders / pathology | Mice | Motor Activity / drug effects | Nerve Degeneration / chemically induced | Nerve Degeneration / drug therapy | Nerve Degeneration / pathology | Nervous System Diseases / chemically induced | Nervous System Diseases / drug therapy | Nervous System Diseases / pathology | Organic Chemicals | Pregnancy | Receptors, N-Methyl-D-Aspartate / antagonists & inhibitors | Swimming / physiology | Weight Gain",,,,,,,,eng,
10.1007/pl00005699,,,Glutamate receptor antagonists reduce spontaneous epileptiform activity in cortical wedges prepared from DBA/2 mice.,1997,Hu RQ; Davies JA,Experimental brain research,"Journal Article | Research Support, Non-U.S. Gov't",,1997-06,0014-4819,,,"Animals | Anticonvulsants / administration & dosage | Anticonvulsants / pharmacology | Cerebral Cortex / physiopathology | Data Interpretation, Statistical | Epilepsy / physiopathology | Excitatory Amino Acid Antagonists / administration & dosage | Excitatory Amino Acid Antagonists / pharmacology | Excitatory Amino Acids / pharmacology | Female | In Vitro Techniques | Magnesium / pharmacology | Male | Mice | Mice, Inbred DBA",,,,,,,,eng,
10.1007/s00210-008-0283-x,,,Functional reactivity of the dopaminergic system following acute and chronic ketamine treatments.,2008,Owolabi AR; Akanmu MA; Ukponmwan OE,Naunyn-Schmiedeberg's archives of pharmacology,Journal Article,,2008-04-12,0028-1298,,,"Amphetamine / pharmacology | Animals | Apomorphine / pharmacology | Catalepsy / chemically induced | Excitatory Amino Acid Antagonists / administration & dosage | Excitatory Amino Acid Antagonists / pharmacology | Haloperidol / pharmacology | Ketamine / administration & dosage | Ketamine / pharmacology | Locomotion / drug effects | Rats | Rats, Wistar | Receptors, Dopamine D2 / drug effects | Stereotyped Behavior / drug effects",,,,,,,,eng,
10.1007/s00210-018-1552-y,,,Vinpocetine halts ketamine-induced schizophrenia-like deficits in rats: impact on BDNF and GSK-3β/β-catenin pathway.,2018,Ahmed HI; Abdel-Sattar SA; Zaky HS,Naunyn-Schmiedeberg's archives of pharmacology,Journal Article,,2018-08-06,0028-1298,1432-1912,,"Animals | Antipsychotic Agents / pharmacology | Antipsychotic Agents / therapeutic use | Behavior, Animal / drug effects | Brain-Derived Neurotrophic Factor / metabolism | Glycogen Synthase Kinase 3 beta / metabolism | Hippocampus / drug effects | Hippocampus / metabolism | Ketamine | Male | Malondialdehyde / metabolism | Oxidative Stress / drug effects | Rats, Sprague-Dawley | Schizophrenia / chemically induced | Schizophrenia / drug therapy | Schizophrenia / metabolism | Signal Transduction / drug effects | Vinca Alkaloids / pharmacology | Vinca Alkaloids / therapeutic use | beta Catenin / metabolism",Brain-derived neurotrophic factor | Glycogen synthase kinase-3β | Rats | Schizophrenia | Vinpocetine | β-Catenin,,,,,,,eng,
10.1007/s00210-019-01676-5,,,Antinociceptive and antidepressive efficacies of the combined ineffective doses of S-ketamine and URB597.,2019,Ebrahimi-Ghiri M; Shahini F; Khakpai F; Zarrindast MR,Naunyn-Schmiedeberg's archives of pharmacology,Journal Article,,2019-06-27,0028-1298,1432-1912,,"Amidohydrolases / antagonists & inhibitors | Analgesics / administration & dosage | Analgesics / pharmacology | Animals | Antidepressive Agents / administration & dosage | Antidepressive Agents / pharmacology | Behavior, Animal / drug effects | Benzamides / administration & dosage | Benzamides / pharmacology | Carbamates / administration & dosage | Carbamates / pharmacology | Dose-Response Relationship, Drug | Drug Synergism | Ketamine / administration & dosage | Ketamine / pharmacology | Male | Mice, Inbred Strains | Motor Activity / drug effects | Nociceptive Pain / drug therapy | Receptors, N-Methyl-D-Aspartate / antagonists & inhibitors | Swimming | Fatty Acid Amide Hydrolases",Antidepressant-like effect | Antinociceptive | Mice | S-ketamine | URB597,,,,,,,eng,
10.1007/s00210-023-02444-2,,,The NMDA receptor antagonists memantine and ketamine as anti-migraine agents.,2023,Podkowa K; Czarnacki K; Borończyk A; Borończyk M; Paprocka J,Naunyn-Schmiedeberg's archives of pharmacology,Journal Article | Review,NCT04698525,2023-03-04,0028-1298,1432-1912,,"Male | Animals | Female | Memantine / therapeutic use | Ketamine / therapeutic use | Ketamine / pharmacology | Excitatory Amino Acid Antagonists / therapeutic use | Excitatory Amino Acid Antagonists / pharmacology | Receptors, N-Methyl-D-Aspartate | Migraine Disorders / drug therapy",Glutamate | Ketamine | Memantine | Migraine | NMDA receptor | Spreading depression,,,,,,,eng,
10.1007/s00213-002-1004-7,,,Effects of acute and repeated systemic administration of ketamine on prefrontal acetylcholine release and sustained attention performance in rats.,2002,Nelson CL; Burk JA; Bruno JP; Sarter M,Psychopharmacology,"Journal Article | Research Support, U.S. Gov't, P.H.S.",,2002-03-14,0033-3158,,,"Acetylcholine / metabolism | Animals | Attention / drug effects | Attention / physiology | Drug Administration Schedule | Excitatory Amino Acid Antagonists / administration & dosage | Injections, Intraperitoneal | Ketamine / administration & dosage | Male | Prefrontal Cortex / drug effects | Prefrontal Cortex / metabolism | Rats | Rats, Inbred BN | Rats, Inbred F344",,NIMH NIH HHS | NINDS NIH HHS,MH19936 | MH57436 | NS07291 | NS37026,,,,,eng,
10.1007/s00213-002-1086-2,,,Characterization of the discriminative stimulus effects of N-methyl- D-aspartate ligands under different ethanol training conditions in the cynomolgus monkey ( Macaca fascicularis).,2002,Vivian JA; Waters CA; Szeliga KT; Jordan K; Grant KA,Psychopharmacology,"Journal Article | Research Support, U.S. Gov't, P.H.S.",,2002-05-14,0033-3158,,,"Animals | Central Nervous System Depressants / pharmacology | Conditioning, Operant | Discrimination, Psychological / drug effects | Discrimination, Psychological / physiology | Dizocilpine Maleate / pharmacology | Dose-Response Relationship, Drug | Ethanol / administration & dosage | Ethanol / pharmacology | Excitatory Amino Acid Agonists / pharmacology | Excitatory Amino Acid Antagonists / pharmacology | Female | Ketamine / pharmacology | Macaca fascicularis | Male | N-Methylaspartate / antagonists & inhibitors | N-Methylaspartate / pharmacology | Phencyclidine / pharmacology | Receptors, N-Methyl-D-Aspartate / antagonists & inhibitors | Receptors, N-Methyl-D-Aspartate / drug effects | Sex Factors",,NIAAA NIH HHS,AA 10009 | AA 10254,,,,,eng,
10.1007/s00213-002-1190-3,,,Blockade of ionotropic glutamatergic transmission in the ventral tegmental area reduces heroin reinforcement in rat.,2002,Xi ZX; Stein EA,Psychopharmacology,"Journal Article | Research Support, U.S. Gov't, P.H.S.",,2002-09-05,0033-3158,,,"2-Amino-5-phosphonovalerate / pharmacology | Animals | Behavior, Animal / drug effects | Dizocilpine Maleate / pharmacology | Dose-Response Relationship, Drug | Excitatory Amino Acid Antagonists / administration & dosage | Excitatory Amino Acid Antagonists / pharmacology | Feeding Behavior / drug effects | Feeding Behavior / physiology | Heroin / administration & dosage | Injections, Intraventricular | Ketamine / pharmacology | Locomotion / drug effects | Locomotion / physiology | Male | Microinjections | Quinoxalines / pharmacology | Rats | Rats, Sprague-Dawley | Receptors, Glutamate / drug effects | Receptors, Glutamate / metabolism | Reinforcement, Psychology | Self Administration | Time Factors | Ventral Tegmental Area / cytology | Ventral Tegmental Area / drug effects | Ventral Tegmental Area / physiology",,NIDA NIH HHS,DA09465,,,,,eng,
10.1007/s00213-003-1656-y,,,Ketamine impairs response inhibition and is positively reinforcing in healthy volunteers: a dose-response study.,2004,Morgan CJ; Mofeez A; Brandner B; Bromley L; Curran HV,Psychopharmacology,"Clinical Trial | Controlled Clinical Trial | Journal Article | Research Support, Non-U.S. Gov't",,2004-01-15,0033-3158,,,"Adult | Analgesics / adverse effects | Analgesics / blood | Analgesics / pharmacology | Cognition Disorders / chemically induced | Dose-Response Relationship, Drug | Female | Humans | Ketamine / adverse effects | Ketamine / blood | Ketamine / pharmacology | Male | Memory / drug effects | Psychological Tests | Receptors, N-Methyl-D-Aspartate / antagonists & inhibitors | Substance-Related Disorders",,,,,,,,eng,
10.1007/s00213-004-1982-8,,,"Preliminary evidence of attenuation of the disruptive effects of the NMDA glutamate receptor antagonist, ketamine, on working memory by pretreatment with the group II metabotropic glutamate receptor agonist, LY354740, in healthy human subjects.",2005,Krystal JH; Abi-Saab W; Perry E; D'Souza DC; Liu N; Gueorguieva R; McDougall L; Hunsberger T; Belger A; Levine L,Psychopharmacology,"Clinical Trial | Controlled Clinical Trial | Journal Article | Research Support, N.I.H., Extramural | Research Support, U.S. Gov't, P.H.S.",,2004-08-10,0033-3158,,,"Adult | Bridged Bicyclo Compounds / blood | Bridged Bicyclo Compounds / pharmacology | Double-Blind Method | Excitatory Amino Acid Agonists / pharmacology | Excitatory Amino Acid Antagonists / pharmacology | Female | Humans | Ketamine / pharmacology | Male | Memory / drug effects | Receptors, Metabotropic Glutamate / agonists | Receptors, N-Methyl-D-Aspartate / antagonists & inhibitors | Single-Blind Method",,NIMH NIH HHS | NIAAA NIH HHS,5P50 MH44866-12 | KO5 AA 014906-01,,,,,eng,
10.1007/s00213-004-2066-5,,,Absence of behavioral sensitization in healthy human subjects following repeated exposure to ketamine.,2005,Cho HS; D'Souza DC; Gueorguieva R; Perry EB; Madonick S; Karper LP; Abi-Dargham A; Belger A; Abi-Saab W; Lipschitz D,Psychopharmacology,"Journal Article | Research Support, N.I.H., Extramural | Research Support, Non-U.S. Gov't | Research Support, U.S. Gov't, P.H.S.",,2005-01-29,0033-3158,,,"Adult | Behavior / drug effects | Excitatory Amino Acid Antagonists / pharmacology | Female | Humans | Ketamine / pharmacology | Male | Middle Aged | Receptors, N-Methyl-D-Aspartate / antagonists & inhibitors",,NIMH NIH HHS | NIAAA NIH HHS,5P50 MH44866-12 | I-P50 AA 12870-03 | KO5 AA 14906-01,,,,,eng,
10.1007/s00213-005-0177-2,,,The effects of a subanesthetic dose of ketamine on verbal memory in normal volunteers.,2005,Parwani A; Weiler MA; Blaxton TA; Warfel D; Hardin M; Frey K; Lahti AC,Psychopharmacology,Journal Article | Randomized Controlled Trial,,2005-10-12,0033-3158,,,"Adult | Cognition / drug effects | Cross-Over Studies | Double-Blind Method | Excitatory Amino Acid Antagonists / pharmacology | Female | Humans | Ketamine / blood | Ketamine / pharmacology | Male | Memory / drug effects | Mental Recall | Receptors, N-Methyl-D-Aspartate / antagonists & inhibitors | Verbal Learning / physiology",,,,,,,,eng,
10.1007/s00213-005-0245-7,,,Effect of serotonin depletion on 5-HT2A-mediated learning in the rabbit: evidence for constitutive activity of the 5-HT2A receptor in vivo.,2006,Romano AG; Quinn JL; Liu R; Dave KD; Schwab D; Alexander G; Aloyo VJ; Harvey JA,Psychopharmacology,"Journal Article | Research Support, N.I.H., Extramural",,2005-12-21,0033-3158,,,"5,7-Dihydroxytryptamine / pharmacology | Animals | Biogenic Amines / metabolism | Brain Chemistry / drug effects | Conditioning, Eyelid / drug effects | Immunohistochemistry | Learning / physiology | Lysergic Acid Diethylamide / pharmacology | Male | Nerve Endings / drug effects | Nerve Endings / physiology | Piperidines / pharmacology | Rabbits | Radioligand Assay | Receptor, Serotonin, 5-HT2A / physiology | Serotonin / metabolism | Serotonin / physiology | Serotonin Agents / pharmacology | Serotonin Antagonists / pharmacology | Serotonin Plasma Membrane Transport Proteins / metabolism | Serotonin Receptor Agonists / pharmacology",,NIMH NIH HHS,MH16841-37,,,,,eng,
