# triage-filtered queue generated at 2026-04-21T15:16:35.013578+00:00
# doi,compound,target_or_disorder,optional_study_title,optional_study_year,optional_authors
10.1093/brain/awab406,LSD,5-HT2A,Models of psychedelic drug action: modulation of cortical-subcortical circuits,2021,
10.1093/brain/awab406,Psilocybin,5-HT2A,Models of psychedelic drug action: modulation of cortical-subcortical circuits,2021,
10.1093/brain/awae136,Psilocybin,5-HT2A,Psilocybin reduces alcohol self-administration via selective left nucleus accumbens activation in rats,2024,
10.1093/brain/awaf011,S-ketamine,NMDA receptor,N-methyl-d-aspartate receptor hypofunction causes recurrent and transient failures of perceptual inference,2025,
10.1093/brain/awq103,MDMA,SERT (SLC6A4),Decreased cerebral cortical serotonin transporter binding in ecstasy users: a positron emission tomography/[11C]DASB and structural brain imaging study,2010,
10.1093/braincomms/fcae049,Psilocin,5-HT1A,Brain dynamics predictive of response to psilocybin for treatment-resistant depression,2024,
10.1093/cercor/bhx257,LSD,5-HT2A,Serotonin 2A Receptor Signaling Underlies LSD-induced Alteration of the Neural Response to Dynamic Changes in Music,2017,
10.1093/cercor/bhy064,DOI,5-HT2A,Sustained Activation of Postsynaptic 5-HT2A Receptors Gates Plasticity at Prefrontal Cortex Synapses,2018,
10.1093/ijnp/pyab009,Ketamine,NMDA receptor,Rewarding Subjective Effects of the NMDAR Antagonist Nitrous Oxide (Laughing Gas) Are Moderated by Impulsivity and Depressive Symptoms in Healthy Volunteers,2021,
10.1093/ijnp/pyab063,Salvinorin A,kappa opioid receptor (OPRK1),The Kappa Opioid Receptor and the Sleep of Reason: Cortico-Subcortical Imbalance Following Salvinorin-A,2021,
10.1093/ijnp/pyae059.031,S-ketamine,NMDA receptor,SUBGROUP ANALYSIS IN CHANGES IN QUALITY OF LIFE AND DEPRESSION SEVERITY SCORES BY LINE OF THERAPY IN PATIENTS TREATED WITH ESKETAMINE IN A REAL-WORLD SETTING ACROSS ANZ,2025,
10.1093/ijnp/pyae059.183,DOI,5-HT2A,PHARMACOGENETIC TESTING IN TREATMENT-RESISTANT PANIC DISORDER: A PILOT STUDY,2025,
10.1093/ijnp/pyae059.262,DOI,5-HT2A,CONTRIBUTION OF 5-HT2AR TO THE ANTI-ANHEDONIC AND NEUROPLASTICITY EFFECTS OF PSYCHEDELICS,2025,
10.1093/ijnp/pyae059.264,LSD,5-HT2A,THE PROTOTYPICAL PSYCHEDELIC AGENT LSD PRODUCES RAPID ANTIDEPRESSANT EFFECTS VIA 5-HT2B RECEPTOR ACTIVATION,2025,
10.1093/ijnp/pyae059.305,DOI,5-HT2A,ARIPIPRAZOLE'S POTENTIAL ROLE IN SKIN CANCER: INVESTIGATING PYROPTOSIS AND IMMUNE PATHWAYS,2025,
10.1093/ijnp/pyae059.518,DMT,Sigma-1 receptor (SIGMAR1),"N,N-DIMETHYLTRYPTAMINE, A NATURAL HALLUCINOGEN, AMELIORATES ALZHEIMER’ S DISEASE BY RESTORING NEURONAL SIGMA-1 RECEPTOR- MEDIATED ENDOPLASMIC RETICULUM-MITOCHONDRIA CROSSTALK",2025,
10.1093/ijnp/pyae059.584,LSD,5-HT2A,BEHAVIORAL ANALYSES OF ANTIDEPRESSANT-LIKE EFFECT OF SEROTONERGIC PSYCHEDELICS IN MICE,2025,
10.1093/ijnp/pyaf010,S-ketamine,NMDA receptor,Towards an expanded neurocognitive account of ketamine’s rapid antidepressant effects,2025,
10.1093/ijnp/pyaf052.093,Psilocybin,5-HT2A,631. PSILOCYBIN AND KETANSERIN VS RTMS IN TREATMENT-RESISTANT DEPRESSION: ENHANCING TOLERABILITY BY MITIGATING PSYCHEDELIC EFFECTS,2025,
10.1093/ijnp/pyaf052.234,LSD,5-HT2A,327. 5-HT2B RECEPTORS MODULATE THE ANTIDEPRESSANT-LIKE RESPONSE OF THE PSYCHEDELIC LSD IN RAT BUT NOT IN MICE,2025,
10.1093/ijnp/pyaf052.304,R-ketamine,NMDA receptor,520. INCREASE OF THE AMPA-EVOKED RESPONSE IN PREFRONTAL CORTEX PYRAMIDAL NEURONS FOLLOWING ACUTE ADMINISTRATION OF KETAMINE AND S-KETAMINE IN RATS,2025,
10.1093/ijnp/pyaf052.363,LSD,5-HT2A,544. MOLECULAR AND CELLULAR MECHANISMS OF THE LONG-LASTING EFFECTS OF PSYCHEDELICS AND THEIR NON-HALLUCINOGENIC DERIVATIVES,2025,
10.1093/ijnp/pyaf052.377,LSD,5-HT2A,577. CLINICAL EVIDENCE AND APPLICATIONS OF PSYCHEDELICS FOR MENTAL ILLNESSES,2025,
10.1093/ijnp/pyv065,Salvinorin A,kappa opioid receptor (OPRK1),"Salvinorin-A Induces Intense Dissociative Effects, Blocking External Sensory Perception and Modulating Interoception and Sense of Body Ownership in Humans",2015,
10.1093/ijnp/pyx047,Psilocybin,5-HT2A,Effect of Psilocybin on Empathy and Moral Decision-Making,2017,
10.1093/ijnp/pyy094,S-ketamine,NMDA receptor,Glutamatergic Neurotransmission: Pathway to Developing Novel Rapid-Acting Antidepressant Treatments,2018,
10.1093/ijnp/pyy101,Ketamine,NMDA receptor,Positive N-Methyl-D-Aspartate Receptor Modulation by Rapastinel Promotes Rapid and Sustained Antidepressant-Like Effects,2018,
10.1093/ijnp/pyz041,Ketamine,NMDA receptor,(R)-Ketamine Induces a Greater Increase in Prefrontal 5-HT Release Than (S)-Ketamine and Ketamine Metabolites via an AMPA Receptor-Independent Mechanism,2019,
10.1093/ijnp/pyz041,S-ketamine,NMDA receptor,(R)-Ketamine Induces a Greater Increase in Prefrontal 5-HT Release Than (S)-Ketamine and Ketamine Metabolites via an AMPA Receptor-Independent Mechanism,2019,
10.1093/jat/bkaa022,LSD,5-HT2A,"2-(4-Iodo-2,5-dimethoxyphenyl)-<i>N</i>-[(2-methoxyphenyl)methyl]ethanamine (25I-NBOME): A Harmful Hallucinogen Review",2020,
10.1093/jat/bkaf002,MDMA,SERT (SLC6A4),"Toxicological evaluation, postmortem case descriptions, and pharmacological activity of <i>N</i>,<i>N</i>-dimethylpentylone and related analogs",2025,
10.1093/med/9780199563678.003.0013,Ketamine,NMDA receptor,Ketamine and other NMDA receptor antagonists,2010,
10.1093/schbul/sbs069,Ketamine,NMDA receptor,Has an Angel Shown the Way? Etiological and Therapeutic Implications of the PCP/NMDA Model of Schizophrenia,2012,
10.1093/toxsci/kfu039,MDMA,SERT (SLC6A4),"Serotonin Reuptake Transporter Deficiency Modulates the Acute Thermoregulatory and Locomotor Activity Response to 3,4-(±)-Methylenedioxymethamphetamine, and Attenuates Depletions in Serotonin Levels in SERT-KO Rats",2014,
10.1093/toxsci/kfu222,MDMA,SERT (SLC6A4),"Vesicular Monoamine Transporter 2 and the Acute and Long-Term Response to 3,4-(±)-Methylenedioxymethamphetamine",2014,
10.1096/fasebj.2018.32.1_supplement.680.6,MDMA,DAT (SLC6A3),Elucidation of self‐mediated enhancement of dopamine transport by the dopamine transporter which can be modulated by extracellular gate and N‐terminal residues,2018,
10.1096/fasebj.2018.32.1_supplement.829.10,Salvinorin A,kappa opioid receptor (OPRK1),Renal Responses Produced by the Central Microinjection of Salvinorin A and B in conscious Rats,2018,
10.1096/fasebj.2020.34.s1.05856,MDMA,SERT,MDMA and TAAR1‐mediated RhoA Activation in Serotonin Neurons,2020,
10.1096/fasebj.2020.34.s1.05856,MDMA,SERT (SLC6A4),MDMA and TAAR1‐mediated RhoA Activation in Serotonin Neurons,2020,
10.1096/fasebj.2022.36.s1.r5394,MDMA,DAT (SLC6A3),"3,4‐methylenedioxymethamphetamine (MDMA) stimulates activation of TAAR1 and subsequent neurotransmitter transporter internalization in serotonin neurons",2022,
10.1096/fasebj.2022.36.s1.r5394,MDMA,SERT (SLC6A4),"3,4‐methylenedioxymethamphetamine (MDMA) stimulates activation of TAAR1 and subsequent neurotransmitter transporter internalization in serotonin neurons",2022,
10.1096/fasebj.21.6.a776-a,MDMA,SERT,A novel amphetamine‐related photoaffinity probe,2007,
10.1096/fasebj.21.6.a776-a,MDMA,SERT (SLC6A4),A novel amphetamine‐related photoaffinity probe,2007,
10.1096/fasebj.28.1_supplement.848.5,MDMA,SERT (SLC6A4),Serotonin confessions of a dirty drug: dissecting the role of the serotonin transporter in cocaine action using SERT I172M mice (848.5),2014,
10.1096/fasebj.30.1_supplement.1186.7,MDMA,DAT (SLC6A3),Characterization of Mephedrone and its Bioactive Metabolites,2016,
10.1096/fj.04-3477fje,MDMA,SERT (SLC6A4),The serotonin transporter (SLC6A4) is present in B‐cell clones of diverse malignant origin: probing a potential antitumor target for psychotropics,2005,
10.1096/fj.11-195016,MDMA,SERT,"A novel MDMA analogue, UWA‐101, that lacks psychoactivity and cytotoxicity, enhances <scp>l</scp> ‐DOPA benefit in parkinsonian primates",2012,
10.1096/fj.11-195016,MDMA,SERT (SLC6A4),"A novel MDMA analogue, UWA‐101, that lacks psychoactivity and cytotoxicity, enhances <scp>l</scp> ‐DOPA benefit in parkinsonian primates",2012,
10.1097/00000539-199602000-00009,R-ketamine,NMDA receptor,The Effects of N-Methyl-D-Aspartate Agonists and Antagonists on Isolated Bovine Cerebral Arteries,1996,
10.1097/00000539-199811000-00039,Ketamine,NMDA receptor,Ketamine,1998,
10.1097/00000539-200105000-00019,R-ketamine,NMDA receptor,Modulation of NMDA Receptor Function by Ketamine and Magnesium: Part I,2001,
10.1097/00000542-199910000-00026,Ketamine,NMDA receptor,Direct Inhibition of the N-methyl-D-aspartate Receptor Channel by High Concentrations of Opioids,1999,
10.1097/00000542-200208000-00029,Ketamine,NMDA receptor,Drug Chirality in Anesthesia,2002,
10.1097/00000542-200501000-00030,Ketamine,NMDA receptor,Ketamine for Perioperative Pain Management,2004,
10.1097/00001756-199312000-00014,DOI,5-HT2A,Lithium enhances 5-HT2Areceptor-mediated c-fos expression in rat cerebral cortex,1993,
10.1097/00001756-200102120-00017,Ibogaine,NMDA receptor,Ibogaine alters synaptosomal and glial glutamate release and uptake,2001,
10.1097/00008877-200512000-00005,Salvinorin A,kappa opioid receptor (OPRK1),"Kappa-opioid receptor-mediated effects of the plant-derived hallucinogen, salvinorin A, on inverted screen performance in the mouse",2005,
10.1097/01.fbp.0000189810.69425.89,DOI,5-HT2A,Effects of 5-HT2A receptor stimulation on the discrimination of durations by rats,2005,
10.1097/01.fbp.0000434711.14507.49,Ketamine,NMDA receptor,S.7.3 - KETAMINE AND NMDA RECEPTOR MODULATION FOR TREATMENT-RESISTANT MOOD DISORDERS,2013,
10.1097/FBP.0000000000000135,MDMA,SERT (SLC6A4),Methylone-induced hyperthermia and lethal toxicity,2015,
10.1097/FBP.0000000000000198,Psilocin,5-HT2A,Sex differences and serotonergic mechanisms in the behavioural effects of psilocin,2015,
10.1097/FBP.0b013e328308f1d6,DOI,5-HT2A,Food restriction and streptozotocin treatment decrease 5-HT1A and 5-HT2A receptor-mediated behavioral effects in rats,2008,
10.1097/FBP.0b013e328337bde7,LSD,5-HT2C,Acquisition session length modulates consolidation effects produced by 5-HT2C ligands in a mouse autoshaping-operant procedure,2010,
10.1097/HRP.0000000000000183,S-ketamine,NMDA receptor,Glutamatergic Modulators in Depression,2018,
10.1097/JCMA.0000000000001087,MDMA,SERT (SLC6A4),"Dextromethorphan moderates reward deficiency associated with central serotonin transporter availability in 3,4-methylenedioxy-methamphetamine-treated animals",2024,
10.1097/JCP.0000000000000436,DMT,5-HT2A,Antidepressant Effects of a Single Dose of Ayahuasca in Patients With Recurrent Depression,2015,
10.1097/aln.0000000000000243,Psilocybin,5-HT2A,"Psychedelics, Glutamate, and Neuroimaging Studies",2014,
10.1097/fbp.0000000000000014,Ketamine,NMDA receptor,"Ketamine, but not MK-801, produces antidepressant-like effects in rats responding on a differential-reinforcement-of-low-rate operant schedule",2013,
10.1097/fbp.0b013e3283512c1e,Salvinorin A,kappa opioid receptor (OPRK1),A single injection of a novel kappa opioid receptor agonist salvinorin A attenuates the expression of cocaine-induced behavioral sensitization in rats,2012,
10.1098/rstb.2023.0225,Ketamine,NMDA receptor,The <i>N</i> -methyl- <scp>d</scp> -aspartate receptor hypothesis of ketamine’s antidepressant action: evidence and controversies,2024,
10.1101/2021.02.03.429325,Psilocybin,5-HT2A,Psilocybin-induced changes in brain network integrity and segregation correlate with plasma psilocin level and psychedelic experience,2021,
10.1101/2021.07.22.453441,Ibogaine,kappa opioid receptor (OPRK1),Novel Class of Psychedelic Iboga Alkaloids Disrupts Opioid Use,2021,
10.1101/2022.01.12.476071,MDA,CB1 receptor (CNR1),The Mechanisms of GPR55 Receptor Functonal Selectivity,2022,
10.1101/2022.11.15.516655,Psilocin,5-HT2A,Psychedelic compounds directly excite 5-HT <sub>2A</sub> Layer 5 Pyramidal Neurons in the Prefrontal Cortex through a 5-HT <sub>2A</sub> Gq -mediated activation mechanism,2022,
10.1101/2022.11.15.516655,Psilocybin,5-HT2A,Psychedelic compounds directly excite 5-HT <sub>2A</sub> Layer 5 Pyramidal Neurons in the Prefrontal Cortex through a 5-HT <sub>2A</sub> Gq -mediated activation mechanism,2022,
10.1101/2023.05.11.540409,LSD,5-HT2A,"Time-resolved network control analysis links reduced control energy under DMT with the serotonin 2a receptor, signal diversity, and subjective experience",2023,
10.1101/2023.06.01.543310,LSD,5-HT2A,The G protein biased serotonin 5-HT 2A receptor agonist lisuride exerts anti-depressant drug-like activities in mice,2023,
10.1101/2023.09.23.559145,DOI,5-HT2A,Psychedelic 5-HT2A receptor agonism: neuronal signatures and altered neurovascular coupling.,2023,
10.1101/2023.09.25.559347,LSD,5-HT2A,A suite of engineered mice for interrogating psychedelic drug actions,2023,
10.1101/2023.12.12.571374,Psilocybin,5-HT2A,Psilocybin prevents activity-based anorexia in female rats by enhancing cognitive flexibility: contributions from 5-HT1A and 5-HT2A receptor mechanisms,2023,
10.1101/2024.04.12.589282,5-MeO-DMT,5-HT1A,A dual-receptor model of serotonergic psychedelics,2024,
10.1101/2024.05.21.595211,DOI,5-HT2A,Activity of prefrontal cortex serotonin 2A receptor expressing neurons is necessary for the head-twitch response of mice to psychedelic drug DOI in a sex-dependent manner,2024,
10.1101/2024.05.28.596205,Psilocybin,5-HT2A,Psilocybin reduces heroin seeking behavior and modulates inflammatory gene expression in the nucleus accumbens and prefrontal cortex of male rats,2024,
10.1101/2024.08.28.610032,Mescaline,5-HT2A,"Behavioral pharmacology of mescaline - the role of serotonin 5-HT2A, 5-HT2B, 5-HT2C and 5-HT1A receptors",2024,
10.1101/2024.09.06.611733,DOI,5-HT2A,The serotonergic psychedelic DOI impairs deviance detection in the auditory cortex,2024,
10.1101/2024.10.11.617861,LSD,5-HT2A,Snapshot of 5-HT <sub>2A</sub> receptor activation in the mouse brain via IP <sub>1</sub> detection,2024,
10.1101/2024.10.18.619152,Ketamine,NMDA receptor,"Rapid Hippocampal Synaptic Potentiation Induced by Ketamine Metabolite ( <i>2R</i> , <i>6R</i> )-Hydroxynorketamine Persistently Primes Synaptic Plasticity",2024,
10.1101/2024.10.20.619256,MDMA,DAT (SLC6A3),5-HT <sub>2C</sub> receptors in the nucleus accumbens constrain the rewarding effects of MDMA,2024,
10.1101/2024.10.20.619256,MDMA,SERT (SLC6A4),5-HT <sub>2C</sub> receptors in the nucleus accumbens constrain the rewarding effects of MDMA,2024,
10.1101/2024.10.22.619393,2C-B,5-HT2A,The forgotten psychedelic: Spatiotemporal mapping of brain organisation following the administration of 2C-B and psilocybin,2024,
10.1101/lm.60803,LSD,5-HT2A,Role of the Serotonin 5-HT<sub>2A</sub>Receptor in Learning,2003,
10.1111/acel.70303,Ketamine,NMDA receptor,The <scp>NMDA</scp> Receptor Antagonist Memantine Modulates Aging and Stress Resilience,2025,
10.1111/bph.12520,MDMA,SERT,A quantitative model of amphetamine action on the 5‐ <scp>HT</scp> transporter,2013,
10.1111/bph.12520,MDMA,SERT (SLC6A4),A quantitative model of amphetamine action on the 5‐ <scp>HT</scp> transporter,2013,
10.1111/bph.13222,Ketamine,NMDA receptor,"Ketamine and phencyclidine: the good, the bad and the unexpected",2015,
10.1111/bph.15753,S-ketamine,NMDA receptor,Novel drug developmental strategies for treatment‐resistant depression,2021,
10.1111/cns.12099,Ketamine,NMDA receptor,"Ketamine Pharmacology: An Update (<i>Pharmacodynamics and Molecular Aspects, Recent Findings</i>)",2013,
10.1111/cns.14464,R-ketamine,NMDA receptor,The role of <scp>NMDARs</scp> in the anesthetic and antidepressant effects of ketamine,2023,
10.1111/cns.14464,Ketamine,NMDA receptor,The role of <scp>NMDARs</scp> in the anesthetic and antidepressant effects of ketamine,2023,
10.1111/cts.70527,S-ketamine,NMDA receptor,"Esketamine Nasal Spray: Mechanism of Action, Clinical, and Translational Science",2026,
10.1111/ejn.15872/v1/decision1,Ketamine,NMDA receptor,"Decision letter for ""Ketamine: Linking NMDA receptor hypofunction, gamma oscillations, and psychosis (Commentary on Qin et al., 2022)""",2022,
10.1111/ejn.15872/v2/decision1,Ketamine,NMDA receptor,"Decision letter for ""Ketamine: Linking NMDA receptor hypofunction, gamma oscillations, and psychosis (Commentary on Qin et al., 2022)""",2022,
10.1111/ejn.15872/v2/response1,Ketamine,NMDA receptor,"Author response for ""Ketamine: Linking NMDA receptor hypofunction, gamma oscillations, and psychosis (Commentary on Qin et al., 2022)""",2022,
10.1111/ejn.16558,Psilocybin,5-HT2A,Psilocybin reduces functional correlation and the encoding of spatial information by neurons in mouse retrosplenial cortex,2024,
10.1111/ejn.70338,LSD,5-HT2A,Knocking at the Doors of Perception: Relating LSD Effects on Low‐Frequency Fluctuations and Regional Homogeneity to Receptor Densities in fMRI,2025,
10.1111/j.1365-2982.2007.00994.x,Salvinorin A,kappa opioid receptor (OPRK1),The hallucinogenic herb<i>Salvia divinorum</i>and its active ingredient salvinorin A reduce inflammation‐induced hypermotility in mice,2007,
10.1111/j.1440-1681.2007.04581.x,R-ketamine,NMDA receptor,STUDIES WITH KETAMINE AND ALFENTANIL FOLLOWING FREUND'S COMPLETE ADJUVANT‐INDUCED INFLAMMATION IN RATS,2007,
10.1111/j.1471-4159.2009.06515.x,MDMA,SERT (SLC6A4),"Effects of 3,4‐methylenedioxymethamphetamine (MDMA) on serotonin transporter and vesicular monoamine transporter 2 protein and gene expression in rats: implications for MDMA neurotoxicity",2009,
10.1111/j.1476-5381.1994.tb13159.x,5-MeO-DMT,5-HT1A,The effect of 5‐HT<sub>1A</sub>receptor agonists on locomotor activity in the guinea‐pig,1994,
10.1111/j.1476-5381.1994.tb14808.x,DOI,5-HT2A,"<i>In vivo</i>properties of SB 200646A, a 5‐HT<sub>2C/2B</sub>receptor antagonist",1994,
10.1111/j.1476-5381.1994.tb16176.x,DOI,5-HT2A,On the nature of the 5‐HT receptor subtype inhibiting acetylcholine release in the guinea‐pig ileum,1994,
10.1111/j.1476-5381.1995.tb14973.x,DOI,5-HT2A,Protein kinase C in rat brain cortex and hippocampus: effect of repeated administration of fluoxetine and desipramine,1995,
10.1111/j.1476-5381.1995.tb14986.x,DOI,5-HT2A,5‐Hydroxytryptamine receptors that facilitate excitatory neuromuscular transmission in the guinea‐pig isolated detrusor muscle,1995,
10.1111/j.1476-5381.1996.tb15149.x,LSD,5-HT2A,Multiple 5‐HT receptors in the guinea‐pig superior cervical ganglion,1996,
10.1111/j.1476-5381.1996.tb15746.x,LSD,NMDA receptor,Regionally different N‐methyl‐D‐aspartate receptors distinguished by ligand binding and quantitative autoradiography of [<sup>3</sup>H]‐CGP 39653 in rat brain,1996,
10.1111/j.1476-5381.2009.00522.x,MDMA,DAT (SLC6A3),"Dopamine transporter down‐regulation following repeated cocaine: implications for 3,4‐methylenedioxymethamphetamine‐induced acute effects and long‐term neurotoxicity in mice",2009,
10.1111/j.1476-5381.2012.01941.x,MDMA,SERT (SLC6A4),MDMA and 5‐HT neurotoxicity: the empirical evidence for its adverse effects in humans – no need for translation,2012,
10.1111/j.1530-0277.1998.tb04306.x,DOI,5-HT2A,Analysis of the 5‐HT<sub>2</sub> Receptor Ligands Dimethoxy‐4‐indophenyl‐2‐aminopropane and Ketanserin in Ethanol Discriminations,1998,
10.1111/j.1600-0854.2008.00757.x,MDMA,SERT (SLC6A4),Going with the Flow: Trafficking‐Dependent and ‐Independent Regulation of Serotonin Transport,2008,
10.1111/j.1742-4658.2006.05212.x,Salvinorin A,kappa opioid receptor (OPRK1),"A unique binding epitope for salvinorin A, a non‐nitrogenous kappa opioid receptor agonist",2006,
10.1111/j.1749-6632.1998.tb08239.x,Ibogaine,NMDA receptor,Effect of Ibogaine on the Various Sites of the NMDA Receptor Complex and Sigma Binding Sites in Rat Brain<sup>a</sup>,1998,
10.1111/j.1749-6632.1998.tb10180.x,LSD,5-HT2C,Pleiotropic Behavior of 5‐HT<sub>2A</sub> and 5‐HT<sub>2C</sub> Receptor Agonists,1998,
10.1111/j.1749-6632.1999.tb08033.x,Ketamine,NMDA receptor,Abuse Liability Assessment of Neuroprotectants,1999,
10.1111/j.1749-6632.2002.tb04179.x,MDMA,SERT (SLC6A4),Serotonergic Neurotoxicity of MDMA (Ecstasy) in the Developing Rat Brain,2002,
10.1111/jnc.12114,MDMA,DAT (SLC6A3),"Mephedrone does not damage dopamine nerve endings of the striatum, but enhances the neurotoxicity of methamphetamine, amphetamine, and MDMA",2012,
10.1111/jnc.13048,MDMA,DAT (SLC6A3),"3,4‐Methylenedioxypyrovalerone prevents while methylone enhances methamphetamine‐induced damage to dopamine nerve endings: β‐ketoamphetamine modulation of neurotoxicity by the dopamine transporter",2015,
10.1111/jnc.15942,Ketamine,NMDA receptor,Differential responses of disease‐related <scp> <i>GRIN</i> </scp> variants located in pore‐forming <scp>M2</scp> domain of <scp>N‐methyl‐D</scp> ‐aspartate receptor to <scp>FDA</scp> ‐approved inhibitors,2023,
10.1111/jne.12374,LSD,5-HT2A,Acute Effects of Lysergic Acid Diethylamide on Circulating Steroid Levels in Healthy Subjects,2016,
10.1111/pcn.12902,Ketamine,NMDA receptor,"Rapid‐acting antidepressant ketamine, its metabolites and other candidates: A historical overview and future perspective",2019,
10.1111/psyp.13822,LSD,5-HT2A,LSD and ketanserin and their impact on the human autonomic nervous system,2021,
10.1113/jphysiol.2009.176297,Ketamine,NMDA receptor,Memantine binding to a superficial site on NMDA receptors contributes to partial trapping,2009,
10.1124/jpet.111.179705,LSD,5-HT1A,Abuse Liability Profile of Three Substituted Tryptamines,2011,
10.1124/jpet.111.179705,LSD,SERT (SLC6A4),Abuse Liability Profile of Three Substituted Tryptamines,2011,
10.1124/jpet.111.179705,DMT,5-HT1A,Abuse Liability Profile of Three Substituted Tryptamines,2011,
10.1124/jpet.111.179705,DMT,SERT (SLC6A4),Abuse Liability Profile of Three Substituted Tryptamines,2011,
10.1124/jpet.111.179705,MDMA,5-HT1A,Abuse Liability Profile of Three Substituted Tryptamines,2011,
10.1124/jpet.111.179705,MDMA,SERT (SLC6A4),Abuse Liability Profile of Three Substituted Tryptamines,2011,
10.1124/jpet.111.179705,DOM,5-HT1A,Abuse Liability Profile of Three Substituted Tryptamines,2011,
10.1124/jpet.111.179705,DOM,SERT (SLC6A4),Abuse Liability Profile of Three Substituted Tryptamines,2011,
10.1124/jpet.111.179705,DiPT,5-HT1A,Abuse Liability Profile of Three Substituted Tryptamines,2011,
10.1124/jpet.111.179705,DiPT,SERT (SLC6A4),Abuse Liability Profile of Three Substituted Tryptamines,2011,
10.1124/mi.6.5.7,Salvinorin A,kappa opioid receptor (OPRK1),Salvinorin A: From Natural Product to Human Therapeutics,2006,
10.1126/sciadv.adx5958,DMT,Sigma-1 receptor (SIGMAR1),"<i>N</i> , <i>N</i> -dimethyltryptamine mitigates experimental stroke by stabilizing the blood-brain barrier and reducing neuroinflammation",2025,
10.1126/science.1166127,DMT,Sigma-1 receptor (SIGMAR1),"The Hallucinogen <i>N,N</i> -Dimethyltryptamine (DMT) Is an Endogenous Sigma-1 Receptor Regulator",2009,
10.1126/science.abl8615,LSD,5-HT2A,Structure-based discovery of nonhallucinogenic psychedelic analogs,2022,
10.1126/science.ado7010,Ketamine,NMDA receptor,Brain region–specific action of ketamine as a rapid antidepressant,2024,
10.1126/scisignal.261pe12,DMT,5-HT2A,"When the Endogenous Hallucinogenic Trace Amine<i>N,N</i>-Dimethyltryptamine Meets the Sigma-1 Receptor",2009,
10.1126/scitranslmed.aaw6435,MDMA,SERT (SLC6A4),Distinct neural mechanisms for the prosocial and rewarding properties of MDMA,2019,
10.1136/rapm-2024-105612,Ketamine,NMDA receptor,N-Methyl-D-aspartate receptor antagonists for the prevention of chronic postsurgical pain: a narrative review,2025,
10.1152/jn.00072.2012,Ketamine,NMDA receptor,NMDAR antagonist action in thalamus imposes delta oscillations on the hippocampus,2012,
10.1152/jn.00411.2024,DOI,5-HT2A,The serotonergic psychedelic DOI impairs deviance detection in the auditory cortex,2024,
10.1152/jn.00519.2025,Psilocin,5-HT2A,Serotonergic modulation of cortical gamma synchronization: right-lateralized psilocin effects on 40 Hz auditory steady-state responses in rats,2026,
10.1155/2012/543747,Salvinorin A,kappa opioid receptor (OPRK1),A Report of Nausea and Vomiting with Discontinuation of Chronic Use of<i>Salvia divinorum</i>,2012,
10.1155/2014/734749,LSD,5-HT2A,"25C-NBOMe: Preliminary Data on Pharmacology, Psychoactive Effects, and Toxicity of a New Potent and Dangerous Hallucinogenic Drug",2014,
10.1155/2015/483942,DOI,5-HT2A,Study on the Antinociceptive Effects of Herba Epimedium in Mice,2015,
10.1155/2015/846589,DOI,5-HT2A,Genotype-Dependent Difference in 5-HT<sub>2C</sub>Receptor-Induced Hypolocomotion: Comparison with 5-HT<sub>2A</sub>Receptor Functional Activity,2015,
10.1155/2017/2319094,Ketamine,NMDA receptor,“Being with a Buddha”: A Case Report of Methoxetamine Use in a United States Veteran with PTSD,2017,
10.1155/2020/5798285,S-ketamine,NMDA receptor,A Review of Nonanesthetic Uses of Ketamine,2020,
10.1159/000026495,DOI,5-HT2A,Amperozide Influences Feeding Independently of 5-HT&lt;sub&gt;2A&lt;/sub&gt; Receptor Antagonism,1998,
10.1159/000026634,DOI,5-HT2A,Effect of Lithium Carbonate on the Enhancement of Serotonin 2A Receptor Elicited by Dexamethasone,2000,
10.1159/000207497,MDMA,SERT (SLC6A4),Dissociation between Serotonin Neurotoxicity and Brain-Derived Neurotrophic Factor Induction following Neonatal MDMA Exposure in Rats,2009,
10.1159/000549276,S-ketamine,NMDA receptor,A Systematic Review of the Effects of N-Methyl-D-Aspartate Receptor Antagonists on Pancreatic Islets,2025,
10.1172/JCI130808,Ketamine,NMDA receptor,GABA interneurons are the cellular trigger for ketamine’s rapid antidepressant actions,2019,
10.1176/appi.ajp.162.3.609,MDMA,SERT (SLC6A4),Association of a Functional Polymorphism in the Serotonin Transporter Gene With Abnormal Emotional Processing in Ecstasy Users,2005,
10.1176/appi.ajp.20240378,Ketamine,NMDA receptor,Redefining Ketamine Pharmacology for Antidepressant Action: Synergistic NMDA and Opioid Receptor Interactions?,2025,
10.1177/0004867415586601,Ketamine,NMDA receptor,"Changes in cortical <i>N</i> -methyl- <scp>d</scp> -aspartate receptors and post-synaptic density protein 95 in schizophrenia, mood disorders and suicide",2015,
10.1177/00185787251384516,S-ketamine,NMDA receptor,Esketamine for Treatment-Resistant Depression in Pakistan: A Promising Strategy,2025,
10.1177/0269881106061515,MDMA,SERT (SLC6A4),"Neuroimaging findings with MDMA/ecstasy: technical aspects, conceptual issues and future prospects",2006,
10.1177/0269881106063273,MDMA,SERT (SLC6A4),"Serotonin transporter expression is not sufficient to confer cytotoxicity to 3,4-methylenedioxymethamphetamine (MDMA) in vitro",2006,
10.1177/0269881106065859,DMT,5-HT2A,Effects of psilocybin on time perception and temporal control of behaviour in humans,2006,
