# Deterministic prescreen retained queue for mechanistic generated at 2026-05-19T07:31:34.184747+00:00
# doi,compound,target_or_disorder,optional_study_title,optional_study_year,optional_authors,optional_study_journal,optional_publication_type,optional_trial_registry_ids,optional_publication_date,optional_journal_issn,optional_journal_eissn,optional_publisher,optional_mesh_terms,optional_keywords,optional_funders,optional_grant_ids,optional_related_dois,optional_publication_relations,optional_is_retracted,optional_has_correction,optional_language,optional_semantic_scholar_id
10.1002/1873-3468.15099,,,"Molecular insights into the modulation of the 5
                    <scp>HT</scp>
                    <sub>
                      2
                      <scp>A</scp>
                    </sub>
                    receptor by serotonin, psilocin, and the G protein subunit Gqα",2025,Niklas Viohl; Ali Asghar Hakami Zanjani; Himanshu Khandelia,FEBS Letters,journal-article,,2025-01-26,0014-5793,1873-3468,Wiley,"Receptor, Serotonin, 5-HT2A / chemistry | Receptor, Serotonin, 5-HT2A / metabolism | GTP-Binding Protein alpha Subunits, Gq-G11 / metabolism | GTP-Binding Protein alpha Subunits, Gq-G11 / chemistry | Molecular Dynamics Simulation | Serotonin / chemistry | Serotonin / metabolism | Serotonin / pharmacology | Humans | Psilocybin / analogs & derivatives | Psilocybin / chemistry | Psilocybin / pharmacology | Psilocybin / metabolism | Protein Binding | Ligands | Protein Conformation | Binding Sites",5HT2AR | G protein‐coupled receptors | free energy calculations | molecular dynamics simulations | psilocin | psychedelics,Novo Nordisk Fonden | Lundbeck Foundation,NNF18OC0032608 | NNF18OC0034936 | R344-2020-1023,,,,,eng,
10.1002/acn3.51406,,,Recurrent seizure-related GRIN1 variant: Molecular mechanism and targeted therapy.,2021,Xu Y; Song R; Chen W; Strong K; Shrey D; Gedela S; Traynelis SF; Zhang G; Yuan H,Annals of clinical and translational neurology,"Case Reports | Journal Article | Research Support, N.I.H., Extramural",,2021-07-06,2328-9503,2328-9503,,"Adolescent | Amino Acid Sequence | Animals | Anticonvulsants / pharmacology | Anticonvulsants / therapeutic use | Child, Preschool | Dose-Response Relationship, Drug | Excitatory Amino Acid Agents / pharmacology | Female | Genetic Variation / genetics | HEK293 Cells | Humans | Male | Mutation, Missense / genetics | Nerve Tissue Proteins / agonists | Nerve Tissue Proteins / chemistry | Nerve Tissue Proteins / genetics | Pedigree | Protein Structure, Secondary | Receptors, N-Methyl-D-Aspartate / agonists | Receptors, N-Methyl-D-Aspartate / chemistry | Receptors, N-Methyl-D-Aspartate / genetics | Recurrence | Seizures / drug therapy | Seizures / genetics | Seizures / physiopathology | Exome Sequencing / methods | Xenopus laevis",,NICHD NIH HHS | NIMH NIH HHS | NINDS NIH HHS,R01 HD082373 | R21 MH127404 | R35 NS111619,,,,,eng,
10.1002/advs.202500808,,,"Utilizing
                    <i>Caenorhabditis Elegans</i>
                    as a Rapid and Precise Model for Assessing Amphetamine‐Type Stimulants: A Novel Approach to Evaluating New Psychoactive Substances Activity and Mechanisms",2025,Yuanpeng Li; Hongyuan Li; Hongshuang Wang; Xiaohui Wang,Advanced Science,journal-article,,2025-03-11,2198-3844,2198-3844,Wiley,Animals | Caenorhabditis elegans / drug effects | Central Nervous System Stimulants / pharmacology | Amphetamines / pharmacology | Amphetamine / pharmacology | Psychotropic Drugs / pharmacology | Methamphetamine / pharmacology,amphetamine‐type stimulants | dopaminergic and serotonergic pathways | new psychoactive substances | structure‐activity relationships | swimming‐induced paralysis,"National Natural Science Foundation of China | STI2030-Major Projects | Science and Technology Development Plan Project of Jilin Province | Strategic Priority Research Program of the Chinese Academy of Sciences | Open Research Fund of the State Key Laboratory of Brain-Machine Intelligence, Zhejiang University",T2341003 | T2394480(T2394483) | 2021ZD0203000(2021ZD0203003) | 20240304115SF | XDB0450102 | BMI2400014,,,,,eng,
10.1002/advs.202516024,,,"Esketamine/Ketamine: Dual‐Action Mechanisms and Clinical Prospects beyond Anesthesia in Psychiatry, Immunology, and Oncology",2025,Yinxin Wang; Jiangang Xu; Xinyu Zhou; Lu Che; Minghan Qiu; Yang Liu; Ming Gao; Zhen Yang,Advanced Science,journal-article,,2025-12-14,2198-3844,2198-3844,Wiley,"Ketamine / pharmacology | Ketamine / therapeutic use | Humans | Analgesics / pharmacology | Analgesics / therapeutic use | Psychiatry / methods | Animals | Receptors, N-Methyl-D-Aspartate / antagonists & inhibitors | Anesthesia / methods | Medical Oncology / methods",analgesia | antidepressant | antitumor | esketamine | immune‐inflammatory | ketamine,Tianjin Health Research Project | Natural Science Foundation of Tianjin Municipal Science and Technology Commission | Tianjin Municipal Transportation Commission Science and Technology Development Plan Project,TJWJ2023QN039 | 21JCYBJC01190 | 24JCYBJC01560 | 2024ZXZD013,,,,,eng,
10.1002/anie.202203034,,,"Enlightening the ""Spirit Molecule"": Photomodulation of the 5-HT(2A) Receptor by a Light-Controllable N,N-Dimethyltryptamine Derivative.",2022,Gerwe H; He F; Pottie E; Stove C; Decker M,Angewandte Chemie (International ed. in English),"Journal Article | Research Support, Non-U.S. Gov't | Research Support, N.I.H., Extramural",,2022-04-29,1433-7851,1521-3773,,"Hallucinogens / metabolism | Ligands | N,N-Dimethyltryptamine / pharmacology | Receptor, Serotonin, 5-HT2A | Serotonin",5-HT2A Receptor | Phenylazoindoles | Photopharmacology | Psychedelics | Tryptamines,NIDA NIH HHS,HHSN271201800023C,,,,,eng,
10.1002/ardp.70022,,,Efficient Acyloxymethylation of Psilocin and Other Tryptamines Yielding ACOM Prodrugs for Psychedelic‐Assisted Therapy,2025,Judith Stirn; Christian D. Klein,Archiv der Pharmazie,journal-article,,2025-07-01,0365-6233,1521-4184,Wiley,Psilocybin / analogs & derivatives | Psilocybin / chemistry | Psilocybin / pharmacology | Tryptamines / chemistry | Tryptamines / pharmacology | Prodrugs / chemical synthesis | Carbamates | Indoles | Molecular Structure | Sumatriptan / chemistry | Drug Administration Routes | Humans,ACOM prodrug | buccal/sublingual | psilocin | psychedelic‐assisted therapy | tryptamine,This work was financed solely by internal funds of Heidelberg University and the state of Baden-Württemberg.,,,,,,eng,
10.1002/brb3.1423,,,Effects of ketamine on circadian rhythm and synaptic homeostasis in patients with treatment‐resistant depression: A protocol for mechanistic studies of its rapid and sustained antidepressant actions in humans,2019,Chuanjun Zhuo; Hongjun Tian; Gongying Li; Min Chen; Deguo Jiang; Xiaodong Lin; Yong Xu; Wenqiang Wang,Brain and Behavior,journal-article,,2019-10-15,2162-3279,2162-3279,Wiley,"Adolescent | Adult | Aged | Brain / diagnostic imaging | Brain / metabolism | Brain / physiopathology | Circadian Rhythm | Major Depressive Disorder / diagnostic imaging | Major Depressive Disorder / drug therapy | Major Depressive Disorder / metabolism | Major Depressive Disorder / physiopathology | Depressive Disorder, Treatment-Resistant / diagnostic imaging | Depressive Disorder, Treatment-Resistant / drug therapy | Depressive Disorder, Treatment-Resistant / metabolism | Depressive Disorder, Treatment-Resistant / physiopathology | Drug Chronotherapy | Excitatory Amino Acid Antagonists / administration & dosage | Excitatory Amino Acid Antagonists / therapeutic use | Female | Functional Neuroimaging | Homeostasis | Humans | Infusions, Intravenous | Ketamine / administration & dosage | Ketamine / therapeutic use | Magnetic Resonance Imaging | Male | Middle Aged | Polysomnography | Positron-Emission Tomography | Prospective Studies | Psychiatric Status Rating Scales | Synapses | Time Factors | Young Adult | Randomized Controlled Trials as Topic",circadian rhythm | depression | functional connectivity | functional magnetic resonance imaging | ketamine | major depressive disorder | synaptic homeostasis | treatment-resistant depression,,,,,,,eng,
10.1002/cbic.202200183,,,Assessment of Bioactivity-Modulating Pseudo-Ring Formation in Psilocin and Related Tryptamines.,2022,Lenz C; Dörner S; Trottmann F; Hertweck C; Sherwood A; Hoffmeister D,Chembiochem : a European journal of chemical biology,"Journal Article | Research Support, Non-U.S. Gov't",,2022-05-18,1439-4227,1439-7633,,Major Depressive Disorder | Hallucinogens / pharmacology | Humans | Prodrugs | Psilocybin / analogs & derivatives | Tryptamines,bufotenin | hydrogen bonds | pharmacology | psilocybin | tryptamine,,,,,,,eng,
10.1002/cpt.2487,,,"Acute Effects of Psilocybin After Escitalopram or Placebo Pretreatment in a Randomized, Double‐Blind, Placebo‐Controlled, Crossover Study in Healthy Subjects",2021,A. Becker; Friederike Holze; Tanja Grandinetti; Aaron Klaiber; Vanja E. Toedtli; Karolina E. Kolaczynska; Urs Duthaler; Nimmy Varghese; Anne Eckert; Edna Grünblatt,Clinical pharmacology and therapeutics,"Journal Article | Randomized Controlled Trial | Research Support, Non-U.S. Gov't",NCT03912974,2021-11-22,0009-9236,1532-6535,,Antidepressive Agents / adverse effects | Brain-Derived Neurotrophic Factor / genetics | Citalopram / adverse effects | Cross-Over Studies | Double-Blind Method | Escitalopram | Healthy Volunteers | Humans | Psilocybin / adverse effects,,University Hospital Basel and Mind Medicine,,,,,,eng,
10.1002/cpt.3478,,,"Ketamine and Esketamine in Clinical Trials: <scp>FDA‐</scp>Approved and Emerging Indications, Trial Trends With Putative Mechanistic Explanations",2024,K. A. Vekhova; Eugenia D. Namiot; Jörgen Jönsson; Helgi B. Schiöth,Clinical pharmacology and therapeutics,Journal Article | Review,,2024-10-20,0009-9236,1532-6535,,"Ketamine / therapeutic use | Ketamine / adverse effects | Ketamine / pharmacology | Ketamine / analogs & derivatives | Humans | United States | Depressive Disorder, Treatment-Resistant / drug therapy | United States Food and Drug Administration | Clinical Trials as Topic | Drug Approval | Antidepressive Agents / therapeutic use | Antidepressive Agents / adverse effects",,,,,,,,eng,
10.1002/cpt.70018,,,Safety and Efficacy of the NMDA-2b-Selective Negative Allosteric Modulator BI 1569912: A Phase Ib Randomized Trial in Major Depressive Disorder.,2025,McIntyre RS; Sanacora G; Walling DP; Cohen EA; Malhotra S; Rosenbrock H; Schmitz M; Scholz A; Süssmuth SD; De Crescenzo F,Clinical pharmacology and therapeutics,"Journal Article | Randomized Controlled Trial | Clinical Trial, Phase I | Multicenter Study",,2025-08-14,0009-9236,1532-6535,,"Humans | Major Depressive Disorder / drug therapy | Major Depressive Disorder / psychology | Major Depressive Disorder / diagnosis | Male | Female | Adult | Double-Blind Method | Middle Aged | Receptors, N-Methyl-D-Aspartate / antagonists & inhibitors | Receptors, N-Methyl-D-Aspartate / metabolism | Antidepressive Agents / adverse effects | Antidepressive Agents / therapeutic use | Treatment Outcome | Young Adult | Allosteric Regulation | Dose-Response Relationship, Drug | Psychiatric Status Rating Scales",,,,,,,,eng,
10.1002/dta.1732,,,"Synthesis, characterization, and monoamine transporter activity of the new psychoactive substance 3′,4′‐methylenedioxy‐4‐methylaminorex (MDMAR)",2014,Gavin McLaughlin; Noreen Morris; Pierce V. Kavanagh; John D. Power; Brendan Twamley; John O'Brien; Brian Talbot; Geraldine Dowling; Olivia Mahony; Simon D. Brandt,Drug Testing and Analysis,journal-article,,2014-10-20,1942-7603,1942-7611,Wiley,"Aminorex / analogs & derivatives | Aminorex / chemical synthesis | Aminorex / metabolism | Animals | Central Nervous System Stimulants / chemical synthesis | Central Nervous System Stimulants / metabolism | Central Nervous System Stimulants / pharmacology | Crystallography, X-Ray | Male | Psychotropic Drugs | Rats | Rats, Sprague-Dawley | Synaptosomes / drug effects | Synaptosomes / metabolism | Vesicular Monoamine Transport Proteins / drug effects | Vesicular Monoamine Transport Proteins / metabolism","4,4′-DMAR | aminorex | forensic | new psychoactive substances | psychostimulants",Intramural NIH HHS,ZIA DA000523,,,,,eng,
10.1002/dta.1884,,,Return of the lysergamides. Part I: Analytical and behavioural characterization of 1‐propionyl‐<i>d</i>‐lysergic acid diethylamide (1P‐LSD),2015,Simon D. Brandt; Pierce V. Kavanagh; Folker Westphal; Alexander Stratford; Simon P. Elliott; Khoa Hoang; Jason Wallach; Adam L. Halberstadt,Drug Testing and Analysis,journal-article,,2015-10-12,1942-7603,1942-7611,Wiley,"Animals | Behavior, Animal / drug effects | Hallucinogens / administration & dosage | Hallucinogens / chemistry | Hallucinogens / pharmacology | Lysergic Acid Diethylamide / administration & dosage | Lysergic Acid Diethylamide / analogs & derivatives | Lysergic Acid Diethylamide / pharmacology | Male | Mice, Inbred C57BL | Receptor, Serotonin, 5-HT2A / metabolism | Serotonin 5-HT2 Receptor Agonists / administration & dosage | Serotonin 5-HT2 Receptor Agonists / chemistry | Serotonin 5-HT2 Receptor Agonists / pharmacology",5-HT2A receptor | LSD | lysergamides | new psychoactive substances | psychedelics,NIMH NIH HHS | NIDA NIH HHS,K01 MH100644 | R01 DA002925,,,,,eng,
10.1002/dta.1985,,,"Return of the lysergamides. Part II: Analytical and behavioural characterization of <i>N</i><sup>6</sup>‐allyl‐6‐norlysergic acid diethylamide (AL‐LAD) and (2’<i>S</i>,4’<i>S</i>)‐lysergic acid 2,4‐dimethylazetidide (LSZ)",2016,Simon D. Brandt; Pierce V. Kavanagh; Folker Westphal; Simon P. Elliott; Jason Wallach; Tristan Colestock; Timothy E. Burrow; Stephen J. Chapman; Alexander Stratford; David E. Nichols,Drug Testing and Analysis,journal-article,,2016-06-06,1942-7603,1942-7611,Wiley,"Animals | Humans | Lysergic Acid Diethylamide / administration & dosage | Lysergic Acid Diethylamide / analogs & derivatives | Lysergic Acid Diethylamide / pharmacology | Male | Mice, Inbred C57BL | Psychotropic Drugs / administration & dosage | Psychotropic Drugs / chemistry | Psychotropic Drugs / pharmacology | Receptor, Serotonin, 5-HT2A / metabolism | Serotonin 5-HT2 Receptor Agonists / administration & dosage | Serotonin 5-HT2 Receptor Agonists / chemistry | Serotonin 5-HT2 Receptor Agonists / pharmacology",5-HT2A receptors | LSD | lysergamides | new psychoactive substances | psychedelics,NIMH NIH HHS | NIDA NIH HHS,K01 MH100644 | R01 DA002925,,,,,eng,
10.1002/dta.2222,,,Return of the lysergamides. Part IV: Analytical and pharmacological characterization of lysergic acid morpholide (LSM‐775),2017,Simon D. Brandt; Pierce V. Kavanagh; Brendan Twamley; Folker Westphal; Simon P. Elliott; Jason Wallach; Alexander Stratford; Landon M. Klein; John D. McCorvy; David E. Nichols,Drug Testing and Analysis,journal-article,,2017-06-05,1942-7603,1942-7611,Wiley,"Animals | Hallucinogens / chemistry | Humans | Lysergic Acid / analysis | Lysergic Acid / chemistry | Lysergic Acid Diethylamide / analogs & derivatives | Lysergic Acid Diethylamide / analysis | Lysergic Acid Diethylamide / chemistry | Lysergic Acid Diethylamide / pharmacology | Mice | Piperazines / chemistry | Pyridines / chemistry | Receptor, Serotonin, 5-HT1A | Serotonin 5-HT1 Receptor Agonists / chemistry | Serotonin 5-HT2 Receptor Agonists / chemistry | Tandem Mass Spectrometry",5-HT2A receptor | LSD | lysergamides | new psychoactive substances | psychedelics,NIDA NIH HHS,R01 DA041336,,,,,eng,
10.1002/dta.2396,,,"Synthesis, analytical characterization, and monoamine transporter activity of the new psychoactive substance 4‐methylphenmetrazine (4‐MPM), with differentiation from its <i>ortho</i>‐ and <i>meta</i>‐ positional isomers",2018,Gavin McLaughlin; Michael H. Baumann; Pierce V. Kavanagh; Noreen Morris; John D. Power; Geraldine Dowling; Brendan Twamley; John O'Brien; Gary Hessman; Folker Westphal,Drug Testing and Analysis,journal-article,,2018-04-19,1942-7603,1942-7611,Wiley,"Animals | Brain Chemistry / drug effects | Central Nervous System Stimulants / analysis | Chromatography, High Pressure Liquid | Designer Drugs / analysis | Dopamine Plasma Membrane Transport Proteins / analysis | Gas Chromatography-Mass Spectrometry | Illicit Drugs / analysis | Indicators and Reagents | Isomerism | Magnetic Resonance Spectroscopy | Male | Mass Spectrometry | Norepinephrine Plasma Membrane Transport Proteins / analysis | Phenmetrazine / analogs & derivatives | Phenmetrazine / analysis | RNA-Binding Proteins / analysis | Rats | Rats, Sprague-Dawley | Reference Standards | Synaptosomes / drug effects | Synaptosomes / metabolism | Vesicular Monoamine Transport Proteins / drug effects",Fluorophenmetrazine | monoamine transporters | new psychoactive substances | phenmetrazine | psychostimulants,Intramural NIH HHS,ZIA DA000522,,,,,eng,
10.1002/dta.2613,,,Return of the lysergamides. Part V: Analytical and behavioural characterization of 1‐butanoyl‐<i>d</i>‐lysergic acid diethylamide (1B‐LSD),2019,Simon D. Brandt; Pierce V. Kavanagh; Folker Westphal; Alexander Stratford; Simon P. Elliott; Geraldine Dowling; Jason Wallach; Adam L. Halberstadt,Drug Testing and Analysis,journal-article,,2019-05-13,1942-7603,1942-7611,Wiley,"Animals | Behavior, Animal / drug effects | Chromatography, High Pressure Liquid | Designer Drugs / administration & dosage | Designer Drugs / chemistry | Designer Drugs / pharmacology | Dose-Response Relationship, Drug | Hallucinogens / administration & dosage | Hallucinogens / chemistry | Hallucinogens / pharmacology | Lysergic Acid Diethylamide / administration & dosage | Lysergic Acid Diethylamide / analogs & derivatives | Lysergic Acid Diethylamide / chemistry | Lysergic Acid Diethylamide / pharmacology | Male | Mice, Inbred C57BL | Spectrometry, Mass, Electrospray Ionization",5-HT2A receptor | LSD | lysergamides | new psychoactive substances | psychedelics,NIDA NIH HHS | National Institute on Drug Abuse,R01 DA041336,,,,,eng,
10.1002/dta.3281,,,"Analytical profile, in vitro metabolism and behavioral properties of the lysergamide 1P-AL-LAD.",2022,Brandt SD; Kavanagh PV; Westphal F; Pulver B; Schwelm HM; Whitelock K; Stratford A; Auwärter V; Halberstadt AL,Drug testing and analysis,Journal Article,,2022-05-29,1942-7603,1942-7611,,"Animals | Chromatography, Liquid / methods | Hallucinogens / chemistry | Hallucinogens / pharmacology | Humans | Lysergic Acid Diethylamide / analogs & derivatives | Mice | Prodrugs",5-HT2A receptor | LSD | new psychoactive substances | psychedelics,Internal Security Fund of the European Union | NIDA NIH HHS,IZ25-5793-2019-33 | R01 DA041336,,,,,eng,
10.1002/dta.3547,,,Characterization of neurotransmitter inhibition for seven cathinones by a proprietary fluorescent dye method,2023,Mattias Persson; Svante Vikingsson; Robert Kronstrand; Henrik Green,Drug Testing and Analysis,journal-article,,2023-07-24,1942-7603,1942-7611,Wiley,Humans | Fluorescent Dyes | HEK293 Cells | Central Nervous System Stimulants / pharmacology | Amphetamine | Cocaine / pharmacology | Neurotransmitter Agents | Dopamine Plasma Membrane Transport Proteins | Alkaloids | Methylamines | Pentanones | Pyrrolidines,cathinones | inhibition ratio | monoamine transporter | neurotransmitter inhibition | new psychoactive substances,Public Health Agency of Sweden | National Board of Forensic Medicine,,,,,,eng,
10.1002/dta.3829,,,Analytical and Pharmacological Characterization of 1-(Furan-2-Carbonyl)-LSD (1F-LSD) and Comparison With 1-(Thiophene-2-Carbonyl)-LSD (1T-LSD).,2025,Brandt SD; Kavanagh PV; Gare S; Elliott SP; Stratford A; Halberstadt AL,Drug testing and analysis,Journal Article | Comparative Study,,2024-12-03,1942-7603,1942-7611,,"Animals | Lysergic Acid Diethylamide / analogs & derivatives | Lysergic Acid Diethylamide / pharmacology | Lysergic Acid Diethylamide / analysis | Lysergic Acid Diethylamide / metabolism | Hallucinogens / pharmacology | Hallucinogens / analysis | Hallucinogens / chemistry | Male | Mice | Thiophenes / pharmacology | Thiophenes / chemistry | Receptor, Serotonin, 5-HT2A / metabolism",LSD | head‐twitch response | new psychoactive substances | psychedelics,NIDA NIH HHS,R01 DA041336,,,,,eng,
10.1002/ece3.73522,,,Wherefore the Magic? The Evolutionary Role of Psilocybin in Nature,2026,K. J. Matthews Nicholass; I. Flis; M. E. Hanley; M. E. Knight; S. M. Lane; G. Littlejohn; M. D. F. Thom; R. A. Billington; R. Boden; R. Cummins,Ecology and Evolution,journal-article,,2026-04-01,2045-7758,,Wiley,,defence | evolution | invertebrate | psilocybin,,,,,,,eng,
10.1002/epi4.12552,,,"Combination of antiseizure medications phenobarbital, ketamine, and midazolam reduces soman-induced epileptogenesis and brain pathology in rats.",2021,Lumley LA; Marrero-Rosado B; Rossetti F; Schultz CR; Stone MF; Niquet J; Wasterlain CG,Epilepsia open,"Journal Article | Research Support, N.I.H., Extramural | Research Support, U.S. Gov't, Non-P.H.S.",,2021-10-23,2470-9239,2470-9239,,"Animals | Anticonvulsants / therapeutic use | Brain / pathology | Drug Therapy, Combination | Ketamine / pharmacology | Midazolam / pharmacology | Midazolam / therapeutic use | Phenobarbital / pharmacology | Rats | Soman / toxicity",barbiturate | benzodiazepine | ketamine | organophosphorus nerve agent | refractory status epilepticus,BLRD VA | NINDS NIH HHS,I01 BX000273 | U01 NS074926,,,,,eng,
10.1002/hbm.24511,,,Trait Openness and serotonin 2A receptors in healthy volunteers: A positron emission tomography study,2019,Dea Siggaard Stenbæk; Sara Kristiansen; Daniel Burmester; Martin Korsbak Madsen; Vibe Gedsoe Frokjaer; Gitte Moos Knudsen; Patrick MacDonald Fisher,Human Brain Mapping,journal-article,,2019-01-11,1065-9471,1097-0193,Wiley,"Adolescent | Adult | Aged | Aged, 80 and over | Brain / diagnostic imaging | Brain / metabolism | Female | Healthy Volunteers | Humans | Male | Middle Aged | Personality / physiology | Personality Inventory | Positron-Emission Tomography / methods | Receptor, Serotonin, 5-HT2A / metabolism | Young Adult",5-HT2A | NEO personality inventory | PET scan | [11C]Cimbi-36 | [18F]altanserin | biomarkers | personality | serotonin | trait Openness,,,,,,,eng,
10.1002/hup.2811,,,"Serotonin transporter availability, neurocognitive function and their correlation in abstinent 3,4‐methylenedioxymethamphetamine users",2021,Foke L. van de Blaak; Glenn J. H. Dumont,Human Psychopharmacology Clinical and Experimental,journal-article,,2021-09-10,0885-6222,1099-1077,Wiley,"Adolescent | Affect | Brain | Cognition | Hallucinogens / pharmacology | Humans | N-Methyl-3,4-methylenedioxyamphetamine / adverse effects | Serotonin Plasma Membrane Transport Proteins / metabolism",MDMA | SERT | abstinence | cognition | neurotoxicity,,,,,,,eng,
10.1002/hup.2835,,,"N,N‐dimethyltryptamine and Amazonian ayahuasca plant medicine",2022,Edward James; Joachim Keppler; Thomas L Robertshaw; Ben Sessa,Human psychopharmacology,Journal Article | Review,,2022-02-17,0885-6222,1099-1077,,"Anxiety | Banisteriopsis | Behavior, Addictive | Humans | N,N-Dimethyltryptamine / pharmacology | N,N-Dimethyltryptamine / therapeutic use | Plant Extracts / pharmacology",Amazonian practices | DMT | ayahuasca | consciousness | medical uses,,,10.1002/hup.2839 | 10.1002/hup.2840 | 10.1002/hup.2843,CommentIn PMID:35301754 Hum Psychopharmacol. 2022 May;37(3):e2839. doi: 10.1002/hup.2839. | CommentIn PMID:35301759 Hum Psychopharmacol. 2022 May;37(3):e2840. doi: 10.1002/hup.2840. | ErratumIn PMID:35388506 Hum Psychopharmacol. 2022 May;37(3):e2843. doi: 10.1002/hup.2843.,,true,eng,
10.1002/hup.70019,,,Could R‐Ketamine and Wolfram Syndrome Inform Understanding of Depression and Suicidality? A Sigma‐1 Receptor‐Based Perspective,2025,Hans O. Kalkman; Lukasz Smigielski,Human Psychopharmacology Clinical and Experimental,journal-article,,2025-09-01,0885-6222,1099-1077,Wiley,"Receptors, sigma / agonists | Receptors, sigma / metabolism | Sigma-1 Receptor | Animals | Humans | Wolfram Syndrome / genetics | Wolfram Syndrome / psychology | Wolfram Syndrome / drug therapy | Wolfram Syndrome / metabolism | Wolfram Syndrome / physiopathology | Ketamine / pharmacology | Ketamine / therapeutic use | Disease Models, Animal | Suicide / psychology | Membrane Proteins / genetics | Mitochondria / metabolism | Mitochondria / drug effects | Major Depressive Disorder / drug therapy | Antidepressive Agents / pharmacology",ketamine enantiomer | mitochondria‐associated ER membranes | neuronal Ca2+sensor‐1 | suicide | wolframin | σ1 agonist,,,,,,,eng,
10.1002/ibra.12094,,,Ketamine as a therapeutic agent in major depressive disorder and posttraumatic stress disorder: Potential medicinal and deleterious effects,2023,Bhuvi Sachdeva; Punya Sachdeva; Shampa Ghosh; Faizan Ahmad; Jitendra Kumar Sinha,Ibrain,journal-article,,2023-02-20,2313-1934,2769-2795,Wiley,,anesthetic agent | antidepressant | neuroplasticity | neurotoxicity | therapeutics,,,,,,,eng,
10.1002/jnr.25257,,,"Understanding the role of the
                    <scp>NMDA</scp>
                    receptor subunit,
                    <scp>GluN2D</scp>
                    , in mediating
                    <scp>NMDA</scp>
                    receptor antagonist‐induced behavioral disruptions in male and female mice",2023,Chitra Vinnakota; Anna Schroeder; Xin Du; Kazutaka Ikeda; Soichiro Ide; Masayoshi Mishina; Matthew Hudson; Nigel Charles Jones; Suresh Sundram; Rachel Anne Hill,Journal of Neuroscience Research,journal-article,,2023-10-10,0360-4012,1097-4547,Wiley,"Animals | Female | Humans | Male | Mice | Ketamine / pharmacology | Ketamine / analogs & derivatives | Phencyclidine / pharmacology | Receptors, N-Methyl-D-Aspartate / metabolism | Recognition, Psychology",GluN2D | NMDA | PCP | ketamine | mouse behaviour | schizophrenia,Monash University | National Health and Medical Research Council | Society for Neurochemistry,APP2000893,,,,,eng,
10.1002/mco2.156,,,The molecular pathophysiology of depression and the new therapeutics,2022,Haihua Tian; Zhenyu Hu; Jia Xu; Chuang Wang,MedComm,journal-article,,2022-07-21,2688-2663,2688-2663,Wiley,,(R)‐ketamine | (S)‐ketamine | ketamine | major depressive disorder (MDD),,,,,,,eng,
10.1002/mdc3.12369,,,Comment on: Dopamine Transporter (DaT) Scan Utilization in a Movement Disorder Center,2017,S. Bhattacharjee; Vijaya Shankar; M. Elkider,Movement Disorders Clinical Practice,JournalArticle,,2016-05-09,2330-1619,2330-1619,Wiley,,Medicine | external | s2-fos-model,,,,,,,en,c11fe49ae51104c7a82212d5db919cae26cc99fe
10.1002/npr2.12161,,,Dual actions of 5‐MeO‐DIPT at the serotonin transporter and serotonin 5‐HT<sub>1A</sub> receptor in the mouse striatum and prefrontal cortex,2021,Yoko Hagino; F. Scott Hall; George R. Uhl; Ichiro Sora; Kazutaka Ikeda,Neuropsychopharmacology reports,"Journal Article | Research Support, Non-U.S. Gov't",,2021-02-06,2574-173X,2574-173X,,"5-Methoxytryptamine / analogs & derivatives | 5-Methoxytryptamine / pharmacology | 8-Hydroxy-2-(di-n-propylamino)tetralin / pharmacology | Animals | Corpus Striatum / drug effects | Corpus Striatum / metabolism | Female | Male | Mice | Mice, Knockout | Microdialysis | Piperazines / pharmacology | Prefrontal Cortex / drug effects | Prefrontal Cortex / metabolism | Pyridines / pharmacology | Receptor, Serotonin, 5-HT1A / drug effects | Receptor, Serotonin, 5-HT1A / metabolism | Serotonin 5-HT1 Receptor Agonists / pharmacology | Serotonin 5-HT1 Receptor Antagonists / pharmacology | Serotonin Plasma Membrane Transport Proteins / drug effects | Serotonin Plasma Membrane Transport Proteins / metabolism",5-HT1A serotonin receptor | 5-MeO-DIPT | prefrontal cortex | serotonin transporter | striatum,,,,,,,eng,
10.1002/npr2.12420,,,Effect of intermittent subchronic MK-801 administration on dopamine synthesis capacity and responsiveness in the prefrontal cortex.,2024,Shibata K; Enomoto K; Tsutsumi T; Muraoka H; Fuwa T; Kawano M; Ishigooka J; Inada K; Nishimura K; Oshibuchi H,Neuropsychopharmacology reports,Journal Article,,2024-02-20,2574-173X,2574-173X,,"Dizocilpine Maleate / pharmacology | Dizocilpine Maleate / administration & dosage | Prefrontal Cortex / drug effects | Prefrontal Cortex / metabolism | Animals | Dopamine / metabolism | Dopamine / biosynthesis | Male | Excitatory Amino Acid Antagonists / pharmacology | Excitatory Amino Acid Antagonists / administration & dosage | Rats | Receptors, N-Methyl-D-Aspartate / antagonists & inhibitors | Receptors, N-Methyl-D-Aspartate / metabolism | Locomotion / drug effects | Rats, Sprague-Dawley | Microdialysis / methods",MK‐801 | NMDAR antagonists | dopamine | medial prefrontal cortex | subchronic,Japan Society for the Promotion of Science,20K03483,,,,,eng,
