# Deterministic prescreen excluded queue for mechanistic generated at 2026-05-19T07:31:34.240394+00:00
# doi,compound,target_or_disorder,optional_study_title,optional_study_year,optional_authors,optional_study_journal,optional_publication_type,optional_trial_registry_ids,optional_publication_date,optional_journal_issn,optional_journal_eissn,optional_publisher,optional_mesh_terms,optional_keywords,optional_funders,optional_grant_ids,optional_related_dois,optional_publication_relations,optional_is_retracted,optional_has_correction,optional_language,optional_semantic_scholar_id
10.1002/minf.201300013,,,Probing the Selectivity of Monoamine Transporter Substrates by Means of Molecular Modeling,2013,A. Seddik; M. Holy; Rene Weissensteiner; Barbara Zdrazil; H. Sitte; G. Ecker,Molecular Informatics,JournalArticle,,2013-06-01,1868-1743,1868-1751,Wiley,,Chemistry | Medicine | external | s2-fos-model,Funded Access | Austrian Science Fund,F03502 | F3506 | W1232,,,,,en,b66dddba28797d68fccdec32ed9c0205274c1d54
10.1101/2024.05.09.593368,,,Dopamine transporter threonine-53 phosphorylation dictates kappa opioid receptor mediated locomotor suppression and conditioned place aversion via transporter upregulation,2024,Durairaj Ragu Varman; Lankupalle D. Jayanthi; Sammanda Ramamoorthy,bioRxiv (Cold Spring Harbor Laboratory),posted-content,,2024-05-09,,,openRxiv,,,,,,,,,,
10.1101/2024.05.20.595049,,,Sexual dimorphism in histamine regulation of striatal dopamine,2024,Meghan Van Zandt; Christopher Pittenger,bioRxiv : the preprint server for biology,Journal Article | Preprint,,2025-02-28,2692-8205,2692-8205,,,,NIMH NIH HHS | NINDS NIH HHS,R01 MH127259 | R01 NS101104 | R21 NS108722,10.1523/JNEUROSCI.2182-24.2025,UpdateIn PMID:40355265 J Neurosci. 2025 Jun 11;45(24):e2182242025. doi: 10.1523/JNEUROSCI.2182-24.2025.,,,eng,
10.1101/2024.06.20.599911,,,Phosphate starvation-induced CORNICHON HOMOLOG 5 as endoplasmic reticulum cargo receptor for PHT1 transporters in Arabidopsis,2024,Chang-Yi Chiu; Cheng-Da Tsai; Hui-Fang Lung; Jhih-Yi Wang; Ming-Hsuan Tsai; Alastair J. McGinness; Satomi Kanno; Verena Kriechbaumer; Chiao-An Lu; Tzu-Yin Liu,bioRxiv (Cold Spring Harbor Laboratory),posted-content,,2024-06-24,,,openRxiv,,,"Ministry of Science and Technology, TW | National Science and Technology Council, TW",MOST 108-2311-B-007-003-MY3 | NSTC 112-2313-B-007-001-MY3,,,,,,
10.1101/2024.07.04.602053,,,Evidence for low affinity of GABA at the vesicular monoamine transporter VMAT2 – implications for transmitter co-release from dopamine neurons,2024,Fabian Limani; Sivakumar Srinivasan; Michaela Hanzlova; Ségolène La Batide-Alanore; Sigrid Klotz; Thomas S. Hnaskoxs; Thomas Steinkellner,bioRxiv (Cold Spring Harbor Laboratory),posted-content,,2024-07-08,,,openRxiv,,,,,,,,,,
10.1101/2024.07.13.24310367,,,Alterations in secondary structure and binding affinity from mutations in the interleukin-1 receptor antagonist,2024,Joshua Pillai,medRxiv,posted-content,,2024-07-17,,,openRxiv,,,,,10.1016/j.clicom.2025.05.001,is-preprint-of doi:10.1016/j.clicom.2025.05.001 asserted-by:subject,,,,
10.1101/2024.07.23.604788,,,<i>SLC45A4</i> encodes a peroxisomal putrescine transporter that promotes GABA <i>de novo</i> synthesis,2024,Cecilia Colson; Yujue Wang; Joseph Atherton; Nisha Dahiya; Davood Kharaghani; Xiaoyang Su,bioRxiv : the preprint server for biology,Journal Article | Preprint,,2025-06-02,2692-8205,2692-8205,,,,NIGMS NIH HHS,R01 GM149664,10.1038/s41467-025-62721-x,UpdateIn PMID:41266324 Nat Commun. 2025 Nov 20;16(1):10198. doi: 10.1038/s41467-025-62721-x.,,,eng,
10.1101/2024.08.01.606042,,,Mapping Kappa Opioid Receptor Binding in Titi Monkeys with 11 C-GR103545 PET,2024,Alita Jesal D Almeida; Brad A. Hobson; Logan E. Savidge; Claudia Manca; John P. Paulus; Karen L. Bales; Abhijit J. Chaudhari,bioRxiv (Cold Spring Harbor Laboratory),posted-content,,2024-08-05,,,openRxiv,,,,,,,,,,
10.1101/2024.09.24.614783,,,"Elevated synaptic PKA activity and abnormal striatal dopamine signaling in <i>Akap11</i> mutant mice, a genetic model of schizophrenia and bipolar disorder",2024,Bryan J. Song; Yang Ge; Ally Nicolella; Min Jee Kwon; Bart Lodder; Kevin Bonanno; Antia Valle-Tojeiro; Nolan D. Hartley; Kira A. Perzel Mandell; John Adeleye,bioRxiv : the preprint server for biology,Journal Article | Preprint,,2025-11-22,2692-8205,2692-8205,,,,NICHD NIH HHS,P50 HD105351,10.1038/s41467-025-66504-2,UpdateIn PMID:41315276 Nat Commun. 2025 Nov 28;16(1):10793. doi: 10.1038/s41467-025-66504-2.,,,eng,
10.1101/2024.12.29.630674,,,Loss of SynDIG4/PRRT1 alters distribution of AMPA receptors in Rab4- and Rab11-positive endosomes and impairs basal AMPA receptor recycling,2024,Chun-Wei He; Elva Dı́az,bioRxiv : the preprint server for biology,Journal Article | Preprint,,2024-12-29,2692-8205,2692-8205,,,AMPA receptor | PRRT1 | Rab11 | Rab4 | SynDIG4 | endosomes | recycling,NIMH NIH HHS,R01 MH119347,10.3389/fphar.2025.1568908,UpdateIn PMID:40469985 Front Pharmacol. 2025 May 21;16:1568908. doi: 10.3389/fphar.2025.1568908.,,,eng,
10.1101/2025.02.12.637834,,,Comparative Computational Docking Analysis of MPP+ and Dopamine Binding to Dopamine Transporter in Human and Zebrafish: Mechanistic Insights into MPTP Neurotoxicity,2025,Khairiah Razali; Jaya Kumar; Wael M. Y. Mohamed,bioRxiv (Cold Spring Harbor Laboratory),posted-content,,2025-02-14,,,openRxiv,,,,,,,,,,
10.1101/2025.03.03.641233,,,Postsynaptic adaptations in direct pathway muscarinic M4-receptor signaling follow the temporal and regional pattern of dopaminergic degeneration,2025,Beatriz E. Nielsen; Christopher P. Ford,bioRxiv (Cold Spring Harbor Laboratory),posted-content,,2025-03-10,,,openRxiv,,,,,,,,,,
10.1101/2025.06.01.657216,,,D1/D5 Receptor Activation Promotes Long-Term Potentiation and Synaptic Tagging/Capture in Hippocampal Area CA2,2025,Kevin Chua; Yee Song Chong; Sreedharan Sajikumar,bioRxiv (Cold Spring Harbor Laboratory),posted-content,,2025-06-01,,,openRxiv,,,National Medical Research Council,MOH-000641-00,,,,,,
10.1101/2025.06.03.657720,,,SLAB: Simultaneous Labeling And Binding affinity prediction for protein-ligand structures,2025,Aditya Ranganath; Hyojin Kim; Heesung Shim; Jonathan E. Allen,bioRxiv (Cold Spring Harbor Laboratory),posted-content,,2025-06-06,,,openRxiv,,,,HDTRA1242044 | HDTRA1036045,,,,,,
10.1101/2025.08.25.669582,,,Structural insights on the ligand selectivity of the mouse trace amine-associated receptor TAAR7e,2025,Yingjian Liu; Junhong He; Jiahui Sun; Chen Zhang; Hanyi Zhuang; Peipei Shi; Weihong Liu,bioRxiv (Cold Spring Harbor Laboratory),posted-content,,2025-08-25,,,openRxiv,,,,,,,,,,
10.1101/2025.09.04.674146,,,Insilico Investigation of Terpenoid efficacy on Cannabinoid Receptors using QSAR models and fragment-based Pharmacophore modelling,2025,Aniruddhya Mukherjee; Khushhali Menaria Pandey,bioRxiv (Cold Spring Harbor Laboratory),posted-content,,2025-09-09,,,openRxiv,,,,,,,,,,
10.1101/2025.09.04.674239,,,Artificial Brain Extracellular Fluid in Radioligand Binding Assays: Effects on Affinities of Ligands at Serotonin 5-HT7 Receptors,2025,Anh T. Huynh; Hamad M. Alali; Jason V. Wallach; Clinton E. Canal,bioRxiv (Cold Spring Harbor Laboratory),posted-content,,2025-09-09,,,openRxiv,,,,,,,,,,
10.1101/2025.09.21.677617,,,The Highly Selective 5-HT2B Receptor Antagonist MW073 Mitigates Aggressive Behavior in an Alzheimer’s Disease Mouse Model,2025,Erica Acquarone; Saktimayee M. Roy; Agnieszka Staniszewski; Martin D. Watterson; Ottavio Arancio,bioRxiv (Cold Spring Harbor Laboratory),posted-content,,2025-09-21,,,openRxiv,,,,,,,,,,
10.1101/2025.11.20.689572,,,The polypharmacological profiles of xanomeline and N-desmethylxanomeline,2025,Kensuke Sakamoto; Xi-Ping Huang; Talia L. Albert; Paloma M. Knobloch; Grace K. Foland; Bryan L Roth,bioRxiv (Cold Spring Harbor Laboratory),posted-content,,2025-11-21,,,openRxiv,,,,RO1MH112205,,,,,,
10.1101/224261,,,Cell-Type Specific Interrogation of CeA Drd2 Neurons to Identify Targets for Pharmacological Modulation of Fear Extinction,2017,Kenneth M. McCullough; Nikolaos P. Daskalakis; Georgette Gafford; Filomene G. Morrison; Kerry J. Ressler,bioRxiv (Cold Spring Harbor Laboratory),posted-content,,2017-11-24,,,openRxiv,,,,,10.1038/s41398-018-0190-y,is-preprint-of doi:10.1038/s41398-018-0190-y asserted-by:subject,,,,
10.1101/381004,,,Molecular Diversity of Intrinsically Photosensitive Ganglion Cells,2018,Daniel Berg; Katherine Kartheiser; Megan Leyrer; Alexandra Saali; David Berson,bioRxiv (Cold Spring Harbor Laboratory),posted-content,,2018-07-31,,,openRxiv,,,,,,,,,,
10.1101/389536,,,Kappa opioid receptor modulation on GABAergic inputs onto ventral periaqueductal gray dopamine neurons,2018,Chia Li; Thomas L. Kash,bioRxiv (Cold Spring Harbor Laboratory),posted-content,,2018-08-10,,,openRxiv,,,,,10.1159/000496974,is-preprint-of doi:10.1159/000496974 asserted-by:subject,,,,
10.1101/435057,,,Cannabichromene is a cannabinoid CB2 receptor agonist,2018,Michael Udoh; Marina Santiago; Steven Devenish; Iain S. McGregor; Mark Connor,bioRxiv (Cold Spring Harbor Laboratory),posted-content,,2018-10-04,,,openRxiv,,,,,10.1111/bph.14815,is-preprint-of doi:10.1111/bph.14815 asserted-by:subject,,,,
10.1101/497982,,,Serotonin regulates mitochondrial biogenesis and function in rodent cortical neurons via the 5-HT2A receptor and SIRT1-PGC-1α axis,2018,Sashaina Fanibunda; Sukrita Deb; Babukrishna Maniyadath; Samir Gupta; Noelia Weisstaub; Jay Gingrich; Ashok Vaidya; Ullas Kolthur-Seetharam; Vidita Ashok Vaidya,bioRxiv (Cold Spring Harbor Laboratory),posted-content,,2018-12-16,,,openRxiv,,,,,10.1073/pnas.1821332116,is-preprint-of doi:10.1073/pnas.1821332116 asserted-by:subject,,,,
10.1101/699793,,,Virtual screening identifies novel high-affinity σ 1 receptor ligands,2019,Daniel A. Greenfield; Hayden R. Schmidt; Piotr Sliz; Andrew C. Kruse,bioRxiv (Cold Spring Harbor Laboratory),posted-content,,2019-07-11,,,openRxiv,,,,,,,,,,
10.1101/703256,,,Trace amine-associated receptor gene polymorphism increases drug craving,2019,Jennifer M. Loftis; Michael Lasarev; Xiao Shi; Jodi Lapidus; Aaron Janowsky; William F. Hoffman; Marilyn Huckans,bioRxiv (Cold Spring Harbor Laboratory),posted-content,,2019-07-15,,,openRxiv,,,,,10.1371/journal.pone.0220270,is-preprint-of doi:10.1371/journal.pone.0220270 asserted-by:subject,,,,
10.1101/731158,,,DeepBCR: Deep learning framework for cancer-type classification and binding affinity estimation using B cell receptor repertoires,2019,Xihao Hu; X Shirley Liu,bioRxiv (Cold Spring Harbor Laboratory),posted-content,,2019-08-10,,,openRxiv,,,,,,,,,,
10.1101/793265,,,The norepinephrine transporter regulates dopamine-dependent synaptic plasticity in the mouse dorsal hippocampus,2019,Alex Sonneborn; Robert W. Greene,bioRxiv (Cold Spring Harbor Laboratory),posted-content,,2019-10-07,,,openRxiv,,,,,10.1016/j.neulet.2020.135450,is-preprint-of doi:10.1016/j.neulet.2020.135450 asserted-by:subject,,,,
10.1101/820712,,,"Electrophysiological characterization of AtAMT1;4, an extraordinarily high affinity ammonium transporter from Arabidopsis thaliana",2019,Nino Bindel; Benjamin Neuhäuser,bioRxiv (Cold Spring Harbor Laboratory),posted-content,,2019-10-28,,,openRxiv,,,,,,,,,,
10.1101/854513,,,"Deschloroclozapine, a potent and selective chemogenetic actuator enables rapid neuronal and behavioral modulations in mice and monkeys",2019,Yuji Nagai; Naohisa Miyakawa; Hiroyuki Takuwa; Yukiko Hori; Kei Oyama; Bin Ji; Manami Takahashi; Xi-Ping Huang; Samuel T. Slocum; Jeffrey F. DiBerto,bioRxiv (Cold Spring Harbor Laboratory),posted-content,,2019-12-03,,,openRxiv,,,,,10.1038/s41593-020-0661-3,is-preprint-of doi:10.1038/s41593-020-0661-3 asserted-by:subject,,,,
10.1101/cshperspect.a004143,,,Regulation by Ca2+-Signaling Pathways of Adenylyl Cyclases,2010,M. L. Halls; D. M. F. Cooper,Cold Spring Harbor Perspectives in Biology,journal-article,,2010-12-01,1943-0264,1943-0264,Cold Spring Harbor Laboratory,"Adenylyl Cyclases / genetics | Adenylyl Cyclases / metabolism | Calcium / metabolism | Calcium Signaling / physiology | Cyclic AMP / metabolism | Models, Biological | Phylogeny | Protein Isoforms / metabolism",,Wellcome Trust,RG31760,,,,,eng,
10.1101/cshperspect.a006247,,,Biochemistry and Cell Biology of Tau Protein in Neurofibrillary Degeneration,2012,E.-M. Mandelkow; E. Mandelkow,Cold Spring Harbor Perspectives in Medicine,journal-article,,2012-03-20,2157-1422,2472-5412,Cold Spring Harbor Laboratory,Alzheimer Disease / metabolism | Alzheimer Disease / pathology | Animals | Humans | Microtubules | Nerve Degeneration / metabolism | Neurofibrillary Tangles | Neurons / metabolism | tau Proteins / chemistry | tau Proteins / genetics | tau Proteins / metabolism | tau Proteins / ultrastructure,,,,,,,,eng,
10.1101/cshperspect.a006304,,,"Presenilins and  -Secretase: Structure, Function, and Role in Alzheimer Disease",2011,B. De Strooper; T. Iwatsubo; M. S. Wolfe,Cold Spring Harbor Perspectives in Medicine,journal-article,,2011-11-08,2157-1422,2472-5412,Cold Spring Harbor Laboratory,"Alzheimer Disease / drug therapy | Alzheimer Disease / enzymology | Alzheimer Disease / genetics | Amyloid Precursor Protein Secretases / antagonists & inhibitors | Amyloid Precursor Protein Secretases / genetics | Amyloid Precursor Protein Secretases / physiology | Amyloid beta-Peptides / metabolism | Drug Discovery | Enzyme Inhibitors / therapeutic use | Humans | Mutation, Missense / genetics | Presenilins / genetics | Presenilins / metabolism | Presenilins / physiology | Proteolysis | Receptors, Notch / physiology | Structure-Activity Relationship",,,,,,,,eng,
10.1101/cshperspect.a009159,,,Eph Receptor Signaling and Ephrins,2013,E. M. Lisabeth; G. Falivelli; E. B. Pasquale,Cold Spring Harbor Perspectives in Biology,journal-article,,2013-09-01,1943-0264,1943-0264,Cold Spring Harbor Laboratory,"Cell Communication / physiology | Ephrins / genetics | Ephrins / metabolism | Models, Biological | Mutation / genetics | Protein Structure, Tertiary | Receptor, EphA1 / genetics | Receptor, EphA1 / metabolism | Signal Transduction / physiology | rho GTP-Binding Proteins / metabolism",,NCI NIH HHS,P01 CA138390 | R01 CA116099 | R01 CA160457,,,,,eng,
10.1101/cshperspect.a009316,,,A Guide to Neurotoxic Animal Models of Parkinson's Disease,2011,K. Tieu,Cold Spring Harbor Perspectives in Medicine,journal-article,,2011-09-01,2157-1422,2472-5412,Cold Spring Harbor Laboratory,"Animals | Corpus Striatum / pathology | Corpus Striatum / physiopathology | Disease Models, Animal | Haplorhini | Lewy Bodies / pathology | MPTP Poisoning / pathology | MPTP Poisoning / physiopathology | Mice | Neurotoxins | Oxidopamine | Paraquat | Parkinson Disease / etiology | Parkinson Disease / pathology | Parkinson Disease / physiopathology | Parkinson Disease, Secondary / chemically induced | Parkinson Disease, Secondary / pathology | Parkinson Disease, Secondary / physiopathology | Rats | Rotenone | Substantia Nigra / pathology | Substantia Nigra / physiopathology",,NIEHS NIH HHS,R01 ES014899 | R21 ES017470 | ES17470 | ES014899,,,,,eng,
10.1101/cshperspect.a011957,,,Mechanisms of Psychostimulant-Induced Structural Plasticity,2012,S. A. Golden; S. J. Russo,Cold Spring Harbor Perspectives in Medicine,journal-article,,2012-08-30,2157-1422,2472-5412,Cold Spring Harbor Laboratory,"Animals | Behavior, Addictive / physiopathology | Brain / drug effects | Brain / metabolism | Brain / physiology | Central Nervous System Stimulants / pharmacology | Humans | Neuronal Plasticity / drug effects | Signal Transduction / drug effects",,NIMH NIH HHS,R01 MH090264,,,,,eng,
10.1101/cshperspect.a016824,,,Synaptic Signaling in Learning and Memory,2013,Mary B. Kennedy,Cold Spring Harbor Perspectives in Biology,journal-article,,2013-12-30,1943-0264,1943-0264,Cold Spring Harbor Laboratory,"Animals | GTP Phosphohydrolases / metabolism | Humans | Memory / physiology | Neuronal Plasticity | Neurotransmitter Agents / metabolism | Receptors, AMPA / metabolism | Synaptic Transmission",,NIMH NIH HHS,R01 MH095095,,,,,eng,
10.1101/cshperspect.a019760,,,"Cryptococcus neoformans and Cryptococcus gattii, the Etiologic Agents of Cryptococcosis",2014,K. J. Kwon-Chung; J. A. Fraser; T. L. Doering; Z. A. Wang; G. Janbon; A. Idnurm; Y.-S. Bahn,Cold Spring Harbor Perspectives in Medicine,journal-article,,2014-07-01,2157-1422,2472-5412,Cold Spring Harbor Laboratory,"Cryptococcosis / drug therapy | Cryptococcosis / microbiology | Cryptococcus gattii / classification | Cryptococcus gattii / isolation & purification | Cryptococcus gattii / physiology | Cryptococcus neoformans / classification | Cryptococcus neoformans / isolation & purification | Cryptococcus neoformans / physiology | Drug Resistance, Multiple, Fungal | Enzymes / biosynthesis | Enzymes / physiology | Fungal Capsules / genetics | Fungal Capsules / physiology | Genotype | Host-Pathogen Interactions / physiology | Humans | Life Cycle Stages / physiology | Melanins / biosynthesis | Melanins / physiology | Phenotype | Signal Transduction / physiology | Stress, Physiological / physiology | Terminology as Topic | Virulence Factors / physiology",,PHS HHS | NIAID NIH HHS | Intramural NIH HHS,102882 | R01 AI102882 | 109623 | R21 AI109623 | R01 AI078795 | R01 AI087794 | 78795 | 87794,,,,,eng,
10.1101/cshperspect.a020545,,,Microglia Function in Central Nervous System Development and Plasticity,2015,Dorothy P. Schafer; Beth Stevens,Cold Spring Harbor Perspectives in Biology,journal-article,,2015-07-17,1943-0264,1943-0264,Cold Spring Harbor Laboratory,"Animals | Behavior, Animal | Body Patterning | Cell Death | Cell Differentiation | Cell Proliferation | Cell Survival | Central Nervous System / physiology | Disease Models, Animal | Gene Expression Regulation, Developmental | Humans | Macrophages / metabolism | Mice | Microglia / physiology | Models, Neurological | Myeloid Cells / physiology | Neuronal Plasticity / physiology | Organogenesis / physiology | Rats",,NINDS NIH HHS | NIMH NIH HHS,F32-NS-066698 | K99 MH102351 | F32 NS066698 | K99-MH-102351 | R01-NS-07100801 | R01 NS071008,,,,,eng,
10.1101/cshperspect.a024091,,,Cell Biology and Pathophysiology of α-Synuclein,2017,Jacqueline Burré; Manu Sharma; Thomas C. Südhof,Cold Spring Harbor Perspectives in Medicine,journal-article,,2017-01-20,2157-1422,2472-5412,Cold Spring Harbor Laboratory,"Animals | Humans | Mice | Mice, Transgenic | Neurons / metabolism | Parkinson Disease / physiopathology | Synapses / physiology | alpha-Synuclein / chemistry | alpha-Synuclein / physiology",,NINDS NIH HHS | NIA NIH HHS,P50 NS094733 | R01 AG052505 | R01 NS095988,,,,,eng,
10.1101/cshperspect.a033167,,,Molecular Structure of the Hair Cell Mechanoelectrical Transduction Complex,2018,Christopher L. Cunningham; Ulrich Müller,Cold Spring Harbor Perspectives in Medicine,journal-article,,2018-08-06,2157-1422,2472-5412,Cold Spring Harbor Laboratory,"Animals | Hair Cells, Auditory / physiology | Hearing | Humans | Ion Channels / chemistry | Mechanotransduction, Cellular | Molecular Structure | Synapses / physiology | Synaptic Transmission",,NIDCD NIH HHS,R01 DC014427 | F32 DC015724 | R01 DC014713 | R01 DC005965 | R01 DC016960,,,,,eng,
10.1101/cshperspect.a035113,,,Primary Active Ca<sup>2+</sup> Transport Systems in Health and Disease,2019,Jialin Chen; Aljona Sitsel; Veronick Benoy; M. Rosario Sepúlveda; Peter Vangheluwe,Cold Spring Harbor Perspectives in Biology,journal-article,,2019-09-09,1943-0264,1943-0264,Cold Spring Harbor Laboratory,Animals | Calcium Signaling | Calcium-Transporting ATPases / metabolism | Disease / etiology | Humans,,,,,,,,eng,
10.1101/cshperspect.a039776,,,Translational Research in Nicotine Addiction,2020,Miranda L. Fisher; James R. Pauly; Brett Froeliger; Jill R. Turner,Cold Spring Harbor Perspectives in Medicine,journal-article,,2020-06-08,2157-1422,2472-5412,Cold Spring Harbor Laboratory,"Animals | Humans | Models, Animal | Nicotine / administration & dosage | Rodentia | Tobacco Use Disorder / psychology | Translational Research, Biomedical",,NIDA NIH HHS,R01 DA038700 | R01 DA048094 | UG3 DA048510,,,,,eng,
10.1101/cshperspect.a039990,,,Auxin Interactions with Other Hormones in Plant Development,2021,Serina M. Mazzoni-Putman; Javier Brumos; Chengsong Zhao; Jose M. Alonso; Anna N. Stepanova,Cold Spring Harbor Perspectives in Biology,journal-article,,2021-04-26,1943-0264,1943-0264,Cold Spring Harbor Laboratory,Indoleacetic Acids / metabolism | Plant Development | Plant Growth Regulators / metabolism,,,,,,,,eng,
10.1101/gad.1630408,,,Eph/ephrin signaling: networks,2008,Dina Arvanitis; Alice Davy,Genes & Development,journal-article,,2008-02-15,0890-9369,1549-5477,Cold Spring Harbor Laboratory,"Animals | Cell Adhesion | Cell Movement | Ephrins / physiology | Humans | Receptor Cross-Talk | Receptors, Eph Family / physiology | Signal Transduction",,,,,,,,eng,
10.1101/gad.259003,,,The Sox9 transcription factor determines glial fate choice in the developing spinal cord,2003,C. Claus Stolt; Petra Lommes; Elisabeth Sock; Marie-Christine Chaboissier; Andreas Schedl; Michael Wegner,Genes & Development,journal-article,,2003-07-01,0890-9369,1549-5477,Cold Spring Harbor Laboratory,"Animals | Astrocytes / physiology | Cell Count | Central Nervous System / cytology | Central Nervous System / embryology | High Mobility Group Proteins / genetics | High Mobility Group Proteins / metabolism | Interneurons / physiology | Mice | Mice, Transgenic | Motor Neurons / physiology | Oligodendroglia / physiology | Recombination, Genetic | SOX9 Transcription Factor | Spinal Cord / cytology | Spinal Cord / embryology | Spinal Cord / metabolism | Stem Cells / physiology | Transcription Factors / genetics | Transcription Factors / metabolism",,,,,,,,eng,
10.1101/lm.042192.116,,,Effects of drugs of abuse on hippocampal plasticity and hippocampus-dependent learning and memory: contributions to development and maintenance of addiction,2016,Munir Gunes Kutlu; Thomas J. Gould,"Learning & memory (Cold Spring Harbor, N.Y.)",Journal Article | Review,,2016-09-15,1072-0502,1549-5485,,Animals | Hippocampus / drug effects | Hippocampus / physiopathology | Humans | Illicit Drugs / adverse effects | Learning / drug effects | Learning / physiology | Memory / drug effects | Memory / physiology | Neuronal Plasticity / drug effects | Neuronal Plasticity / physiology | Substance-Related Disorders / physiopathology,,NIDA NIH HHS,R01 DA017949,,,,,eng,
10.1101/lm.51202,,,From Acquisition to Consolidation: On the Role of Brain-Derived Neurotrophic Factor Signaling in Hippocampal-Dependent Learning,2002,William J. Tyler; Mariana Alonso; Clive R. Bramham; Lucas D. Pozzo-Miller,Learning & Memory,journal-article,,2002-09-01,1072-0502,1549-5485,Cold Spring Harbor Laboratory,"Animals | Brain Chemistry / physiology | Brain-Derived Neurotrophic Factor / physiology | Conditioning, Psychological / physiology | Hippocampus / physiology | Neuronal Plasticity / physiology | Signal Transduction / physiology",,NINDS NIH HHS | NICHD NIH HHS,R01-NS-40593 | P30 HD038985 | R01 NS040593 | P30-HD38985 | P01 HD038760 | P01-HD38760,,,,,eng,
10.1101/lm.54803,,,Mitral Cell β<sub>1</sub> and 5-HT<sub>2A</sub> Receptor Colocalization and cAMP Coregulation: A New Model of Norepinephrine-Induced Learning in the Olfactory Bulb,2003,Qi Yuan; Carolyn W. Harley; John H. McLean,Learning & Memory,journal-article,,2003-01-01,1072-0502,1549-5485,Cold Spring Harbor Laboratory,"Adrenergic beta-Agonists / pharmacology | Animals | Conditioning, Classical / physiology | Cyclic AMP / metabolism | Cyclic AMP / physiology | Fluorescent Antibody Technique | Immunohistochemistry | Isoproterenol / pharmacology | Learning / physiology | Locus Coeruleus / physiology | Microscopy, Confocal | Norepinephrine / metabolism | Norepinephrine / physiology | Odorants | Olfactory Bulb / metabolism | Olfactory Bulb / physiology | Olfactory Nerve / physiology | Rats | Rats, Sprague-Dawley | Receptor, Serotonin, 5-HT2A | Receptor, Serotonin, 5-HT2C | Receptors, Adrenergic, beta-1 / metabolism | Receptors, Serotonin / metabolism | Serotonin / metabolism | Serotonin / physiology",,,,10.1101/lm.58203,CommentIn PMID:12551958 Learn Mem. 2003 Jan-Feb;10(1):1-4. doi: 10.1101/lm.58203.,,,eng,
10.1101/lm.66103,,,"Multiple Serotonergic Mechanisms Contributing to Sensitization in
<i>Aplysia</i>: Evidence of Diverse Serotonin Receptor Subtypes",2003,Demian Barbas; Luc DesGroseillers; Vincent F. Castellucci; Thomas J. Carew; Stéphane Marinesco,Learning & Memory,journal-article,,2003-09-01,1072-0502,1549-5485,Cold Spring Harbor Laboratory,"Animals | Aplysia | Cyclic AMP-Dependent Protein Kinases / metabolism | Interneurons / physiology | Learning / physiology | Memory / physiology | Mitogen-Activated Protein Kinases / metabolism | Motor Neurons / physiology | Neuronal Plasticity | Neurons, Afferent / physiology | Protein Kinase C / metabolism | Protein-Tyrosine Kinases / metabolism | Receptors, Serotonin / chemistry | Receptors, Serotonin / metabolism | Receptors, Serotonin / physiology | Reflex / physiology | Serotonin / physiology | Signal Transduction | Synaptic Transmission",,NIMH NIH HHS,R01 MH14-10183,,,,,eng,
10.1104/pp.108.131524,,,"Cellular Response of Pea Plants to Cadmium Toxicity: Cross Talk between Reactive Oxygen Species, Nitric Oxide, and Calcium",2009,María Rodríguez-Serrano; María C. Romero-Puertas; Diana M. Pazmiño; Pilar S. Testillano; María C. Risueño; Luis A. del Río; Luisa M. Sandalio,PLANT PHYSIOLOGY,journal-article,,2009-03-11,0032-0889,1532-2548,Oxford University Press (OUP),"Cadmium / toxicity | Calcium / metabolism | Cyclopentanes / metabolism | Ethylenes / metabolism | Gene Expression Regulation, Plant / drug effects | Models, Biological | Nitric Oxide / metabolism | Oxylipins / metabolism | Pisum sativum / cytology | Pisum sativum / drug effects | Pisum sativum / metabolism | Plant Leaves / cytology | Plant Leaves / drug effects | Plant Leaves / metabolism | Plant Proteins / genetics | Plant Proteins / metabolism | Reactive Oxygen Species / metabolism | Salicylic Acid / metabolism | Signal Transduction / drug effects | Superoxide Dismutase / genetics | Superoxide Dismutase / metabolism",,,,,,,,eng,
10.1105/tpc.7.7.1099,,,Adaptations to Environmental Stresses.,1995,H. J. Bohnert; D. E. Nelson; R. G. Jensen,The Plant Cell,journal-article,,1995-07-01,1040-4651,1532-298X,Oxford University Press (OUP),,,,,,,,,en,
10.1105/tpc.8.3.363,,,Transport of DNA into the nuclei of xenopus oocytes by a modified VirE2 protein of Agrobacterium.,1996,B Guralnick; G Thomsen; V Citovsky,The Plant Cell,journal-article,,1996-03-01,1040-4651,1532-298X,Oxford University Press (OUP),"Amino Acid Sequence | Animals | Bacterial Proteins / biosynthesis | Bacterial Proteins / metabolism | Cell Nucleus / metabolism | Cytoplasm / metabolism | DNA, Bacterial / metabolism | DNA, Single-Stranded / metabolism | DNA-Binding Proteins / biosynthesis | DNA-Binding Proteins / metabolism | Drosophila / embryology | Embryo, Nonmammalian / physiology | Female | Genetic Vectors | Ion Channels | Molecular Sequence Data | Mutagenesis, Site-Directed | Oocytes / physiology | Recombinant Proteins / biosynthesis | Recombinant Proteins / metabolism | Rhizobium | Sequence Homology, Amino Acid | Xenopus",,NIGMS NIH HHS,R01-GM50224,,,,,eng,
