# LLM uncertain full-text candidate queue for mechanistic generated at 2026-05-18T17:43:48.588386+00:00
# doi,compound,target_or_disorder,optional_study_title,optional_study_year,optional_authors,optional_study_journal,optional_publication_type,optional_trial_registry_ids,optional_publication_date,optional_journal_issn,optional_journal_eissn,optional_publisher,optional_mesh_terms,optional_keywords,optional_funders,optional_grant_ids,optional_related_dois,optional_publication_relations,optional_is_retracted,optional_has_correction,optional_language,optional_semantic_scholar_id
10.1002/jdn.10407,lutein,NMDA receptor,Lutein Exerts Antioxidant and Neuroprotective Role on Schizophrenia‐Like Behaviours in Mice,2024,Helia Aziziha; Shahin Hassanpour; Morteza Zendehdel,International Journal of Developmental Neuroscience,journal-article,,2024-12-26,0736-5748,1873-474X,Wiley,"Animals | Lutein / pharmacology | Lutein / therapeutic use | Mice | Male | Schizophrenia / drug therapy | Schizophrenia / metabolism | Schizophrenia / chemically induced | Antioxidants / pharmacology | Ketamine / pharmacology | Neuroprotective Agents / pharmacology | Neuroprotective Agents / therapeutic use | Disease Models, Animal | Catalase / metabolism | Glutathione Peroxidase / metabolism | Brain / drug effects | Brain / metabolism | Malondialdehyde / metabolism | Superoxide Dismutase / metabolism | Recognition, Psychology / drug effects | Oxidative Stress / drug effects | Motor Activity / drug effects | Schizophrenic Psychology | Swimming / psychology",brain | ketamine | lutein | mice | schizophrenia‐like behaviours,,,,,,,eng,
10.1590/s2175-97902018000117174,harmala alkaloids,monoamine oxidase A,"Pre-clinical interaction of ayahuasca, a brew used in spiritual movements, with morphine and propofol",2018,J. M. Pires; F. Mendes; A. P. Pires; M. Yonamine; J. L. G. D. Amaral; E. Carlini,Brazilian Journal of Pharmaceutical Sciences,journal-article,,2018-06-07,1984-8250,2175-9790,FapUNIFESP (SciELO),,Medicine | external | s2-fos-model,,,,,,,,cd008b8b3f7fbb876a6eb835c194e1811bc806b3
10.26685/urncst.644,,,Usage of Psilocybin to Treat Huntington's Disease: A Research Protocol,2024,Cynthia Duan; Navid Farkhondehpay; Viana Safa; Emma Yuan,Undergraduate Research in Natural and Clinical Science and Technology Journal,journal-article,,2024-09-05,2561-5637,2561-5637,Undergraduate Research in Natural and Clinical Science and Technology (URNCST) Journal,,,,,,,,,,
10.2967/jnumed.117.206243,,,Performance Evaluation of a High-Resolution Nonhuman Primate PET/CT System,2019,Zsolt Sarnyai; Kálmán Nagy; Gergely Patay; Milán Molnár; Göran Rosenqvist; Miklós Tóth; Akihiro Takano; Balázs Gulyás; Péter Major; Christer Halldin,Journal of Nuclear Medicine,journal-article,,2019-07-13,2159-662X,1535-5667,Society of Nuclear Medicine,Animals | Macaca fascicularis | Positron Emission Tomography Computed Tomography / instrumentation | Signal-To-Noise Ratio,NHP imaging | PET/CT imaging | multimodality imaging | performance evaluation | preclinical PET,,,,,,,eng,
10.3389/fnbeh.2022.836996,,,Friend of the Devil: Negative Social Influences Driving Substance Use Disorders,2022,Matthew B. Pomrenze; Franciely Paliarin; Rajani Maiya,Frontiers in Behavioral Neuroscience,journal-article,,2022-02-10,1662-5153,,Frontiers Media SA,,hyperkatifeia | kappa opioid receptor | serotonin | social defeat | social isolation | substance use disorders,NIAAA NIH HHS,R01 AA027293,,,,,eng,
10.3389/fnmol.2019.00117,,,A Role for Matrix Metalloproteases in Antidepressant Efficacy,2019,Seham Alaiyed; Katherine Conant,Frontiers in Molecular Neuroscience,journal-article,,2019-05-08,1662-5099,,Frontiers Media SA,,depression | gamma oscillations | matrix metalloproteases | monoamines | perineuronal nets,,,,,,,eng,
10.3390/ijms25168887,mephedrone,noradrenaline release,Opposite Contractile Effects of Amphetamine-Related Hallucinogenic Drugs in the Isolated Human Atrium,2024,Joachim Neumann; Britt Hofmann; Ulrich Gergs,International Journal of Molecular Sciences,journal-article,,2024-08-15,1422-0067,1661-6596,MDPI AG,Humans | Heart Atria / drug effects | Myocardial Contraction / drug effects | Hallucinogens / pharmacology | Male | Female | Isoproterenol / pharmacology | Methamphetamine / pharmacology | Methamphetamine / analogs & derivatives | Atropine / pharmacology | Amphetamines / pharmacology | Middle Aged | Propranolol / pharmacology | Amphetamine / pharmacology | Adult,DOI | DOM | human atrium | mephedrone,,,,,,,eng,
10.47626/1516-4446-2022-2541,,,Ayahuasca and its interaction with the sigma-1 receptor: a potential treatment for COVID-19,2022,Guillermo Saúl Escobar-Cornejo; Diego Mauricio Escobar-Cornejo; L. Ramos-Vargas,Brazilian Journal of Psychiatry,JournalArticle,,2022-07-15,1516-4446,1809-452X,EDITORA SCIENTIFIC,,Medicine | external,,,,,,,eng,03db019966de4cbe6d5c3995bc0f2ea9c2402487
10.1007/s00213-003-1740-3,,,Brain concentrations of d-MDMA are increased after stress,2004,Elizabeth Anne Johnson; James P. O’Callaghan; Diane B. Miller,Psychopharmacology,journal-article,,2004-01-20,0033-3158,1432-2072,Springer Science and Business Media LLC,"Animals | Body Temperature / drug effects | Cold Temperature / adverse effects | Corpus Striatum / metabolism | Dopamine / metabolism | Female | Hypothermia / chemically induced | Hypothermia / metabolism | Mice | Mice, Inbred C57BL | N-Methyl-3,4-methylenedioxyamphetamine / chemistry | N-Methyl-3,4-methylenedioxyamphetamine / metabolism | N-Methyl-3,4-methylenedioxyamphetamine / toxicity | Neurotoxicity Syndromes / etiology | Neurotoxicity Syndromes / prevention & control | Restraint, Physical | Stereoisomerism | Stress, Psychological / etiology | Stress, Psychological / metabolism",,,,,,,,eng,
10.1007/s002130000616,,,Further studies of the reinforcing effects of benztropine analogs in rhesus monkeys,2001,William L. Woolverton; Gerald S. Hecht; Gregory E. Agoston; Jonathan L. Katz; Amy Hauck Newman,Psychopharmacology,journal-article,,2001-04-04,0033-3158,1432-2072,Springer Science and Business Media LLC,Animals | Benztropine / analogs & derivatives | Benztropine / pharmacology | Cocaine / pharmacology | Dopamine Uptake Inhibitors / pharmacology | Female | Macaca mulatta | Male | Piperazines / pharmacology | Reaction Time / drug effects | Reaction Time / physiology | Reinforcement Schedule | Self Administration,,NIDA NIH HHS,DA-10352 | K02-DA-00161,,,,,eng,
10.1016/0006-8993(91)90377-8,DOI,5-HT2,"Evidence that spinal 5-HT1, 5-HT2 and 5-HT3 receptor subtypes modulate responses to noxious colorectal distension in the rat",1991,R.M. Danzebrink; G.F. Gebhart,Brain Research,journal-article,,1991-01-01,0006-8993,1872-6240,Elsevier BV,"Amidines / pharmacology | Animals | Blood Pressure | Colon / physiology | Indoles / pharmacology | Ketanserin / pharmacology | Male | Methysergide / pharmacology | Muscle Contraction | Muscle, Smooth / physiology | Muscles / physiology | Pressure | Rats | Rats, Inbred Strains | Receptors, Serotonin / drug effects | Receptors, Serotonin / physiology | Rectum / physiology | Reflex | Serotonin Antagonists / pharmacology | Spinal Cord / physiology | Tropanes / pharmacology | Tropisetron",,NINDS NIH HHS | NIGMS NIH HHS,NS19912 | T32 GM07069,,,,,eng,
10.1016/0024-3205(90)90520-2,,,Protein kinase C translocation in human blood platelets,1990,Hoau-Yan Wang; Eitan Friedman,Life Sciences,journal-article,,1990-01-01,0024-3205,1879-0631,Elsevier BV,Blood Platelets / drug effects | Blood Platelets / enzymology | Cell Membrane / enzymology | Cytosol / enzymology | Humans | In Vitro Techniques | Ketanserin / pharmacology | Kinetics | Protein Kinase C / blood | Serotonin / pharmacology | Tetradecanoylphorbol Acetate / pharmacology | Thrombin / pharmacology,,NIA NIH HHS | NIMH NIH HHS,AG-07700 | MH 45166,,,,,eng,
10.1016/0028-3908(93)90052-5,imipramine,5-HT2 receptor,Effect of chronic treatments with tandospirone and imipramine on serotonin-mediated behavioral responses and monoamine receptors,1993,S WIELAND; C FISCHETTE; I LUCKI,Neuropharmacology,journal-article,,1993-06-01,0028-3908,1873-7064,Elsevier BV,"Analysis of Variance | Animals | Behavior, Animal / drug effects | Imipramine / pharmacology | Isoindoles | Male | Piperazines / pharmacology | Pyrimidines / pharmacology | Radioligand Assay | Rats | Rats, Sprague-Dawley | Receptors, Neurotransmitter / drug effects | Serotonin Receptor Agonists / pharmacology",,NIMH NIH HHS,MH 36262,,,,,eng,
10.1016/j.ejphar.2006.02.010,Clozapine,alpha1-adrenoceptors,Potential vascular α1-adrenoceptor blocking properties of an array of 5-HT receptor ligands in the rat,2006,David Centurión; Suneet Mehotra; Araceli Sánchez-López; Saurabh Gupta; Antoinette MaassenVanDenBrink; Carlos M. Villalón,European Journal of Pharmacology,journal-article,,2006-03-01,0014-2999,1879-0712,Elsevier BV,"8-Hydroxy-2-(di-n-propylamino)tetralin / pharmacology | Adrenergic alpha-1 Receptor Agonists | Adrenergic alpha-1 Receptor Antagonists | Adrenergic alpha-Agonists / pharmacology | Adrenergic alpha-Antagonists | Animals | Blood Pressure / drug effects | Blood Pressure / physiology | Buspirone / pharmacology | Clozapine / pharmacology | Decerebrate State | Dose-Response Relationship, Drug | Drug Interactions | Ergotamine / pharmacology | Heart Rate / drug effects | Heart Rate / physiology | Ketanserin / pharmacology | Lisuride / pharmacology | Male | Metergoline / pharmacology | Methiothepin / pharmacology | Methysergide / pharmacology | Phenylephrine / pharmacology | Piperazines / pharmacology | Pizotyline / pharmacology | Prazosin / pharmacology | Pyridines / pharmacology | Rats | Rats, Wistar | Receptors, Adrenergic, alpha-1 / physiology | Serotonin Antagonists / pharmacology | Serotonin Receptor Agonists / pharmacology | Yohimbine / pharmacology",,,,,,,,eng,
10.1016/j.ejphar.2006.02.010,Lisuride,alpha1-adrenoceptors,Potential vascular α1-adrenoceptor blocking properties of an array of 5-HT receptor ligands in the rat,2006,David Centurión; Suneet Mehotra; Araceli Sánchez-López; Saurabh Gupta; Antoinette MaassenVanDenBrink; Carlos M. Villalón,European Journal of Pharmacology,journal-article,,2006-03-01,0014-2999,1879-0712,Elsevier BV,"8-Hydroxy-2-(di-n-propylamino)tetralin / pharmacology | Adrenergic alpha-1 Receptor Agonists | Adrenergic alpha-1 Receptor Antagonists | Adrenergic alpha-Agonists / pharmacology | Adrenergic alpha-Antagonists | Animals | Blood Pressure / drug effects | Blood Pressure / physiology | Buspirone / pharmacology | Clozapine / pharmacology | Decerebrate State | Dose-Response Relationship, Drug | Drug Interactions | Ergotamine / pharmacology | Heart Rate / drug effects | Heart Rate / physiology | Ketanserin / pharmacology | Lisuride / pharmacology | Male | Metergoline / pharmacology | Methiothepin / pharmacology | Methysergide / pharmacology | Phenylephrine / pharmacology | Piperazines / pharmacology | Pizotyline / pharmacology | Prazosin / pharmacology | Pyridines / pharmacology | Rats | Rats, Wistar | Receptors, Adrenergic, alpha-1 / physiology | Serotonin Antagonists / pharmacology | Serotonin Receptor Agonists / pharmacology | Yohimbine / pharmacology",,,,,,,,eng,
10.1016/j.jpsychires.2020.04.005,Ketamine,mGluR2 (GRM2),The positive allosteric modulator of the mGlu2 receptor JNJ-46356479 partially improves neuropathological deficits and schizophrenia-like behaviors in a postnatal ketamine mice model,2020,Albert Martínez-Pinteño; Susana García-Cerro; Sergi Mas; Teresa Torres; Daniel Boloc; Natalia Rodríguez; Amalia Lafuente; Patricia Gassó; Joan Albert Arnaiz; Eduard Parellada,Journal of Psychiatric Research,journal-article,,2020-04-26,0022-3956,1879-1379,Elsevier BV,"Animals | Antipsychotic Agents / pharmacology | Disease Models, Animal | Ketamine | Mice | Parvalbumins | Schizophrenia / chemically induced | Schizophrenia / drug therapy",,,,,,,,eng,
10.1016/j.jpsychires.2020.04.005,JNJ-46356479,mGluR2 (GRM2),The positive allosteric modulator of the mGlu2 receptor JNJ-46356479 partially improves neuropathological deficits and schizophrenia-like behaviors in a postnatal ketamine mice model,2020,Albert Martínez-Pinteño; Susana García-Cerro; Sergi Mas; Teresa Torres; Daniel Boloc; Natalia Rodríguez; Amalia Lafuente; Patricia Gassó; Joan Albert Arnaiz; Eduard Parellada,Journal of Psychiatric Research,journal-article,,2020-04-26,0022-3956,1879-1379,Elsevier BV,"Animals | Antipsychotic Agents / pharmacology | Disease Models, Animal | Ketamine | Mice | Parvalbumins | Schizophrenia / chemically induced | Schizophrenia / drug therapy",,,,,,,,eng,
10.1016/j.neuropharm.2004.10.011,DOI,5-HT2,Serotonergic modulation of carbachol-induced rhythmic activity in hippocampal slices,2005,M KRAUSE; Y JIA,Neuropharmacology,journal-article,,2005-01-27,0028-3908,1873-7064,Elsevier BV,"Action Potentials / drug effects | Action Potentials / physiology | Animals | Carbachol / pharmacology | Dose-Response Relationship, Drug | Hippocampus / drug effects | Hippocampus / physiology | Male | Periodicity | Rats | Rats, Sprague-Dawley | Receptor, Serotonin, 5-HT1A / physiology | Serotonin / pharmacology | Serotonin 5-HT1 Receptor Agonists | Serotonin 5-HT1 Receptor Antagonists | Serotonin Agents / pharmacology | Serotonin Antagonists / pharmacology | Serotonin Receptor Agonists / pharmacology",,,,,,,,eng,
10.1016/j.neuropharm.2004.10.011,5-HT1A,5-HT1A,Serotonergic modulation of carbachol-induced rhythmic activity in hippocampal slices,2005,M KRAUSE; Y JIA,Neuropharmacology,journal-article,,2005-01-27,0028-3908,1873-7064,Elsevier BV,"Action Potentials / drug effects | Action Potentials / physiology | Animals | Carbachol / pharmacology | Dose-Response Relationship, Drug | Hippocampus / drug effects | Hippocampus / physiology | Male | Periodicity | Rats | Rats, Sprague-Dawley | Receptor, Serotonin, 5-HT1A / physiology | Serotonin / pharmacology | Serotonin 5-HT1 Receptor Agonists | Serotonin 5-HT1 Receptor Antagonists | Serotonin Agents / pharmacology | Serotonin Antagonists / pharmacology | Serotonin Receptor Agonists / pharmacology",,,,,,,,eng,
10.1016/j.neuroscience.2014.07.009,MDMA,mitochondria,Modeling chronic brain exposure to amphetamines using primary rat neuronal cortical cultures,2014,T.B. Nogueira; S. da Costa Araújo; F. Carvalho; F.C. Pereira; E. Fernandes; M.L. Bastos; V.M. Costa; J.P. Capela,Neuroscience,journal-article,,2014-07-15,0306-4522,1873-7544,Elsevier BV,"Adrenergic Uptake Inhibitors / pharmacology | Amphetamine / pharmacology | Animals | Astrocytes / drug effects | Astrocytes / pathology | Astrocytes / physiology | Caspase 3 / metabolism | Cell Count | Cell Culture Techniques | Cell Death / drug effects | Cell Death / physiology | Cells, Cultured | Cerebral Cortex / drug effects | Cerebral Cortex / pathology | Cerebral Cortex / physiopathology | Dose-Response Relationship, Drug | Excitatory Amino Acid Antagonists / pharmacology | Glutathione / metabolism | Mitochondria / drug effects | Mitochondria / physiology | N-Methyl-3,4-methylenedioxyamphetamine / pharmacology | Neurons / drug effects | Neurons / pathology | Neurons / physiology | Rats, Wistar | Receptors, Glutamate / metabolism | Time Factors",amphetamines | chronic exposure | cortical neurons | long-term neuronal cultures | neurotoxicity | “ecstasy”,,,,,,,eng,
10.1016/j.neuroscience.2018.09.003,NMDA receptor antagonist,NMDA receptor,Blocking of Dendrodendritic Inhibition Unleashes Widely Spread Lateral Propagation of Odor-evoked Activity in the Mouse Olfactory Bulb,2018,Mengjuan Shang; Junling Xing,Neuroscience,journal-article,,2018-09-09,0306-4522,1873-7544,Elsevier BV,"Animals | Calcium Signaling | Dendrites / physiology | Electric Stimulation | GABA Agonists / administration & dosage | Mice, Transgenic | Neural Inhibition | Odorants | Olfactory Bulb / cytology | Olfactory Bulb / physiology | Olfactory Nerve / physiology | Olfactory Pathways / physiology | Receptors, GABA / physiology | Receptors, N-Methyl-D-Aspartate / antagonists & inhibitors | Receptors, N-Methyl-D-Aspartate / physiology | Smell / physiology | Synapses / physiology",calcium imaging | external plexiform layer | lateral inhibition | mitral cell | olfactory bulb | reciprocal synapses,NIH HHS,R01-DC03918,,,,,eng,
10.1016/j.pbb.2011.09.006,,,Psychopharmacological study of agmatine in behavioral tests of schizophrenia in rodents,2011,Nandkishor R. Kotagale; Brijesh G. Taksande; Paresh J. Wadhwani; Mahesh W. Palhade; Sachin M. Mendhi; Dinesh Y. Gawande; Pravin N. Hadole; Chandrabhan T. Chopde,Pharmacology Biochemistry and Behavior,journal-article,,2011-10-03,0091-3057,1873-5177,Elsevier BV,"Agmatine / adverse effects | Agmatine / therapeutic use | Animals | Antipsychotic Agents / adverse effects | Antipsychotic Agents / therapeutic use | Avoidance Learning | Behavior, Animal / drug effects | Catalepsy / chemically induced | Disease Models, Animal | Dopamine Agents / adverse effects | Dopamine Agents / therapeutic use | Dose-Response Relationship, Drug | Drug Evaluation, Preclinical | Dyskinesia, Drug-Induced / drug therapy | Male | Mice | Molecular Targeted Therapy | Prolactin / blood | Random Allocation | Rats | Rats, Sprague-Dawley | Schizophrenia / blood | Schizophrenia / drug therapy | Schizophrenia / physiopathology",,,,,,,,eng,
