action_reason,authors,best_pdf_url,contexts,funders,grant_ids,has_correction,is_retracted,journal_eissn,journal_issn,keywords,language,library_status,mesh_terms,metadata_lookup_error,metadata_lookup_warnings,metadata_missing_reason,metadata_provider,metadata_provider_chain,open_access_is_oa,open_access_status,paper_metadata_schema_version,pdf_download_selected_url,pdf_download_status,pdf_local_path,pdf_url_candidates,pmc_europepmc_pdf_url,pmc_oa_checked,pmc_oa_license,pmc_oa_pdf_url,publication_date,publication_relations,publication_type,publisher,related_dois,semantic_scholar_id,study_doi,study_journal,study_title,study_year,trial_registry_ids,unpaywall_best_pdf_url,unpaywall_checked,unpaywall_oa_status,unpaywall_pdf_url_candidates
open_access_but_no_direct_pdf_url,Takuya Oguma; Kohei Jino; Kenji Nakahara; Hidetsugu Asada; Kouki Fuchino; Kotaro Nagatani; Kensuke Kouki; Ryuji Okamoto; Nozomi Takai; Ken Koda,,LSD -> 5-HT2C,,,,,1520-4804,0022-2623,,eng,needs_download,"Antipsychotic Agents / pharmacology | Antipsychotic Agents / therapeutic use | Antipsychotic Agents / chemistry | Antipsychotic Agents / chemical synthesis | Animals | Receptor, Serotonin, 5-HT2A / metabolism | Humans | Psychotic Disorders / drug therapy | Serotonin 5-HT2 Receptor Agonists / pharmacology | Serotonin 5-HT2 Receptor Agonists / therapeutic use | Serotonin 5-HT2 Receptor Agonists / chemistry | Receptor, Serotonin, 5-HT2C / metabolism | Dementia / drug therapy | Structure-Activity Relationship | Male | Drug Inverse Agonism | ERG1 Potassium Channel / metabolism | ERG1 Potassium Channel / antagonists & inhibitors | Rats | Mice | Piperidines / pharmacology | Piperidines / therapeutic use | Piperidines / chemistry | Rats, Sprague-Dawley | Ether-A-Go-Go Potassium Channels / antagonists & inhibitors | Ether-A-Go-Go Potassium Channels / metabolism | Urea / analogs & derivatives",,,,pubmed,pubmed|unpaywall,true,green,paper_metadata_v2,,no_pdf_url,,,,,,,2024-08-13,,journal-article,American Chemical Society (ACS),,,10.1021/acs.jmedchem.4c01244,Journal of Medicinal Chemistry,Dual 5-HT<sub>2A</sub> and 5-HT<sub>2C</sub> Receptor Inverse Agonist That Affords In Vivo Antipsychotic Efficacy with Minimal hERG Inhibition for the Treatment of Dementia-Related Psychosis,2024,,,true,green,
https://europepmc.org/api/getPdf?pmcid=PMC11513891 -> download_failed: HTTPError: HTTP Error 500:  || https://pmc.ncbi.nlm.nih.gov/articles/PMC11513891/pdf/jm4c01961.pdf -> invalid_pdf_content: response_not_pdf,Yun Lin; Jiening Wang; Fan Shi; Linlin Yang; Shan Wu; Anna Qiao; Sheng Ye,https://europepmc.org/api/getPdf?pmcid=PMC11513891,DMT -> TAAR1 | methamphetamine -> TAAR1,,,,,1520-4804,0022-2623,,eng,needs_download,"Humans | Amphetamine-Related Disorders / metabolism | Central Nervous System Stimulants / pharmacology | Central Nervous System Stimulants / metabolism | Central Nervous System Stimulants / chemistry | HEK293 Cells | Ligands | Methamphetamine / metabolism | Methamphetamine / pharmacology | Molecular Dynamics Simulation | Receptors, G-Protein-Coupled / metabolism | Phenethylamines / chemistry | Phenethylamines / pharmacology | Trace Amine-Associated Receptors",,,,pubmed,pubmed|pmc|unpaywall,true,hybrid,paper_metadata_v2,,download_failed,,https://europepmc.org/api/getPdf?pmcid=PMC11513891 | https://pmc.ncbi.nlm.nih.gov/articles/PMC11513891/pdf/jm4c01961.pdf,,true,CC BY,,2024-10-02,,journal-article,American Chemical Society (ACS),,,10.1021/acs.jmedchem.4c01961,Journal of Medicinal Chemistry,Molecular Mechanisms of Methamphetamine-Induced Addiction via TAAR1 Activation,2024,,https://europepmc.org/api/getPdf?pmcid=PMC11513891,true,hybrid,https://europepmc.org/api/getPdf?pmcid=PMC11513891 | https://pmc.ncbi.nlm.nih.gov/articles/PMC11513891/pdf/jm4c01961.pdf
,Dilip K. Tosh; Matteo Pavan; Allison A. Clark; Josie Lammers; Serafina Villano; Silvia Marri; Silvia Sgambellone; Suebin Choi; Jihyun Lee; Marko S. Ivancich,https://europepmc.org/api/getPdf?pmcid=PMC11715225,2C-B -> 5-HT2A,NIMH NIH HHS | Intramural NIH HHS,R01 MH133849 | ZIA DK031117,,,1520-4804,0022-2623,,eng,needs_download,"Animals | Humans | Mice | Rats | Molecular Docking Simulation | Receptor, Serotonin, 5-HT2B / metabolism | Serotonin 5-HT2 Receptor Antagonists / pharmacology | Serotonin 5-HT2 Receptor Antagonists / chemical synthesis | Serotonin 5-HT2 Receptor Antagonists / chemistry | Structure-Activity Relationship | Nitriles / chemistry | Nitriles / pharmacology",,pmc: JSONDecodeError: Expecting value: line 1 column 2 (char 1),,pubmed,pubmed|unpaywall,true,green,paper_metadata_v2,,skipped,,https://europepmc.org/api/getPdf?pmcid=PMC11715225 | https://pmc.ncbi.nlm.nih.gov/articles/PMC11715225/pdf/nihms-2043095.pdf,,,,,2024-11-26,,journal-article,American Chemical Society (ACS),,,10.1021/acs.jmedchem.4c02174,Journal of Medicinal Chemistry,Potent and Selective Human 5-HT<sub>2B</sub> Serotonin Receptor Antagonists: 4′-Cyano-(N)-methanocarba-adenosines by Synthetic Serendipity,2024,,https://europepmc.org/api/getPdf?pmcid=PMC11715225,true,green,https://europepmc.org/api/getPdf?pmcid=PMC11715225 | https://pmc.ncbi.nlm.nih.gov/articles/PMC11715225/pdf/nihms-2043095.pdf
,Marco Banzato; Alberto Furlan; Patrizia Locatelli; Jacopo Sgrignani; Alberto Ongaro; Alessandro Dolmella; Sara De Martin; Stefano Comai; Andrea Cavalli; Charles Inturrisi,https://europepmc.org/api/getPdf?pmcid=PMC11912475,S-ketamine -> NMDA receptor | Ketamine -> NMDA receptor,,,,,1520-4804,0022-2623,,eng,needs_download,"Methadone / pharmacology | Methadone / chemical synthesis | Methadone / chemistry | Receptors, N-Methyl-D-Aspartate / antagonists & inhibitors | Receptors, N-Methyl-D-Aspartate / metabolism | Stereoisomerism | Animals | Humans | Structure-Activity Relationship | Rats",,,,pubmed,pubmed|pmc|unpaywall,true,hybrid,paper_metadata_v2,,skipped,,https://europepmc.org/api/getPdf?pmcid=PMC11912475 | https://pubs.acs.org/doi/pdf/10.1021/acs.jmedchem.4c02605?ref=article_openPDF,,true,CC BY,,2025-02-25,,journal-article,American Chemical Society (ACS),,,10.1021/acs.jmedchem.4c02605,Journal of Medicinal Chemistry,New Synthesis and Pharmacological Evaluation of Enantiomerically Pure (<i>R</i>)- and (<i>S</i>)-Methadone Metabolites as <i>N</i>-Methyl-<scp>d</scp>-aspartate Receptor Antagonists,2025,,https://europepmc.org/api/getPdf?pmcid=PMC11912475,true,hybrid,https://europepmc.org/api/getPdf?pmcid=PMC11912475 | https://pubs.acs.org/doi/pdf/10.1021/acs.jmedchem.4c02605?ref=article_openPDF
,Albert Ren; Xiuwen Zhu; Juerg Lehmann; Michelle Kasem; Thomas O. Schrader; Huong Dang; Minh Le; John Frazer; David J. Unett; Andrew J. Grottick,https://europepmc.org/api/getPdf?pmcid=PMC12169610,LSD -> 5-HT2C,,,,,1520-4804,0022-2623,,eng,needs_download,"Animals | Receptor, Serotonin, 5-HT2C / metabolism | Humans | Serotonin 5-HT2 Receptor Agonists / pharmacology | Serotonin 5-HT2 Receptor Agonists / chemistry | Serotonin 5-HT2 Receptor Agonists / pharmacokinetics | Serotonin 5-HT2 Receptor Agonists / chemical synthesis | Rats | Structure-Activity Relationship | Male | Rats, Sprague-Dawley | Azepines / pharmacology | Azepines / pharmacokinetics | Azepines / chemistry | Azepines / chemical synthesis | Drug Discovery | Benzodiazepines / pharmacology | Benzodiazepines / pharmacokinetics | Benzodiazepines / chemistry | Benzodiazepines / chemical synthesis | Half-Life",,,,pubmed,pubmed|pmc,true,gold,paper_metadata_v2,,skipped,,https://europepmc.org/api/getPdf?pmcid=PMC12169610 | https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_pdf/61/d4/jm4c02923.PMC12169610.pdf,https://europepmc.org/api/getPdf?pmcid=PMC12169610,true,CC BY-NC-ND,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_pdf/61/d4/jm4c02923.PMC12169610.pdf,2025-05-14,,Journal Article,,,,10.1021/acs.jmedchem.4c02923,Journal of medicinal chemistry,Diazepine Agonists of the 5-HT<sub>2C</sub> Receptor with Unprecedented Selectivity: Discovery of Bexicaserin (LP352),2025,,,,,
open_access_but_no_direct_pdf_url,Grazia Chiellini; Giulia Nesi; Maria Digiacomo; Rossella Malvasi; Stefano Espinoza; Martina Sabatini; Sabina Frascarelli; Annunziatina Laurino; Elena Cichero; Marco Macchia,,DMT -> TAAR1,,,,,1520-4804,0022-2623,,eng,needs_download,"Amino Acid Sequence | Animals | Blood Glucose / metabolism | Drug Design | HEK293 Cells | Humans | Ligands | Male | Mice | Models, Molecular | Molecular Sequence Data | Rats, Wistar | Receptors, G-Protein-Coupled / agonists | Receptors, G-Protein-Coupled / chemistry | Receptors, G-Protein-Coupled / metabolism | Small Molecule Libraries / chemistry | Small Molecule Libraries / pharmacology | Thyronines / chemistry | Thyronines / pharmacology | Trace Amine-Associated Receptors",,,,pubmed,pubmed|unpaywall,true,green,paper_metadata_v2,,no_pdf_url,,,,,,,2015-05-26,,journal-article,American Chemical Society (ACS),,,10.1021/acs.jmedchem.5b00526,Journal of Medicinal Chemistry,"Design, Synthesis, and Evaluation of Thyronamine Analogues as Novel Potent Mouse Trace Amine Associated Receptor 1 (<i>m</i>TAAR1) Agonists",2015,,,true,green,
open_access_but_no_direct_pdf_url,Alessandro Bonifazi; Fabio Del Bello; Valerio Mammoli; Alessandro Piergentili; Riccardo Petrelli; Cristina Cimarelli; Maura Pellei; Dirk Schepmann; Bernhard Wünsch; Elisabetta Barocelli,,"Ketamine -> NMDA receptor | NMDA receptor -> 1,4-dioxane-based compounds | σ1 receptor -> 1,4-dioxane-based compounds",,,,,1520-4804,0022-2623,,eng,needs_download,"Analgesics / chemistry | Analgesics / pharmacology | Analgesics / therapeutic use | Animals | Binding Sites | Dioxanes / chemistry | Dioxanes / pharmacology | Dioxanes / therapeutic use | Drug Design | Ligands | Mice | Models, Molecular | Pain / drug therapy | Phencyclidine / metabolism | Rats | Receptors, N-Methyl-D-Aspartate / antagonists & inhibitors | Receptors, N-Methyl-D-Aspartate / chemistry | Receptors, N-Methyl-D-Aspartate / metabolism | Receptors, sigma / antagonists & inhibitors | Receptors, sigma / metabolism | Sigma-1 Receptor",,,,pubmed,pubmed|unpaywall,true,green,paper_metadata_v2,,no_pdf_url,,,,,,,2015-10-02,,journal-article,American Chemical Society (ACS),,,10.1021/acs.jmedchem.5b01214,Journal of Medicinal Chemistry,"Novel Potent<i>N</i>-Methyl-<scp>d</scp>-aspartate (NMDA) Receptor Antagonists or σ<sub>1</sub>Receptor Ligands Based on Properly Substituted 1,4-Dioxane Ring",2015,,,true,green,
open_access_but_no_direct_pdf_url,Alexandra Sink; Eline Pottie; Samuel J. Carter; Robert J. Tombari; Verena Weber; Paolo Carloni; Giulia Rossetti; David E. Olson; Christophe P. Stove; Michael Decker,,LSD -> 5-HT2A | LSD -> 5-HT2A,NIGMS NIH HHS,R35 GM148182,,,1520-4804,0022-2623,,eng,needs_download,"Receptor, Serotonin, 5-HT2A / metabolism | Humans | Ligands | Drug Design | Light | beta-Arrestins / metabolism | Tryptamines / pharmacology | Tryptamines / chemistry | Tryptamines / chemical synthesis | GTP-Binding Protein alpha Subunits, Gq-G11 / metabolism | HEK293 Cells | Serotonin 5-HT2 Receptor Agonists / pharmacology | Serotonin 5-HT2 Receptor Agonists / chemical synthesis | Serotonin 5-HT2 Receptor Agonists / chemistry",,pmc: JSONDecodeError: Expecting value: line 1 column 2 (char 1),,pubmed,pubmed|unpaywall,true,green,paper_metadata_v2,,no_pdf_url,,,,,,,2025-06-18,,journal-article,American Chemical Society (ACS),,,10.1021/acs.jmedchem.5c00442,Journal of Medicinal Chemistry,"Design, Synthesis, and In Vitro Characterization of a Tryptamine-Based Visible-Light Photoswitchable 5-HT<sub>2A</sub>R Ligand Showing Efficacy Preference for β-Arrestin over Mini-Gq",2025,,,true,green,
,Joanna Sniecikowska; Monika Gluch-Lutwin; Adam Bucki; Beata Gryzlo; Krzysztof Wieckowski; Justyna Godyn; Anna Wieckowska; Agata Siwek; Magdalena Jastrzebska-Wiesek; Anna Partyka,https://europepmc.org/api/getPdf?pmcid=PMC12067441,5-MeO-DMT -> 5-HT1A | 5-MeO-DMT -> 5-HT1A,,,,,1520-4804,0022-2623,,eng,needs_download,"Animals | Antidepressive Agents / pharmacology | Antidepressive Agents / chemistry | Antidepressive Agents / pharmacokinetics | Antidepressive Agents / administration & dosage | Rats | Antiparkinson Agents / pharmacology | Antiparkinson Agents / chemistry | Antiparkinson Agents / pharmacokinetics | Antiparkinson Agents / administration & dosage | Male | Administration, Oral | Humans | Structure-Activity Relationship | Serotonin 5-HT1 Receptor Agonists / pharmacology | Serotonin 5-HT1 Receptor Agonists / chemistry | Serotonin 5-HT1 Receptor Agonists / pharmacokinetics | Serotonin 5-HT1 Receptor Agonists / administration & dosage | Rats, Sprague-Dawley | Receptor, Serotonin, 5-HT1A / metabolism | Mice | Catalepsy / chemically induced | Catalepsy / drug therapy | Drug Discovery",,,,pubmed,pubmed|pmc|unpaywall,true,hybrid,paper_metadata_v2,,skipped,,https://europepmc.org/api/getPdf?pmcid=PMC12067441 | http://ruj.uj.edu.pl/bitstreams/fc069e15-be7a-4049-943f-9ae940826667/download,,true,CC BY,,2025-04-23,,journal-article,American Chemical Society (ACS),,,10.1021/acs.jmedchem.5c00484,Journal of Medicinal Chemistry,"Discovery of NLX-266, an Orally Available and Metabolically Stable ERK1/2-Biased 5-HT<sub>1A</sub>R Agonist with Superior Antidepressant and Antiparkinsonian Activity",2025,NCT05148884,https://europepmc.org/api/getPdf?pmcid=PMC12067441,true,hybrid,https://europepmc.org/api/getPdf?pmcid=PMC12067441 | http://ruj.uj.edu.pl/bitstreams/fc069e15-be7a-4049-943f-9ae940826667/download
,Saghir Ali; Xiaochen Tian; Kathryn A. Cunningham; Jia Zhou,https://europepmc.org/api/getPdf?pmcid=PMC12834176,Mescaline -> 5-HT2A,"Chauncey Leake Distinguished Professor Endowment | John D. Stobo, M.D. Distinguished Chair Endowment Fund | Edith & Robert Zinn Chair in Drug Discovery Endowment Fund | NIH | Center for Addiction Sciences and Therapeutics",N/A | MH093844; DA038446; DA020087; DA028821,,,1520-4804,0022-2623,,en,needs_download,,,pmc: JSONDecodeError: Expecting value: line 1 column 2 (char 1) | openalex: HTTPError: HTTP Error 400: Bad Request | semantic_scholar: HTTPError: HTTP Error 429:,providers_returned_no_abstract,pubmed,pubmed|unpaywall|crossref,true,green,paper_metadata_v2,,skipped,,https://europepmc.org/api/getPdf?pmcid=PMC12834176,,,,,2025-05-22,,journal-article,American Chemical Society (ACS),,,10.1021/acs.jmedchem.5c01156,Journal of Medicinal Chemistry,Targeting the 5-HT 2A Receptor for Developing Psychedelic Drugs and Beyond,2025,,https://europepmc.org/api/getPdf?pmcid=PMC12834176,true,green,https://europepmc.org/api/getPdf?pmcid=PMC12834176
,Jason Wallach; Sean Cameron; Michael Dybek; Branden Stanley; Christopher Orme; Nour Riad; Pierce Kavanagh; Simon D. Brandt; Adam Knapp; James Gamrat,https://europepmc.org/api/getPdf?pmcid=PMC12951560,S-ketamine -> NMDA receptor | Ketamine -> NMDA receptor,,,,,1520-4804,0022-2623,,eng,needs_download,"Animals | Humans | Structure-Activity Relationship | Rats | Fragile X Syndrome / drug therapy | Mice | Organoselenium Compounds / pharmacology | Organoselenium Compounds / chemistry | Organoselenium Compounds / pharmacokinetics | Organoselenium Compounds / therapeutic use | Receptors, N-Methyl-D-Aspartate / antagonists & inhibitors | Receptors, N-Methyl-D-Aspartate / metabolism | Molecular Docking Simulation | Male | Polypharmacology | Drug Discovery | Selenium / chemistry",,,,pubmed,pubmed|pmc|unpaywall,true,hybrid,paper_metadata_v2,,skipped,,https://europepmc.org/api/getPdf?pmcid=PMC12951560 | https://pmc.ncbi.nlm.nih.gov/articles/PMC12951560/pdf/jm5c02700.pdf,,true,CC BY,,2026-02-10,,journal-article,American Chemical Society (ACS),,,10.1021/acs.jmedchem.5c02700,Journal of Medicinal Chemistry,Bioisostere-Driven Discovery of SePP: A Selenium-Containing Polypharmacological Agent Relevant to Fragile X Syndrome,2026,,https://europepmc.org/api/getPdf?pmcid=PMC12951560,true,hybrid,https://europepmc.org/api/getPdf?pmcid=PMC12951560 | https://pmc.ncbi.nlm.nih.gov/articles/PMC12951560/pdf/jm5c02700.pdf
,Yujin Wu; Seth F. Vigneron; João M. Bráz; Karthik Srinivasan; Elissa A. Fink; Xi-Ping Huang; Xinyu Xu; Harald Huebner; Joseph Kim; Jing Wang,https://europepmc.org/api/getPdf?pmcid=PMC12990039,LSD -> 5-HT2A,NIGMS NIH HHS,T32 GM145460,,,1520-4804,0022-2623,,eng,needs_download,Polypharmacology | Molecular Docking Simulation | Animals | Mice | Humans | Small Molecule Libraries / chemistry | Small Molecule Libraries / pharmacology | Analgesics / pharmacology | Analgesics / chemistry | Structure-Activity Relationship | Antidepressive Agents / pharmacology | Antidepressive Agents / chemistry,,,,pubmed,pubmed|pmc,true,gold,paper_metadata_v2,,skipped,,https://europepmc.org/api/getPdf?pmcid=PMC12990039 | https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_pdf/32/7b/jm5c03810.PMC12990039.pdf,https://europepmc.org/api/getPdf?pmcid=PMC12990039,true,CC BY-NC-ND,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_pdf/32/7b/jm5c03810.PMC12990039.pdf,2026-02-19,,Journal Article,,,,10.1021/acs.jmedchem.5c03810,Journal of medicinal chemistry,Large Library Docking for Polypharmacology,2026,,,,,
open_access_but_no_direct_pdf_url,Dilip K. Tosh; Antonella Ciancetta; Eugene Warnick; Steven Crane; Zhan-Guo Gao; Kenneth A. Jacobson,,5-HT5A | LSD -> 5-HT2A,NHLBI NIH HHS | Intramural NIH HHS,R01 HL077707 | ZIA DK031126,,,1520-4804,0022-2623,,eng,needs_download,"Adenosine / chemical synthesis | Adenosine / chemistry | Adenosine / pharmacology | Dose-Response Relationship, Drug | Humans | Models, Molecular | Molecular Structure | Receptors, Serotonin / metabolism | Serotonin 5-HT2 Receptor Antagonists / chemical synthesis | Serotonin 5-HT2 Receptor Antagonists / chemistry | Serotonin 5-HT2 Receptor Antagonists / pharmacology | Structure-Activity Relationship",,,,pubmed,pubmed|pmc|unpaywall,true,green,paper_metadata_v2,,no_pdf_url,,,,true,,,2016-12-09,,journal-article,American Chemical Society (ACS),,,10.1021/acs.jmedchem.6b01183,Journal of Medicinal Chemistry,Structure-Based Scaffold Repurposing for G Protein-Coupled Receptors: Transformation of Adenosine Derivatives into 5HT<sub>2B</sub>/5HT<sub>2C</sub>Serotonin Receptor Antagonists,2016,,,true,green,
open_access_but_no_direct_pdf_url,Lucia Tamborini; Ying Chen; Catherine A. Foss; Andrea Pinto; Andrew G. Horti; Stephen F. Traynelis; Carlo De Micheli; Ronnie C. Mease; Kasper B. Hansen; Paola Conti,,Ketamine -> NMDA receptor,NIGMS NIH HHS | NCI NIH HHS | NINDS NIH HHS,P20 GM103546 | R01 CA134675 | R01 NS065371 | R01 NS097536,,,1520-4804,0022-2623,,eng,needs_download,"Animals | Binding Sites / drug effects | Brain / diagnostic imaging | Carbon Radioisotopes | Dose-Response Relationship, Drug | Glutamic Acid / chemistry | Iodine Radioisotopes | Ligands | Male | Mice | Mice, Nude | Molecular Structure | Neuroprotective Agents / chemistry | Neuroprotective Agents / pharmacology | Positron Emission Tomography Computed Tomography | Pyrazoles / chemistry | Pyrazoles / pharmacology | Receptors, N-Methyl-D-Aspartate / analysis | Structure-Activity Relationship",,,,pubmed,pubmed|pmc|unpaywall,true,green,paper_metadata_v2,,no_pdf_url,,,,true,,,2016-11-21,,journal-article,American Chemical Society (ACS),,,10.1021/acs.jmedchem.6b01344,Journal of Medicinal Chemistry,Development of Radiolabeled Ligands Targeting the Glutamate Binding Site of the <i>N</i>-Methyl-<scp>d</scp>-aspartate Receptor as Potential Imaging Agents for Brain,2016,,,true,green,
open_access_but_no_direct_pdf_url,Jianjing Cao; Rachel D. Slack; Oluyomi M. Bakare; Caitlin Burzynski; Rana Rais; Barbara S. Slusher; Theresa Kopajtic; Alessandro Bonifazi; Michael P. Ellenberger; Hideaki Yano,,MDMA -> DAT (SLC6A3) | MDMA -> SERT (SLC6A4),Intramural NIH HHS,ZIA DA000389,,,1520-4804,0022-2623,,eng,needs_download,"Animals | Benzhydryl Compounds / chemistry | Benzhydryl Compounds / metabolism | Benzhydryl Compounds / pharmacology | COS Cells | Cells, Cultured | Chlorocebus aethiops | Dopamine Plasma Membrane Transport Proteins / antagonists & inhibitors | Dopamine Plasma Membrane Transport Proteins / metabolism | Dose-Response Relationship, Drug | Humans | Locomotion / drug effects | Male | Mice | Mice, Inbred C57BL | Microsomes, Liver / chemistry | Microsomes, Liver / metabolism | Modafinil | Molecular Structure | Rats | Rats, Sprague-Dawley | Structure-Activity Relationship",,,,pubmed,pubmed|pmc|unpaywall,true,green,paper_metadata_v2,,no_pdf_url,,,,true,,,2016-11-28,,journal-article,American Chemical Society (ACS),,,10.1021/acs.jmedchem.6b01373,Journal of Medicinal Chemistry,Novel and High Affinity 2-[(Diphenylmethyl)sulfinyl]acetamide (Modafinil) Analogues as Atypical Dopamine Transporter Inhibitors,2016,,,true,green,
https://europepmc.org/api/getPdf?pmcid=PMC5824997 -> download_failed: HTTPError: HTTP Error 500:,Richard A. Glennon,https://europepmc.org/api/getPdf?pmcid=PMC5824997,DMT -> TAAR1 | LSD -> 5-HT2A | hallucinogens -> serotonin receptors | empathogens -> monoamine transporters,NIDA NIH HHS | NIMH NIH HHS,R01 DA001642 | R01 DA033930 | R01 MH060599,,,1520-4804,0022-2623,,eng,needs_download,"Animals | Central Nervous System Stimulants / chemistry | Central Nervous System Stimulants / pharmacokinetics | Central Nervous System Stimulants / pharmacology | Chemistry, Pharmaceutical | Dopamine / metabolism | Drug Discovery | Hallucinogens / chemistry | Hallucinogens / pharmacokinetics | Hallucinogens / pharmacology | Humans | Illicit Drugs / chemistry | Illicit Drugs / pharmacokinetics | Illicit Drugs / pharmacology | Norepinephrine / metabolism | Phenethylamines / chemistry | Phenethylamines / pharmacokinetics | Phenethylamines / pharmacology | Psychotropic Drugs / chemistry | Psychotropic Drugs / pharmacokinetics | Psychotropic Drugs / pharmacology | Receptors, Serotonin / metabolism | Serotonin / metabolism",,,,pubmed,pubmed|pmc|unpaywall,true,green,paper_metadata_v2,,download_failed,,https://europepmc.org/api/getPdf?pmcid=PMC5824997,,true,,,2017-02-28,,journal-article,American Chemical Society (ACS),,,10.1021/acs.jmedchem.7b00085,Journal of Medicinal Chemistry,The 2014 Philip S. Portoghese Medicinal Chemistry Lectureship: The “Phenylalkylaminome” with a Focus on Selected Drugs of Abuse,2017,,https://europepmc.org/api/getPdf?pmcid=PMC5824997,true,green,https://europepmc.org/api/getPdf?pmcid=PMC5824997
open_access_but_no_direct_pdf_url,Javier García-Cárceles; Juan M. Decara; Henar Vázquez-Villa; Ramón Rodríguez; Eva Codesido; Jacobo Cruces; José Brea; María I. Loza; Francisco Alén; Joaquin Botta,,LSD -> 5-HT2C,,,,,1520-4804,0022-2623,,eng,needs_download,"Allosteric Regulation / drug effects | Animals | Anti-Obesity Agents / chemistry | Anti-Obesity Agents / pharmacology | Appetite Regulation / drug effects | Humans | Male | Mice | Obesity / drug therapy | Pyridines / chemistry | Pyridines / pharmacology | Rats, Wistar | Receptor, Serotonin, 5-HT2C / metabolism | Serotonin / metabolism | Serotonin 5-HT2 Receptor Agonists / chemistry | Serotonin 5-HT2 Receptor Agonists / pharmacology | Taste Perception / drug effects",,,,pubmed,pubmed|unpaywall,true,green,paper_metadata_v2,,no_pdf_url,,,,,,,2017-11-08,,journal-article,American Chemical Society (ACS),,,10.1021/acs.jmedchem.7b00994,Journal of Medicinal Chemistry,A Positive Allosteric Modulator of the Serotonin 5-HT<sub>2C</sub>Receptor for Obesity,2017,,,true,green,
,Hualong Fu; Zhen Chen; Lee Josephson; Zijing Li; Steven H. Liang,https://europepmc.org/api/getPdf?pmcid=PMC6393217,Ketamine -> NMDA receptor,NIDA NIH HHS | NIMH NIH HHS,K01 DA038000 | R01 MH117125 | R21 DA043507 | R33 DA043507,,,1520-4804,0022-2623,,eng,needs_download,"Animals | Central Nervous System / diagnostic imaging | Central Nervous System / metabolism | Humans | Ligands | Positron-Emission Tomography / methods | Radiopharmaceuticals / chemistry | Receptors, AMPA / chemistry | Receptors, AMPA / metabolism | Receptors, Ionotropic Glutamate / chemistry | Receptors, Ionotropic Glutamate / metabolism | Kainic Acid Receptors / chemistry | Kainic Acid Receptors / metabolism | Receptors, N-Methyl-D-Aspartate / chemistry | Receptors, N-Methyl-D-Aspartate / metabolism",,,,pubmed,pubmed|pmc|unpaywall,true,green,paper_metadata_v2,,skipped,,https://europepmc.org/api/getPdf?pmcid=PMC6393217,,true,,,2018-08-15,,journal-article,American Chemical Society (ACS),,,10.1021/acs.jmedchem.8b00714,Journal of Medicinal Chemistry,"Positron Emission Tomography (PET) Ligand Development for Ionotropic Glutamate Receptors: Challenges and Opportunities for Radiotracer Targeting <i>N</i>-Methyl-<scp>d</scp>-aspartate (NMDA), α-Amino-3-hydroxy-5-methyl-4-isoxazolepropionic Acid (AMPA), and Kainate Receptors",2018,,https://europepmc.org/api/getPdf?pmcid=PMC6393217,true,green,https://europepmc.org/api/getPdf?pmcid=PMC6393217
open_access_but_no_direct_pdf_url,Dahlia R. Weiss; Joel Karpiak; Xi-Ping Huang; Maria F. Sassano; Jiankun Lyu; Bryan L. Roth; Brian K. Shoichet,,LSD -> 5-HT2A,NIGMS NIH HHS,F32 GM093580 | R35 GM122481,,,1520-4804,0022-2623,,eng,needs_download,"Drug Evaluation, Preclinical | Ligands | Molecular Docking Simulation | Protein Conformation | Receptor, Serotonin, 5-HT2A / chemistry | Receptor, Serotonin, 5-HT2A / metabolism | Receptors, Dopamine D2 / chemistry | Receptors, Dopamine D2 / metabolism | Substrate Specificity",,,,pubmed,pubmed|pmc|unpaywall,true,green,paper_metadata_v2,,no_pdf_url,,,,true,none,,2018-07-10,,journal-article,American Chemical Society (ACS),,,10.1021/acs.jmedchem.8b00718,Journal of Medicinal Chemistry,Selectivity Challenges in Docking Screens for GPCR Targets and Antitargets,2018,,,true,green,
open_access_but_no_direct_pdf_url,Elisabeth Kronenberg; Frauke Weber; Stefanie Brune; Dirk Schepmann; Carmen Almansa; Kristina Friedland; Erik Laurini; Sabrina Pricl; Bernhard Wünsch,,Ibogaine -> NMDA receptor,,,,,1520-4804,0022-2623,,eng,needs_download,"Benzopyrans / chemical synthesis | Benzopyrans / chemistry | Benzopyrans / metabolism | Binding Sites | Crystallography, X-Ray | Humans | Hydrophobic and Hydrophilic Interactions | Ligands | Molecular Dynamics Simulation | Protein Structure, Tertiary | Receptors, Opioid, mu / chemistry | Receptors, Opioid, mu / metabolism | Receptors, sigma / chemistry | Receptors, sigma / metabolism | Spiro Compounds / chemistry | Structure-Activity Relationship | Sigma-1 Receptor",,,,pubmed,pubmed|unpaywall,true,green,paper_metadata_v2,,no_pdf_url,,,,,,,2019-04-02,,journal-article,American Chemical Society (ACS),,,10.1021/acs.jmedchem.9b00449,Journal of Medicinal Chemistry,Synthesis and Structure–Affinity Relationships of Spirocyclic Benzopyrans with Exocyclic Amino Moiety,2019,,,true,green,
