access_level,affinity_type,affinity_unit,affinity_value,assay_type,authors,compound,created_at_utc,evidence_level,evidence_location,evidence_locator,notes,openalex_id,paper_type,source,source_type,species,stub_status,study_design,study_doi,study_title,study_year,system,target
abstract_only,Other,,,functional assay,Jordi Riba; Ethan H. McIlhenny; José Carlos Bouso; Steven A. Barker,DMT,2026-04-22T05:12:28.269832+00:00,low,abstract,"Abstract snippet: N,N-dimethyltryptamine (DMT) is a widely distributed plant alkaloid that displays partial agonist activity at the 5-HT2A receptor and induces intense psychedelic effects",Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,,primary_results,doi,primary_study,,pending_curation,preclinical_study,10.1002/dta.1685,"Metabolism and urinary disposition of <i>N</i>,<i>N</i>‐dimethyltryptamine after oral and smoked administration: a comparative study",2014,unknown,5-HT2A
abstract_only,Other,,,,Simon D. Brandt; Leslie A. King; Michael Evans‐Brown,LSD,2026-04-22T05:12:28.269832+00:00,low,abstract,"Abstract snippet: This special issue provides a multidisciplinary snapshot of recent developments of the broader, arguably phenomenal, changes to the drug market that have occurred in the",Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,,other,doi,primary_study,,pending_curation,preclinical_study,10.1002/dta.1686,The new drug phenomenon,2014,unknown,NET (SLC6A2)
abstract_only,Other,,,,Simon D. Brandt; Leslie A. King; Michael Evans‐Brown,Psilocybin,2026-04-22T05:12:28.269832+00:00,low,abstract,"Abstract snippet: This special issue provides a multidisciplinary snapshot of recent developments of the broader, arguably phenomenal, changes to the drug market that have occurred in the",Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,,other,doi,primary_study,,pending_curation,preclinical_study,10.1002/dta.1686,The new drug phenomenon,2014,unknown,NET (SLC6A2)
abstract_only,Other,,,,Simon D. Brandt; Leslie A. King; Michael Evans‐Brown,MDMA,2026-04-22T05:12:28.269832+00:00,low,abstract,"Abstract snippet: This special issue provides a multidisciplinary snapshot of recent developments of the broader, arguably phenomenal, changes to the drug market that have occurred in the",Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,,other,doi,primary_study,,pending_curation,preclinical_study,10.1002/dta.1686,The new drug phenomenon,2014,unknown,NET (SLC6A2)
abstract_only,Other,,,,Simon D. Brandt; Leslie A. King; Michael Evans‐Brown,Ketamine,2026-04-22T05:12:28.269832+00:00,low,abstract,"Abstract snippet: This special issue provides a multidisciplinary snapshot of recent developments of the broader, arguably phenomenal, changes to the drug market that have occurred in the",Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,,other,doi,primary_study,,pending_curation,preclinical_study,10.1002/dta.1686,The new drug phenomenon,2014,unknown,NET (SLC6A2)
abstract_only,Other,,,,Simon D. Brandt; Leslie A. King; Michael Evans‐Brown,S-ketamine,2026-04-22T05:12:28.269832+00:00,low,abstract,"Abstract snippet: This special issue provides a multidisciplinary snapshot of recent developments of the broader, arguably phenomenal, changes to the drug market that have occurred in the",Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,,other,doi,primary_study,,pending_curation,preclinical_study,10.1002/dta.1686,The new drug phenomenon,2014,unknown,NET (SLC6A2)
abstract_only,Other,,,,Simon D. Brandt; Leslie A. King; Michael Evans‐Brown,R-ketamine,2026-04-22T05:12:28.269832+00:00,low,abstract,"Abstract snippet: This special issue provides a multidisciplinary snapshot of recent developments of the broader, arguably phenomenal, changes to the drug market that have occurred in the",Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,,other,doi,primary_study,,pending_curation,preclinical_study,10.1002/dta.1686,The new drug phenomenon,2014,unknown,NET (SLC6A2)
abstract_only,Other,,,,Simon D. Brandt; Leslie A. King; Michael Evans‐Brown,DOM,2026-04-22T05:12:28.269832+00:00,low,abstract,"Abstract snippet: This special issue provides a multidisciplinary snapshot of recent developments of the broader, arguably phenomenal, changes to the drug market that have occurred in the",Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,,other,doi,primary_study,,pending_curation,preclinical_study,10.1002/dta.1686,The new drug phenomenon,2014,unknown,NET (SLC6A2)
abstract_only,Other,,,functional assay,Simon D. Brandt; Pierce V. Kavanagh; Folker Westphal; Alexander Stratford; Simon Elliott; Khoa Hoang; Jason Wallach; Adam L. Halberstadt,LSD,2026-04-22T05:12:28.269832+00:00,low,abstract,Abstract snippet: 1-Propionyl-d-lysergic acid diethylamide hemitartrate (1P-LSD) has become available as a 'research chemical' in the form of blotters and powdered material. This non-contr,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,,primary_results,doi,primary_study,,pending_curation,preclinical_study,10.1002/dta.1884,Return of the lysergamides. Part I: Analytical and behavioural characterization of 1‐propionyl‐<i>d</i>‐lysergic acid diethylamide (1P‐LSD),2015,unknown,5-HT2A
abstract_only,Other,,,uptake inhibition,Mattias Persson; Svante Vikingsson; Robert Kronstrand; Henrik Green,MDMA,2026-04-22T05:12:28.269832+00:00,low,abstract,"Abstract snippet: Many new psychoactive substances (NPS) are stimulants, and information about their potency and abuse potential is often lacking. To start addressing this need, a method m",Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,,primary_results,doi,primary_study,,pending_curation,preclinical_study,10.1002/dta.3547,Characterization of neurotransmitter inhibition for seven cathinones by a proprietary fluorescent dye method,2023,in_vitro,DAT (SLC6A3)
abstract_only,Other,,,functional assay,T.M. Hillhouse; S.S. Negus,Ketamine,2026-04-22T05:12:28.269832+00:00,low,abstract,Abstract snippet: NMDA receptor antagonists produce dissociable effects on pain-depressed behaviour. Provides evidence that pain-depressed behaviours should be considered and evaluated whe,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,,primary_results,doi,primary_study,,pending_curation,preclinical_study,10.1002/ejp.847,Effects of the noncompetitive <i>N</i>‐methyl‐<scp>d</scp>‐aspartate receptor antagonists ketamine and <scp>MK</scp>‐801 on pain‐stimulated and pain‐depressed behaviour in rats,2016,unknown,NMDA receptor
abstract_only,Other,,,radioligand binding,Dea Siggaard Stenbæk; Sara Kristiansen; Daniel Burmester; Martin Korsbak Madsen; Vibe Gedsoe Frokjaer; Gitte Moos Knudsen; Patrick MacDonald Fisher,Psilocybin,2026-04-22T05:12:28.269832+00:00,low,abstract,Abstract snippet: Recent research found lasting increases in personality trait Openness in healthy individuals and patients after administration of the serotonin 2A receptor (5-HT<sub>2A</,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,,primary_results,doi,primary_study,,pending_curation,preclinical_study,10.1002/hbm.24511,Trait Openness and serotonin 2A receptors in healthy volunteers: A positron emission tomography study,2019,unknown,5-HT2A
abstract_only,Other,,,uptake inhibition,Foke L. van de Blaak; Glenn Dumont,MDMA,2026-04-22T05:12:28.269832+00:00,low,abstract,"Abstract snippet: The main findings of this review are that MDMA-use leads to an acute decrease in SERT availability and causes an impairment in cognitive functions, mostly memory. However",Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,,other,doi,primary_study,,pending_curation,pending_curation,10.1002/hup.2811,"Serotonin transporter availability, neurocognitive function and their correlation in abstinent 3,4‐methylenedioxymethamphetamine users",2021,unknown,SERT (SLC6A4)
abstract_only,Other,,,,Edward James; Joachim Keppler; Thomas L Robertshaw; Ben Sessa,DMT,2026-04-22T05:12:28.269832+00:00,low,abstract,"Abstract snippet: Abstract Objective Reports have indicated possible uses of ayahuasca for the treatment of conditions including depression, addictions, post‐traumatic stress disorder, anx",Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,,review,doi,primary_study,,pending_curation,preclinical_study,10.1002/hup.2835,"N,N‐dimethyltryptamine and Amazonian ayahuasca plant medicine",2022,unknown,Sigma-1 receptor (SIGMAR1)
abstract_only,Other,,,,Edward James; Joachim Keppler; Thomas L Robertshaw; Ben Sessa,Ayahuasca,2026-04-22T05:12:28.269832+00:00,low,abstract,"Abstract snippet: Abstract Objective Reports have indicated possible uses of ayahuasca for the treatment of conditions including depression, addictions, post‐traumatic stress disorder, anx",Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,,review,doi,primary_study,,pending_curation,preclinical_study,10.1002/hup.2835,"N,N‐dimethyltryptamine and Amazonian ayahuasca plant medicine",2022,unknown,Sigma-1 receptor (SIGMAR1)
abstract_only,Other,,,radioligand binding,Hans O. Kalkman; Lukasz Smigielski,Ketamine,2026-04-22T05:12:28.269832+00:00,low,abstract,"Abstract snippet: ABSTRACT Loss of function mutations in the WFS1 gene cause Wolfram syndrome, which is characterized by juvenile‐onset diabetes mellitus, diabetes insipidus, neurodegenera",Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,,primary_results,doi,primary_study,,pending_curation,preclinical_study,10.1002/hup.70019,Could R‐Ketamine and Wolfram Syndrome Inform Understanding of Depression and Suicidality? A Sigma‐1 Receptor‐Based Perspective,2025,unknown,Sigma-1 receptor (SIGMAR1)
abstract_only,Other,,,radioligand binding,Hans O. Kalkman; Lukasz Smigielski,S-ketamine,2026-04-22T05:12:28.269832+00:00,low,abstract,"Abstract snippet: ABSTRACT Loss of function mutations in the WFS1 gene cause Wolfram syndrome, which is characterized by juvenile‐onset diabetes mellitus, diabetes insipidus, neurodegenera",Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,,primary_results,doi,primary_study,,pending_curation,preclinical_study,10.1002/hup.70019,Could R‐Ketamine and Wolfram Syndrome Inform Understanding of Depression and Suicidality? A Sigma‐1 Receptor‐Based Perspective,2025,unknown,Sigma-1 receptor (SIGMAR1)
abstract_only,Other,,,radioligand binding,Hans O. Kalkman; Lukasz Smigielski,R-ketamine,2026-04-22T05:12:28.269832+00:00,low,abstract,"Abstract snippet: ABSTRACT Loss of function mutations in the WFS1 gene cause Wolfram syndrome, which is characterized by juvenile‐onset diabetes mellitus, diabetes insipidus, neurodegenera",Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,,primary_results,doi,primary_study,,pending_curation,preclinical_study,10.1002/hup.70019,Could R‐Ketamine and Wolfram Syndrome Inform Understanding of Depression and Suicidality? A Sigma‐1 Receptor‐Based Perspective,2025,unknown,Sigma-1 receptor (SIGMAR1)
abstract_only,Other,,,radioligand binding,NESTOR F. GONZALEZ‐CADAVID; IGOR RYNDIN; DOLORES VERNET; THOMAS R. MAGEE; JACOB RAJFER,Ketamine,2026-04-22T05:12:28.269832+00:00,low,abstract,"Abstract snippet: ABSTRACT: Some sexual responses in the male rat, specifically penile erection, are controlled by neural circuits in the brain and spine that are stimulated by the binding",Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,,primary_results,doi,primary_study,,pending_curation,preclinical_study,10.1002/j.1939-4640.2000.tb02122.x,Presence of NMDA Receptor Subunits in the Male Lower Urogenital Tract,2000,in_vitro,NMDA receptor
abstract_only,Other,,,uptake inhibition,Kristin Waters,LSD,2026-04-22T05:12:28.269832+00:00,low,abstract,"Abstract snippet: Abstract Hallucinogens constitute a unique class of substances that cause changes in the user's thoughts, perceptions, and mood through various mechanisms of action. Alth",Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,,other,doi,primary_study,,pending_curation,pending_curation,10.1002/jcph.1917,Pharmacologic Similarities and Differences Among Hallucinogens,2021,unknown,NMDA receptor
abstract_only,Other,,,uptake inhibition,Kristin Waters,Psilocybin,2026-04-22T05:12:28.269832+00:00,low,abstract,"Abstract snippet: Abstract Hallucinogens constitute a unique class of substances that cause changes in the user's thoughts, perceptions, and mood through various mechanisms of action. Alth",Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,,other,doi,primary_study,,pending_curation,pending_curation,10.1002/jcph.1917,Pharmacologic Similarities and Differences Among Hallucinogens,2021,unknown,NMDA receptor
abstract_only,Other,,,uptake inhibition,Kristin Waters,DMT,2026-04-22T05:12:28.269832+00:00,low,abstract,"Abstract snippet: Abstract Hallucinogens constitute a unique class of substances that cause changes in the user's thoughts, perceptions, and mood through various mechanisms of action. Alth",Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,,other,doi,primary_study,,pending_curation,pending_curation,10.1002/jcph.1917,Pharmacologic Similarities and Differences Among Hallucinogens,2021,unknown,NMDA receptor
abstract_only,Other,,,uptake inhibition,James R. Docherty; Hadeel A. Alsufyani,MDMA,2026-04-22T05:12:28.269832+00:00,low,abstract,"Abstract snippet: Psychostimulant, cardiovascular, and temperature actions of stimulants involve adrenergic (norepinephrine), dopaminergic (dopamine), and serotonergic (serotonin) pathways",Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,,primary_results,doi,primary_study,,pending_curation,preclinical_study,10.1002/jcph.1918,Pharmacology of Drugs Used as Stimulants,2021,unknown,SERT (SLC6A4)
abstract_only,Other,,,radioligand binding,Helen N. Panas; Laurie J. Lynch; Eric J. Vallender; Zhihua Xie; Guo‐lin Chen; Spencer K. Lynn; Thomas S. Scanlan; Gregory M. Miller,MDMA,2026-04-22T05:12:28.269832+00:00,low,abstract,"Abstract snippet: 3-Iodothyronamine (T1AM) is a metabolite of thyroid hormone. It is an agonist at trace amine-associated receptor 1 (TAAR1), a recently identified receptor involved in mon",Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,,primary_results,doi,primary_study,,pending_curation,preclinical_study,10.1002/jnr.22367,"Normal thermoregulatory responses to 3‐iodothyronamine, trace amines and amphetamine‐like psychostimulants in trace amine associated receptor 1 knockout mice",2010,in_vitro,TAAR1
abstract_only,Other,,,radioligand binding,Helen N. Panas; Laurie J. Lynch; Eric J. Vallender; Zhihua Xie; Guo‐lin Chen; Spencer K. Lynn; Thomas S. Scanlan; Gregory M. Miller,MDMA,2026-04-22T05:12:28.269832+00:00,low,abstract,"Abstract snippet: 3-Iodothyronamine (T1AM) is a metabolite of thyroid hormone. It is an agonist at trace amine-associated receptor 1 (TAAR1), a recently identified receptor involved in mon",Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,,primary_results,doi,primary_study,,pending_curation,preclinical_study,10.1002/jnr.22367,"Normal thermoregulatory responses to 3‐iodothyronamine, trace amines and amphetamine‐like psychostimulants in trace amine associated receptor 1 knockout mice",2010,in_vitro,DAT (SLC6A3)
abstract_only,Other,,,radioligand binding,Martin A. Santini; Cecilia Ratner; Susana Aznar; Anders B. Klein; Gitte M. Knudsen; Jens D. Mikkelsen,LSD,2026-04-22T05:12:28.269832+00:00,low,abstract,Abstract snippet: Prefrontal serotonin 2A receptors (5-HT2A Rs) have been linked to the pathogenesis and treatment of schizophrenia. Many antipsychotics fully occupy 5-HT2A R at clinical r,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,,primary_results,doi,primary_study,,pending_curation,preclinical_study,10.1002/jnr.23198,Enhanced prefrontal serotonin 2A receptor signaling in the subchronic phencyclidine mouse model of schizophrenia,2013,unknown,5-HT2A
abstract_only,Other,,,functional assay,Chitra Vinnakota; Anna Schroeder; Xin Du; Kazutaka Ikeda; Soichiro Ide; Masayoshi Mishina; Matthew Hudson; Nigel Charles Jones; Suresh Sundram; Rachel Anne Hill,Ketamine,2026-04-22T05:12:28.269832+00:00,low,abstract,"Abstract snippet: Noncompetitive NMDA receptor (NMDAR) antagonists like phencyclidine (PCP) and ketamine cause psychosis-like symptoms in healthy humans, exacerbate schizophrenia symptoms",Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,,primary_results,doi,primary_study,,pending_curation,preclinical_study,10.1002/jnr.25257,"Understanding the role of the <scp>NMDA</scp> receptor subunit, <scp>GluN2D</scp> , in mediating <scp>NMDA</scp> receptor antagonist‐induced behavioral disruptions in male and female mice",2023,unknown,NMDA receptor
abstract_only,Other,,,uptake inhibition,Shakya Bhattacharjee; Vijaya Shankar; Mohammed Elkider,2C-E,2026-04-22T05:12:28.269832+00:00,low,abstract,"Abstract snippet: In response to the interesting article by Oravivattanakul et al. in Movement Disorders Clinical Practice, I would like to say that in the majority of centers in the UK, t",Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,,review,doi,primary_study,,pending_curation,pending_curation,10.1002/mdc3.12369,Comment on: Dopamine Transporter (DaT) Scan Utilization in a Movement Disorder Center,2016,unknown,DAT (SLC6A3)
abstract_only,Other,,,uptake inhibition,Yoko Hagino; F. Scott Hall; George R. Uhl; Ichiro Sora; Kazutaka Ikeda,5-MeO-DiPT,2026-04-22T05:12:28.269832+00:00,low,abstract,"Abstract snippet: Abstract Aims 5‐Methoxy‐ N , N ‐diisopropyltryptamine (5‐MeO‐DIPT) is a synthetic orally active hallucinogenic tryptamine analogue. The present study examined whether the",Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,,primary_results,doi,primary_study,,pending_curation,preclinical_study,10.1002/npr2.12161,Dual actions of 5‐MeO‐DIPT at the serotonin transporter and serotonin 5‐HT<sub>1A</sub> receptor in the mouse striatum and prefrontal cortex,2021,in_vivo,5-HT1A
abstract_only,Other,,,uptake inhibition,Yoko Hagino; F. Scott Hall; George R. Uhl; Ichiro Sora; Kazutaka Ikeda,DiPT,2026-04-22T05:12:28.269832+00:00,low,abstract,"Abstract snippet: Abstract Aims 5‐Methoxy‐ N , N ‐diisopropyltryptamine (5‐MeO‐DIPT) is a synthetic orally active hallucinogenic tryptamine analogue. The present study examined whether the",Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,,primary_results,doi,primary_study,,pending_curation,preclinical_study,10.1002/npr2.12161,Dual actions of 5‐MeO‐DIPT at the serotonin transporter and serotonin 5‐HT<sub>1A</sub> receptor in the mouse striatum and prefrontal cortex,2021,in_vivo,5-HT1A
abstract_only,Other,,,functional assay,K Shibata; Kosuke Enomoto; Takahiro Tsutsumi; Hiroyuki Muraoka; Tatsu Fuwa; M Kawano; Jun Ishigooka; Ken Inada; Katsuji Nishimura; Hidehiro Oshibuchi,Ketamine,2026-04-22T05:12:28.269832+00:00,low,abstract,Abstract snippet: These findings offer crucial biochemical insights into the diverse impacts of NMDAR antagonists on dopamine dynamics and the distinct therapeutic mechanisms associated wi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,,primary_results,doi,primary_study,,pending_curation,preclinical_study,10.1002/npr2.12420,Effect of intermittent subchronic <scp>MK</scp>‐801 administration on dopamine synthesis capacity and responsiveness in the prefrontal cortex,2024,unknown,NMDA receptor
abstract_only,Other,,,functional assay,Thomas J. Moore; Abdallah Alami; G. Caleb Alexander; Donald R. Mattison,S-ketamine,2026-04-22T05:12:28.269832+00:00,low,abstract,"Abstract snippet: Ketamine, an anesthetic available since 1970, and esketamine, its newer S-enantiomer, provide a novel approach for the treatment of depression and other psychiatric disor",Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,,primary_results,doi,primary_study,,pending_curation,preclinical_study,10.1002/phar.2707,Safety and effectiveness of <scp>NMDA</scp> receptor antagonists for depression: A multidisciplinary review,2022,unknown,NMDA receptor
abstract_only,Other,,,radioligand binding,Syeda Sumayya Tariq; Urooj Qureshi; Mamona Mushtaq; Sajida Munsif; Mohammad Nur‐e‐Alam; Mohammed F. Hawwal; Yan Wang; Zaheer Ul‐Haq,Bromo-DragonFLY,2026-04-22T05:12:28.269832+00:00,low,abstract,"Abstract snippet: ABSTRACT Bromo‐DragonFLY (BDF), a potent designer psychedelic drug with hallucinogenic properties, has recently emerged as a significant recreational substance. Named for",Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,,primary_results,doi,primary_study,,pending_curation,preclinical_study,10.1002/prot.70055,In Silico Characterization of Bromo‐ <scp>DragonFLY</scp> Binding to the 5‐ <scp> HT <sub>2A</sub> </scp> Receptor: Molecular Insights Into a Potent Designer Psychedelic,2025,unknown,5-HT2A
abstract_only,Other,,,,Kyrsten Kawazoe; Ryan McGlynn; Wilder Felix; Raquel Sevilla; Siyang Liao; Praveen Kulkarni; Craig F. Ferris,S-ketamine,2026-04-22T05:12:28.269832+00:00,low,abstract,"Abstract snippet: Pharmacological magnetic resonance imaging (phMRI) is a noninvasive method used to evaluate neural circuitry involved in the behavioral effects of drugs like ketamine, in",Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,,primary_results,doi,primary_study,,pending_curation,preclinical_study,10.1002/prp2.1035,Dose‐dependent effects of esketamine on brain activity in awake mice: A <scp>BOLD phMRI</scp> study,2022,unknown,NMDA receptor
abstract_only,Other,,,functional assay,Mohammad Balabandian; Mohammad Amin Manavi; Ali Lesani; Razieh Mohammad Jafari; Hamed Shafaroodi; Neda Heidari; Javad Mirnajafi‐Zadeh; Alireza Foroumadi; Arya Afrooghe; Ahmad Reza Dehpour,Psilocybin,2026-04-22T05:12:28.269832+00:00,low,abstract,"Abstract snippet: ABSTRACT Epilepsy, a chronic neurological disorder affecting around 65 million people globally, is characterized by recurrent, unprovoked epileptic seizures. Psilocin, th",Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,,primary_results,doi,primary_study,,pending_curation,preclinical_study,10.1002/prp2.70079,"Psilocin, A Psychedelic Drug, Exerts Anticonvulsant Effects Against PTZ‐ and MES‐Induced Seizures in Mice via 5‐HT1A and CB1 Receptors: Involvement of Nitrergic, Opioidergic, and Kynurenine Pathways",2025,unknown,5-HT2A
