action_reason,contexts,contexts_all,library_status,matched_context_count,needs_metadata_or_manual_screen,paper_type_reasons,paper_type_suggested,pdf_local_path,protected_context_count,relevance_reasons,relevance_score,relevance_suggested,screening_status,source_type_reasons,source_type_suggested,study_doi,study_title,study_year,synthesized_context_count,triage_rescue_reasons
closed_or_unknown_access,,Psilocybin->5-HT2A,needs_manual_access,0,False,no strong paper-type signal,other,,0,context compound match (Psilocybin),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1002/hlca.19590420638,Abwandlungsprodukte von Psilocybin und Psilocin. 2. Mitteilung über synthetische Indolverbindungen,1959,0,
closed_or_unknown_access,,MDMA->SERT (SLC6A4),needs_manual_access,0,False,no strong paper-type signal,other,,0,context compound match (MDMA),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1002/hup.2318,Human psychobiology of MDMA or ‘Ecstasy’: an overview of 25 years of empirical research,2013,0,
closed_or_unknown_access,,5-MeO-DMT->5-HT1A,needs_manual_access,0,False,contains conference/poster keyword,conference_or_poster_abstract,,0,context compound match (5-MeO-DMT),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1002/hup.2839,5‐MeO‐DMT has not been found in traditional ayahuasca preparations and the combination of 5‐MeO‐DMT with MAOIs is dangerous,2022,0,
closed_or_unknown_access,,5-MeO-DMT->5-HT1A,needs_manual_access,0,False,no strong paper-type signal,other,,0,context compound match (5-MeO-DMT),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1002/hup.2840,Reply to: 5‐MeO‐DMT has not been found in traditional ayahuasca preparations and the combination of 5‐MeO‐DMT with MAOIs is dangerous,2022,0,
,,M5 muscarinic receptor (CHRM5),needs_download,0,False,"contains primary-results signals (affinity, binding, in vivo, ki)",primary_results,,0,allowed compound mention (dom) | contains study-method keywords,2,likely_irrelevant,excluded_low_signal,"contains primary-study signals (affinity, binding, in vivo, ki)",primary_study,10.1002/jbt.70706,"Antiemetic Efficacy of Esculetin via Dopaminergic, Serotonergic, and Muscarinic Pathway Modulation: Insights From In Vivo and In Silico Studies",2026,0,
,,MDMA->5-HT2B,needs_download,0,False,no strong paper-type signal,other,,0,context compound match (MDMA),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1002/jemt.20971,MDMA (ecstasy) enhances loud noise‐induced morphofunctional alterations in heart and adrenal gland,2010,0,
closed_or_unknown_access,,MDMA->SERT (SLC6A4),needs_manual_access,0,False,"contains primary-results signals (ki, receptor)",primary_results,,0,allowed entity mention (ampa receptor) | contains study-method keywords,2,likely_irrelevant,excluded_low_signal,"contains primary-study signals (ki, receptor)",primary_study,10.1002/mds.20345,Topiramate reduces levodopa‐induced dyskinesia in the MPTP‐lesioned marmoset model of Parkinson's disease,2004,0,
,,DOB,needs_download,0,False,"contains primary-results signals (agonist, antagonist, in vivo, radioligand)",primary_results,,0,allowed entity mention (sert) | contains study-method keywords,2,likely_irrelevant,excluded_low_signal,"contains primary-study signals (agonist, antagonist, in vivo, radioligand)",primary_study,10.1002/med.20245,5‐HT radioligands for human brain imaging with PET and SPECT,2011,0,
,,DOI->AMPA receptor,needs_download,0,False,no strong paper-type signal,other,,0,allowed entity mention (nmda) | contains study-method keywords,2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1002/neu.10116,Nicotinic α7 receptors: Synaptic options and downstream signaling in neurons,2002,0,
,,Ayahuasca,needs_download,0,False,no strong paper-type signal,other,,0,context compound match (Ayahuasca),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1002/pcn5.146,"Ayahuasca: A review of historical, pharmacological, and therapeutic aspects",2023,0,
closed_or_unknown_access,,5-HT2B,needs_manual_access,0,False,"contains primary-results signals (assay, binding, receptor, transporter)",primary_results,,0,allowed entity mention (serotonin transporter) | contains study-method keywords,2,likely_irrelevant,excluded_low_signal,"contains primary-study signals (assay, binding, receptor, transporter)",primary_study,10.1002/rcm.2869,"Development of a multiplex non‐radioactive receptor assay: the benzodiazepine receptor, the serotonin transporter and the <i>β</i> ‐adrenergic receptor",2007,0,
closed_or_unknown_access,,MDMA->SERT (SLC6A4),needs_manual_access,0,False,"contains primary-results signals (ki, receptor)",primary_results,,0,allowed entity mention (ampa) | contains study-method keywords,2,likely_irrelevant,excluded_low_signal,"contains primary-study signals (ki, receptor)",primary_study,10.1002/syn.20739,Synaptic recruitment of AMPA glutamate receptor subunits in levodopa‐induced dyskinesia in the MPTP‐lesioned nonhuman primate,2009,0,
closed_or_unknown_access,,MDMA->SERT (SLC6A4),needs_manual_access,0,False,"contains primary-results signals (binding, radioligand, transporter)",primary_results,,0,allowed entity mention (dopamine transporter) | contains study-method keywords,2,likely_irrelevant,excluded_low_signal,"contains primary-study signals (binding, radioligand, transporter)",primary_study,10.1002/syn.21662,Coordinated expression of dopamine transporter and vesicular monoamine transporter in the primate striatum during development,2013,0,
HTTPError: HTTP Error 403: Forbidden,,2C-B->5-HT2A,needs_download,0,False,no strong paper-type signal,other,,0,allowed compound mention (doi) | contains study-method keywords,2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1002/wmts.50,Serotonergic signaling: multiple effectors and pleiotropic effects,2012,0,
closed_or_unknown_access,,Ibogaine->NMDA receptor,needs_manual_access,0,False,"contains primary-results signals (agonist, receptor)",primary_results,,0,allowed entity mention (5 ht2a) | contains study-method keywords,2,likely_irrelevant,excluded_low_signal,"contains primary-study signals (agonist, receptor)",primary_study,10.1002/wps.20174,Novel psychoactive substances of interest for psychiatry,2015,0,
closed_or_unknown_access,,MDMA->SERT (SLC6A4),needs_manual_access,0,False,"contains primary-results signals (binding, ki, receptor)",primary_results,,0,allowed entity mention (ampa receptor) | contains study-method keywords,2,likely_irrelevant,excluded_low_signal,"contains primary-study signals (binding, ki, receptor)",primary_study,10.1006/exnr.2001.7854,Striatal AMPA Receptor Binding Is Unaltered in the MPTP-Lesioned Macaque Model of Parkinson's Disease and Dyskinesia,2002,0,
closed_or_unknown_access,,delta opioid receptor (OPRD1),needs_manual_access,0,False,no strong paper-type signal,other,,0,context entity match (delta opioid receptor (OPRD1)),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1007/164_2016_112,OPRD1 Genetic Variation and Human Disease,2016,0,
open_access_but_no_direct_pdf_url,,MDMA->DAT (SLC6A3) | MDMA->SERT (SLC6A4),needs_download,0,False,no strong paper-type signal,other,,0,context compound match (MDMA) | context compound match (MDMA),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1007/164_2018_113,Pharmacology of MDMA- and Amphetamine-Like New Psychoactive Substances,2018,0,
closed_or_unknown_access,,MDA,needs_manual_access,0,False,no strong paper-type signal,other,,0,context compound match (MDA),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1007/3-540-28746-9_4,Modelle der MDA,2007,0,
open_access_but_no_direct_pdf_url,,MDMA->SERT (SLC6A4),needs_download,0,False,"contains primary-results signals (ki, transporter)",primary_results,,0,allowed entity mention (dopamine transporter) | contains study-method keywords,2,likely_irrelevant,excluded_low_signal,"contains primary-study signals (ki, transporter)",primary_study,10.1007/7854_2016_39,Electrophysiological Actions of Synthetic Cathinones on Monoamine Transporters,2016,0,
open_access_but_no_direct_pdf_url,,MDMA->SERT (SLC6A4),needs_download,0,False,contains conference/poster keyword,conference_or_poster_abstract,,0,allowed entity mention (net) | contains study-method keywords,2,likely_irrelevant,excluded_low_signal,"contains primary-study signals (in vitro, in vivo, ki, transporter)",primary_study,10.1007/7854_2016_53,"Neuropharmacology of 3,4-Methylenedioxypyrovalerone (MDPV), Its Metabolites, and Related Analogs",2016,0,
closed_or_unknown_access,,S-ketamine->NMDA receptor,needs_manual_access,0,False,no strong paper-type signal,other,,0,context compound match (S-ketamine),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1007/7854_2023_453,Ketamine for Major Depressive Disorder,2023,0,
closed_or_unknown_access,,DOM,needs_manual_access,0,False,no strong paper-type signal,other,,0,context compound match (DOM),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1007/978-1-4302-0062-8_9,CSS-DOM,2006,0,
closed_or_unknown_access,,LSD->5-HT2A,needs_manual_access,0,False,"contains primary-results signals (affinity, agonist, antagonist, binding)",primary_results,,0,allowed entity mention (5 ht2c) | contains study-method keywords,2,likely_irrelevant,excluded_low_signal,"contains primary-study signals (affinity, agonist, antagonist, binding)",primary_study,10.1007/978-1-4615-5405-9_12,Antagonist Affinity Estimates from Radioligand Binding and Functional Studies Vary at the Cloned Human 5-HT2C Receptor,1997,0,
closed_or_unknown_access,,Ayahuasca,needs_manual_access,0,False,no strong paper-type signal,other,,0,context compound match (Ayahuasca),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1007/978-3-030-55688-4_4,Ayahuasca and Psychotherapy: Beyond Integration,2021,0,
closed_or_unknown_access,,Ayahuasca,needs_manual_access,0,False,no strong paper-type signal,other,,0,context compound match (Ayahuasca),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1007/978-3-030-55688-4_6,Ayahuasca and Childhood Trauma: Potential Therapeutic Applications,2021,0,
closed_or_unknown_access,,Ayahuasca,needs_manual_access,0,False,no strong paper-type signal,other,,0,context compound match (Ayahuasca),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1007/978-3-030-55688-4_9,Ayahuasca as an Addiction Treatment in Catalonia: Cognitive and Cultural Perspectives,2021,0,
closed_or_unknown_access,,LSD->5-HT2A,needs_manual_access,0,False,no strong paper-type signal,other,,0,context compound match (LSD),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1007/978-3-030-67928-6_131-2,Pharmacological Action of LSD,2022,0,
closed_or_unknown_access,,LSD->5-HT2A,needs_manual_access,0,False,no strong paper-type signal,other,,0,context compound match (LSD),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1007/978-3-030-92392-1_131,Pharmacological Action of LSD,2022,0,
closed_or_unknown_access,,MDMA->SERT (SLC6A4),needs_manual_access,0,False,no strong paper-type signal,other,,0,context compound match (MDMA),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1007/978-3-0348-7259-1_49,Serotonin Release is Responsible for the Locomotor Hyperactivity in Rats Induced by Derivatives of Amphetamine Related to MDMA,1991,0,
closed_or_unknown_access,,DOB,needs_manual_access,0,False,no strong paper-type signal,other,,0,context compound match (DOB),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1007/978-3-322-88546-3_4,Ordergewohnheiten des DOB-Einzelhandels und der Kollektionsrhythmus der DOB-Industrie im Jahre 1973,1975,0,
closed_or_unknown_access,,Sigma-2 receptor (TMEM97),needs_manual_access,0,False,no strong paper-type signal,other,,0,allowed entity mention (sigma 1 receptor) | contains study-method keywords,2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1007/978-3-540-29678-2_5389,Sigma-1 Receptor Ligands,2008,0,
closed_or_unknown_access,,Ketamine->NMDA receptor,needs_manual_access,0,False,no strong paper-type signal,other,,0,context compound match (Ketamine),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1007/978-3-540-74806-9_15,Ketamine,2008,0,
closed_or_unknown_access,,MDMA->NET (SLC6A2),needs_manual_access,0,False,no strong paper-type signal,other,,0,allowed entity mention (dopamine transporter) | contains study-method keywords,2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1007/978-3-642-28753-4_101491,Norepinephrine-Dopamine Transporter Inhibitors,2013,0,
closed_or_unknown_access,,Ayahuasca,needs_manual_access,0,False,no strong paper-type signal,other,,0,context compound match (Ayahuasca),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1007/978-3-642-40426-9_1,Therapeutic Applications of Ayahuasca and Other Sacred Medicines,2013,0,
closed_or_unknown_access,,Ayahuasca,needs_manual_access,0,False,no strong paper-type signal,other,,0,context compound match (Ayahuasca),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1007/978-3-642-40426-9_14,Correction to: Ayahuasca as a Candidate Therapy for PTSD,2020,0,
closed_or_unknown_access,,Ayahuasca,needs_manual_access,0,False,no strong paper-type signal,other,,0,context compound match (Ayahuasca),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1007/978-3-642-40426-9_3,Ayahuasca as a Candidate Therapy for PTSD,2013,0,
closed_or_unknown_access,,Ayahuasca,needs_manual_access,0,False,no strong paper-type signal,other,,0,context compound match (Ayahuasca),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1007/978-3-642-40426-9_6,Ayahuasca and the Treatment of Drug Addiction,2013,0,
closed_or_unknown_access,,M1 muscarinic receptor (CHRM1),needs_manual_access,0,False,no strong paper-type signal,other,,0,allowed entity mention (m2 muscarinic receptor) | contains study-method keywords,2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1007/978-3-642-70668-4_7,M1 and M2 Muscarinic Receptor Subtypes in the Lower Esophageal Sphincter,1985,0,
closed_or_unknown_access,,Bufotenin,needs_manual_access,0,False,no strong paper-type signal,other,,0,context compound match (Bufotenin),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1007/978-3-662-48986-4_310715,Bufotenin,2019,0,
closed_or_unknown_access,,Bufotenin,needs_manual_access,0,False,no strong paper-type signal,other,,0,context compound match (Bufotenin),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1007/978-3-662-49054-9_3792-1,Bufotenin,2025,0,
closed_or_unknown_access,,Bufotenin,needs_manual_access,0,False,no strong paper-type signal,other,,0,allowed entity mention (h1 receptor) | contains study-method keywords,2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1007/978-90-481-9349-3_12,Histamine H1 Receptor Gene Expression Mechanism as a Novel Therapeutic Target of Allergy,2010,0,
open_access_but_no_direct_pdf_url,,DOM,needs_download,0,False,"contains primary-results signals (affinity, ki, receptor)",primary_results,,0,allowed entity mention (serotonin 1a) | contains study-method keywords,2,likely_irrelevant,excluded_low_signal,"contains primary-study signals (affinity, ki, receptor)",primary_study,10.1007/BF00170831,"(�)-1-(2,5-Dimethoxy-4-ethylthiophenyl)-2-aminopropane (ALEPH-2), a novel putative anxiolytic agent lacking affinity for benzodiazepine sites and serotonin-1A receptors",1996,0,
closed_or_unknown_access,,DOI->5-HT2A,needs_manual_access,0,False,no strong paper-type signal,other,,0,context compound match (DOI),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1007/BF01291879,Potentiation of DOI-induced forward locomotion in rats by (?)-pindolol pretreatment,1997,0,
closed_or_unknown_access,,LSD->5-HT2A,needs_manual_access,0,False,no strong paper-type signal,other,,0,allowed entity mention (5 ht2c) | contains study-method keywords,2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1007/BF02246545,5-HT2C receptor-mediated phosphoinositide turnover and the stimulus effects ofm-chlorophenylpiperazine,1995,0,
closed_or_unknown_access,,5-HT1B,needs_manual_access,0,False,no strong paper-type signal,other,,0,allowed compound mention (doi) | contains study-method keywords,2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1007/BF02247721,"Evidence for involvement of 5-HT1C and 5-HT2 receptors in the food intake suppressant effects of 1-(2,5-dimethoxy-4-iodophenyl)-2-aminopropane (DOI)",1992,0,
closed_or_unknown_access,,5-MeO-DMT->5-HT1A,needs_manual_access,0,False,no strong paper-type signal,other,,0,context entity match (5-HT1A),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1007/bf00174066,The enhancement by lithium of the 5-HT1A mediated serotonin syndrome produced by 8-OH-DPAT in the rat: evidence for a post-synaptic mechanism,1986,0,
closed_or_unknown_access,,5-MeO-DMT->5-HT1A,needs_manual_access,0,False,no strong paper-type signal,other,,0,allowed compound mention (dimethyltryptamine) | contains study-method keywords,2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1007/bf00179927,"Serotonin receptor subtype mediation of the interoceptive discriminative stimuli induced by 5-methoxy-N,N-dimethyltryptamine",1987,0,
closed_or_unknown_access,,Psilocybin->5-HT2A,needs_manual_access,0,False,no strong paper-type signal,other,,0,context compound match (Psilocybin),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1007/bf00412109,"Comparison of psilocin with psilocybin, mescaline and LSD-25",1962,0,
closed_or_unknown_access,,DOI->5-HT2A,needs_manual_access,0,False,no strong paper-type signal,other,,0,allowed entity mention (5 ht2c) | contains study-method keywords,2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1007/bf02246643,Evidence thatm-chlorophenylpiperazine-induced hyperthermia in rats is mediated by stimulation of 5-HT2C receptors,1996,0,
closed_or_unknown_access,,Ibogaine->NMDA receptor,needs_manual_access,0,False,no strong paper-type signal,other,,0,context compound match (Ibogaine),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1007/bf02805969,Pharmacological screen for activities of 12-hydroxyibogamine: a primary metabolite of the indole alkaloid ibogaine,1996,0,
closed_or_unknown_access,,DOET,needs_manual_access,0,False,no strong paper-type signal,other,,0,context compound match (DOET),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1007/bf03088311,Doet-ie het of doet-ie het niet?,2009,0,
open_access_but_no_direct_pdf_url,,DOI->5-HT2A,needs_download,0,False,no strong paper-type signal,other,,0,allowed entity mention (5 ht1b) | contains study-method keywords,2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1007/pl00004964,"Interactions of GR127935, a 5-HT1B/D receptor ligand, with functional 5-HT receptors",1997,0,
open_access_but_no_direct_pdf_url,,5-HT1E,needs_download,0,False,no strong paper-type signal,other,,0,allowed entity mention (5 ht1a) | contains study-method keywords,2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1007/s00018-010-0350-6,Characterization of the 5-HT1A receptor of the honeybee (Apis mellifera) and involvement of serotonin in phototactic behavior,2010,0,
open_access_but_no_direct_pdf_url,,5-HT1D,needs_download,0,False,"contains primary-results signals (in vitro, receptor)",primary_results,,0,allowed entity mention (serotonin 2a) | contains study-method keywords,2,likely_irrelevant,excluded_low_signal,"contains primary-study signals (in vitro, receptor)",primary_study,10.1007/s00204-020-02836-w,In vitro structure–activity relationship determination of 30 psychedelic new psychoactive substances by means of β-arrestin 2 recruitment to the serotonin 2A receptor,2020,0,
closed_or_unknown_access,,Psilocybin->5-HT2A,needs_manual_access,0,False,no strong paper-type signal,other,,0,context compound match (Psilocybin),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1007/s00204-026-04365-4,"In-silico toxicity study of tryptamine, psilocin, psilocybin, N,N-dimethyltryptamine, 5’-methoxy-N,N-dimethyltryptamine and O-acetylpsilocin",2026,0,
closed_or_unknown_access,,MDMA->SERT (SLC6A4),needs_manual_access,0,False,no strong paper-type signal,other,,0,allowed entity mention (mglur2) | contains study-method keywords,2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1007/s00210-024-03216-2,Effect of mGluR2 and mGluR2/3 activators on parkinsonism in the MPTP-lesioned non-human primate,2024,0,
closed_or_unknown_access,,MDMA->SERT (SLC6A4),needs_manual_access,0,False,no strong paper-type signal,other,,0,context compound match (MDMA),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1007/s00213-002-1320-y,"Relevance of MDMA (""ecstasy"")-induced neurotoxicity to long-lasting psychomotor stimulation in mice",2003,0,
closed_or_unknown_access,,MDMA->DAT (SLC6A3),needs_manual_access,0,False,no strong paper-type signal,other,,0,context compound match (MDMA),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1007/s00213-005-0229-7,A reliable model of intravenous MDMA self-administration in naïve mice,2005,0,
,,LSD->5-HT2A | MDMA->SERT (SLC6A4),in_database,0,False,no strong paper-type signal,other,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/mechanistic/pdfs/10.1007_s00213-006-0322-6__566d37ba9c.pdf,0,context compound match (MDMA),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1007/s00213-006-0322-6,"3,4-Methylenedioxymethamphetamine (MDMA) neurotoxicity in rats: a reappraisal of past and present findings",2006,0,
,,MDMA->SERT (SLC6A4),needs_download,0,False,no strong paper-type signal,other,,0,context compound match (MDMA),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1007/s00213-006-0467-3,Neuroimaging research in human MDMA users: a review,2006,0,
closed_or_unknown_access,,MDMA->DAT (SLC6A3),needs_manual_access,0,False,no strong paper-type signal,other,,0,context compound match (MDMA),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1007/s00213-007-1045-z,MDMA modifies active avoidance learning and recall in mice,2008,0,
closed_or_unknown_access,,Salvinorin A->kappa opioid receptor (OPRK1),needs_manual_access,0,False,no strong paper-type signal,other,,0,context compound match (Salvinorin A),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1007/s00213-007-1067-6,Effects of acute and repeated administration of salvinorin A on dopamine function in the rat dorsal striatum,2008,0,
open_access_but_no_direct_pdf_url,,DMT->5-HT2A,needs_download,0,False,no strong paper-type signal,other,,0,context compound match (DMT),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1007/s00213-008-1247-z,"Modification of the effects of 5-methoxy-N,N-dimethyltryptamine on exploratory behavior in rats by monoamine oxidase inhibitors",2008,0,
,,Psilocin->5-HT2A | LSD->5-HT2C,in_database,0,False,no strong paper-type signal,other,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/mechanistic/pdfs/10.1007_s00213-008-1356-8__ed60a52498.pdf,0,context compound match (LSD),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1007/s00213-008-1356-8,"Hallucinogens as discriminative stimuli in animals: LSD, phenethylamines, and tryptamines",2008,0,
,,CB1 receptor (CNR1),needs_download,0,False,no strong paper-type signal,other,,0,allowed entity mention (nmda) | contains study-method keywords,2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1007/s00213-009-1736-8,Increased cortical inhibition deficits in first-episode schizophrenia with comorbid cannabis abuse,2009,0,
closed_or_unknown_access,,MDMA->DAT (SLC6A3),needs_manual_access,0,False,no strong paper-type signal,other,,0,context compound match (MDMA),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1007/s00213-009-1750-x,Effects of repeated MDMA administration on the motivation for palatable food and extinction of operant responding in mice,2010,0,
open_access_but_no_direct_pdf_url,,Salvinorin A->kappa opioid receptor (OPRK1),needs_download,0,False,no strong paper-type signal,other,,0,context compound match (Salvinorin A),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1007/s00213-009-1771-5,The discriminative effects of the κ-opioid hallucinogen salvinorin A in nonhuman primates: dissociation from classic hallucinogen effects,2010,0,
closed_or_unknown_access,,MDMA->SERT (SLC6A4),needs_manual_access,0,False,no strong paper-type signal,other,,0,context compound match (MDMA),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1007/s00213-010-1818-7,"Reinstatement of extinguished amphetamine self-administration by 3,4-methylenedioxymethamphetamine (MDMA) and its enantiomers in rhesus monkeys",2010,0,
open_access_but_no_direct_pdf_url,,Salvinorin A->kappa opioid receptor (OPRK1),needs_download,0,False,no strong paper-type signal,other,,0,context compound match (Salvinorin A),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1007/s00213-010-1827-6,"Kappa opioid mediation of cannabinoid effects of the potent hallucinogen, salvinorin A, in rodents",2010,0,
open_access_but_no_direct_pdf_url,,LSD->5-HT2C,needs_download,0,False,no strong paper-type signal,other,,0,context compound match (LSD),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1007/s00213-012-2809-7,Persistent effects of chronic clozapine on the cellular and behavioral responses to LSD in mice,2012,0,
