dataset,row_index,study_doi,study_title,study_year,has_abstract,pdf_download_status,deterministic_prescreen_action,deterministic_prescreen_reason,retained_for_llm,candidate_context_count,heuristic_relevance,heuristic_screening_status,heuristic_matched_context_count
mechanistic,1819,10.1002/admi.201300069,Coating Engineering of MnFe<sub>2</sub>O<sub>4</sub> Nanoparticles with Superhigh <i>T<sub>2</sub></i> Relaxivity and Efficient Cellular Uptake for Highly Sensitive Magnetic Resonance Imaging,2014,True,no_pdf_url,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; dataset entity terms present.,False,0,,,
mechanistic,1820,10.1002/advs.202303503,Locus Coeruleus‐Dorsolateral Septum Projections Modulate Depression‐Like Behaviors via BDNF But Not Norepinephrine,2023,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
mechanistic,1827,10.1002/ajmg.b.32388,The neurobiological basis of human aggression: A review on genetic and epigenetic mechanisms,2015,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; no dataset entity terms found.,False,0,,,
mechanistic,1834,10.1002/ange.202101262,Designing a Single Protein‐Chain Reporter for Opioid Detection at Cellular Resolution,2021,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; dataset entity terms present.,False,0,,,
mechanistic,1835,10.1002/anie.202101262,Designing a Single Protein‐Chain Reporter for Opioid Detection at Cellular Resolution,2021,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; dataset entity terms present.,False,0,,,
mechanistic,1845,10.1002/brb3.222,The role of kappa opioid receptors in stress‐induced reinstatement of alcohol seeking in rats,2014,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; dataset entity terms present.,False,0,,,
mechanistic,1847,10.1002/brb3.749,Short‐ and long‐term antidepressant effects of ketamine in a rat chronic unpredictable stress model,2017,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
mechanistic,1848,10.1002/brb3.78,"Prescription stimulants in individuals with and without attention deficit hyperactivity disorder: misuse, cognitive impact, and adverse effects",2012,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; no dataset entity terms found.,False,0,,,
mechanistic,1854,10.1002/chem.202100560,A Protecting‐Group‐Free Synthesis of (−)‐Salvinorin A,2021,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
mechanistic,1861,10.1002/cmdc.202000300,Enantiomerically Pure Quinoline‐Based κ‐Opioid Receptor Agonists: Chemoenzymatic Synthesis and Pharmacological Evaluation,2020,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; dataset entity terms present.,False,0,,,
mechanistic,1862,10.1002/cmdc.202100395,25CN‐NBOH: A Selective Agonist for in vitro and in vivo Investigations of the Serotonin 2A Receptor,2021,True,no_pdf_url,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; dataset entity terms present.,False,0,,,
mechanistic,1865,10.1002/cmdc.202500856,A Novel Tertiary Carbamate Prodrug Strategy to Overcome Metabolic Barriers in Oral Ketamine Delivery,2026,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
mechanistic,1868,10.1002/cne.21685,Role of endogenous sleep‐wake and analgesic systems in anesthesia,2008,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
mechanistic,1872,10.1002/cne.25076,Novel inhibitory brainstem neurons with selective projections to spinal lamina I reduce both pain and itch,2020,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; no dataset entity terms found.,False,0,,,
mechanistic,1884,10.1002/cti2.1234,Nalfurafine reduces neuroinflammation and drives remyelination in models of CNS demyelinating disease,2021,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; dataset entity terms present.,False,0,,,
mechanistic,1886,10.1002/cti2.1480,Enhanced and complementary benefits of a nalfurafine and fingolimod combination to treat immune‐driven demyelination,2023,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; dataset entity terms present.,False,0,,,
mechanistic,1887,10.1002/cti2.70069,Nalmefene enhances the remyelinating ability of nalfurafine when administered therapeutically at very low doses during experimental autoimmune encephalomyelitis,2025,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; dataset entity terms present.,False,0,,,
mechanistic,1888,10.1002/ctm2.1124,Genetically encoded tools for in vivo G‐protein‐coupled receptor agonist detection at cellular resolution,2022,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; no dataset entity terms found.,False,0,,,
mechanistic,1889,10.1002/da.20543,"Dopamine transporters, D<sub>2</sub>receptors, and dopamine release in generalized social anxiety disorder",2009,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; dataset entity terms present.,False,0,,,
mechanistic,1891,10.1002/da.22227,"NEUROBIOLOGY OF STRESS, DEPRESSION, AND RAPID ACTING ANTIDEPRESSANTS: REMODELING SYNAPTIC CONNECTIONS",2014,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
mechanistic,1894,10.1002/dev.21843,Behavioral effects of postnatal ketamine exposure in rhesus macaque infants are dependent on MAOA‐LPR genotype,2019,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
mechanistic,1898,10.1002/dta.1668,"Characterization of a novel and potentially lethal designer drug <i>(±)‐cis‐para</i>‐methyl‐4‐methylaminorex (4,4'‐DMAR, or ‘Serotoni’)",2014,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; dataset entity terms present.,False,0,,,
mechanistic,1901,10.1002/dta.2213,"Syntheses, analytical and pharmacological characterizations of the ‘legal high’ 4‐[1‐(3‐methoxyphenyl)cyclohexyl]morpholine (3‐MeO‐PCMo) and analogues",2017,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
mechanistic,1905,10.1002/ece3.1982,"Responses of plant biomass, photosynthesis and lipid peroxidation to warming and precipitation change in two dominant species (<i>Stipa grandis</i> and <i>Leymus chinensis</i>) from North China Grasslands",2016,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; dataset entity terms present.,False,0,,,
mechanistic,1911,10.1002/epi4.12270,Role of <scp>NMDA</scp> receptors in the pathophysiology and treatment of status epilepticus,2018,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
mechanistic,1913,10.1002/glia.24390,Chemogenetic modulation of astrocytes and microglia: State‐of‐the‐art and implications in neuroscience,2023,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; no dataset entity terms found.,False,0,,,
mechanistic,1916,10.1002/hep.23960,Activation of serotonin receptor-2B rescues small-for-size liver graft failure in mice,2010,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
mechanistic,1925,10.1002/hup.1270,The effects of ‘ecstasy’ (MDMA) on visuospatial memory performance: findings from a systematic review with meta‐analyses,2012,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
mechanistic,1928,10.1002/hup.2832,The chemical induction of synaesthesia,2022,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
mechanistic,1930,10.1002/ibd.21873,Salvinorin A has antiinflammatory and antinociceptive effects in experimental models of colitis in mice mediated by KOR and CB1 receptors*,2011,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
mechanistic,1934,10.1002/ijc.31276,"The net acid extruders NHE1, NBCn1 and MCT4 promote mammary tumor growth through distinct but overlapping mechanisms",2018,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; dataset entity terms present.,False,0,,,
mechanistic,1935,10.1002/iub.1911,MicroRNA‐107 regulates anesthesia‐induced neural injury in embryonic stem cell derived neurons,2018,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
mechanistic,1938,10.1002/j.1460-2075.1992.tb05583.x,The mouse 5HT5 receptor reveals a remarkable heterogeneity within the 5HT1D receptor family.,1992,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
mechanistic,1948,10.1002/jcp.21677,Loss of profilin‐1 expression enhances breast cancer cell motility by Ena/VASP proteins,2008,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; dataset entity terms present.,False,0,,,
mechanistic,1959,10.1002/jmri.29575,Neuromodulation in Small Animal <scp>fMRI</scp>,2024,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; no dataset entity terms found.,False,0,,,
mechanistic,1971,10.1002/jppr.1921,"3,<scp>4‐methylenedioxymethamphetamine (MDMA)‐assisted</scp> psychotherapy: what the pharmacist needs to know",2024,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
mechanistic,1976,10.1002/mdc3.13344,MPTP Parkinsonism and Implications for Understanding Parkinson's Disease,2021,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; no dataset entity terms found.,False,0,,,
mechanistic,1978,10.1002/mds.870120502,The dopamine transporter: A crucial component regulating dopamine transmission,1997,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; dataset entity terms present.,False,0,,,
mechanistic,1982,10.1002/med.22042,Beyond dopamine: Novel strategies for schizophrenia treatment,2024,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; dataset entity terms present.,False,0,,,
mechanistic,1983,10.1002/med.22050,Bivalent and bitopic ligands of the opioid receptors: The prospects of a dual approach,2024,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; no dataset entity terms found.,False,0,,,
mechanistic,1991,10.1002/npr2.70075,Possible Involvement of Hallucinogenic Effects in the Aversive Effects Induced by Kappa‐Opioid and 5‐ <scp> HT <sub>2A</sub> </scp> <sub> / <scp>2C</scp> </sub> Receptor Agonists in Mice,2025,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
mechanistic,1992,10.1002/oby.23122,Bingeing on High‐Fat Food Enhances Evoked Dopamine Release and Reduces Dopamine Uptake in the Nucleus Accumbens,2021,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; dataset entity terms present.,False,0,,,
mechanistic,2001,10.1002/prp2.403,Evaluation of morphine‐like effects of the mixed mu/delta agonist morphine‐6‐<i>O</i>‐sulfate in rats: Drug discrimination and physical dependence,2018,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
mechanistic,2018,10.1002/syn.20723,Identification of a novel “almost neutral” μ‐opioid receptor antagonist in CHO cells expressing the cloned human μ‐opioid receptor,2009,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; dataset entity terms present.,False,0,,,
mechanistic,2028,10.1002/trc2.70251,Alzheimer's disease drug development pipeline: 2017,2017,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; no dataset entity terms found.,False,0,,,
mechanistic,2029,10.1002/vms3.936,Optimisation of ketamine‐xylazine anaesthetic dose and its association with changes in the dendritic spine of CA1 hippocampus in the young and old male and female Wistar rats,2022,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
mechanistic,2031,10.1002/wmts.39,Ligand‐specific differential regulation of 5‐hydroxytryptamine receptors: functional selectivity in serotonergic signaling,2012,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; no dataset entity terms found.,False,0,,,
mechanistic,2032,10.1002/wmts.42,Structure–activity relationships of serotonin 5‐HT<sub>2A</sub>agonists,2012,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
mechanistic,2039,10.1002/wps.21059,The drug treatment deadlock in psychiatry and the route forward,2023,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; no dataset entity terms found.,False,0,,,
mechanistic,2059,10.1007/7854_2016_20,Interactions of Cathinone NPS with Human Transporters and Receptors in Transfected Cells,2016,True,no_pdf_url,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
mechanistic,2069,10.1007/7854_2020_143,"The Neuropharmacology of Impulsive Behaviour, an Update",2020,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; no dataset entity terms found.,False,0,,,
mechanistic,2082,10.1007/978-3-031-96364-3_4,Regulation of Dopamine Transporter Surface Expression,2025,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; dataset entity terms present.,False,0,,,
mechanistic,2097,10.1007/bf02766917,"Nonketotic hyperglycinemia: Biochemical, molecular, and neurological aspects",1997,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
mechanistic,2098,10.1007/bf02854904,Causes and consequences of methamphetamine and MDMA toxicity,2006,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
mechanistic,2099,10.1007/bf02854914,Mechanisms of methamphetamine-induced dopaminergic neurotoxicity,2006,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; no dataset entity terms found.,False,0,,,
mechanistic,2100,10.1007/bf03013166,Magnesium deficiency increases ketamine sensitivity in rats,1997,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
mechanistic,2114,10.1007/s00018-015-2052-6,"The endoplasmic reticulum: structure, function and response to cellular signaling",2015,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; no dataset entity terms found.,False,0,,,
mechanistic,2117,10.1007/s00018-018-2876-y,Melatonin receptors limit dopamine reuptake by regulating dopamine transporter cell-surface exposure,2018,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; dataset entity terms present.,False,0,,,
mechanistic,2121,10.1007/s00044-018-2152-6,The synthetic and therapeutic expedition of isoxazole and its analogs,2018,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; no dataset entity terms found.,False,0,,,
mechanistic,2143,10.1007/s00210-014-1025-x,Polyphenol extract from evening primrose pomace alleviates experimental colitis after intracolonic and oral administration in mice,2014,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; no dataset entity terms found.,False,0,,,
mechanistic,2144,10.1007/s00210-015-1110-9,Experimental colitis in mice is attenuated by topical administration of chlorogenic acid,2015,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; no dataset entity terms found.,False,0,,,
mechanistic,2145,10.1007/s00210-015-1142-1,Calea zacatechichi dichloromethane extract exhibits antidiarrheal and antinociceptive effects in mouse models mimicking irritable bowel syndrome,2015,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; no dataset entity terms found.,False,0,,,
mechanistic,2155,10.1007/s00213-005-0255-5,Relevance of rodent models of intravenous MDMA self-administration to human MDMA consumption patterns,2006,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
mechanistic,2156,10.1007/s00213-006-0321-7,Acute dose of MDMA (75 mg) impairs spatial memory for location but leaves contextual processing of visuospatial information unaffected,2006,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
mechanistic,2159,10.1007/s00213-006-0531-z,Sex differences in the neurochemical and functional effects of MDMA in Sprague–Dawley rats,2006,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
mechanistic,2160,10.1007/s00213-006-0576-z,"The effects of fluoxetine on the subjective and physiological effects of 3,4-methylenedioxymethamphetamine (MDMA) in humans",2006,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
mechanistic,2161,10.1007/s00213-006-0601-2,MDMA use and neurocognition: a meta-analytic review,2006,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
mechanistic,2165,10.1007/s00213-007-0963-0,Daytime Ayahuasca administration modulates REM and slow-wave sleep in healthy volunteers,2007,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
mechanistic,2166,10.1007/s00213-007-1056-9,Acute neuropsychological effects of MDMA and ethanol (co-)administration in healthy volunteers,2008,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
mechanistic,2167,10.1007/s00213-008-1129-4,Mismatch negativity generation in the human 5HT2A agonist and NMDA antagonist model of psychosis,2008,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
mechanistic,2168,10.1007/s00213-008-1212-x,Adaptations in pre- and postsynaptic 5-HT1A receptor function and cocaine supersensitivity in serotonin transporter knockout rats,2008,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; dataset entity terms present.,False,0,,,
mechanistic,2169,10.1007/s00213-008-1238-0,"Dopamine D4 receptor involvement in the discriminative stimulus effects in rats of LSD, but not the phenethylamine hallucinogen DOI",2008,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
mechanistic,2172,10.1007/s00213-008-1458-3,"Comparison of the discriminative stimulus effects of salvinorin A and its derivatives to U69,593 and U50,488 in rats",2009,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
mechanistic,2188,10.1007/s00213-010-2102-6,The effects of NMDA receptor antagonists on attentional set-shifting task performance in mice,2010,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
mechanistic,2199,10.1007/s00213-013-3232-4,The neurobiology of modafinil as an enhancer of cognitive performance and a potential treatment for substance use disorders,2013,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; dataset entity terms present.,False,0,,,
mechanistic,2206,10.1007/s00213-014-3747-3,Role of ionotropic glutamate receptors in delay and probability discounting in the rat,2014,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
mechanistic,2210,10.1007/s00213-015-3957-3,Antidepressant-like cognitive and behavioral effects of acute ketamine administration associated with plasticity in the ventral hippocampus to medial prefrontal cortex pathway,2015,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
mechanistic,2219,10.1007/s00213-016-4325-7,Group II mGlu receptor antagonist LY341495 enhances the antidepressant-like effects of ketamine in the forced swim test in rats,2016,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
mechanistic,2234,10.1007/s00213-018-5118-y,Chronic treatment with a metabotropic mGlu2/3 receptor agonist diminishes behavioral response to a phenethylamine hallucinogen,2018,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
mechanistic,2243,10.1007/s00213-020-05533-9,Subjective features of the psilocybin experience that may account for its self-administration by humans: a double-blind comparison of psilocybin and dextromethorphan,2020,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
mechanistic,2246,10.1007/s00213-020-05679-6,Synergistic antidepressant- and anxiolytic-like effects of harmaline along with cinanserin in acute restraint stress-treated mice,2020,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; no dataset entity terms found.,False,0,,,
mechanistic,2254,10.1007/s00213-022-06098-5,The role of serotonin neurotransmission in rapid antidepressant actions,2022,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
mechanistic,2256,10.1007/s00213-022-06121-9,Pharmacological modelling of dissociation and psychosis: an evaluation of the Clinician Administered Dissociative States Scale and Psychotomimetic States Inventory during nitrous oxide (‘laughing gas’)-induced anomalous states,2022,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
mechanistic,2257,10.1007/s00213-022-06226-1,EGR3 regulates opioid-related nociception and motivation in male rats,2022,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; no dataset entity terms found.,False,0,,,
mechanistic,2258,10.1007/s00213-023-06340-8,Rate of onset of dopamine transporter inhibitors assessed with intracranial self-stimulation and in vivo dopamine photometry in rats,2023,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; dataset entity terms present.,False,0,,,
mechanistic,2262,10.1007/s00213-023-06410-x,Antidepressant effects of novel positive allosteric modulators of Trk-receptor mediated signaling – a potential therapeutic concept?,2023,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
mechanistic,2263,10.1007/s00213-023-06479-4,Effects of a dissociative drug on fronto-limbic resting-state functional connectivity in individuals with posttraumatic stress disorder: a randomized controlled pilot study,2023,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
mechanistic,2267,10.1007/s00213-024-06724-4,"Depression-like effects induced by chronic unpredictable mild stress in mice are rapidly reversed by a partial negative allosteric modulator of mGlu5 receptor, M-5MPEP",2024,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
mechanistic,2271,10.1007/s002130050503,Interactive effects of subanesthetic ketamine and subhypnotic lorazepam in humans,1998,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
mechanistic,2273,10.1007/s002130100901,Hypolocomotor effects of acute and daily d-amphetamine in mice lacking the dopamine transporter,2001,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; dataset entity terms present.,False,0,,,
mechanistic,2279,10.1007/s00221-019-05556-5,In vivo electrophysiological recordings of the effects of antidepressant drugs,2019,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; dataset entity terms present.,False,0,,,
mechanistic,2280,10.1007/s00221-025-07066-z,"Supraspinal kappa-opioid receptors: new therapeutic strategies for pain, pruritus, and negative emotions",2025,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; dataset entity terms present.,False,0,,,
mechanistic,2282,10.1007/s00259-008-1057-x,Serotonin transporter binding with [123I]β-CIT SPECT in major depressive disorder versus controls: effect of season and gender,2009,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; dataset entity terms present.,False,0,,,
mechanistic,2285,10.1007/s00259-022-06073-4,PET imaging of animal models with depressive-like phenotypes,2023,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; no dataset entity terms found.,False,0,,,
mechanistic,2286,10.1007/s00262-010-0862-9,"Bioactivity and pharmacokinetics of two human serum albumin–thymosin α1-fusion proteins, rHSA-Tα1 and rHSA-L-Tα1, expressed in recombinant Pichia pastoris",2010,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; dataset entity terms present.,False,0,,,
mechanistic,2289,10.1007/s00384-018-3218-0,Focus on current and future management possibilities in inflammatory bowel disease-related chronic pain,2018,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; no dataset entity terms found.,False,0,,,
