normalization_status,normalization_notes,compound,target,disorder,canonical_compound,canonical_entity,compound_original,target_original,disorder_original,graph_entity_original,raw_entity_label,entity_role,graph_entity_label,graph_entity_type,graph_include_candidate,study_doi,study_title,claim_type,clinical_context_condition,graph_exclusion_reason,mechanism_type,assay_type,assay_family,action_type,affinity_type,affinity_value,affinity_unit,result_direction,species,model_or_system,system,authors,study_year,paper_type,source,source_type,source_family,paper_assessment_route,evidence_strength,support,confidence,needs_human_review,supporting_quote,access_level,evidence_location,evidence_locator,study_design,funding,conflicts_of_interest,risk_of_bias_summary,notes,study_journal,publication_type,publication_date,journal_issn,journal_eissn,publisher,mesh_terms,language,trial_registry_ids,sample_size_total,sample_size_by_arm,comparator,intervention_or_exposure,dose,route,session_count_or_duration,primary_outcome,outcome_measure,timepoint,effect_size,p_value,confidence_interval,adverse_events,evidence_level,normalization_dataset,normalization_entity_category,compound_match_type,entity_match_type,compound_match_value,entity_match_value,compound_registry_status,entity_registry_status,compound_ids,entity_ids,entity_candidate_label,entity_candidate_score,keywords,funders,grant_ids,related_dois,publication_relations
normalized,compound and graph entity matched local registry,DMT,5-HT2A receptor,,DMT,5-HT2A,,,,,DMT,molecular_target,5-HT2A receptor,target,True,10.21203/rs.3.rs-2667175/v1,Bioproduction platform using a novel cane toad (Rhinella marina) N-methyltransferase for psychedelic-inspired drug discovery,compound_target,not_applicable,not_reported,binding,radioligand competition assay,binding,binding,Ki,1513.0,nM,not_applicable,human,human 5-HT2A receptor membranes (CHO cells),in_vitro,Xue Chen; Jing Li; Lisa Yu; D Dhananjaya; Francesca Maule; Sarah Cook; Limei Chang; Jonathan Gallant; David Press; Jaideep S Bains,2023,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,"DMT 1,513 ± 639",full_text_seen,table,Table 2,experimental,not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=1; needs_human_review=False,Research Square,posted-content,2023-03-10,,,Springer Science and Business Media LLC,,,not_reported,,,,,,,,,,,,,,,high,mechanistic,targets,label,target_variant,DMT,5-HT2A receptor,needs_external_id_lookup,needs_external_id_lookup,{},"{""gene_symbol"": ""HTR2A""}",5-HT2A,1.0,,,,,
normalized,compound and graph entity matched local registry,Psilocin,5-HT2A receptor,,Psilocin,5-HT2A,,,,,Psilocin,molecular_target,5-HT2A receptor,target,True,10.21203/rs.3.rs-2667175/v1,Bioproduction platform using a novel cane toad (Rhinella marina) N-methyltransferase for psychedelic-inspired drug discovery,compound_target,not_applicable,not_reported,binding,radioligand competition assay,binding,binding,Ki,331.0,nM,not_applicable,human,human 5-HT2A receptor membranes (CHO cells),in_vitro,Xue Chen; Jing Li; Lisa Yu; D Dhananjaya; Francesca Maule; Sarah Cook; Limei Chang; Jonathan Gallant; David Press; Jaideep S Bains,2023,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,Psilocin 331 ± 96,full_text_seen,table,Table 2,experimental,not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=1; needs_human_review=False,Research Square,posted-content,2023-03-10,,,Springer Science and Business Media LLC,,,not_reported,,,,,,,,,,,,,,,high,mechanistic,targets,label,target_variant,Psilocin,5-HT2A receptor,needs_external_id_lookup,needs_external_id_lookup,{},"{""gene_symbol"": ""HTR2A""}",5-HT2A,1.0,,,,,
compound_unmapped,compound `Bufotenin` did not match registry,Bufotenin,5-HT2A receptor,,,5-HT2A,,,,,Bufotenin,molecular_target,5-HT2A receptor,target,True,10.21203/rs.3.rs-2667175/v1,Bioproduction platform using a novel cane toad (Rhinella marina) N-methyltransferase for psychedelic-inspired drug discovery,compound_target,not_applicable,not_reported,binding,radioligand competition assay,binding,binding,Ki,557.0,nM,not_applicable,human,human 5-HT2A receptor membranes (CHO cells),in_vitro,Xue Chen; Jing Li; Lisa Yu; D Dhananjaya; Francesca Maule; Sarah Cook; Limei Chang; Jonathan Gallant; David Press; Jaideep S Bains,2023,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,Bufotenin 557 ± 203,full_text_seen,table,Table 2,experimental,not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=1; needs_human_review=False,Research Square,posted-content,2023-03-10,,,Springer Science and Business Media LLC,,,not_reported,,,,,,,,,,,,,,,high,mechanistic,targets,,target_variant,Bufotenin,5-HT2A receptor,,needs_external_id_lookup,{},"{""gene_symbol"": ""HTR2A""}",5-HT2A,1.0,,,,,
compound_unmapped,compound `5-Methoxy-DMT` did not match registry,5-Methoxy-DMT,5-HT2A receptor,,,5-HT2A,,,,,5-Methoxy-DMT,molecular_target,5-HT2A receptor,target,True,10.21203/rs.3.rs-2667175/v1,Bioproduction platform using a novel cane toad (Rhinella marina) N-methyltransferase for psychedelic-inspired drug discovery,compound_target,not_applicable,not_reported,binding,radioligand competition assay,binding,binding,Ki,113.0,nM,not_applicable,human,human 5-HT2A receptor membranes (CHO cells),in_vitro,Xue Chen; Jing Li; Lisa Yu; D Dhananjaya; Francesca Maule; Sarah Cook; Limei Chang; Jonathan Gallant; David Press; Jaideep S Bains,2023,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,5-Methoxy-DMT 113 ± 46,full_text_seen,table,Table 2,experimental,not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=1; needs_human_review=False,Research Square,posted-content,2023-03-10,,,Springer Science and Business Media LLC,,,not_reported,,,,,,,,,,,,,,,high,mechanistic,targets,,target_variant,5-Methoxy-DMT,5-HT2A receptor,,needs_external_id_lookup,{},"{""gene_symbol"": ""HTR2A""}",5-HT2A,1.0,,,,,
normalized,compound and graph entity matched local registry,MDMA,Serotonin transporter (SERT),,MDMA,SERT (SLC6A4),,,,,SERT occupancies,molecular_target,Serotonin transporter,target,True,10.2967/jnumed.122.264391,"Neurovascular Uncoupling: Multimodal Imaging Delineates the Acute Effects of 3,4-Methylenedioxymethamphetamine",compound_target,not_applicable,not_reported,blockage,11 C-DASB PET/fMRI,PET imaging,blockage,Other,decreased,BPND,not_applicable,rats,in vivo,preclinical,Tudor M. Ionescu; Mario Amend; Tadashi Watabe; Jun Hatazawa; Andreas Maurer; Gerald Reischl; Bernd J. Pichler; Hans F. Wehrl; Kristina Herfert,2022,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.9,False,"We further demonstrated a strong correlation between SERT occupancies and regional BOLD reductions after acute MDMA administration. ... In a second cohort, we used 11 C-3-amino-4-(2-dimethylaminomethylphenylsulfanyl)-benzonitrile ( 11 C-DASB) to investigate relationships between hemodynamic alterations and changes in serotonin transporter (SERT) availability, one of the main targets of MDMA ( 18 ). ... After the challenge, binding in all regions decreased either immediately (1 -2 min after the challenge) in areas with high binding values (BPND . 1.8) or with a delay of approximately 10 min in regions with lower 11 C-DASB binding values. At 30 min after the challenge, binding remained stable until the end of the scan.",full_text_seen,abstract,"abstract, C002, C003",experimental study,not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=0.9; needs_human_review=False,Journal of Nuclear Medicine,journal-article,2022-09-29,2159-662X,1535-5667,Society of Nuclear Medicine,"Rats | Animals | N-Methyl-3,4-methylenedioxyamphetamine / pharmacology | N-Methyl-3,4-methylenedioxyamphetamine / metabolism | Fluorodeoxyglucose F18 / metabolism | Hallucinogens / pharmacology | Hallucinogens / metabolism | Brain / metabolism | Multimodal Imaging | Glucose / metabolism | Serotonin Plasma Membrane Transport Proteins / metabolism | Positron-Emission Tomography / methods | Magnetic Resonance Imaging / methods",eng,not_reported,,,,,,,,,,,,,,,medium,mechanistic,targets,label,alias,MDMA,Serotonin transporter,needs_external_id_lookup,needs_external_id_lookup,{},"{""gene_symbol"": ""SLC6A4""}",SERT (SLC6A4),1.0,PET/fMRI | hemodynamics | metabolism | methylenedioxymethamphetamine | neurovascular coupling | serotonin,,,,
normalized,compound and graph entity matched local registry,MDMA,5-HT2A receptor,,MDMA,5-HT2A,,,,,5-HT2A receptor,molecular_target,5-HT2A receptor,target,True,10.2967/jnumed.122.264391,"Neurovascular Uncoupling: Multimodal Imaging Delineates the Acute Effects of 3,4-Methylenedioxymethamphetamine",compound_target,not_applicable,not_reported,agonist,,,agonist,,,,not_applicable,not_reported,in vivo (peripheral blood vessels),preclinical,Tudor M. Ionescu; Mario Amend; Tadashi Watabe; Jun Hatazawa; Andreas Maurer; Gerald Reischl; Bernd J. Pichler; Hans F. Wehrl; Kristina Herfert,2022,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.8,False,"The 5-HT2A receptor, which is postulated -along with the 5-HT1B receptor -to mediate vasoconstrictive effects ( 40,41 ), is one of the main targets of MDMA ( 5,42 ). However, because MDMA has a much stronger af fi nity to the 5-HT2A receptor than to the 5-HT1B receptor ( 5 ), direct agonist action of MDMA at 5-HT2A in peripheral blood vessels likely drives our results ( 40 ).",full_text_seen,text,C005,experimental study,not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=0.8; needs_human_review=False,Journal of Nuclear Medicine,journal-article,2022-09-29,2159-662X,1535-5667,Society of Nuclear Medicine,"Rats | Animals | N-Methyl-3,4-methylenedioxyamphetamine / pharmacology | N-Methyl-3,4-methylenedioxyamphetamine / metabolism | Fluorodeoxyglucose F18 / metabolism | Hallucinogens / pharmacology | Hallucinogens / metabolism | Brain / metabolism | Multimodal Imaging | Glucose / metabolism | Serotonin Plasma Membrane Transport Proteins / metabolism | Positron-Emission Tomography / methods | Magnetic Resonance Imaging / methods",eng,not_reported,,,,,,,,,,,,,,,medium,mechanistic,targets,label,target_variant,MDMA,5-HT2A receptor,needs_external_id_lookup,needs_external_id_lookup,{},"{""gene_symbol"": ""HTR2A""}",5-HT2A,1.0,PET/fMRI | hemodynamics | metabolism | methylenedioxymethamphetamine | neurovascular coupling | serotonin,,,,
compound_unmapped,compound `scalines and 3C-scalines` did not match registry,scalines and 3C-scalines,5-HT2A receptor,,,5-HT2A,,,,,5-HT 2A receptor,molecular_target,5-HT2A receptor,target,True,10.3389/fphar.2021.794254,"Receptor Interaction Profiles of 4-Alkoxy-3,5-Dimethoxy-Phenethylamines (Mescaline Derivatives) and Related Amphetamines",compound_target,not_applicable,not_reported,binding,Radioligand binding assay,binding,binding,Ki,"150-12,000",nM,not_applicable,human,target specific transfected cells,in_vitro,Karolina E. Kolaczynska; Dino Luethi; Daniel Trachsel; Marius C. Hoener; Matthias E. Liechti,2022,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,"Generally, scalines and 3C-scalines bound with weak to moderately high affinity to the 5-HT 2A receptor (K i = 150-12,000 nM).",full_text_seen,abstract,Abstract,in vitro study,not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=1.0; needs_human_review=False,Frontiers in Pharmacology,journal-article,2022-02-09,1663-9812,,Frontiers Media SA,,eng,,,,,,,,,,,,,,,,medium,mechanistic,targets,,target_variant,scalines and 3C-scalines,5-HT2A receptor,,needs_external_id_lookup,{},"{""gene_symbol"": ""HTR2A""}",5-HT2A,1.0,3C-scalines | fluorination | mescaline | phenethylamine | psychedelic | scalines,,,,
compound_unmapped,"compound `TFM, MAL, BZ` did not match registry","TFM, MAL, BZ",5-HT2A receptor,,,5-HT2A,,,,,5-HT 2A receptor,molecular_target,5-HT2A receptor,target,True,10.3389/fphar.2021.794254,"Receptor Interaction Profiles of 4-Alkoxy-3,5-Dimethoxy-Phenethylamines (Mescaline Derivatives) and Related Amphetamines",compound_target,not_applicable,not_reported,binding,Radioligand binding assay,binding,binding,Ki,150-550,nM,not_applicable,human,target specific transfected cells,in_vitro,Karolina E. Kolaczynska; Dino Luethi; Daniel Trachsel; Marius C. Hoener; Matthias E. Liechti,2022,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,"The fluorinated and bulky substituted phenethylamines TFM (13), MAL (32), and BZ (33) bound relatively potently to the 5-HT 2A receptor in the submicromolar range (K i 150-550 nM).",full_text_seen,text,5-HT 2A Receptors (Results section),in vitro study,not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=1.0; needs_human_review=False,Frontiers in Pharmacology,journal-article,2022-02-09,1663-9812,,Frontiers Media SA,,eng,,,,,,,,,,,,,,,,medium,mechanistic,targets,,target_variant,"TFM, MAL, BZ",5-HT2A receptor,,needs_external_id_lookup,{},"{""gene_symbol"": ""HTR2A""}",5-HT2A,1.0,3C-scalines | fluorination | mescaline | phenethylamine | psychedelic | scalines,,,,
compound_unmapped,"compound `TFM, MAL, BZ` did not match registry","TFM, MAL, BZ",5-HT2A receptor,,,5-HT2A,,,,,5-HT 2A receptor,molecular_target,5-HT2A receptor,target,True,10.3389/fphar.2021.794254,"Receptor Interaction Profiles of 4-Alkoxy-3,5-Dimethoxy-Phenethylamines (Mescaline Derivatives) and Related Amphetamines",compound_target,not_applicable,not_reported,activation (agonist),FLIPR calcium 5 assay,functional,activation (agonist),EC50,27-280,nM,not_applicable,human,mouse embryonic fibroblasts (NIH-3T3 cells) expressing human 5-HT 2A receptor,in_vitro,Karolina E. Kolaczynska; Dino Luethi; Daniel Trachsel; Marius C. Hoener; Matthias E. Liechti,2022,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,"The derivatives with high 5-HT 2A receptor affinities (K i < 1,000 nM), such as TFM (13), MAL (32), and BZ (33), also displayed high activation potency (EC 50 in the range of 27-280 nM). Structures 13, and 33 were found to be partial agonists (efficacy < 85%) and 32 had an activation efficacy of 85%, suggesting full agonist properties.",full_text_seen,text,Activation Potency and Efficacy at the 5-HT 2A and 5-HT 2B Receptors (Results section),in vitro study,not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=1.0; needs_human_review=False,Frontiers in Pharmacology,journal-article,2022-02-09,1663-9812,,Frontiers Media SA,,eng,,,,,,,,,,,,,,,,medium,mechanistic,targets,,target_variant,"TFM, MAL, BZ",5-HT2A receptor,,needs_external_id_lookup,{},"{""gene_symbol"": ""HTR2A""}",5-HT2A,1.0,3C-scalines | fluorination | mescaline | phenethylamine | psychedelic | scalines,,,,
compound_unmapped,"compound `TFM, MAL, BZ` did not match registry","TFM, MAL, BZ",5-HT2C receptor,,,5-HT2C,,,,,5-HT 2C receptor,molecular_target,5-HT2C receptor,target,True,10.3389/fphar.2021.794254,"Receptor Interaction Profiles of 4-Alkoxy-3,5-Dimethoxy-Phenethylamines (Mescaline Derivatives) and Related Amphetamines",compound_target,not_applicable,not_reported,binding,Radioligand binding assay,binding,binding,Ki,290-520,nM,not_applicable,human,target specific transfected cells,in_vitro,Karolina E. Kolaczynska; Dino Luethi; Daniel Trachsel; Marius C. Hoener; Matthias E. Liechti,2022,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,"Exceptions were TFM (13), MAL (32), and BZ (33), which displayed submicromolar affinity at the 5-HT 2C receptor (K i 290-520 nM), with 19-to 34-fold higher affinity than 5.",full_text_seen,text,5-HT 2C Receptors (Results section),in vitro study,not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=1.0; needs_human_review=False,Frontiers in Pharmacology,journal-article,2022-02-09,1663-9812,,Frontiers Media SA,,eng,,,,,,,,,,,,,,,,medium,mechanistic,targets,,target_variant,"TFM, MAL, BZ",5-HT2C receptor,,needs_external_id_lookup,{},"{""gene_symbol"": ""HTR2C""}",5-HT2C,1.0,3C-scalines | fluorination | mescaline | phenethylamine | psychedelic | scalines,,,,
compound_unmapped,compound `3C-DFM` did not match registry,3C-DFM,TAAR1,,,TAAR1,,,,,rat TAAR1,molecular_target,TAAR1,target,True,10.3389/fphar.2021.794254,"Receptor Interaction Profiles of 4-Alkoxy-3,5-Dimethoxy-Phenethylamines (Mescaline Derivatives) and Related Amphetamines",compound_target,not_applicable,not_reported,binding,Radioligand binding assay,binding,binding,Ki,380.0,nM,not_applicable,rat,target specific transfected cells,in_vitro,Karolina E. Kolaczynska; Dino Luethi; Daniel Trachsel; Marius C. Hoener; Matthias E. Liechti,2022,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,The amphetamine derivative 3C-DFM (14) bound with a K i of 380 nM to the rat TAAR1.,full_text_seen,figure,Figure 2 caption,in vitro study,not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=1.0; needs_human_review=False,Frontiers in Pharmacology,journal-article,2022-02-09,1663-9812,,Frontiers Media SA,,eng,,,,,,,,,,,,,,,,high,mechanistic,targets,,label,3C-DFM,TAAR1,,needs_external_id_lookup,{},"{""gene_symbol"": ""TAAR1""}",TAAR1,1.0,3C-scalines | fluorination | mescaline | phenethylamine | psychedelic | scalines,,,,
compound_unmapped,compound `TFM` did not match registry,TFM,Alpha-2A adrenergic receptor,,,,,,,,α 2A receptor,molecular_target,Alpha-2A adrenergic receptor,target,True,10.3389/fphar.2021.794254,"Receptor Interaction Profiles of 4-Alkoxy-3,5-Dimethoxy-Phenethylamines (Mescaline Derivatives) and Related Amphetamines",compound_target,not_applicable,not_reported,binding,Radioligand binding assay,binding,binding,Ki,450.0,nM,not_applicable,human,target specific transfected cells,in_vitro,Karolina E. Kolaczynska; Dino Luethi; Daniel Trachsel; Marius C. Hoener; Matthias E. Liechti,2022,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,"At the α 2A receptor, all phenethylamine derivatives bound in the micromolar range (K i 1,200-3,700 nM) except for TFM (13), which bound with moderate affinity (K i 450 nM).",full_text_seen,text,Interactions With Non-Serotonergic Receptors and Monoamine Transporters (Results section),in vitro study,not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=1.0; needs_human_review=False,Frontiers in Pharmacology,journal-article,2022-02-09,1663-9812,,Frontiers Media SA,,eng,,,,,,,,,,,,,,,,high,mechanistic,targets,,,TFM,Alpha-2A adrenergic receptor,,,{},{},,0.0,3C-scalines | fluorination | mescaline | phenethylamine | psychedelic | scalines,,,,
entity_unmapped,graph entity `Akt` did not match registry,Ketamine,Akt,,Ketamine,,,,,,Akt activity,molecular_target,Akt,target,True,10.3390/ph17060669,Ketamine’s Amelioration of Fear Extinction in Adolescent Male Mice Is Associated with the Activation of the Hippocampal Akt-mTOR-GluA1 Pathway,compound_target,not_applicable,not_reported,increased activity,Western blot,,increased activity,,,,not_applicable,mice,"adolescent male C57 BL/6 mice, hippocampus",preclinical,Emilija Glavonic; Milorad Dragic; Milos Mitic; Minja Aleksic; Iva Lukic; Sanja Ivkovic; Miroslav Adzic,2024,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.9,False,"Ketamine also increased the Akt and mTOR activity... in the HPC. ...Ketamine increased the hippocampal Akt and mTOR ratios compared to those of the controls (Akt ratio: t (6) = 3.33, p < 0.05, Figure 4C )",full_text_seen,mixed,"Abstract, S009, Figure 4C",experimental study,"Ministry of Science, Technological Development and Innovation of the Republic of Serbia",not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=0.9; needs_human_review=False,Pharmaceuticals,journal-article,2024-05-22,1424-8247,,MDPI AG,,eng,,,,,,,,,,,,,,,,medium,mechanistic,targets,label,,Ketamine,Akt,needs_external_id_lookup,,{},{},,0.0,adolescence | fear extinction | fear-related disorders | hippocampus | ketamine | mTOR signaling | prefrontal cortex,"Ministry of Science, Technological Development and Innovation of the Republic of Serbia",451-03-66/2024-03/ 200017,,
entity_unmapped,graph entity `mTOR` did not match registry,Ketamine,mTOR,,Ketamine,,,,,,mTOR activity,molecular_target,mTOR,target,True,10.3390/ph17060669,Ketamine’s Amelioration of Fear Extinction in Adolescent Male Mice Is Associated with the Activation of the Hippocampal Akt-mTOR-GluA1 Pathway,compound_target,not_applicable,not_reported,increased activity,Western blot,,increased activity,,,,not_applicable,mice,"adolescent male C57 BL/6 mice, hippocampus",preclinical,Emilija Glavonic; Milorad Dragic; Milos Mitic; Minja Aleksic; Iva Lukic; Sanja Ivkovic; Miroslav Adzic,2024,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.9,False,"Ketamine also increased the Akt and mTOR activity... in the HPC. ...Ketamine increased the hippocampal Akt and mTOR ratios compared to those of the controls (... mTOR: t (6) = 3.51, p < 0.05; Figures 4D and S1 )",full_text_seen,mixed,"Abstract, S009, Figure 4D",experimental study,"Ministry of Science, Technological Development and Innovation of the Republic of Serbia",not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=0.9; needs_human_review=False,Pharmaceuticals,journal-article,2024-05-22,1424-8247,,MDPI AG,,eng,,,,,,,,,,,,,,,,medium,mechanistic,targets,label,,Ketamine,mTOR,needs_external_id_lookup,,{},{},,0.0,adolescence | fear extinction | fear-related disorders | hippocampus | ketamine | mTOR signaling | prefrontal cortex,"Ministry of Science, Technological Development and Innovation of the Republic of Serbia",451-03-66/2024-03/ 200017,,
entity_unmapped,graph entity `GluA1` did not match registry,Ketamine,GluA1,,Ketamine,,,,,,GluA1 levels,molecular_target,GluA1,target,True,10.3390/ph17060669,Ketamine’s Amelioration of Fear Extinction in Adolescent Male Mice Is Associated with the Activation of the Hippocampal Akt-mTOR-GluA1 Pathway,compound_target,not_applicable,not_reported,increased expression,Western blot,,increased expression,,,,not_applicable,mice,"adolescent male C57 BL/6 mice, hippocampus",preclinical,Emilija Glavonic; Milorad Dragic; Milos Mitic; Minja Aleksic; Iva Lukic; Sanja Ivkovic; Miroslav Adzic,2024,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.9,False,"Ketamine also increased the ... GluA1 and GluN2A levels in the HPC. ...The animals injected with ketamine exhibited increased levels of AMPA receptor subunit 1 (GluA1) ... in their HPCs compared to the vehicle-treated mice (GluA1: t (6) = 2.56, p < 0.05; Figure 5A )",full_text_seen,mixed,"Abstract, S009, Figure 5A",experimental study,"Ministry of Science, Technological Development and Innovation of the Republic of Serbia",not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=0.9; needs_human_review=False,Pharmaceuticals,journal-article,2024-05-22,1424-8247,,MDPI AG,,eng,,,,,,,,,,,,,,,,medium,mechanistic,targets,label,,Ketamine,GluA1,needs_external_id_lookup,,{},{},,0.0,adolescence | fear extinction | fear-related disorders | hippocampus | ketamine | mTOR signaling | prefrontal cortex,"Ministry of Science, Technological Development and Innovation of the Republic of Serbia",451-03-66/2024-03/ 200017,,
entity_unmapped,graph entity `GluN2A` did not match registry,Ketamine,GluN2A,,Ketamine,,,,,,GluN2A levels,molecular_target,GluN2A,target,True,10.3390/ph17060669,Ketamine’s Amelioration of Fear Extinction in Adolescent Male Mice Is Associated with the Activation of the Hippocampal Akt-mTOR-GluA1 Pathway,compound_target,not_applicable,not_reported,increased expression,Western blot,,increased expression,,,,not_applicable,mice,"adolescent male C57 BL/6 mice, hippocampus",preclinical,Emilija Glavonic; Milorad Dragic; Milos Mitic; Minja Aleksic; Iva Lukic; Sanja Ivkovic; Miroslav Adzic,2024,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.9,False,"Ketamine also increased the ... GluA1 and GluN2A levels in the HPC. ...The animals injected with ketamine exhibited increased levels of ... NMDA receptor subunit 2A (GluN2A) in their HPCs compared to the vehicle-treated mice (... GluN2A: t (6) = 2.50, p < 0.05; Figures 5B and S1 )",full_text_seen,mixed,"Abstract, S009, Figure 5B",experimental study,"Ministry of Science, Technological Development and Innovation of the Republic of Serbia",not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=0.9; needs_human_review=False,Pharmaceuticals,journal-article,2024-05-22,1424-8247,,MDPI AG,,eng,,,,,,,,,,,,,,,,medium,mechanistic,targets,label,,Ketamine,GluN2A,needs_external_id_lookup,,{},{},,0.0,adolescence | fear extinction | fear-related disorders | hippocampus | ketamine | mTOR signaling | prefrontal cortex,"Ministry of Science, Technological Development and Innovation of the Republic of Serbia",451-03-66/2024-03/ 200017,,
entity_unmapped,graph entity `BDNF exon IV` did not match registry,Ketamine,BDNF exon IV,,Ketamine,,,,,,BDNF exon IV mRNA expression,molecular_target,BDNF exon IV,target,True,10.3390/ph17060669,Ketamine’s Amelioration of Fear Extinction in Adolescent Male Mice Is Associated with the Activation of the Hippocampal Akt-mTOR-GluA1 Pathway,compound_target,not_applicable,not_reported,upregulated expression,qRT-PCR,,upregulated expression,,,,not_applicable,mice,"adolescent male C57 BL/6 mice, hippocampus and prefrontal cortex",preclinical,Emilija Glavonic; Milorad Dragic; Milos Mitic; Minja Aleksic; Iva Lukic; Sanja Ivkovic; Miroslav Adzic,2024,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.9,False,"Ketamine also ... upregulated BDNF exon IV mRNA expression in the HPC and PFC of the fear-extinguished mice. ...Here, we found that ketamine upregulates the expression of BDNF exon IV in both the HPC and PFC following FE in adolescents (HPC: t (6) = 26.8, p < 0.05; Figure 8B ; PFC: t (6) = 2.62, p < 0.05; Figure 8B )",full_text_seen,mixed,"Abstract, S012, Figure 8B",experimental study,"Ministry of Science, Technological Development and Innovation of the Republic of Serbia",not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=0.9; needs_human_review=False,Pharmaceuticals,journal-article,2024-05-22,1424-8247,,MDPI AG,,eng,,,,,,,,,,,,,,,,medium,mechanistic,targets,label,,Ketamine,BDNF exon IV,needs_external_id_lookup,,{},{},,0.0,adolescence | fear extinction | fear-related disorders | hippocampus | ketamine | mTOR signaling | prefrontal cortex,"Ministry of Science, Technological Development and Innovation of the Republic of Serbia",451-03-66/2024-03/ 200017,,
entity_unmapped,graph entity `c-Fos` did not match registry,Ketamine,c-Fos,,Ketamine,,,,,,c-Fos expression,molecular_target,c-Fos,target,True,10.3390/ph17060669,Ketamine’s Amelioration of Fear Extinction in Adolescent Male Mice Is Associated with the Activation of the Hippocampal Akt-mTOR-GluA1 Pathway,compound_target,not_applicable,not_reported,increased expression,Immunohistochemistry/Immunofluorescence microscopy,,increased expression,,,,not_applicable,mice,"adolescent male C57 BL/6 mice, dorsal hippocampus, ventral hippocampus, left infralimbic ventromedial prefrontal cortex",preclinical,Emilija Glavonic; Milorad Dragic; Milos Mitic; Minja Aleksic; Iva Lukic; Sanja Ivkovic; Miroslav Adzic,2024,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.9,False,"ketamine increased the c-Fos expression in specific brain regions, including the ventral HPC (vHPC) and the left infralimbic ventromedial PFC (IL vmPFC). ...We found that ketamine upregulated c-Fos expression in the fear-extinguished mice in the CA1 and CA3 regions of both the dHPC and the vHPC (dHPC CA1: t(62) = 5.34, p < 0.05; Figure 6C ; dHPC CA3: t(29) = 4.61, p < 0.05; Figure 6C ; vHPC CA1: t(28) = 4.52, p < 0.05; Figure 6D ; vHPC CA3: t(14) = 2.72, p < 0.05; Figure 6D ). ...ketamine boosted the c-Fos expression within the left hemisphere of the IL region (t (30) = 2.12, p < 0.05; Figure 7B )",full_text_seen,mixed,"Abstract, S009, S011, Figure 6C, Figure 6D, Figure 7B",experimental study,"Ministry of Science, Technological Development and Innovation of the Republic of Serbia",not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=0.9; needs_human_review=False,Pharmaceuticals,journal-article,2024-05-22,1424-8247,,MDPI AG,,eng,,,,,,,,,,,,,,,,medium,mechanistic,targets,label,,Ketamine,c-Fos,needs_external_id_lookup,,{},{},,0.0,adolescence | fear extinction | fear-related disorders | hippocampus | ketamine | mTOR signaling | prefrontal cortex,"Ministry of Science, Technological Development and Innovation of the Republic of Serbia",451-03-66/2024-03/ 200017,,
