claim_type,compound,disorder,raw_entity_label,entity_role,clinical_context_condition,graph_entity_label,graph_entity_type,graph_include_candidate,graph_exclusion_reason,outcome_type,outcome_domain,result_direction,outcome_measure,population,system,study_doi,openalex_id,study_title,authors,study_year,study_journal,publication_type,trial_registry_ids,publication_date,journal_issn,journal_eissn,publisher,mesh_terms,keywords,funders,grant_ids,related_dois,publication_relations,is_retracted,has_correction,language,semantic_scholar_id,paper_type,evidence_level,source,source_type,source_family,paper_assessment_route,evidence_strength,support,confidence,needs_human_review,access_level,evidence_location,evidence_locator,study_design,sample_size_total,comparator,intervention_or_exposure,dose,route,session_count_or_duration,timepoint,effect_size,p_value,confidence_interval,adverse_events,supporting_quote,funding,conflicts_of_interest,risk_of_bias_summary,notes
compound_disorder,MDMA,Suicidal ideation,Past Yr. S.I,symptom_or_problem,Hispanic participants,none,none,False,"The endpoint is a symptom/problem or outcome measure, not a formal therapeutic indication.",mental health outcome,Suicidality,positive,Past year suicidal ideation,Hispanic participants from a nationally representative sample of the United States population,clinical,10.1038/s41598-022-18645-3,,Race and ethnicity moderate the associations between lifetime psychedelic use (MDMA and psilocybin) and psychological distress and suicidality,Grant M. Jones; Matthew K. Nock,2022,Scientific Reports,journal-article,not_reported,2022-10-10,2045-2322,2045-2322,Springer Science and Business Media LLC,"Ethnicity | Hallucinogens / adverse effects | Humans | Minority Groups | N-Methyl-3,4-methylenedioxyamphetamine / adverse effects | Psilocybin / pharmacology | Psychological Distress | Suicide",,,,,,,,eng,,primary_results,low,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.9,False,full_text_seen,table,Table 3,observational,"484,732",no lifetime MDMA use,lifetime MDMA use,not_reported,not_reported,lifetime use,past year,,,,not_reported,"Hispanic MDMA 0.81* (0.65, 0.99)",not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=0.9; needs_human_review=False
compound_disorder,Psilocybin,Psychological distress,Past Mo. distress,symptom_or_problem,Hispanic participants,none,none,False,"The endpoint is a symptom/problem or outcome measure, not a formal therapeutic indication.",mental health outcome,Psychological distress,positive,Past month psychological distress,Hispanic participants from a nationally representative sample of the United States population,clinical,10.1038/s41598-022-18645-3,,Race and ethnicity moderate the associations between lifetime psychedelic use (MDMA and psilocybin) and psychological distress and suicidality,Grant M. Jones; Matthew K. Nock,2022,Scientific Reports,journal-article,not_reported,2022-10-10,2045-2322,2045-2322,Springer Science and Business Media LLC,"Ethnicity | Hallucinogens / adverse effects | Humans | Minority Groups | N-Methyl-3,4-methylenedioxyamphetamine / adverse effects | Psilocybin / pharmacology | Psychological Distress | Suicide",,,,,,,,eng,,primary_results,low,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.9,False,full_text_seen,table,Table 3,observational,"484,732",no lifetime psilocybin use,lifetime psilocybin use,not_reported,not_reported,lifetime use,past month,,,,not_reported,"Hispanic Psilocybin 0.61*** (0.48, 0.79)",not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=0.9; needs_human_review=False
compound_disorder,Psilocybin,Psychological distress,Past Mo. distress,symptom_or_problem,Asian participants,none,none,False,"The endpoint is a symptom/problem or outcome measure, not a formal therapeutic indication.",mental health outcome,Psychological distress,positive,Past month psychological distress,Asian participants from a nationally representative sample of the United States population,clinical,10.1038/s41598-022-18645-3,,Race and ethnicity moderate the associations between lifetime psychedelic use (MDMA and psilocybin) and psychological distress and suicidality,Grant M. Jones; Matthew K. Nock,2022,Scientific Reports,journal-article,not_reported,2022-10-10,2045-2322,2045-2322,Springer Science and Business Media LLC,"Ethnicity | Hallucinogens / adverse effects | Humans | Minority Groups | N-Methyl-3,4-methylenedioxyamphetamine / adverse effects | Psilocybin / pharmacology | Psychological Distress | Suicide",,,,,,,,eng,,primary_results,low,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.9,False,full_text_seen,table,Table 3,observational,"484,732",no lifetime psilocybin use,lifetime psilocybin use,not_reported,not_reported,lifetime use,past month,,,,not_reported,"Asian Psilocybin 0.34** (0.18, 0.64)",not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=0.9; needs_human_review=False
compound_disorder,Peyote,Psychological distress,past month psychological distress,symptom_or_problem,Indigenous participants,none,none,False,"The endpoint is a symptom/problem or outcome measure, not a formal therapeutic indication.",mental health outcome,Psychological distress,positive,Past month psychological distress,Indigenous participants from a nationally representative sample of the United States population,clinical,10.1038/s41598-022-18645-3,,Race and ethnicity moderate the associations between lifetime psychedelic use (MDMA and psilocybin) and psychological distress and suicidality,Grant M. Jones; Matthew K. Nock,2022,Scientific Reports,journal-article,not_reported,2022-10-10,2045-2322,2045-2322,Springer Science and Business Media LLC,"Ethnicity | Hallucinogens / adverse effects | Humans | Minority Groups | N-Methyl-3,4-methylenedioxyamphetamine / adverse effects | Psilocybin / pharmacology | Psychological Distress | Suicide",,,,,,,,eng,,primary_results,low,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.8,False,full_text_seen,text,C008,observational,"484,732",no lifetime peyote use,lifetime peyote use,not_reported,not_reported,lifetime use,past month,,,,not_reported,"Notably, lifetime peyote use conferred significantly lowered odds of past month psychological distress for Indigenous participants (aOR: 0.55).",not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=0.8; needs_human_review=False
compound_disorder,Mescaline,Suicidal ideation,past year suicidal ideation,symptom_or_problem,Multiracial individuals,none,none,False,"The endpoint is a symptom/problem or outcome measure, not a formal therapeutic indication.",mental health outcome,Suicidality,positive,Past year suicidal ideation,Multiracial individuals from a nationally representative sample of the United States population,clinical,10.1038/s41598-022-18645-3,,Race and ethnicity moderate the associations between lifetime psychedelic use (MDMA and psilocybin) and psychological distress and suicidality,Grant M. Jones; Matthew K. Nock,2022,Scientific Reports,journal-article,not_reported,2022-10-10,2045-2322,2045-2322,Springer Science and Business Media LLC,"Ethnicity | Hallucinogens / adverse effects | Humans | Minority Groups | N-Methyl-3,4-methylenedioxyamphetamine / adverse effects | Psilocybin / pharmacology | Psychological Distress | Suicide",,,,,,,,eng,,primary_results,low,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.8,False,full_text_seen,text,C008,observational,"484,732",no lifetime mescaline use,lifetime mescaline use,not_reported,not_reported,lifetime use,past year,,,,not_reported,"Additionally, lifetime mescaline use yielded lowered odds of past year suicidal ideation for Multiracial individuals (aOR: 0.57).",not_reported,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=0.8; needs_human_review=False
compound_disorder,classical psychedelics and MDMA,traumatic stress,reductions in traumatic stress (d = 1.051),outcome_measure,LGBTQIA+ individuals,Post-traumatic stress disorder,indication,True,not_applicable,Therapeutic outcome,Mental Health,positive,traumatic stress (PCPTSD-5),LGBTQIA+ population,clinical,10.1080/02791072.2025.2520224,,Exploring Self-Reported Effects of Naturalistic Psychedelic Use Among Gender and Sexual Minorities: A Quantitative Survey Study,Rafaelle Lancelotta; Meghan DellaCrosse; Diana Quinn; Syre Saniyah; Micah Saniyah; Natalie Gukasyan; Sasha Narayan; Aki Nikolaidis; Jae Sevelius; Alan K. Davis,2025,Journal of Psychoactive Drugs,journal-article,not_reported,2025-06-18,0279-1072,2159-9777,Informa UK Limited,,LGBTQIA+ | Psychedelics | identity | mental health | naturalistic use | survey study,NIDA NIH HHS,K24 DA051328,,,,,eng,,primary_results,low,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,full_text_seen,abstract,"Abstract, C023",Quantitative Survey Study (naturalistic use),346 individuals,not_applicable,naturalistic psychedelic use,moderately high (46.7%) or high dose (17.2%),not_reported,not_reported,before and after the psychedelic experience,,,,"Challenging acute experiences (M CEQ = 0.30, SD = 0.25)",Mental health improvements included reductions in traumatic stress (d = 1.051),NIDA NIH HHS,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=1.0; needs_human_review=False
compound_disorder,classical psychedelics and MDMA,depression,depression (d = 0.756),outcome_measure,LGBTQIA+ individuals,Depression,indication,True,not_applicable,Therapeutic outcome,Mental Health,positive,depression (PHQ-9),LGBTQIA+ population,clinical,10.1080/02791072.2025.2520224,,Exploring Self-Reported Effects of Naturalistic Psychedelic Use Among Gender and Sexual Minorities: A Quantitative Survey Study,Rafaelle Lancelotta; Meghan DellaCrosse; Diana Quinn; Syre Saniyah; Micah Saniyah; Natalie Gukasyan; Sasha Narayan; Aki Nikolaidis; Jae Sevelius; Alan K. Davis,2025,Journal of Psychoactive Drugs,journal-article,not_reported,2025-06-18,0279-1072,2159-9777,Informa UK Limited,,LGBTQIA+ | Psychedelics | identity | mental health | naturalistic use | survey study,NIDA NIH HHS,K24 DA051328,,,,,eng,,primary_results,low,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,full_text_seen,abstract,"Abstract, C023",Quantitative Survey Study (naturalistic use),346 individuals,not_applicable,naturalistic psychedelic use,moderately high (46.7%) or high dose (17.2%),not_reported,not_reported,before and after the psychedelic experience,,,,"Challenging acute experiences (M CEQ = 0.30, SD = 0.25)",depression (d = 0.756),NIDA NIH HHS,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=1.0; needs_human_review=False
compound_disorder,classical psychedelics and MDMA,anxiety,anxiety (d = 0.859),outcome_measure,LGBTQIA+ individuals,Anxiety,indication,True,not_applicable,Therapeutic outcome,Mental Health,positive,anxiety (GAD-7),LGBTQIA+ population,clinical,10.1080/02791072.2025.2520224,,Exploring Self-Reported Effects of Naturalistic Psychedelic Use Among Gender and Sexual Minorities: A Quantitative Survey Study,Rafaelle Lancelotta; Meghan DellaCrosse; Diana Quinn; Syre Saniyah; Micah Saniyah; Natalie Gukasyan; Sasha Narayan; Aki Nikolaidis; Jae Sevelius; Alan K. Davis,2025,Journal of Psychoactive Drugs,journal-article,not_reported,2025-06-18,0279-1072,2159-9777,Informa UK Limited,,LGBTQIA+ | Psychedelics | identity | mental health | naturalistic use | survey study,NIDA NIH HHS,K24 DA051328,,,,,eng,,primary_results,low,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,full_text_seen,abstract,"Abstract, C023",Quantitative Survey Study (naturalistic use),346 individuals,not_applicable,naturalistic psychedelic use,moderately high (46.7%) or high dose (17.2%),not_reported,not_reported,before and after the psychedelic experience,,,,"Challenging acute experiences (M CEQ = 0.30, SD = 0.25)",anxiety (d = 0.859),NIDA NIH HHS,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=1.0; needs_human_review=False
compound_disorder,classical psychedelics and MDMA,not_applicable,increased psychological flexibility (d = 0.996),functional_outcome,LGBTQIA+ individuals,none,none,False,"Not a direct therapeutic indication, but a functional outcome.",Functional outcome,Psychological Functioning,positive,psychological flexibility (MPFI Flexibility subscales),LGBTQIA+ population,clinical,10.1080/02791072.2025.2520224,,Exploring Self-Reported Effects of Naturalistic Psychedelic Use Among Gender and Sexual Minorities: A Quantitative Survey Study,Rafaelle Lancelotta; Meghan DellaCrosse; Diana Quinn; Syre Saniyah; Micah Saniyah; Natalie Gukasyan; Sasha Narayan; Aki Nikolaidis; Jae Sevelius; Alan K. Davis,2025,Journal of Psychoactive Drugs,journal-article,not_reported,2025-06-18,0279-1072,2159-9777,Informa UK Limited,,LGBTQIA+ | Psychedelics | identity | mental health | naturalistic use | survey study,NIDA NIH HHS,K24 DA051328,,,,,eng,,primary_results,low,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,full_text_seen,abstract,"Abstract, C023",Quantitative Survey Study (naturalistic use),346 individuals,not_applicable,naturalistic psychedelic use,moderately high (46.7%) or high dose (17.2%),not_reported,not_reported,before and after the psychedelic experience,,,,"Challenging acute experiences (M CEQ = 0.30, SD = 0.25)",increased psychological flexibility (d = 0.996),NIDA NIH HHS,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=1.0; needs_human_review=False
compound_disorder,classical psychedelics and MDMA,not_applicable,"significant changes in sexual identity and commitment, with effects ranging from small to large",functional_outcome,LGBTQIA+ individuals,none,none,False,"Not a direct therapeutic indication, but an identity-related outcome.",Functional outcome,Identity Development,positive,sexual identity and commitment (MoSIEC subscales),LGBTQIA+ population,clinical,10.1080/02791072.2025.2520224,,Exploring Self-Reported Effects of Naturalistic Psychedelic Use Among Gender and Sexual Minorities: A Quantitative Survey Study,Rafaelle Lancelotta; Meghan DellaCrosse; Diana Quinn; Syre Saniyah; Micah Saniyah; Natalie Gukasyan; Sasha Narayan; Aki Nikolaidis; Jae Sevelius; Alan K. Davis,2025,Journal of Psychoactive Drugs,journal-article,not_reported,2025-06-18,0279-1072,2159-9777,Informa UK Limited,,LGBTQIA+ | Psychedelics | identity | mental health | naturalistic use | survey study,NIDA NIH HHS,K24 DA051328,,,,,eng,,primary_results,low,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,full_text_seen,abstract,"Abstract, C022",Quantitative Survey Study (naturalistic use),346 individuals,not_applicable,naturalistic psychedelic use,moderately high (46.7%) or high dose (17.2%),not_reported,not_reported,post-experience,,,,"Challenging acute experiences (M CEQ = 0.30, SD = 0.25)","Retrospective self-reports indicated significant changes in sexual identity and commitment, with effects ranging from small to large.",NIDA NIH HHS,not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=1.0; needs_human_review=False
