compound,target,assay_type,affinity_type,affinity_value,affinity_unit,species,system,study_doi,study_title,study_year,evidence_level,source,notes,source_type,access_level,evidence_location,evidence_locator,study_design,authors,paper_type
S-ketamine,NMDA receptor,functional assay,Other,50.0,uM,,in_vivo,10.12688/f1000research.14344.1,Ketamine and rapid-acting antidepressants: a new era in the battle against depression and suicide,2018,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields; PDF provenance locator refreshed from local full text,primary_study,full_text_seen,text,"PDF extraction snippet: could find no evidence that (2R,6R)-HNK blocks NMDA receptors, including binding to known sites on the receptor complex or NMDA activ - ity in hippocampal slices, so the initial ce",preclinical_study,Ronald S. Duman,primary_results
MDMA,SERT,uptake inhibition,Other,2.5,nM,,in_vitro,10.1523/jneurosci.1171-11.2011,"Characterization of 3,4-Methylenedioxymethamphetamine (MDMA) Enantiomers<i>In Vitro</i>and in the MPTP-Lesioned Primate:<i>R</i>-MDMA Reduces Severity of Dyskinesia, Whereas<i>S</i>-MDMA Extends Duration of ON-Time",2011,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields; PDF provenance locator refreshed from local full text,primary_study,full_text_seen,text,PDF extraction snippet: rters binding assays Receptor/transporter Brain tissue Radioligand (concentration) Nonspecific displacer Ionic conditions Incubation parameters 5-HT1A cerebral cortex [ 3H]-WAY-100,preclinical_study,Philippe Huot; Tom H. Johnston; Katie D. Lewis; James B. Koprich; M. Gabriela Reyes; Susan H. Fox; Matthew Piggott; Jonathan M. Brotchie,primary_results
MDMA,SERT (SLC6A4),uptake inhibition,Other,2.5,nM,,in_vitro,10.1523/jneurosci.1171-11.2011,"Characterization of 3,4-Methylenedioxymethamphetamine (MDMA) Enantiomers<i>In Vitro</i>and in the MPTP-Lesioned Primate:<i>R</i>-MDMA Reduces Severity of Dyskinesia, Whereas<i>S</i>-MDMA Extends Duration of ON-Time",2011,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields; PDF provenance locator refreshed from local full text,primary_study,full_text_seen,text,PDF extraction snippet: rters binding assays Receptor/transporter Brain tissue Radioligand (concentration) Nonspecific displacer Ionic conditions Incubation parameters 5-HT1A cerebral cortex [ 3H]-WAY-100,preclinical_study,Philippe Huot; Tom H. Johnston; Katie D. Lewis; James B. Koprich; M. Gabriela Reyes; Susan H. Fox; Matthew Piggott; Jonathan M. Brotchie,primary_results
MDMA,SERT,uptake inhibition,Kd,45.0,M,,in_vivo,10.1523/jneurosci.4034-14.2015,Amphetamine Action at the Cocaine- and Antidepressant-Sensitive Serotonin Transporter Is Modulated by αCaMKII,2015,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields; PDF provenance locator refreshed from local full text,primary_study,full_text_seen,text,"PDF extraction snippet: 2011). Insights into the molecular underpinnings of amphet- amine action are therefore crucial for developing new strategies to treat and prevent amphetamine abuse. Here, we reexam",preclinical_study,Thomas Steinkellner; Therese Montgomery; Tina Hofmaier; Oliver Kudlacek; Jae‐Won Yang; Mattias Rickhag; Gyou-Chul Jung; Gert Lübec; Ulrik Gether; Michael Freissmuth,primary_results
MDMA,SERT (SLC6A4),uptake inhibition,Kd,45.0,M,,in_vivo,10.1523/jneurosci.4034-14.2015,Amphetamine Action at the Cocaine- and Antidepressant-Sensitive Serotonin Transporter Is Modulated by αCaMKII,2015,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields; PDF provenance locator refreshed from local full text,primary_study,full_text_seen,text,"PDF extraction snippet: 2011). Insights into the molecular underpinnings of amphet- amine action are therefore crucial for developing new strategies to treat and prevent amphetamine abuse. Here, we reexam",preclinical_study,Thomas Steinkellner; Therese Montgomery; Tina Hofmaier; Oliver Kudlacek; Jae‐Won Yang; Mattias Rickhag; Gyou-Chul Jung; Gert Lübec; Ulrik Gether; Michael Freissmuth,primary_results
Ketamine,NMDA receptor,radioligand binding,IC50,9262.0,M,,in_vivo,10.1523/jneurosci.4722-05.2006,A Specific Role for NR2A-Containing NMDA Receptors in the Maintenance of Parvalbumin and GAD67 Immunoreactivity in Cultured Interneurons,2006,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields; PDF provenance locator refreshed from local full text,primary_study,full_text_seen,text,"PDF extraction snippet: pClamp8 software package (Molecular Devices). The external recording solution was composed of the following (in m M): 155 NaCl, 3.5 KCl, 2 CaCl2, 1.5 MgSO4, 10 glucose, 10 HEPES, p",preclinical_study,Jefferson W. Kinney; Christopher N. Davis; Iustin V. Tabarean; Bruno Conti; Tamás Bartfai; M. Margarita Behrens,primary_results
MDMA,DAT (SLC6A3),uptake inhibition,EC50,23.0,nM,,in_vitro,10.1002/dta.1732,"Synthesis, characterization, and monoamine transporter activity of the new psychoactive substance 3′,4′‐methylenedioxy‐4‐methylaminorex (MDMAR)",2014,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: The recent occurrence of deaths associated with the psychostimulant cis-4,4'-dimethylaminorex (4,4'-DMAR) in Europe indicated the presence of a newly emerged psychoactive",preclinical_study,Gavin McLaughlin; Noreen Morris; Pierce V. Kavanagh; John D. Power; Brendan Twamley; John E. O’Brien; Brian Talbot; Geraldine Dowling; Olivia Mahony; Simon D. Brandt,primary_results
MDMA,DAT (SLC6A3),radioligand binding,IC50,5.89,mM,,in_vitro,10.1002/minf.201300013,Probing the Selectivity of Monoamine Transporter Substrates by Means of Molecular Modeling,2013,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: The structurally similar serotonin and dopamine transporter (resp. SERT and DAT) play an important role in neuronal transmission. Although the concept of their function,",preclinical_study,Amir Seddik; Marion Holy; René Weissensteiner; Barbara Zdrazil; Harald H. Sitte; Gerhard F. Ecker,primary_results
5-MeO-DiPT,SERT (SLC6A4),uptake inhibition,Other,2.0,mM,,in_vivo,10.1002/npr2.12161,Dual actions of 5‐MeO‐DIPT at the serotonin transporter and serotonin 5‐HT<sub>1A</sub> receptor in the mouse striatum and prefrontal cortex,2021,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: Abstract Aims 5‐Methoxy‐ N , N ‐diisopropyltryptamine (5‐MeO‐DIPT) is a synthetic orally active hallucinogenic tryptamine analogue. The present study examined whether the",preclinical_study,Yoko Hagino; F. Scott Hall; George R. Uhl; Ichiro Sora; Kazutaka Ikeda,primary_results
DiPT,SERT (SLC6A4),uptake inhibition,Other,2.0,mM,,in_vivo,10.1002/npr2.12161,Dual actions of 5‐MeO‐DIPT at the serotonin transporter and serotonin 5‐HT<sub>1A</sub> receptor in the mouse striatum and prefrontal cortex,2021,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: Abstract Aims 5‐Methoxy‐ N , N ‐diisopropyltryptamine (5‐MeO‐DIPT) is a synthetic orally active hallucinogenic tryptamine analogue. The present study examined whether the",preclinical_study,Yoko Hagino; F. Scott Hall; George R. Uhl; Ichiro Sora; Kazutaka Ikeda,primary_results
Ketamine,NMDA receptor,functional assay,EC50,10.0,mM,,in_vitro,10.1007/s00204-021-03024-0,A human stem cell-derived test system for agents modifying neuronal N-methyl-d-aspartate-type glutamate receptor Ca2+-signalling,2021,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,Abstract snippet: Methods to assess neuronal receptor functions are needed in toxicology and for drug development. Human-based test systems that allow studies on glutamate signalling are s,preclinical_study,Stefanie Klima; Markus Brüll; Anna‐Sophie Spreng; Ilinca Suciu; Tjalda Falt; Jens C. Schwamborn; Tanja Waldmann; Christiaan Karreman; Marcel Leist,primary_results
Ketamine,AMPA receptor,functional assay,Ki,50.0,uM,,in_vitro,10.1007/s00204-021-03024-0,A human stem cell-derived test system for agents modifying neuronal N-methyl-d-aspartate-type glutamate receptor Ca2+-signalling,2021,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,Abstract snippet: Methods to assess neuronal receptor functions are needed in toxicology and for drug development. Human-based test systems that allow studies on glutamate signalling are s,preclinical_study,Stefanie Klima; Markus Brüll; Anna‐Sophie Spreng; Ilinca Suciu; Tjalda Falt; Jens C. Schwamborn; Tanja Waldmann; Christiaan Karreman; Marcel Leist,primary_results
S-ketamine,NMDA receptor,functional assay,EC50,10.0,mM,,in_vitro,10.1007/s00204-021-03024-0,A human stem cell-derived test system for agents modifying neuronal N-methyl-d-aspartate-type glutamate receptor Ca2+-signalling,2021,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,Abstract snippet: Methods to assess neuronal receptor functions are needed in toxicology and for drug development. Human-based test systems that allow studies on glutamate signalling are s,preclinical_study,Stefanie Klima; Markus Brüll; Anna‐Sophie Spreng; Ilinca Suciu; Tjalda Falt; Jens C. Schwamborn; Tanja Waldmann; Christiaan Karreman; Marcel Leist,primary_results
S-ketamine,AMPA receptor,functional assay,Ki,50.0,uM,,in_vitro,10.1007/s00204-021-03024-0,A human stem cell-derived test system for agents modifying neuronal N-methyl-d-aspartate-type glutamate receptor Ca2+-signalling,2021,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,Abstract snippet: Methods to assess neuronal receptor functions are needed in toxicology and for drug development. Human-based test systems that allow studies on glutamate signalling are s,preclinical_study,Stefanie Klima; Markus Brüll; Anna‐Sophie Spreng; Ilinca Suciu; Tjalda Falt; Jens C. Schwamborn; Tanja Waldmann; Christiaan Karreman; Marcel Leist,primary_results
R-ketamine,NMDA receptor,functional assay,EC50,10.0,mM,,in_vitro,10.1007/s00204-021-03024-0,A human stem cell-derived test system for agents modifying neuronal N-methyl-d-aspartate-type glutamate receptor Ca2+-signalling,2021,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,Abstract snippet: Methods to assess neuronal receptor functions are needed in toxicology and for drug development. Human-based test systems that allow studies on glutamate signalling are s,preclinical_study,Stefanie Klima; Markus Brüll; Anna‐Sophie Spreng; Ilinca Suciu; Tjalda Falt; Jens C. Schwamborn; Tanja Waldmann; Christiaan Karreman; Marcel Leist,primary_results
R-ketamine,AMPA receptor,functional assay,Ki,50.0,uM,,in_vitro,10.1007/s00204-021-03024-0,A human stem cell-derived test system for agents modifying neuronal N-methyl-d-aspartate-type glutamate receptor Ca2+-signalling,2021,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,Abstract snippet: Methods to assess neuronal receptor functions are needed in toxicology and for drug development. Human-based test systems that allow studies on glutamate signalling are s,preclinical_study,Stefanie Klima; Markus Brüll; Anna‐Sophie Spreng; Ilinca Suciu; Tjalda Falt; Jens C. Schwamborn; Tanja Waldmann; Christiaan Karreman; Marcel Leist,primary_results
S-ketamine,NMDA receptor,functional assay,IC50,0.76,uM,,in_vitro,10.1007/s00406-023-01571-4,Esmethadone-HCl (REL-1017): a promising rapid antidepressant,2023,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,Abstract snippet: Abstract This review article presents select recent studies that form the basis for the development of esmethadone into a potential new drug. Esmethadone is a promising m,preclinical_study,Maurizio Fava; Stephen M. Stahl; Sara De Martin; Andrea Mattarei; Ezio Bettini; Stefano Comai; Andrea Alimonti; Francesco Bifari; Luca Pani; Franco Folli,primary_results
R-ketamine,NMDA receptor,functional assay,IC50,0.76,uM,,in_vitro,10.1007/s00406-023-01571-4,Esmethadone-HCl (REL-1017): a promising rapid antidepressant,2023,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,Abstract snippet: Abstract This review article presents select recent studies that form the basis for the development of esmethadone into a potential new drug. Esmethadone is a promising m,preclinical_study,Maurizio Fava; Stephen M. Stahl; Sara De Martin; Andrea Mattarei; Ezio Bettini; Stefano Comai; Andrea Alimonti; Francesco Bifari; Luca Pani; Franco Folli,primary_results
S-ketamine,NMDA receptor,functional assay,Ki,69.0,nM,,in_vivo,10.1007/s12640-017-9759-0,Comparison of the Psychopharmacological Effects of Tiletamine and Ketamine in Rodents,2017,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,Abstract snippet: The glutamate N-methyl-D-aspartate (NMDA) receptor antagonist ketamine (KET) produces rapid and sustained antidepressant effects in patients. Tiletamine (TIL; 2-ethylamin,preclinical_study,Piotr Popik; Małgorzata Hołuj; Tomasz Kos; Gabriel Nowak; Tadeusz Librowski; Kinga Sałat,primary_results
LSD,5-HT5A,functional assay,Ki,3.6,nM,,in_vitro,10.1007/s43440-024-00679-1,Assessing the effects of 5-HT2A and 5-HT5A receptor antagonists on DOI-induced head-twitch response in male rats using marker-less deep learning algorithms,2024,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: Previous drug discrimination studies demonstrated that the 5-HT<sub>5A</sub> receptor antagonists attenuated the interoceptive cue of a potent hallucinogen LSD, suggestin",preclinical_study,Ewelina Cyrano; Piotr Popik,primary_results
DOI,5-HT5A,functional assay,Ki,3.6,nM,,in_vitro,10.1007/s43440-024-00679-1,Assessing the effects of 5-HT2A and 5-HT5A receptor antagonists on DOI-induced head-twitch response in male rats using marker-less deep learning algorithms,2024,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: Previous drug discrimination studies demonstrated that the 5-HT<sub>5A</sub> receptor antagonists attenuated the interoceptive cue of a potent hallucinogen LSD, suggestin",preclinical_study,Ewelina Cyrano; Piotr Popik,primary_results
Psilocin,5-HT2A,radioligand binding,Ki,49.0,nM,,in_vivo,10.1007/s43440-025-00817-3,The effect of psilocin on neurotransmitters release in the claustrum and on rat behavior,2026,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: The claustrum, a subcortical structure densely expressing 5-hydroxytryptamine 2 A (5-HT2A) receptors, has been implicated in sensory integration, emotional regulation, sa",preclinical_study,Zuzanna Kościuk; Izabela Szpręgiel; Agnieszka Bysiek; K. Gołembiowska,primary_results
DMT,5-HT2A,functional assay,Other,500.0,nM,,in_vitro,10.1016/j.brainres.2024.149425,Dimethyltryptamine (DMT) and ibogaine elicit membrane effects in HEK cells transiently transfected with the human 5-HT2A receptor,2024,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: Psychedelics show promise in treating psychiatric disorders. Therapeutic effects appear to involve activation of the 5-Hydroxytryptamine 2A receptor (5-HT<sub>2A</sub>R),",preclinical_study,Jannik Nicklas Eliasen; Uffe Kristiansen; Kristi A. Kohlmeier,primary_results
MDMA,SERT (SLC6A4),radioligand binding,IC50,95.0,M,,in_vitro,10.1016/j.heliyon.2021.e07784,"Induced fit, ensemble binding space docking and Monte Carlo simulations of MDMA ‘ecstasy’ and 3D pharmacophore design of MDMA derivatives on the human serotonin transporter (hSERT)",2021,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: The popular recreational drug MDMA (3,4-methylenedioxy-methamphetamine) has a documented potential as a psychopharmacological clinical and research tool. This is due to i",preclinical_study,Ángel A. Islas; Laura Moreno; Thomas Scior,primary_results
Ketamine,NMDA receptor,radioligand binding,Ki,7.0,uM,,in_vivo,10.1016/j.jatmed.2024.07.001,Ketamine and its two enantiomers in anesthesiology and psychiatry: A historical review and future directions,2024,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: Ketamine, a dissociative anesthetic, is widely utilized in both human and veterinary anesthesia. Its (<i>S</i>)-enantiomer, esketamine, is similarly employed for anesthes",preclinical_study,Kenji Hashimoto; Mingming Zhao; Tingting Zhu; Xingming Wang; Jianjun Yang,primary_results
Ketamine,NMDA receptor,radioligand binding,Ki,50.0,uM,,in_vitro,10.1016/j.neuropharm.2016.08.004,Ephenidine: A new psychoactive agent with ketamine-like NMDA receptor antagonist properties,2016,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: To avoid legislation based on chemical structure, research chemicals, frequently used for recreational purposes, are continually being synthesized. N-Ethyl-1,2-diphenylet",preclinical_study,Heather Kang; Pojeong Park; Zuner A. Bortolotto; Simon D. Brandt; Tristan Colestock; Jason Wallach; Graham L. Collingridge; David Lodge,primary_results
MDMA,SERT,radioligand binding,Kd,2.8,nM,,in_vitro,10.1016/j.neuropharm.2018.06.018,"The psychostimulant (±)-cis-4,4′-dimethylaminorex (4,4′-DMAR) interacts with human plasmalemmal and vesicular monoamine transporters",2018,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: (±)-cis-4,4'-Dimethylaminorex (4,4'-DMAR) is a new psychoactive substance (NPS) that has been associated with 31 fatalities and other adverse events in Europe between Jun",preclinical_study,Julian Maier; Felix P. Mayer; Dino Luethi; Marion Holy; Kathrin Jäntsch; Harald Reither; Lena Hirtler; Marius C. Hoener; Matthias E. Liechti; Christian Pifl,primary_results
MDMA,SERT (SLC6A4),radioligand binding,Kd,2.8,nM,,in_vitro,10.1016/j.neuropharm.2018.06.018,"The psychostimulant (±)-cis-4,4′-dimethylaminorex (4,4′-DMAR) interacts with human plasmalemmal and vesicular monoamine transporters",2018,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: (±)-cis-4,4'-Dimethylaminorex (4,4'-DMAR) is a new psychoactive substance (NPS) that has been associated with 31 fatalities and other adverse events in Europe between Jun",preclinical_study,Julian Maier; Felix P. Mayer; Dino Luethi; Marion Holy; Kathrin Jäntsch; Harald Reither; Lena Hirtler; Marius C. Hoener; Matthias E. Liechti; Christian Pifl,primary_results
LSD,5-HT2A,functional assay,EC50,1.0,nM,,in_vitro,10.1021/acs.jmedchem.2c00702,Discovery of β-Arrestin-Biased 25CN-NBOH-Derived 5-HT<sub>2A</sub>Receptor Agonists,2022,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: The serotonin 2A receptor (5-HT<sub>2A</sub>R) is the mediator of the psychedelic effects of serotonergic psychedelics, which have shown promising results in clinical stu",in_vitro_assay,Christian B. M. Poulie; Eline Pottie; Icaro A. Simon; Kasper Harpsøe; Laura D’Andrea; Igor V. Komarov; David E. Gloriam; Anders A. Jensen; Christophe P. Stove; Jesper L. Kristensen,primary_results
LSD,5-HT2A,functional assay,EC50,370.0,nM,,in_vitro,10.1021/acs.jmedchem.4c00082,"Discovery and Structure–Activity Relationships of 2,5-Dimethoxyphenylpiperidines as Selective Serotonin 5-HT<sub>2A</sub> Receptor Agonists",2024,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: Classical psychedelics such as psilocybin, lysergic acid diethylamide (LSD), and <i>N,N</i>-dimethyltryptamine (DMT) are showing promising results in clinical trials for",in_vitro_assay,Emil M. Ro̷rsted; Anders A. Jensen; Gints Smits; Karla Frydenvang; Jesper L. Kristensen,primary_results
