# combined discovered DOI queue (mechanistic) generated at 2026-05-15T06:41:08.576758+00:00
# doi,compound,target,optional_study_title,optional_study_year,optional_authors
10.1007/s13205-025-04673-z,,,Neuropharmacology of synaptic plasticity: pathways to cognitive resilience in healthy aging,2026,Falguni Goel; Payal Singh; Sachchida Nand; Dharmendra Kumar Yadav
10.1016/j.neuropharm.2018.06.018,,,"The psychostimulant (±)-cis-4,4′-dimethylaminorex (4,4′-DMAR) interacts with human plasmalemmal and vesicular monoamine transporters",2018,Julian Maier; Felix P. Mayer; Dino Luethi; Marion Holy; Kathrin Jäntsch; Harald Reither; Lena Hirtler; Marius C. Hoener; Matthias E. Liechti; Christian Pifl
10.1124/pr.117.015305,,,Trace Amines and Their Receptors,2018,Raul R. Gainetdinov; Marius C. Hoener; Mark D. Berry
10.1038/s41386-018-0225-3,,,Untangling the complexity of opioid receptor function,2018,Rita J. Valentino; Nora D. Volkow
10.1007/s00210-018-1552-y,,,Vinpocetine halts ketamine-induced schizophrenia-like deficits in rats: impact on BDNF and GSK-3β/β-catenin pathway,2018,Hebatalla I. Ahmed; Somaia A Abdel-Sattar; Heba S. Zaky
10.3389/fphar.2018.00758,,,What Acute Stress Protocols Can Tell Us About PTSD and Stress-Related Neuropsychiatric Disorders,2018,Laura Musazzi; Paolo Tornese; Nathalie Sala; Maurizio Popoli
10.3389/fnmol.2018.00255,,,cAMP Response Element-Binding Protein (CREB): A Possible Signaling Molecule Link in the Pathophysiology of Schizophrenia,2018,Haitao Wang; Jiangping Xu; Philip Lazarovici; Rémi Quirion; Wenhua Zheng
10.1556/2054.2018.008,,,“Ayahuasca turned on my mind’s eye”: Enhanced visual imagery after ayahuasca intake in a man with “blind imagination” (aphantasia),2018,Rafael G. dos Santos; Scotty Enyart; José Carlos Bouso; Òscar Parés; Jaime E. C. Hallak
10.1016/j.neuropharm.2018.01.020,,,“Ecstasy” to addiction: Mechanisms and reinforcing effects of three synthetic cathinone analogs of MDMA,2018,Sean B. Dolan; Zhenglan Chen; Renqi Huang; Michael B. Gatch
10.1523/eneuro.0285-16.2017,,,A Negative Allosteric Modulator for α5 Subunit-Containing GABA Receptors Exerts a Rapid and Persistent Antidepressant-Like Action without the Side Effects of the NMDA Receptor Antagonist Ketamine in Mice,2017,Panos Zanos; Mackenzie E. Nelson; Jaclyn N. Highland; Samuel R. Krimmel; Polymnia Georgiou; Todd D. Gould; Scott M. Thompson
10.1016/j.phytochem.2017.02.001,,,"A unique natural selective kappa -opioid receptor agonist, salvinorin A, and its roles in human therapeutics",2017,André Freire Cruz; Sara Domingos; Eugénia Gallardo; Ana Martinho
10.1021/acs.jafc.7b04217,,,"Acute Amino Acid <scp>d</scp>-Serine Administration, Similar to Ketamine, Produces Antidepressant-like Effects through Identical Mechanisms",2017,I‐Hua Wei; Kuang-Ti Chen; Mang‐Hung Tsai; Ching-Hsiang Wu; Hsien‐Yuan Lane; Chih‐Chia Huang
10.1111/bph.13823,,,Allostery at opioid receptors: modulation with small molecule ligands,2017,Kathryn E. Livingston; John R. Traynor
10.1002/trc2.70251,,,Alzheimer's disease drug development pipeline: 2017,2017,Jeffrey L. Cummings; Garam Lee; Travis Mortsdorf; Aaron Ritter; Kate Zhong
10.1523/jneurosci.2604-17.2017,,,Amphetamine Reverses Escalated Cocaine Intake via Restoration of Dopamine Transporter Conformation,2017,Cody A. Siciliano; Kaustuv Saha; Erin S. Calipari; Steve C. Fordahl; Rong Chen; Habibeh Khoshbouei; Sara R. Jones
10.1503/jpn.160175,,,Antidepressant effects of ketamine and the roles of AMPA glutamate receptors and other mechanisms beyond NMDA receptor antagonism,2017,Lily R. Aleksandrova; Anthony G. Phillips; Yu Tian Wang
10.1093/ijnp/pyx036,,,Assessing the Psychedelic “After-Glow” in Ayahuasca Users: Post-Acute Neurometabolic and Functional Connectivity Changes Are Associated with Enhanced Mindfulness Capacities,2017,Frederic Sampedro; Mario de la Fuente Revenga; Marta Valle; Natalia Roberto; Elisabet Domínguez‐Clavé; Matilde Elices; Luís Eduardo Luna; José Alexandre S. Crippa; Jaime E. C. Hallak; Dráulio Barros de Araújo
10.1001/jamapsychiatry.2017.0135,,,"Association of Stimulant Use With Dopaminergic Alterations in Users of Cocaine, Amphetamine, or Methamphetamine",2017,Abhishekh H. Ashok; Yuya Mizuno; Nora D. Volkow; Oliver Howes
10.1016/j.drugalcdep.2016.08.240,,,Attitudes and practices of cannabis dispensary staff,2017,Nancy A. Haug; Dustin Kieschnick; James Sottile; Ryan G. Vandrey; Kimberly A. Babson; Marcel O. Bonn‐Miller
10.1038/mp.2017.144,,,BDNF at the synapse: why location matters,2017,Minseok Song; Keri Martinowich; Francis S. Lee
10.2174/1570159x15666170221101054,,,Beyond Ketamine: New Approaches to the Development of Safer Antidepressants,2017,Shigeyuki Chaki
10.1155/2017/7260130,,,"Brain-Derived Neurotrophic Factor, Depression, and Physical Activity: Making the Neuroplastic Connection",2017,Cristy Phillips
10.1016/j.brainresbull.2017.11.007,,,CaMKIIα expression in a mouse model of NMDAR hypofunction schizophrenia: Putative roles for IGF-1R and TLR4,2017,Olalekan M. Ogundele; Charles C. Lee
10.1371/journal.pone.0177036,,,Clozapine counteracts a ketamine-induced depression of hippocampal-prefrontal neuroplasticity and alters signaling pathway phosphorylation,2017,Marion Rame; Dorian Caudal; Esther Schenker; Per Svenningsson; Michael Spedding; Thérèse M. Jay; Bill P. Godsil
10.1016/j.biopsych.2017.10.020,,,"Common Neurotransmission Recruited in (R,S)-Ketamine and (2R,6R)-Hydroxynorketamine–Induced Sustained Antidepressant-like Effects",2017,Thu Ha Pham; Céline Defaix; Xiaoming Xu; Shi‐Xian Deng; Nicolas Fabresse; Jean‐Claude Alvarez; Donald W. Landry; Rebecca A. Brachman; Christine A. Denny; Alain M. Gardier
10.1038/s41598-017-16060-7,,,Comparison of (R)-ketamine and lanicemine on depression-like phenotype and abnormal composition of gut microbiota in a social defeat stress model,2017,Youge Qu; Chun Yang; Qian Ren; Min Ma; Chao Dong; Kenji Hashimoto
10.1016/j.cell.2016.12.033,,,Crystal Structure of an LSD-Bound Human Serotonin Receptor,2017,Daniel Wacker; Sheng Wang; John D. McCorvy; Robin M. Betz; AJ Venkatakrishnan; Anat Levit; Katherine Lansu; Zachary L. Schools; Tao Che; David E. Nichols
10.1016/j.peptides.2017.11.020,,,"Cyclopeptide Dmt-[D-Lys-p-CF3-Phe-Phe-Asp]NH2, a novel G protein-biased agonist of the mu opioid receptor",2017,Justyna Piekielna‐Ciesielska; Federica Ferrari; Girolamo Calò; Anna Janecka
10.1523/jneurosci.1673-16.2016,,,Dampened Amphetamine-Stimulated Behavior and Altered Dopamine Transporter Function in the Absence of Brain GDNF,2017,Jaakko Kopra; Anne Panhelainen; Sara af Bjerkén; L. Lauriina Porokuokka; Kärt Varendi; Soophie Olfat; Heidi Montonen; Petteri Piepponen; Märt Saarma; Jaan‐Olle Andressoo
10.1093/ijnp/pyx056,,,Dopamine System Dysregulation in Major Depressive Disorders,2017,Pauline Belujon; Anthony A. Grace
10.1016/j.neuropharm.2017.04.037,,,Dopamine transporter (DAT) genetic hypofunction in mice produces alterations consistent with ADHD but not schizophrenia or bipolar disorder,2017,Maddalena Mereu; Gabriella Contarini; Elisabetta Filomena Buonaguro; Gianmarco Latte; Francesca Managò; Felice Iasevoli; Andrea de Bartolomeis; Francesco Papaleo
10.1074/jbc.m117.787002,,,"Dopamine transporter phosphorylation site threonine 53 is stimulated by amphetamines and regulates dopamine transport, efflux, and cocaine analog binding",2017,Sathyavathi ChallaSivaKanaka; Juan Zhen; Margaret E. Smith; Maarten E. A. Reith; James D. Foster; Roxanne A. Vaughan
10.1016/j.neuroscience.2017.12.045,,,Downregulation of Egr-1 Expression Level via GluN2B Underlies the Antidepressant Effects of Ketamine in a Chronic Unpredictable Stress Animal Model of Depression,2017,Weijie Zhang; Huahua Wang; Yidong Lv; Cai-Cai Liu; Wen-yao Sun; Liujun Tian
10.1007/s00213-017-4610-0,,,Dreamlike effects of LSD on waking imagery in humans depend on serotonin 2A receptor activation,2017,Rainer Kraehenmann; Dan Pokorný; Leonie Vollenweider; Katrin H. Preller; Thomas Pokorny; Erich Seifritz; Franz X. Vollenweider
10.1007/s12035-017-0730-0,,,Early Exposure to Ketamine Impairs Axonal Pruning in Developing Mouse Hippocampus,2017,Aleksandar Lj. Obradović; Navya Atluri; Lorenza Dalla Massara; Azra Oklopcic; Nikola S. Todorovic; Gaurav Katta; Hari Prasad Osuru; Vesna Jevtović‐Todorović
10.1155/2017/1546125,,,Enkephalins: Endogenous Analgesics with an Emerging Role in Stress Resilience,2017,Mathilde S. Henry; Louis Gendron; Marie‐Ève Tremblay; Guy Drolet
10.1016/j.biopsych.2017.07.012,,,Epigenetic Regulation of the Kappa Opioid Receptor by Child Abuse,2017,Pierre-Éric Lutz; Jeffrey Gross; Sabine K. Dhir; Gilles Maussion; Jennie Yang; Alexandre Bramoullé; Michael J. Meaney; Gustavo Turecki
10.1016/j.neuropharm.2017.01.004,,,"FFPM, a PDE4 inhibitor, reverses learning and memory deficits in APP/PS1 transgenic mice via cAMP/PKA/CREB signaling and anti-inflammatory effects",2017,Haibiao Guo; Yufang Cheng; Canmao Wang; Jingang Wu; Zhengqiang Zou; Bo Niu; Hui Yu; Haitao Wang; Jiangping Xu
10.2967/jnmt.117.201558,,,False-Positive Findings on Dopamine Transporter SPECT Due to Therapeutic Dextroamphetamine and Amphetamine,2017,J Frankl; Sudeshna Bose; Phillip H. Kuo
10.1016/j.brainres.2017.05.008,,,Focused microwave irradiation-assisted immunohistochemistry to study effects of ketamine on phospho-ERK expression in the mouse brain,2017,Alda Fernandes; Yu-Wen Li
10.3389/fncel.2017.00305,,,From Serotonin to Neuroplasticity: Evolvement of Theories for Major Depressive Disorder,2017,Bangshan Liu; Jin Liu; Mi Wang; Yan Zhang; Lingjiang Li
10.1007/7854_2017_478,,,Hallucinogens and Serotonin 5-HT2A Receptor-Mediated Signaling Pathways,2017,Juan F. López‐Giménez; Javier González‐Maeso
10.1021/acs.jmedchem.7b01313,,,"Heterocyclic Analogues of Modafinil as Novel, Atypical Dopamine Transporter Inhibitors",2017,Predrag Kalaba; Nilima Y. Aher; Marija Ilić; Vladimir Dragačević; Marcus Wieder; Andras G. Miklosi; Martin Zehl; Judith Wackerlig; Alexander Roller; Tetyana Beryozkina
10.1007/s00213-017-4684-8,,,"Inhibition of serotonin transporters disrupts the enhancement of fear memory extinction by 3,4-methylenedioxymethamphetamine (MDMA)",2017,Matthew B. Young; Seth D. Norrholm; Lara M. Khoury; Tanja Jovanović; Sheila A. M. Rauch; Collin Reiff; Boadie W. Dunlop; Barbara O. Rothbaum; Leonard L. Howell
10.1038/s41598-017-08166-9,,,Isoflurane produces antidepressant effects and induces TrkB signaling in rodents,2017,Hanna Antila; Maria Ryazantseva; Dina Popova; Pia Sipilä; Ramón Guirado; Samuel Kohtala; İpek Yalçın; Jesse Lindholm; Liisa Vesa; Vinicius Sato
10.18632/oncotarget.15405,,,Ketamine administered pregnant rats impair learning and memory in offspring <i>via</i> the CREB pathway,2017,Xinran Li; Cen Guo; Yanan Li; Lina Li; Yuxin Wang; Yiming Zhang; Yue Li; Yu Chen; Wenhan Liu; Li Gao
10.1038/mp.2017.239,,,"Ketamine and its metabolite (2R,6R)-hydroxynorketamine induce lasting alterations in glutamatergic synaptic plasticity in the mesolimbic circuit",2017,Ning Yao; Olga Skiteva; X Zhang; Per Svenningsson; Karima Chergui
10.1038/mp.2017.241,,,Ketamine enhances structural plasticity in mouse mesencephalic and human iPSC-derived dopaminergic neurons via AMPAR-driven BDNF and mTOR signaling,2017,Laura Cavalleri; Emilio Merlo Pich; Mark J. Millan; Cristiano Chiamulera; Tilo Kunath; PierFranco Spano; Ginetta Collo
10.1016/j.bbrc.2017.05.157,,,Ketamine induces brain-derived neurotrophic factor expression via phosphorylation of histone deacetylase 5 in rats,2017,Miyeon Choi; Seung Hoon Lee; Min Hyeop Park; Yong-Seok Kim; Hyeon Son
10.1007/164_2017_51,,,Ketamine-Induced Glutamatergic Mechanisms of Sleep and Wakefulness: Insights for Developing Novel Treatments for Disturbed Sleep and Mood,2017,Wallace C. Duncan; Elizabeth D. Ballard; Carlos A. Zarate
10.1016/j.neuropharm.2017.05.003,,,Locomotor sensitization to intermittent ketamine administration is associated with nucleus accumbens plasticity in male and female rats,2017,Caroline E. Strong; Kristin J. Schoepfer; Amanda M. Dossat; Samantha K. Saland; Katherine N. Wright; Mohamed Kabbaj
10.18632/oncotarget.16042,,,Long-term neurocognitive dysfunction in offspring via NGF/ ERK/CREB signaling pathway caused by ketamine exposure during the second trimester of pregnancy in rats,2017,Yanan Li; Xinran Li; Cen Guo; Lina Li; Yuxin Wang; Yiming Zhang; Yu Chen; Wenhan Liu; Li Gao
10.3389/fnhum.2017.00245,,,"Looking for the Self: Phenomenology, Neurophysiology and Philosophical Significance of Drug-induced Ego Dissolution",2017,Raphaël Millière
10.1038/npp.2017.86,,,Modern Clinical Research on LSD,2017,Matthias E. Liechti
10.1007/s11916-017-0607-y,,,"Multimodal Analgesia, Current Concepts, and Acute Pain Considerations",2017,Erik Helander; Bethany L. Menard; Chris M. Harmon; Ben Homra; Alexander V. Allain; Gregory J. Bordelon; Melville Q. Wyche; Ira W. Padnos; Anna Lavrova; Alan D. Kaye
10.1016/j.neuropharm.2017.11.045,,,"NMDA receptor antagonist rodent models for cognition in schizophrenia and identification of novel drug treatments, an update",2017,Daniela Cadinu; Ben Grayson; Giovanni Podda; Michael Harte; Nazanin Doostdar; Joanna C. Neill
10.1007/s12640-017-9831-9,,,Neurochemical and Neurotoxic Effects of MDMA (Ecstasy) and Caffeine After Chronic Combined Administration in Mice,2017,Anna Górska; Katarzyna Kamińska; Agnieszka Wawrzczak‐Bargieła; Giulia Costa; Micaela Morelli; Ryszard Przewłocki; Grzegorz Kreiner; Krystyna Gołembiowska
10.1038/mp.2017.61,,,Neuronal plasticity and neurotrophic factors in drug responses,2017,Eero Ċastrén; Hanna Antila
10.1016/j.jep.2017.05.016,,,Neuropathic and inflammatory antinociceptive effects and electrocortical changes produced by Salvia divinorum in rats,2017,Karina Simón‐Arceo; Ma. Eva González‐Trujano; Ulises Coffeen; Rodrigo Fernández‐Mas; Francisco Mercado; Angélica Almanza; Bernardo Contreras; Orlando Jaimes; Francisco Pellicer
10.1155/2017/4605971,,,New Treatment Strategies of Depression: Based on Mechanisms Related to Neuroplasticity,2017,Yu-Jhen Huang; Hsien‐Yuan Lane; Chieh‐Hsin Lin
10.1007/s00228-017-2392-2,,,No major role of norepinephrine transporter gene variations in the cardiostimulant effects of MDMA,2017,Patrick Vizeli; Henriette E. Meyer zu Schwabedissen; Matthias E. Liechti
10.26434/chemrxiv.5728286.v1,,,O6C-20-nor-SalA is a stable and potent KOR agonist,2017,Ryan A. Shenvi; Shun Hirasawa; Min Cho; Tarsis F. Brust; Jeremy J. Roach; Larua M. Bohn
10.18632/oncotarget.15419,,,Opioids: Modulators of angiogenesis in wound healing and cancer,2017,Martina Ondrovics; Andrea Hoelbl‐Kovacic; Daniela Fux
10.1124/mol.117.109561,,,Pharmacologic Evidence for a Putative Conserved Allosteric Site on Opioid Receptors,2017,Kathryn E. Livingston; M. Alexander Stanczyk; Neil T. Burford; Andrew Alt; Meritxell Canals; John R. Traynor
10.1016/j.neuropharm.2017.07.026,,,Pharmacological profile of mephedrone analogs and related new psychoactive substances,2017,Dino Luethi; Karolina E. Kolaczynska; Luca Docci; Stephan Krähenbühl; Marius C. Hoener; Matthias E. Liechti
10.1016/b978-0-444-63930-1.00001-6,,,"Pharmacology and Structure-Activity Relationship of Natural Products With Psychoactive Effects From Salvia divinorum, Mitragyna speciosa, and Ayahuasca",2017,Simon Phipps; Oliver Grundmann
10.1016/bs.apha.2017.09.002,,,Phosphorylation of the Amino Terminus of the Dopamine Transporter: Regulatory Mechanisms and Implications for Amphetamine Action,2017,Caline S. Karam; Jonathan A. Javitch
10.1007/s12640-017-9761-6,,,"Progression and Persistence of Neurotoxicity Induced by MDMA in Dopaminergic Regions of the Mouse Brain and Association with Noradrenergic, GABAergic, and Serotonergic Damage",2017,Giulia Costa; Micaela Morelli; Nicola Simola
10.1007/s00213-017-4771-x,,,Psilocybin with psychological support for treatment-resistant depression: six-month follow-up,2017,Robin Carhart‐Harris; Mark Bolstridge; Camilla Day; James Rucker; R. Watts; David Erritzøe; Mendel Kaelen; Bruna Giribaldi; Michael Bloomfield; Stephen Pilling
10.1007/978-3-319-49795-2_4,,,Rapid Antidepressant Activity of Ketamine Beyond NMDA Receptor,2017,Kenji Hashimoto
10.1002/ejp.1075,,,Role of the spinal TrkB‐<scp>NMDA</scp> receptor link in the <scp>BDNF</scp>‐induced long‐lasting mechanical hyperalgesia in the rat: A behavioural study,2017,José Luis Marcos; Danny Galleguillos; Teresa Pélissier; Alejandro Hernández; Luís Velásquez; Luis Villanueva; Luís Constandil
10.1186/s12929-017-0380-6,,,Roles of sigma-1 receptors on mitochondrial functions relevant to neurodegenerative diseases,2017,Tzu-Yu Weng; Shang‐Yi Tsai; Tsung‐Ping Su
10.1007/164_2017_71,,,SLC6 Transporter Folding Diseases and Pharmacochaperoning,2017,Michael Freissmuth; Thomas Stockner; Sonja Sučić
10.1002/ejp.1120,,,Salvinorin A reduces neuropathic nociception in the insular cortex of the rat,2017,Ulises Coffeen; Ana Canseco-Alba; Karina Simón‐Arceo; Aida Almanza; Francisco Mercado; Martha León‐Olea; Francisco Pellicer
10.1111/bph.13854,,,Selective κ receptor partial agonist HS666 produces potent antinociception without inducing aversion after i.c.v. administration in mice,2017,Mariana Spetea; Shainnel O. Eans; Michelle L. Ganno; Aquilino Lantero; Michael Mairegger; Lawrence Toll; Helmut Schmidhammer; Jay P. McLaughlin
10.1021/acs.jnatprod.7b00327,,,"Semisynthesis and Kappa-Opioid Receptor Activity of Derivatives of Columbin, a Furanolactone Diterpene",2017,Anıl Yılmaz; Rachel Saylor Crowley; Alexander M. Sherwood; Thomas E. Prisinzano
10.1093/cercor/bhx257,,,Serotonin 2A Receptor Signaling Underlies LSD-induced Alteration of the Neural Response to Dynamic Changes in Music,2017,Frederick S. Barrett; Katrin H. Preller; Marcus Herdener; Petr Janata; Franz X. Vollenweider
10.1177/0269881117725915,,,Serotonin and brain function: a tale of two receptors,2017,RL Carhart-Harris; DJ Nutt
10.1016/j.neubiorev.2017.03.007,,,"Serotonin and neuroplasticity – Links between molecular, functional and structural pathophysiology in depression",2017,Christoph Kraus; Eero Ċastrén; Siegfried Kasper; Rupert Lanzenberger
10.1038/s41598-017-12779-5,,,Short term changes in the proteome of human cerebral organoids induced by 5-MeO-DMT,2017,Vanja Dakic; Juliana Nascimento; Rafaela Sartore; Renata de Moraes Maciel; Dráulio Barros de Araújo; Sidarta Ribeiro; Daniel Martins‐de‐Souza; Stevens K. Rehen
10.1016/j.brainres.2017.02.027,,,Synergistic blockade of alcohol escalation drinking in mice by a combination of novel kappa opioid receptor agonist Mesyl Salvinorin B and naltrexone,2017,Yan Zhou; Rachel Saylor Crowley; Konrad T. Ben; Thomas E. Prisinzano; Mary Jeanne Kreek
10.1021/acs.orglett.7b02177,,,Synthesis and <i>N</i>-Methyl-<scp>d</scp>-aspartate (NMDA) Receptor Activity of Ketamine Metabolites,2017,Patrick J. Morris; Ruin Moaddel; Panos Zanos; Curtis E. Moore; Todd D. Gould; Carlos A. Zarate; Craig J. Thomas
10.1111/bph.13878,,,THE CONCISE GUIDE TO PHARMACOLOGY 2017/18: G protein‐coupled receptors,2017,S P H Alexander; Arthur Christopoulos; Anthony P. Davenport; Eamonn Kelly; Neil V. Marrion; John A. Peters; Elena Faccenda; Simon D Harding; Adam J Pawson; Joanna L Sharman
10.1038/nrd.2017.16,,,Targeting glutamate signalling in depression: progress and prospects,2017,James W. Murrough; Chadi G. Abdallah; Sanjay J. Mathew
10.1111/bph.13809,,,Targeting multiple opioid receptors – improved analgesics with reduced side effects?,2017,Thomas Günther; Pooja Dasgupta; Anika Mann; Elke Miess; Andrea Kliewer; Sebastian Fritzwanker; Ralph Steinborn; Stefan Schulz
10.1007/s00213-017-4637-2,,,"The C-2 derivatives of salvinorin A, ethoxymethyl ether Sal B and β-tetrahydropyran Sal B, have anti-cocaine properties with minimal side effects",2017,Amy Ewald; Peter Bösch; Aimee Culverhouse; Rachel Saylor Crowley; Benjamin Neuenswander; Thomas E. Prisinzano; Bronwyn M. Kivell
10.1155/2017/9724371,,,The Link between Depression and Chronic Pain: Neural Mechanisms in the Brain,2017,Jiyao Sheng; Liu Shui; Yicun Wang; Ranji Cui; Xuewen Zhang
10.1155/2017/6871089,,,The Role of Neural Plasticity in Depression: From Hippocampus to Prefrontal Cortex,2017,Wei Liu; Tongtong Ge; Yashu Leng; Zhenxiang Pan; Jie Fan; Wei Yang; Ranji Cui
10.2174/1570159x15666170529104323,,,"The Role of Sigma-1 Receptor, an Intracellular Chaperone in Neurodegenerative Diseases",2017,Botond Penke; Lívia Fülöp; Mária Szűcs; Ede Frecska
10.1007/978-3-319-50174-1_17,,,The Sigma-1 Receptor–A Therapeutic Target for the Treatment of ALS?,2017,Timur Mavlyutov; Erin M. Baker; Tasher M. Losenegger; Jaimie R. Kim; Brian Torres; Miles L. Epstein; Arnold E. Ruoho
10.1038/npp.2017.84,,,"The Therapeutic Potential of Psychedelic Drugs: Past, Present, and Future",2017,Robin Carhart‐Harris; Guy M. Goodwin
10.1002/ejp.1002,,,The analgesic and anti‐inflammatory effects of Salvinorin A analogue β‐tetrahydropyran Salvinorin B in mice,2017,Kelly F. Paton; Nitin Kumar; Rachel Saylor Crowley; J.L. Harper; Thomas E. Prisinzano; Bronwyn M. Kivell
10.1016/j.mehy.2017.01.013,,,The fibrinolytic system: A new target for treatment of depression with psychedelics,2017,Richard Idell; Galina Florova; Andrey A. Komissarov; Sreerama Shetty; R. Girard; Steven Idell
10.1038/tp.2016.282,,,The impact of Disrupted-in-Schizophrenia 1 (DISC1) on the dopaminergic system: a systematic review,2017,Tarik Dahoun; Svenja V. Trossbach; Nicholas J. Brandon; Carsten Korth; Oliver Howes
10.1186/s13041-017-0306-y,,,The role of 5-HT receptors in depression,2017,Christine N. Yohn; Mark M. Gergues; Benjamin A. Samuels
10.1038/s41467-017-01709-8,,,TrkB dependent adult hippocampal progenitor differentiation mediates sustained ketamine antidepressant response,2017,Zhenzhong Ma; Tong Zang; Shari G. Birnbaum; Zilai Wang; Jane E. Johnson; Chun‐Li Zhang; Luis F. Parada
10.1016/j.neuroimage.2017.07.020,,,Two dose investigation of the 5-HT-agonist psilocybin on relative and global cerebral blood flow,2017,Candace R. Lewis; Katrin H. Preller; Rainer Kraehenmann; Lars Michels; Philipp Stäempfli; Franz X. Vollenweider
10.1038/mp.2017.233,,,VGF function in depression and antidepressant efficacy,2017,Cheng Jiang; W-J Lin; Masato Sadahiro; Benoît Labonté; Caroline Ménard; M L Pfau; Carol A. Tamminga; Gustavo Turecki; Eric J. Nestler; Scott J. Russo
10.1016/j.biopsych.2016.12.020,,,"( R )-Ketamine Shows Greater Potency and Longer Lasting Antidepressant Effects Than Its Metabolite (2 R ,6 R )-Hydroxynorketamine",2016,Chun Yang; Youge Qu; Masahito Abe; Dai Nozawa; Shigeyuki Chaki; Kenji Hashimoto
10.1124/jpet.115.228395,,,5-HT2 Receptor Regulation of Mitochondrial Genes: Unexpected Pharmacological Effects of Agonists and Antagonists,2016,Jennifer L. Harmon; Lauren Wills; Caitlin McOmish; Elena Y. Demireva; Jay A. Gingrich; Craig C. Beeson; Rick G. Schnellmann
10.1176/appi.ajp.2016.16010037,,,"A Double-Blind, Randomized, Placebo-Controlled, Dose-Frequency Study of Intravenous Ketamine in Patients With Treatment-Resistant Depression",2016,Jaskaran Singh; Maggie Fedgchin; Ella Daly; Peter de Boer; Kimberly Cooper; Pilar Lim; Christine Pinter; James W. Murrough; Gerard Sanacora; Richard C. Shelton
10.1016/j.ejphar.2016.05.029,,,"A single dose of vortioxetine, but not ketamine or fluoxetine, increases plasticity-related gene expression in the rat frontal cortex",2016,Kristian Gaarn du Jardin; Heidi Kaastrup Müller; Connie Sánchez; Gregers Wegener; Betina Elfving
10.1111/jne.12374,,,Acute Effects of Lysergic Acid Diethylamide on Circulating Steroid Levels in Healthy Subjects,2016,Petra Strajhar; Yasmin Schmid; Evangelia Liakoni; Patrick C. Dolder; Katharina Rentsch; Denise V. Kratschmar; Alex Odermatt; Matthias E. Liechti
10.1016/j.pbb.2016.10.004,,,"Acute agmatine administration, similar to ketamine, reverses depressive-like behavior induced by chronic unpredictable stress in mice",2016,Vivian B. Neis; Luis E.B. Bettio; Morgana Moretti; Priscila B. Rosa; Camille M. Ribeiro; Andiara E. Freitas; Filipe Marques Gonçalves; Rodrigo Bainy Leal; Ana Lúcia S. Rodrigues
10.1016/j.euroneuro.2016.03.009,,,Agmatine produces antidepressant-like effects by activating AMPA receptors and mTOR signaling,2016,Vivian B. Neis; Morgana Moretti; Luis E.B. Bettio; Camille M. Ribeiro; Priscila B. Rosa; Filipe Marques Gonçalves; Mark William Lopes; Rodrigo Bainy Leal; Ana Lúcia S. Rodrigues
10.1038/nrd.2016.28,,,Altering the course of schizophrenia: progress and perspectives,2016,Mark J. Millan; Annie Andrieux; George Bartzokis; Kristin S. Cadenhead; Paola Dazzan; Paolo Fusar‐Poli; Jürgen Gallinat; Jay N. Giedd; Dennis R. Grayson; Markus Heinrichs
10.4137/jen.s40231,,,Amphetamine Withdrawal Differentially Increases the Expression of Organic Cation Transporter 3 and Serotonin Transporter in Limbic Brain Regions,2016,Rajeshwari R. Solanki; Jamie L. Scholl; Michael J. Watt; Kenneth J. Renner; Gina L. Forster
10.1038/mp.2015.211,,,Antidepressant action of ketamine via mTOR is mediated by inhibition of nitrergic Rheb degradation,2016,Maged M. Harraz; Rakesh K. Tyagi; Pedro Cortés; S H Snyder
10.1038/npp.2016.38,,,Antidepressant-like Effects of Buprenorphine are Mediated by Kappa Opioid Receptors,2016,Edgardo Falcón; Caroline A. Browne; Rosa M. Leon; Vanessa Fleites; Rachel Sweeney; Lynn G. Kirby; Irwin Lucki
10.1007/s00213-016-4377-8,,,Ayahuasca enhances creative divergent thinking while decreasing conventional convergent thinking,2016,Kim P. C. Kuypers; Jordi Riba; Mario de la Fuente Revenga; Steven A. Barker; Eef L. Theunissen; Johannes G. Ramaekers
10.3109/07853890.2015.1131327,,,"BDNF in sleep, insomnia, and sleep deprivation",2016,Karen Schmitt; Edith Holsboer‐Trachsler; Anne Eckert
10.1007/s11255-016-1315-y,,,BDNF-ERK1/2 signaling pathway in ketamine-associated lower urinary tract symptoms,2016,Xiaolong Wang; Biwen Peng; Chang Xu; Zheng‐Yan Gao; Yuanfei Cao; Zhao Liu; Tongzu Liu
10.1007/s12640-016-9611-y,,,Baicalin Attenuates Ketamine-Induced Neurotoxicity in the Developing Rats: Involvement of PI3K/Akt and CREB/BDNF/Bcl-2 Pathways,2016,Daiying Zuo; Li Lin; Yumiao Liu; Chengna Wang; Jingwen Xu; Feng Sun; Lin Li; Zengqiang Li; Yingliang Wu
10.1016/j.pbb.2016.01.005,,,"Behavioral and pharmacokinetic interactions between monoamine oxidase inhibitors and the hallucinogen 5-methoxy-N,N-dimethyltryptamine",2016,Adam L. Halberstadt
10.2174/1570159x14666160119094646,,,Brain-derived Neurotrophic Factor (BDNF)-TrkB Signaling in Inflammation-related Depression and Potential Therapeutic Targets,2016,Ji‐chun Zhang; Wei Yao; Kenji Hashimoto
